D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
458070001,4.0,4.0,4.0,4.0,4.0,4.0,4.0
458070002,3.0,4.0,4.0,4.0,4.0,4.0,4.0
458070003,4.0,4.0,4.0,4.0,4.0,4.0,4.0
458070004,2.0,1.0,4.0,3.0,2.0,3.0,3.0
458070005,4.0,3.0,3.0,3.0,4.0,3.0,3.0
458070006,1.0,1.0,2.0,2.0,1.0,2.0,2.0
458070007,2.0,2.0,1.0,3.0,2.0,3.0,2.0
458070008,3.0,3.0,4.0,4.0,4.0,4.0,4.0
458070009,4.0,4.0,4.0,4.0,4.0,4.0,4.0
458070010,3.0,2.0,3.0,3.0,3.0,2.0,3.0
458070011,3.0,3.0,3.0,3.0,2.0,3.0,3.0
458070012,2.0,2.0,2.0,4.0,4.0,4.0,3.0
458070013,4.0,3.0,4.0,4.0,4.0,4.0,4.0
458070014,3.0,2.0,4.0,4.0,4.0,4.0,4.0
458070015,4.0,3.0,4.0,3.0,4.0,3.0,4.0
458070016,3.0,3.0,3.0,3.0,3.0,3.0,3.0
458070017,3.0,3.0,4.0,2.0,3.0,3.0,3.0
458070018,3.0,3.0,3.0,3.0,3.0,3.0,3.0
458070019,4.0,4.0,4.0,4.0,3.0,4.0,4.0
458070020,4.0,3.0,3.0,4.0,2.0,3.0,3.0
458070021,3.0,3.0,4.0,4.0,3.0,3.0,4.0
458070022,3.0,2.0,3.0,4.0,1.0,2.0,3.0
458070023,3.0,4.0,4.0,4.0,2.0,2.0,4.0
458070024,4.0,4.0,4.0,4.0,4.0,4.0,4.0
458070025,2.0,3.0,4.0,4.0,2.0,2.0,4.0
458070026,4.0,4.0,4.0,4.0,3.0,3.0,4.0
458070027,4.0,4.0,4.0,4.0,4.0,4.0,4.0
458070028,3.0,3.0,4.0,3.0,2.0,3.0,4.0
458070029,4.0,2.0,4.0,4.0,4.0,3.0,4.0
458070030,3.0,1.0,2.0,3.0,3.0,1.0,1.0
458070031,3.0,4.0,4.0,4.0,4.0,4.0,4.0
458070032,2.0,2.0,2.0,2.0,2.0,3.0,2.0
458070033,3.0,4.0,4.0,4.0,4.0,4.0,4.0
458070034,4.0,4.0,4.0,4.0,3.0,4.0,4.0
458070035,4.0,4.0,4.0,4.0,3.0,4.0,4.0
458070036,3.0,2.0,3.0,3.0,2.0,3.0,3.0
458070037,4.0,4.0,4.0,4.0,3.0,4.0,4.0
458070038,4.0,4.0,4.0,4.0,3.0,4.0,4.0
458070039,4.0,4.0,4.0,4.0,4.0,4.0,4.0
458070040,4.0,4.0,4.0,4.0,4.0,4.0,4.0
458070041,4.0,4.0,4.0,4.0,4.0,4.0,4.0
458070042,3.0,4.0,4.0,4.0,2.0,4.0,4.0
458070043,2.0,2.0,2.0,2.0,2.0,2.0,2.0
458070044,3.0,3.0,3.0,3.0,3.0,3.0,3.0
458070045,3.0,3.0,4.0,4.0,2.0,4.0,4.0
458070046,4.0,3.0,3.0,3.0,4.0,3.0,4.0
458070047,4.0,3.0,4.0,4.0,3.0,3.0,4.0
458070048,1.0,1.0,2.0,1.0,1.0,1.0,1.0
