D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
484070001,1,1,4,4,4,4,4
484070002,4,3,4,4,3,2,3
484070003,1,1,1,2,1,4,4
484070004,2,2,4,4,3,4,4
484070005,1,1,3,4,4,4,3
484070006,1,1,3,4,4,4,1
484070007,3,3,4,3,3,3,3
484070008,2,2,4,4,4,4,4
484070009,2,3,4,2,2,4,4
484070010,2,4,4,4,4,4,4
484070011,2,1,2,2,4,2,4
484070012,1,3,4,1,4,4,4
484070013,1,3,4,4,1,1,3
484070014,4,3,3,4,1,3,4
484070015,2,3,4,4,4,1,4
484070016,3,3,3,3,3,2,3
484070017,2,3,2,4,3,1,1
484070018,3,3,3,3,1,3,3
484070019,3,1,4,3,2,3,3
484070020,2,1,4,4,3,1,2
484070021,2,2,3,3,2,2,4
484070022,2,3,4,4,2,4,4
484070023,3,3,3,4,4,4,2
484070024,2,3,2,2,2,1,1
484070025,3,2,4,4,4,4,4
484070026,2,2,4,4,4,4,4
484070027,3,3,4,4,4,4,4
484070028,3,3,3,3,3,3,3
484070029,3,3,4,4,3,3,3
484070030,1,3,4,3,2,2,4
484070031,3,3,4,4,4,4,4
484070032,2,2,4,4,2,2,2
484070033,2,1,-1,-1,3,3,3
484070034,3,4,-1,-1,4,4,4
484070035,2,3,4,1,1,1,4
484070036,3,2,4,4,4,3,4
484070037,3,3,4,4,4,3,3
484070038,2,1,4,4,1,3,1
484070039,1,1,2,2,1,1,1
484070040,1,1,1,4,1,1,1
484070041,2,3,3,3,3,3,3
484070042,4,2,4,4,-1,3,4
484070043,3,1,3,3,3,3,3
484070044,3,1,3,3,3,3,4
484070045,3,2,4,4,2,2,4
484070046,3,2,4,4,4,4,4
484070047,4,3,4,4,4,4,4
484070048,3,2,2,4,3,3,4
484070049,3,1,1,3,3,3,3
484070050,2,2,3,4,4,4,4
484070051,1,1,2,3,1,3,3
484070052,4,3,4,4,4,2,4
484070053,1,2,4,4,2,3,2
484070054,1,1,3,3,1,1,3
484070055,2,4,3,4,4,4,4
484070056,4,4,4,4,4,4,4
484070057,3,3,4,4,1,1,3
484070058,2,1,3,3,1,1,1
484070059,2,3,4,4,4,4,4
484070060,3,4,4,4,4,4,4
484070061,2,1,3,3,2,2,1
484070062,1,1,2,3,1,1,1
484070063,1,2,3,4,1,2,1
484070064,1,1,4,4,1,1,2
484070065,3,4,4,4,4,4,4
484070066,1,3,4,4,1,4,4
484070067,1,2,3,4,1,1,3
484070068,2,4,4,4,4,3,4
484070069,2,1,1,4,1,1,1
484070070,1,1,4,4,2,1,4
484070071,3,3,4,3,2,3,3
484070072,1,2,4,4,2,3,3
484070073,1,1,3,3,1,3,3
484070074,2,1,4,4,1,1,4
484070075,3,2,4,4,4,3,4
484070076,1,1,1,1,1,1,1
484070077,1,1,1,1,1,1,1
484070078,2,2,4,4,2,2,2
484070079,2,3,4,4,3,4,4
484070080,2,1,4,4,3,3,3
484070081,1,1,3,2,2,1,1
484070082,2,1,4,4,1,3,1
484070083,2,1,1,3,1,1,2
484070084,1,1,3,4,1,4,-1
484070085,1,1,1,1,1,1,3
484070086,2,1,3,1,1,1,1
484070087,1,1,4,4,1,3,4
484070088,1,1,4,3,1,1,1
484070089,3,3,4,4,4,2,4
484070090,1,4,4,4,4,4,4
484070091,1,1,3,4,2,4,4
484070092,2,2,3,4,1,3,2
484070093,3,2,4,4,4,4,4
484070094,1,3,3,3,4,4,4
484070095,1,1,2,2,2,3,3
484070096,2,1,4,4,2,4,4
484070097,1,1,1,1,2,2,3
484070098,1,2,4,4,1,1,3
484070099,2,1,3,4,1,2,4
484070100,4,2,4,4,4,4,2
484070101,1,1,4,4,1,1,3
484070102,1,1,1,4,4,3,4
484070103,1,1,4,2,1,1,2
484070104,1,1,3,3,1,1,1
484070105,3,2,-1,4,1,1,2
484070106,1,1,3,4,1,1,2
484070107,1,1,2,3,1,1,1
484070108,1,1,4,1,1,1,1
484070109,3,1,1,3,3,3,3
484070110,3,1,3,2,1,3,3
484070111,2,1,4,4,3,3,4
484070112,3,1,4,4,2,2,2
484070113,1,1,2,2,1,1,2
484070114,1,1,1,1,1,1,1
484070115,1,1,2,2,1,1,2
484070116,1,1,3,2,1,2,2
484070117,2,1,2,4,2,2,3
484070118,1,2,4,1,2,1,1
484070119,1,1,2,1,1,2,2
484070120,1,1,4,2,1,2,1
484070121,3,2,4,4,4,4,4
484070122,4,3,4,4,4,4,4
484070123,2,1,1,4,2,1,1
484070124,2,2,4,4,4,4,4
484070125,3,1,3,3,1,1,4
484070126,2,3,1,3,1,1,2
484070127,2,3,3,3,3,3,3
484070128,2,1,4,4,3,3,3
484070129,2,2,3,2,2,2,3
484070130,2,2,4,4,2,3,4
484070131,2,3,4,3,2,2,4
484070132,2,3,3,4,3,4,4
484070133,1,1,4,1,1,1,4
484070134,1,1,1,4,2,2,-1
484070135,2,1,1,1,4,2,4
484070136,1,1,3,1,1,1,3
484070137,2,2,3,3,2,2,2
484070138,2,2,4,3,1,1,4
484070139,2,2,4,4,3,3,4
484070140,2,2,4,2,2,2,3
484070141,2,2,2,2,2,2,2
484070142,1,1,4,3,2,2,3
484070143,1,1,3,4,1,2,4
484070144,2,2,4,4,2,2,3
484070145,2,2,3,2,2,2,2
484070146,2,1,3,4,2,2,3
484070147,3,2,4,4,2,3,3
484070148,3,3,3,4,3,3,3
484070149,1,3,3,4,3,3,3
484070150,2,3,4,4,4,4,2
484070151,1,1,4,4,4,4,4
484070152,2,2,3,4,4,4,4
484070153,2,2,2,3,2,2,2
484070154,3,3,3,3,3,3,3
484070155,2,1,3,4,2,2,2
484070156,1,1,4,4,1,4,4
484070157,3,2,1,1,1,1,2
484070158,2,1,1,1,3,2,1
484070159,2,1,2,2,2,1,2
484070160,1,1,4,4,1,1,1
484070161,1,1,1,2,1,1,1
484070162,1,1,2,3,1,1,1
484070163,2,1,4,-1,3,2,2
484070164,1,1,3,3,1,1,1
484070165,1,2,3,3,4,1,1
484070166,2,2,2,2,2,2,2
484070167,1,1,2,2,1,1,1
484070168,2,1,4,4,1,1,2
484070169,2,2,2,2,2,2,2
484070170,3,2,2,3,3,1,1
484070171,2,1,4,4,1,2,4
484070172,4,1,4,4,1,4,4
484070173,3,4,4,4,4,4,4
484070174,3,3,4,4,4,3,4
484070175,4,4,4,4,4,4,4
484070176,1,2,4,4,4,4,4
484070177,2,2,3,2,3,2,3
484070178,1,1,4,4,2,1,1
484070179,3,3,4,4,4,3,4
484070180,3,2,1,2,3,2,2
484070181,1,1,4,4,-1,4,4
484070182,1,1,4,4,1,1,3
484070183,2,1,3,2,2,1,2
484070184,2,1,1,1,2,1,1
484070185,4,4,4,4,4,4,4
484070186,1,1,1,1,1,1,1
484070187,1,1,1,1,1,1,2
484070188,3,3,4,4,4,4,4
484070189,1,1,4,4,-1,3,4
484070190,1,1,4,4,1,2,2
484070191,2,2,2,2,2,2,2
484070192,3,2,1,3,2,1,3
484070193,1,1,3,4,2,1,1
484070194,1,1,3,4,1,1,4
484070195,1,1,2,4,1,1,4
484070196,2,2,3,3,2,4,4
484070197,3,3,4,4,4,4,4
484070198,3,4,3,2,4,4,4
484070199,2,4,4,4,3,4,4
484070200,4,3,4,4,3,3,3
484070201,1,2,4,3,1,1,4
484070202,3,3,2,4,4,4,4
484070203,2,1,3,3,1,1,4
484070204,3,2,3,3,2,3,3
484070205,2,2,4,3,2,3,3
484070206,2,3,4,3,3,3,2
484070207,2,3,4,3,3,3,3
484070208,2,2,4,3,3,3,3
484070209,3,3,4,4,3,3,3
484070210,2,1,3,4,3,3,4
484070211,2,2,3,4,3,3,3
484070212,2,1,3,3,1,1,3
484070213,3,3,3,3,3,2,3
484070214,3,3,3,3,3,3,4
484070215,2,1,4,4,4,3,4
484070216,2,2,2,1,1,1,1
484070217,2,1,4,4,4,3,3
484070218,2,4,4,4,4,4,4
484070219,3,3,3,3,2,3,3
484070220,2,1,2,4,2,2,4
484070221,2,2,3,3,4,2,3
484070222,3,3,3,4,4,4,4
484070223,4,4,4,4,4,4,4
484070224,3,1,3,4,1,4,3
484070225,3,1,2,4,1,2,2
484070226,1,1,2,3,1,1,1
484070227,2,2,2,3,3,3,3
484070228,1,1,4,4,1,1,4
484070229,4,2,4,4,4,4,4
484070230,3,1,4,4,3,4,4
484070231,3,3,3,3,3,3,3
484070232,3,2,2,4,3,3,4
484070233,3,2,4,4,4,4,4
484070234,3,3,4,4,4,4,4
484070235,3,3,3,3,3,3,3
484070236,4,3,4,4,4,4,4
484070237,1,1,4,2,2,1,2
484070238,1,1,1,3,3,3,3
484070239,2,1,4,4,3,3,2
484070240,3,1,3,3,4,4,2
484070241,2,2,4,4,4,4,4
484070242,4,4,4,4,4,3,4
484070243,2,3,3,3,2,4,4
484070244,2,2,4,4,4,4,4
484070245,3,2,4,4,4,4,4
