D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
484070001,1.0,1.0,4.0,4.0,4.0,4.0,4.0
484070002,4.0,3.0,4.0,4.0,3.0,2.0,3.0
484070003,1.0,1.0,1.0,2.0,1.0,4.0,4.0
484070004,2.0,2.0,4.0,4.0,3.0,4.0,4.0
484070005,1.0,1.0,3.0,4.0,4.0,4.0,3.0
484070006,1.0,1.0,3.0,4.0,4.0,4.0,1.0
484070007,3.0,3.0,4.0,3.0,3.0,3.0,3.0
484070008,2.0,2.0,4.0,4.0,4.0,4.0,4.0
484070009,2.0,3.0,4.0,2.0,2.0,4.0,4.0
484070010,2.0,4.0,4.0,4.0,4.0,4.0,4.0
484070011,2.0,1.0,2.0,2.0,4.0,2.0,4.0
484070012,1.0,3.0,4.0,1.0,4.0,4.0,4.0
484070013,1.0,3.0,4.0,4.0,1.0,1.0,3.0
484070014,4.0,3.0,3.0,4.0,1.0,3.0,4.0
484070015,2.0,3.0,4.0,4.0,4.0,1.0,4.0
484070016,3.0,3.0,3.0,3.0,3.0,2.0,3.0
484070017,2.0,3.0,2.0,4.0,3.0,1.0,1.0
484070018,3.0,3.0,3.0,3.0,1.0,3.0,3.0
484070019,3.0,1.0,4.0,3.0,2.0,3.0,3.0
484070020,2.0,1.0,4.0,4.0,3.0,1.0,2.0
484070021,2.0,2.0,3.0,3.0,2.0,2.0,4.0
484070022,2.0,3.0,4.0,4.0,2.0,4.0,4.0
484070023,3.0,3.0,3.0,4.0,4.0,4.0,2.0
484070024,2.0,3.0,2.0,2.0,2.0,1.0,1.0
484070025,3.0,2.0,4.0,4.0,4.0,4.0,4.0
484070026,2.0,2.0,4.0,4.0,4.0,4.0,4.0
484070027,3.0,3.0,4.0,4.0,4.0,4.0,4.0
484070028,3.0,3.0,3.0,3.0,3.0,3.0,3.0
484070029,3.0,3.0,4.0,4.0,3.0,3.0,3.0
484070030,1.0,3.0,4.0,3.0,2.0,2.0,4.0
484070031,3.0,3.0,4.0,4.0,4.0,4.0,4.0
484070032,2.0,2.0,4.0,4.0,2.0,2.0,2.0
484070033,2.0,1.0,-1.0,-1.0,3.0,3.0,3.0
484070034,3.0,4.0,-1.0,-1.0,4.0,4.0,4.0
484070035,2.0,3.0,4.0,1.0,1.0,1.0,4.0
484070036,3.0,2.0,4.0,4.0,4.0,3.0,4.0
484070037,3.0,3.0,4.0,4.0,4.0,3.0,3.0
484070038,2.0,1.0,4.0,4.0,1.0,3.0,1.0
484070039,1.0,1.0,2.0,2.0,1.0,1.0,1.0
484070040,1.0,1.0,1.0,4.0,1.0,1.0,1.0
484070041,2.0,3.0,3.0,3.0,3.0,3.0,3.0
484070042,4.0,2.0,4.0,4.0,-1.0,3.0,4.0
484070043,3.0,1.0,3.0,3.0,3.0,3.0,3.0
484070044,3.0,1.0,3.0,3.0,3.0,3.0,4.0
484070045,3.0,2.0,4.0,4.0,2.0,2.0,4.0
484070046,3.0,2.0,4.0,4.0,4.0,4.0,4.0
484070047,4.0,3.0,4.0,4.0,4.0,4.0,4.0
484070048,3.0,2.0,2.0,4.0,3.0,3.0,4.0
484070049,3.0,1.0,1.0,3.0,3.0,3.0,3.0
484070050,2.0,2.0,3.0,4.0,4.0,4.0,4.0
484070051,1.0,1.0,2.0,3.0,1.0,3.0,3.0
484070052,4.0,3.0,4.0,4.0,4.0,2.0,4.0
484070053,1.0,2.0,4.0,4.0,2.0,3.0,2.0
484070054,1.0,1.0,3.0,3.0,1.0,1.0,3.0
484070055,2.0,4.0,3.0,4.0,4.0,4.0,4.0
484070056,4.0,4.0,4.0,4.0,4.0,4.0,4.0
484070057,3.0,3.0,4.0,4.0,1.0,1.0,3.0
484070058,2.0,1.0,3.0,3.0,1.0,1.0,1.0
484070059,2.0,3.0,4.0,4.0,4.0,4.0,4.0
484070060,3.0,4.0,4.0,4.0,4.0,4.0,4.0
484070061,2.0,1.0,3.0,3.0,2.0,2.0,1.0
484070062,1.0,1.0,2.0,3.0,1.0,1.0,1.0
484070063,1.0,2.0,3.0,4.0,1.0,2.0,1.0
484070064,1.0,1.0,4.0,4.0,1.0,1.0,2.0
484070065,3.0,4.0,4.0,4.0,4.0,4.0,4.0
484070066,1.0,3.0,4.0,4.0,1.0,4.0,4.0
484070067,1.0,2.0,3.0,4.0,1.0,1.0,3.0
484070068,2.0,4.0,4.0,4.0,4.0,3.0,4.0
484070069,2.0,1.0,1.0,4.0,1.0,1.0,1.0
484070070,1.0,1.0,4.0,4.0,2.0,1.0,4.0
484070071,3.0,3.0,4.0,3.0,2.0,3.0,3.0
484070072,1.0,2.0,4.0,4.0,2.0,3.0,3.0
484070073,1.0,1.0,3.0,3.0,1.0,3.0,3.0
484070074,2.0,1.0,4.0,4.0,1.0,1.0,4.0
484070075,3.0,2.0,4.0,4.0,4.0,3.0,4.0
484070076,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070077,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070078,2.0,2.0,4.0,4.0,2.0,2.0,2.0
484070079,2.0,3.0,4.0,4.0,3.0,4.0,4.0
484070080,2.0,1.0,4.0,4.0,3.0,3.0,3.0
484070081,1.0,1.0,3.0,2.0,2.0,1.0,1.0
484070082,2.0,1.0,4.0,4.0,1.0,3.0,1.0
484070083,2.0,1.0,1.0,3.0,1.0,1.0,2.0
484070084,1.0,1.0,3.0,4.0,1.0,4.0,-1.0
484070085,1.0,1.0,1.0,1.0,1.0,1.0,3.0
484070086,2.0,1.0,3.0,1.0,1.0,1.0,1.0
484070087,1.0,1.0,4.0,4.0,1.0,3.0,4.0
484070088,1.0,1.0,4.0,3.0,1.0,1.0,1.0
484070089,3.0,3.0,4.0,4.0,4.0,2.0,4.0
484070090,1.0,4.0,4.0,4.0,4.0,4.0,4.0
484070091,1.0,1.0,3.0,4.0,2.0,4.0,4.0
484070092,2.0,2.0,3.0,4.0,1.0,3.0,2.0
