D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
528070001,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
528070002,4.0,2.0,4.0,3.0,3.0,4.0,4.0
528070003,3.0,4.0,4.0,3.0,3.0,4.0,4.0
528070004,-1.0,4.0,4.0,4.0,-1.0,4.0,4.0
528070005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
528070006,4.0,1.0,3.0,3.0,2.0,3.0,3.0
528070007,4.0,4.0,4.0,3.0,4.0,4.0,4.0
528070008,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
528070009,4.0,3.0,4.0,4.0,3.0,4.0,4.0
528070010,4.0,4.0,4.0,4.0,4.0,4.0,4.0
528070011,3.0,3.0,4.0,4.0,4.0,4.0,4.0
528070012,4.0,4.0,4.0,4.0,4.0,4.0,4.0
528070013,3.0,3.0,3.0,3.0,-1.0,2.0,2.0
528070014,4.0,4.0,4.0,4.0,4.0,4.0,4.0
528070015,4.0,4.0,4.0,4.0,4.0,4.0,4.0
528070016,3.0,3.0,3.0,3.0,3.0,3.0,3.0
528070017,4.0,4.0,4.0,4.0,4.0,4.0,4.0
528070018,3.0,4.0,3.0,1.0,3.0,3.0,3.0
528070019,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
528070020,2.0,4.0,3.0,2.0,2.0,1.0,2.0
528070021,3.0,3.0,4.0,2.0,3.0,3.0,3.0
528070022,4.0,4.0,4.0,4.0,4.0,4.0,4.0
528070023,3.0,3.0,4.0,3.0,3.0,4.0,4.0
528070024,4.0,4.0,4.0,4.0,4.0,4.0,4.0
528070025,4.0,4.0,4.0,4.0,4.0,4.0,4.0
528070026,3.0,2.0,3.0,3.0,3.0,3.0,3.0
528070027,3.0,4.0,4.0,3.0,3.0,3.0,-1.0
528070028,-1.0,2.0,-1.0,2.0,2.0,2.0,2.0
528070029,3.0,1.0,2.0,2.0,2.0,3.0,2.0
528070030,3.0,3.0,4.0,4.0,4.0,4.0,-1.0
528070031,3.0,3.0,3.0,3.0,3.0,3.0,3.0
528070032,2.0,3.0,-1.0,-2.0,2.0,-1.0,-1.0
528070033,4.0,4.0,4.0,3.0,4.0,4.0,4.0
528070034,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
528070035,4.0,4.0,4.0,4.0,4.0,4.0,4.0
528070036,3.0,3.0,3.0,3.0,4.0,4.0,3.0
528070037,3.0,-1.0,-1.0,3.0,-1.0,3.0,4.0
528070038,4.0,4.0,4.0,4.0,3.0,4.0,4.0
528070039,4.0,3.0,4.0,3.0,3.0,3.0,-1.0
528070040,4.0,4.0,4.0,4.0,4.0,4.0,4.0
528070041,3.0,3.0,3.0,3.0,3.0,3.0,3.0
528070042,4.0,4.0,4.0,4.0,4.0,4.0,4.0
528070043,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
528070044,4.0,4.0,4.0,4.0,4.0,4.0,4.0
