D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
604070001,-2,3,3,-2,3,3,3
604070002,3,4,4,4,4,4,4
604070003,3,2,4,4,3,4,4
604070004,2,4,4,4,3,3,4
604070005,4,4,4,4,4,4,4
604070006,3,3,3,4,3,3,4
604070007,3,3,4,4,3,4,4
604070008,2,3,4,4,4,3,4
604070009,4,3,4,3,4,4,4
604070010,3,2,3,3,2,3,3
604070011,2,2,3,4,2,2,4
604070012,3,2,4,3,2,2,3
604070013,3,1,3,3,3,2,3
604070014,2,2,3,4,2,3,4
604070015,2,2,4,4,2,2,-1
604070016,2,1,3,3,2,1,2
604070017,3,1,3,4,1,3,2
604070018,1,1,3,4,2,1,4
604070019,3,3,4,4,3,3,4
604070020,3,1,4,4,3,3,4
604070021,1,1,3,2,2,2,4
604070022,1,2,3,4,1,2,4
604070023,2,2,3,4,1,2,-1
604070024,2,1,3,3,1,2,-1
604070025,2,1,3,2,1,1,2
604070026,1,2,2,4,2,2,3
604070027,2,1,3,2,2,2,3
604070028,1,2,4,2,2,2,2
604070029,1,2,2,3,2,2,2
604070030,1,2,2,2,2,2,2
604070031,1,1,3,2,2,2,3
604070032,2,2,3,2,2,2,3
604070033,2,2,4,2,2,2,2
604070034,1,1,3,2,2,2,2
604070035,2,2,3,2,3,2,2
604070036,2,2,4,3,1,3,4
604070037,3,2,4,3,2,3,4
604070038,2,2,3,2,2,2,2
604070039,1,1,3,3,1,2,4
604070040,2,2,3,2,1,2,3
604070041,2,3,4,4,3,3,3
604070042,3,3,4,4,4,4,4
604070043,3,3,3,4,4,4,4
604070044,2,2,4,4,4,3,4
604070045,3,3,4,4,3,3,3
604070046,2,3,4,4,4,4,4
604070047,2,3,4,4,2,2,4
604070048,3,2,4,-1,2,2,-1
604070049,2,3,2,-1,3,3,-1
604070050,2,2,4,4,3,3,4
604070051,3,1,3,1,2,3,2
604070052,2,3,3,3,3,3,2
604070053,3,2,3,3,2,3,3
604070054,3,3,4,4,3,3,3
604070055,2,2,3,3,2,2,2
604070056,2,2,3,3,2,3,3
604070057,2,2,2,2,2,2,2
604070058,2,3,3,4,4,3,2
604070059,3,2,3,3,3,3,3
604070060,2,2,2,2,2,2,2
604070061,3,2,3,3,3,3,3
604070062,3,2,3,2,2,2,2
604070063,3,2,2,3,3,3,2
604070064,2,3,2,3,3,2,2
