D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
604070001,-2.0,3.0,3.0,-2.0,3.0,3.0,3.0
604070002,3.0,4.0,4.0,4.0,4.0,4.0,4.0
604070003,3.0,2.0,4.0,4.0,3.0,4.0,4.0
604070004,2.0,4.0,4.0,4.0,3.0,3.0,4.0
604070005,4.0,4.0,4.0,4.0,4.0,4.0,4.0
604070006,3.0,3.0,3.0,4.0,3.0,3.0,4.0
604070007,3.0,3.0,4.0,4.0,3.0,4.0,4.0
604070008,2.0,3.0,4.0,4.0,4.0,3.0,4.0
604070009,4.0,3.0,4.0,3.0,4.0,4.0,4.0
604070010,3.0,2.0,3.0,3.0,2.0,3.0,3.0
604070011,2.0,2.0,3.0,4.0,2.0,2.0,4.0
604070012,3.0,2.0,4.0,3.0,2.0,2.0,3.0
604070013,3.0,1.0,3.0,3.0,3.0,2.0,3.0
604070014,2.0,2.0,3.0,4.0,2.0,3.0,4.0
604070015,2.0,2.0,4.0,4.0,2.0,2.0,-1.0
604070016,2.0,1.0,3.0,3.0,2.0,1.0,2.0
604070017,3.0,1.0,3.0,4.0,1.0,3.0,2.0
604070018,1.0,1.0,3.0,4.0,2.0,1.0,4.0
604070019,3.0,3.0,4.0,4.0,3.0,3.0,4.0
604070020,3.0,1.0,4.0,4.0,3.0,3.0,4.0
604070021,1.0,1.0,3.0,2.0,2.0,2.0,4.0
604070022,1.0,2.0,3.0,4.0,1.0,2.0,4.0
604070023,2.0,2.0,3.0,4.0,1.0,2.0,-1.0
604070024,2.0,1.0,3.0,3.0,1.0,2.0,-1.0
604070025,2.0,1.0,3.0,2.0,1.0,1.0,2.0
604070026,1.0,2.0,2.0,4.0,2.0,2.0,3.0
604070027,2.0,1.0,3.0,2.0,2.0,2.0,3.0
604070028,1.0,2.0,4.0,2.0,2.0,2.0,2.0
604070029,1.0,2.0,2.0,3.0,2.0,2.0,2.0
604070030,1.0,2.0,2.0,2.0,2.0,2.0,2.0
604070031,1.0,1.0,3.0,2.0,2.0,2.0,3.0
604070032,2.0,2.0,3.0,2.0,2.0,2.0,3.0
604070033,2.0,2.0,4.0,2.0,2.0,2.0,2.0
604070034,1.0,1.0,3.0,2.0,2.0,2.0,2.0
604070035,2.0,2.0,3.0,2.0,3.0,2.0,2.0
604070036,2.0,2.0,4.0,3.0,1.0,3.0,4.0
604070037,3.0,2.0,4.0,3.0,2.0,3.0,4.0
604070038,2.0,2.0,3.0,2.0,2.0,2.0,2.0
604070039,1.0,1.0,3.0,3.0,1.0,2.0,4.0
604070040,2.0,2.0,3.0,2.0,1.0,2.0,3.0
604070041,2.0,3.0,4.0,4.0,3.0,3.0,3.0
604070042,3.0,3.0,4.0,4.0,4.0,4.0,4.0
604070043,3.0,3.0,3.0,4.0,4.0,4.0,4.0
604070044,2.0,2.0,4.0,4.0,4.0,3.0,4.0
604070045,3.0,3.0,4.0,4.0,3.0,3.0,3.0
604070046,2.0,3.0,4.0,4.0,4.0,4.0,4.0
604070047,2.0,3.0,4.0,4.0,2.0,2.0,4.0
604070048,3.0,2.0,4.0,-1.0,2.0,2.0,-1.0
604070049,2.0,3.0,2.0,-1.0,3.0,3.0,-1.0
604070050,2.0,2.0,4.0,4.0,3.0,3.0,4.0
604070051,3.0,1.0,3.0,1.0,2.0,3.0,2.0
604070052,2.0,3.0,3.0,3.0,3.0,3.0,2.0
604070053,3.0,2.0,3.0,3.0,2.0,3.0,3.0
604070054,3.0,3.0,4.0,4.0,3.0,3.0,3.0
604070055,2.0,2.0,3.0,3.0,2.0,2.0,2.0
604070056,2.0,2.0,3.0,3.0,2.0,3.0,3.0
604070057,2.0,2.0,2.0,2.0,2.0,2.0,2.0
604070058,2.0,3.0,3.0,4.0,4.0,3.0,2.0
604070059,3.0,2.0,3.0,3.0,3.0,3.0,3.0
604070060,2.0,2.0,2.0,2.0,2.0,2.0,2.0
604070061,3.0,2.0,3.0,3.0,3.0,3.0,3.0
604070062,3.0,2.0,3.0,2.0,2.0,2.0,2.0
604070063,3.0,2.0,2.0,3.0,3.0,3.0,2.0
604070064,2.0,3.0,2.0,3.0,3.0,2.0,2.0
604070065,3.0,3.0,4.0,4.0,3.0,3.0,3.0
604070066,2.0,2.0,3.0,3.0,2.0,3.0,3.0
604070067,2.0,2.0,3.0,3.0,4.0,2.0,3.0
604070068,2.0,2.0,3.0,3.0,3.0,2.0,4.0
604070069,2.0,3.0,4.0,3.0,2.0,2.0,3.0
604070070,3.0,2.0,4.0,3.0,2.0,3.0,4.0
604070071,2.0,2.0,2.0,4.0,2.0,4.0,4.0
604070072,2.0,1.0,2.0,2.0,2.0,3.0,3.0
604070073,2.0,2.0,3.0,2.0,3.0,3.0,3.0
604070074,3.0,1.0,3.0,4.0,3.0,3.0,3.0
604070075,3.0,2.0,2.0,2.0,3.0,2.0,2.0
604070076,2.0,3.0,2.0,1.0,2.0,1.0,2.0
604070077,2.0,1.0,2.0,2.0,1.0,1.0,1.0
604070078,3.0,3.0,3.0,3.0,4.0,3.0,2.0
604070079,1.0,1.0,2.0,1.0,1.0,1.0,1.0
604070080,1.0,2.0,2.0,1.0,2.0,2.0,2.0
604070081,2.0,2.0,3.0,2.0,3.0,2.0,3.0
604070082,2.0,2.0,4.0,4.0,2.0,2.0,4.0
604070083,1.0,1.0,4.0,4.0,1.0,2.0,4.0
604070084,2.0,2.0,3.0,4.0,1.0,1.0,2.0
604070085,3.0,1.0,4.0,4.0,2.0,2.0,4.0
604070086,3.0,3.0,4.0,4.0,3.0,3.0,4.0
604070087,3.0,3.0,2.0,2.0,2.0,2.0,2.0
604070088,2.0,2.0,4.0,2.0,3.0,2.0,3.0
604070089,3.0,2.0,3.0,3.0,3.0,3.0,3.0
604070090,3.0,3.0,2.0,3.0,3.0,3.0,3.0
604070091,1.0,2.0,4.0,4.0,2.0,2.0,2.0
604070092,3.0,1.0,4.0,4.0,1.0,1.0,2.0
604070093,2.0,1.0,4.0,4.0,1.0,1.0,1.0
604070094,2.0,1.0,4.0,3.0,2.0,1.0,1.0
604070095,2.0,1.0,2.0,3.0,2.0,2.0,2.0
604070096,2.0,2.0,4.0,3.0,2.0,2.0,2.0
604070097,2.0,2.0,-1.0,-1.0,2.0,2.0,3.0
604070098,2.0,2.0,3.0,2.0,4.0,2.0,4.0
604070099,2.0,2.0,4.0,4.0,4.0,2.0,4.0
604070100,2.0,2.0,-1.0,4.0,4.0,2.0,2.0
604070101,1.0,1.0,4.0,4.0,1.0,1.0,4.0
604070102,2.0,3.0,3.0,3.0,2.0,2.0,4.0
604070103,2.0,2.0,4.0,4.0,2.0,4.0,4.0
604070104,2.0,2.0,4.0,4.0,4.0,2.0,4.0
604070105,1.0,3.0,4.0,4.0,3.0,3.0,4.0
604070106,3.0,2.0,4.0,4.0,3.0,2.0,3.0
604070107,2.0,2.0,4.0,3.0,2.0,2.0,3.0
604070108,2.0,3.0,2.0,4.0,2.0,2.0,2.0
604070109,2.0,2.0,3.0,4.0,3.0,2.0,3.0
604070110,2.0,1.0,4.0,3.0,2.0,2.0,3.0
604070111,2.0,2.0,4.0,3.0,2.0,2.0,3.0
604070112,2.0,2.0,3.0,3.0,2.0,2.0,3.0
604070113,2.0,2.0,4.0,3.0,2.0,4.0,3.0
604070114,-1.0,3.0,-1.0,4.0,3.0,3.0,3.0
604070115,2.0,2.0,2.0,3.0,1.0,3.0,2.0
604070116,2.0,2.0,-1.0,-1.0,2.0,2.0,2.0
604070117,2.0,2.0,-1.0,-1.0,2.0,2.0,2.0
604070118,2.0,2.0,-1.0,-1.0,-1.0,2.0,-1.0
604070119,2.0,2.0,3.0,4.0,4.0,2.0,4.0
604070120,2.0,2.0,-1.0,4.0,4.0,2.0,4.0
604070121,2.0,2.0,3.0,3.0,4.0,4.0,4.0
604070122,3.0,3.0,4.0,4.0,3.0,3.0,-1.0
604070123,2.0,3.0,4.0,4.0,-1.0,-1.0,-1.0
604070124,3.0,3.0,4.0,4.0,-1.0,-1.0,4.0
604070125,3.0,2.0,3.0,4.0,-1.0,-1.0,-1.0
604070126,3.0,4.0,4.0,4.0,4.0,4.0,4.0
604070127,3.0,4.0,4.0,4.0,4.0,4.0,4.0
604070128,2.0,4.0,4.0,4.0,3.0,3.0,4.0
604070129,3.0,4.0,4.0,4.0,4.0,4.0,4.0
604070130,2.0,4.0,4.0,4.0,3.0,3.0,4.0
604070131,3.0,3.0,4.0,4.0,4.0,3.0,4.0
604070132,3.0,3.0,4.0,4.0,4.0,4.0,4.0
604070133,3.0,4.0,4.0,4.0,4.0,4.0,4.0
604070134,3.0,4.0,4.0,4.0,4.0,4.0,4.0
604070135,3.0,4.0,4.0,4.0,4.0,4.0,4.0
604070136,4.0,3.0,3.0,3.0,4.0,4.0,4.0
604070137,4.0,3.0,4.0,4.0,4.0,4.0,-1.0
604070138,3.0,2.0,2.0,2.0,2.0,2.0,2.0
604070139,4.0,3.0,3.0,3.0,4.0,4.0,4.0
604070140,4.0,3.0,4.0,3.0,4.0,3.0,4.0
604070141,2.0,1.0,4.0,3.0,1.0,3.0,-1.0
604070142,2.0,3.0,2.0,2.0,3.0,3.0,3.0
604070143,2.0,3.0,2.0,3.0,3.0,2.0,3.0
604070144,2.0,2.0,4.0,2.0,1.0,2.0,1.0
604070145,2.0,1.0,4.0,3.0,1.0,3.0,-1.0
604070146,3.0,3.0,-1.0,4.0,4.0,-1.0,-1.0
604070147,3.0,3.0,4.0,-1.0,-1.0,4.0,4.0
604070148,3.0,3.0,4.0,3.0,4.0,-1.0,-1.0
604070149,3.0,3.0,4.0,-1.0,-1.0,3.0,4.0
604070150,2.0,3.0,3.0,-1.0,-1.0,4.0,4.0
604070151,4.0,4.0,4.0,4.0,4.0,4.0,4.0
604070152,3.0,2.0,4.0,2.0,4.0,3.0,2.0
604070153,2.0,3.0,4.0,3.0,4.0,2.0,3.0
604070154,2.0,2.0,4.0,3.0,4.0,4.0,4.0
604070155,3.0,2.0,4.0,2.0,4.0,4.0,4.0
604070156,3.0,4.0,4.0,4.0,4.0,4.0,4.0
