D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
840071001,4,4,1,4,2,4,4
840071002,4,4,4,3,3,3,3
840071003,4,1,4,3,4,4,4
840071004,3,2,4,1,1,2,2
840071005,3,3,4,4,4,4,4
840071006,2,2,2,2,2,2,2
840071007,1,1,1,1,1,1,2
840071008,4,3,2,3,4,4,2
840071009,2,3,1,1,1,3,3
840071010,1,1,1,1,4,4,4
840071011,-1,-1,-1,-1,-1,-1,-1
840071012,1,1,1,2,1,1,1
840071013,1,1,1,3,1,3,2
840071014,3,1,4,4,1,2,4
840071015,4,4,2,3,3,3,3
840071016,4,1,3,2,1,4,2
840071017,4,4,4,1,2,4,4
840071018,3,4,4,4,4,4,4
840071019,3,3,3,4,4,4,4
840071020,3,1,3,2,2,2,2
840071021,4,4,4,3,3,4,4
840071022,4,4,1,3,4,4,4
840071023,2,3,2,3,2,1,3
840071024,2,3,-2,4,3,3,2
840071025,3,2,3,3,2,3,2
840071026,3,3,3,3,3,3,3
840071027,3,1,1,2,1,2,1
840071028,3,4,4,4,4,4,4
840071029,4,3,2,4,4,4,4
840071030,3,2,2,3,3,3,2
840071031,2,1,2,2,2,2,2
840071032,3,1,3,2,1,2,2
840071033,2,4,2,2,4,4,1
840071034,3,2,3,3,3,4,3
840071035,3,1,3,1,1,4,3
840071036,4,4,4,4,4,4,4
840071037,3,2,1,4,2,2,4
840071038,3,3,3,3,3,3,3
840071039,3,3,3,2,3,3,3
840071040,3,2,4,3,4,4,3
840071041,1,1,2,1,1,1,2
840071042,3,2,3,1,2,3,2
840071043,1,4,4,4,1,3,3
840071044,2,1,1,1,1,1,2
840071045,2,1,2,1,1,1,1
840071046,3,4,3,3,4,4,4
840071047,4,3,4,4,4,4,4
840071048,3,1,3,3,1,3,3
840071049,3,3,3,3,3,3,3
840071050,4,4,4,4,4,4,4
840071051,3,3,3,3,3,3,3
840071052,3,3,3,3,3,2,3
840071053,1,3,3,2,2,3,3
840071054,1,1,1,1,1,1,4
840071055,3,3,3,3,3,3,3
840071056,2,1,1,1,1,1,1
840071057,2,3,4,2,2,3,4
840071058,3,3,3,2,4,4,4
840071059,3,4,3,4,4,4,4
840071060,3,3,3,2,3,3,3
840071061,3,2,4,2,2,1,1
840071062,2,1,2,1,1,1,1
840071063,3,3,4,4,4,4,4
840071064,1,1,1,1,1,1,2
840071065,2,3,3,3,2,2,3
840071066,3,3,2,2,2,2,2
840071067,4,4,4,3,4,4,4
