D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
840071001,4.0,4.0,1.0,4.0,2.0,4.0,4.0
840071002,4.0,4.0,4.0,3.0,3.0,3.0,3.0
840071003,4.0,1.0,4.0,3.0,4.0,4.0,4.0
840071004,3.0,2.0,4.0,1.0,1.0,2.0,2.0
840071005,3.0,3.0,4.0,4.0,4.0,4.0,4.0
840071006,2.0,2.0,2.0,2.0,2.0,2.0,2.0
840071007,1.0,1.0,1.0,1.0,1.0,1.0,2.0
840071008,4.0,3.0,2.0,3.0,4.0,4.0,2.0
840071009,2.0,3.0,1.0,1.0,1.0,3.0,3.0
840071010,1.0,1.0,1.0,1.0,4.0,4.0,4.0
840071011,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
840071012,1.0,1.0,1.0,2.0,1.0,1.0,1.0
840071013,1.0,1.0,1.0,3.0,1.0,3.0,2.0
840071014,3.0,1.0,4.0,4.0,1.0,2.0,4.0
840071015,4.0,4.0,2.0,3.0,3.0,3.0,3.0
840071016,4.0,1.0,3.0,2.0,1.0,4.0,2.0
840071017,4.0,4.0,4.0,1.0,2.0,4.0,4.0
840071018,3.0,4.0,4.0,4.0,4.0,4.0,4.0
840071019,3.0,3.0,3.0,4.0,4.0,4.0,4.0
840071020,3.0,1.0,3.0,2.0,2.0,2.0,2.0
840071021,4.0,4.0,4.0,3.0,3.0,4.0,4.0
840071022,4.0,4.0,1.0,3.0,4.0,4.0,4.0
840071023,2.0,3.0,2.0,3.0,2.0,1.0,3.0
840071024,2.0,3.0,-2.0,4.0,3.0,3.0,2.0
840071025,3.0,2.0,3.0,3.0,2.0,3.0,2.0
840071026,3.0,3.0,3.0,3.0,3.0,3.0,3.0
840071027,3.0,1.0,1.0,2.0,1.0,2.0,1.0
840071028,3.0,4.0,4.0,4.0,4.0,4.0,4.0
840071029,4.0,3.0,2.0,4.0,4.0,4.0,4.0
840071030,3.0,2.0,2.0,3.0,3.0,3.0,2.0
840071031,2.0,1.0,2.0,2.0,2.0,2.0,2.0
840071032,3.0,1.0,3.0,2.0,1.0,2.0,2.0
840071033,2.0,4.0,2.0,2.0,4.0,4.0,1.0
