D_INTERVIEW,Q158,Q159,Q160,Q161,Q162
51070001,10,10,-2,8,3
51070002,10,10,5,-1,-1
51070003,10,10,1,10,1
51070004,10,10,10,10,10
51070005,10,8,5,6,1
51070006,1,7,9,5,2
51070007,10,10,5,1,1
51070008,9,9,9,8,1
51070009,5,5,5,5,1
51070010,10,7,9,7,1
51070011,10,10,10,5,10
51070012,10,10,10,10,1
51070013,6,10,1,10,10
51070014,10,10,1,10,5
51070015,10,10,10,10,1
51070016,10,8,6,7,5
51070017,5,10,10,-1,10
51070018,10,10,10,5,1
51070019,10,10,1,1,1
51070020,10,10,1,1,5
51070021,10,10,10,10,1
51070022,10,10,10,10,1
51070023,10,9,7,9,2
51070024,7,8,1,7,1
51070025,4,10,7,7,8
51070026,8,10,9,-1,4
51070027,8,10,10,5,5
51070028,7,10,5,8,4
51070029,5,1,10,1,1
51070030,3,5,5,5,5
51070031,5,10,5,5,10
51070032,10,10,1,1,1
51070033,10,10,10,10,-1
51070034,10,10,10,10,1
51070035,10,10,10,10,1
51070036,4,8,9,10,1
51070037,5,8,5,8,10
51070038,10,10,10,10,1
51070039,10,10,1,10,10
51070040,10,10,-1,-2,1
51070041,10,10,10,10,1
51070042,10,10,10,10,10
51070043,8,10,10,5,10
51070044,10,10,10,10,10
51070045,10,10,10,10,10
51070046,10,10,10,-1,-1
51070047,10,10,10,5,3
51070048,3,10,4,7,10
51070049,5,5,5,5,5
51070050,5,6,1,4,1
51070051,10,10,8,8,8
51070052,10,10,10,10,1
51070053,10,10,5,4,7
51070054,10,10,5,5,1
51070055,10,10,10,10,5
51070056,10,10,1,10,1
51070057,4,10,10,1,1
51070058,7,8,6,5,2
51070059,10,10,10,5,10
51070060,10,10,10,10,1
51070061,1,1,10,10,10
51070062,10,10,10,10,10
51070063,5,10,10,10,1
51070064,1,10,3,8,4
51070065,10,3,-1,9,6
51070066,10,10,5,10,10
51070067,10,10,10,10,1
51070068,4,7,8,6,7
51070069,4,8,10,10,1
51070070,10,10,5,6,1
51070071,5,10,5,5,3
51070072,5,5,2,7,3
51070073,10,10,10,10,1
51070074,8,10,8,5,7
51070075,10,10,-1,1,1
51070076,10,10,1,1,1
51070077,10,10,10,9,1
51070078,10,10,10,10,1
51070079,10,-1,1,1,10
51070080,10,10,9,-1,9
51070081,8,10,9,10,1
51070082,10,10,7,5,7
51070083,7,8,8,7,5
51070084,5,8,8,7,7
51070085,10,10,10,9,7
51070086,6,5,1,-1,10
51070087,6,10,10,10,5
51070088,7,8,8,4,4
51070089,10,10,10,10,1
51070090,10,10,7,5,3
51070091,7,8,8,8,3
51070092,5,10,7,6,8
51070093,10,10,5,5,1
51070094,10,10,10,10,1
51070095,10,10,9,5,2
51070096,10,10,5,5,2
51070097,10,10,10,5,7
51070098,6,10,9,7,8
51070099,10,10,10,10,10
51070100,7,8,10,7,8
51070101,10,10,10,10,10
51070102,10,10,10,10,1
51070103,5,10,6,8,1
51070104,10,10,5,5,1
51070105,10,10,6,10,1
51070106,5,5,10,10,1
51070107,6,7,10,-1,10
51070108,10,10,1,10,1
51070109,5,5,10,10,5
51070110,10,10,10,1,10
51070111,8,10,8,8,8
51070112,10,10,10,10,1
51070113,10,10,10,1,5
51070114,10,10,6,5,10
51070115,10,10,10,10,10
51070116,10,10,10,7,3
51070117,10,10,10,10,10
51070118,10,10,10,1,10
51070119,5,10,1,5,1
51070120,10,10,10,5,1
51070121,10,10,10,10,10
51070122,10,10,10,10,1
51070123,10,10,1,1,1
51070124,10,10,10,1,10
51070125,10,10,10,10,1
51070126,10,10,4,8,2
51070127,9,6,10,10,3
51070128,10,10,8,8,8
51070129,9,9,8,9,2
51070130,10,10,7,8,8
51070131,10,9,1,1,10
51070132,10,10,7,8,10
51070133,10,10,7,2,10
51070134,5,10,10,5,5
51070135,7,8,6,6,4
51070136,10,10,10,10,8
51070137,9,9,10,9,1
51070138,8,10,8,10,5
51070139,8,9,9,9,5
51070140,10,10,2,8,10
51070141,1,1,6,1,10
51070142,10,8,5,5,6
51070143,8,7,6,5,2
51070144,10,10,8,10,1
51070145,10,10,10,6,8
51070146,7,7,10,5,1
51070147,10,10,8,7,2
51070148,8,8,5,8,1
51070149,10,5,10,10,1
51070150,10,10,5,10,1
51070151,10,10,10,10,10
51070152,-1,10,5,10,10
51070153,9,10,10,9,1
51070154,10,10,6,-1,4
51070155,10,10,10,10,6
51070156,7,10,5,5,5
51070157,10,10,1,5,1
51070158,10,10,10,10,1
51070159,10,10,10,10,1
51070160,10,10,10,10,10
51070161,10,10,10,10,1
51070162,10,10,10,10,1
51070163,8,8,6,5,5
51070164,10,10,10,10,10
51070165,10,10,8,1,1
51070166,9,10,7,7,1
51070167,8,8,6,8,1
51070168,1,5,5,9,8
51070169,10,10,10,10,5
51070170,10,10,10,10,10
51070171,7,8,9,8,9
51070172,8,10,10,10,10
51070173,10,10,10,10,10
51070174,10,10,10,-1,5
51070175,5,10,10,9,1
51070176,10,9,8,5,8
51070177,8,10,10,7,3
51070178,9,9,10,10,1
51070179,6,10,10,10,5
51070180,5,10,10,10,1
51070181,1,10,1,10,5
51070182,10,10,10,10,10
51070183,8,10,10,9,1
51070184,9,6,2,1,1
51070185,10,10,10,-1,1
51070186,10,10,6,6,1
51070187,5,5,5,5,5
51070188,10,10,7,8,3
51070189,1,1,8,-1,1
51070190,10,10,8,5,6
51070191,10,10,9,-1,1
51070192,7,10,9,-1,6
51070193,7,10,10,8,1
51070194,10,10,5,5,1
51070195,10,9,4,6,8
51070196,10,10,8,6,1
51070197,10,7,-1,-1,3
51070198,10,10,9,8,7
51070199,5,10,1,9,9
51070200,10,10,1,1,1
51070201,10,10,9,9,-2
51070202,10,10,9,10,2
51070203,10,10,10,10,1
51070204,10,10,6,10,1
51070205,10,10,10,10,1
51070206,10,10,10,10,1
51070207,10,10,10,10,1
51070208,10,10,10,1,1
51070209,8,8,8,8,10
51070210,5,8,5,5,5
51070211,10,10,8,-1,10
51070212,10,10,1,5,1
51070213,7,10,8,6,6
51070214,5,10,5,5,5
