D_INTERVIEW,Q158,Q159,Q160,Q161,Q162
51070001,10.0,10.0,-2.0,8.0,3.0
51070002,10.0,10.0,5.0,-1.0,-1.0
51070003,10.0,10.0,1.0,10.0,1.0
51070004,10.0,10.0,10.0,10.0,10.0
51070005,10.0,8.0,5.0,6.0,1.0
51070006,1.0,7.0,9.0,5.0,2.0
51070007,10.0,10.0,5.0,1.0,1.0
51070008,9.0,9.0,9.0,8.0,1.0
51070009,5.0,5.0,5.0,5.0,1.0
51070010,10.0,7.0,9.0,7.0,1.0
51070011,10.0,10.0,10.0,5.0,10.0
51070012,10.0,10.0,10.0,10.0,1.0
51070013,6.0,10.0,1.0,10.0,10.0
51070014,10.0,10.0,1.0,10.0,5.0
51070015,10.0,10.0,10.0,10.0,1.0
51070016,10.0,8.0,6.0,7.0,5.0
51070017,5.0,10.0,10.0,-1.0,10.0
51070018,10.0,10.0,10.0,5.0,1.0
51070019,10.0,10.0,1.0,1.0,1.0
51070020,10.0,10.0,1.0,1.0,5.0
51070021,10.0,10.0,10.0,10.0,1.0
51070022,10.0,10.0,10.0,10.0,1.0
51070023,10.0,9.0,7.0,9.0,2.0
51070024,7.0,8.0,1.0,7.0,1.0
51070025,4.0,10.0,7.0,7.0,8.0
51070026,8.0,10.0,9.0,-1.0,4.0
51070027,8.0,10.0,10.0,5.0,5.0
51070028,7.0,10.0,5.0,8.0,4.0
51070029,5.0,1.0,10.0,1.0,1.0
51070030,3.0,5.0,5.0,5.0,5.0
51070031,5.0,10.0,5.0,5.0,10.0
51070032,10.0,10.0,1.0,1.0,1.0
51070033,10.0,10.0,10.0,10.0,-1.0
51070034,10.0,10.0,10.0,10.0,1.0
51070035,10.0,10.0,10.0,10.0,1.0
51070036,4.0,8.0,9.0,10.0,1.0
51070037,5.0,8.0,5.0,8.0,10.0
51070038,10.0,10.0,10.0,10.0,1.0
51070039,10.0,10.0,1.0,10.0,10.0
51070040,10.0,10.0,-1.0,-2.0,1.0
51070041,10.0,10.0,10.0,10.0,1.0
51070042,10.0,10.0,10.0,10.0,10.0
51070043,8.0,10.0,10.0,5.0,10.0
51070044,10.0,10.0,10.0,10.0,10.0
51070045,10.0,10.0,10.0,10.0,10.0
51070046,10.0,10.0,10.0,-1.0,-1.0
51070047,10.0,10.0,10.0,5.0,3.0
51070048,3.0,10.0,4.0,7.0,10.0
51070049,5.0,5.0,5.0,5.0,5.0
51070050,5.0,6.0,1.0,4.0,1.0
51070051,10.0,10.0,8.0,8.0,8.0
51070052,10.0,10.0,10.0,10.0,1.0
51070053,10.0,10.0,5.0,4.0,7.0
51070054,10.0,10.0,5.0,5.0,1.0
51070055,10.0,10.0,10.0,10.0,5.0
51070056,10.0,10.0,1.0,10.0,1.0
51070057,4.0,10.0,10.0,1.0,1.0
51070058,7.0,8.0,6.0,5.0,2.0
51070059,10.0,10.0,10.0,5.0,10.0
51070060,10.0,10.0,10.0,10.0,1.0
51070061,1.0,1.0,10.0,10.0,10.0
51070062,10.0,10.0,10.0,10.0,10.0
51070063,5.0,10.0,10.0,10.0,1.0
51070064,1.0,10.0,3.0,8.0,4.0
51070065,10.0,3.0,-1.0,9.0,6.0
51070066,10.0,10.0,5.0,10.0,10.0
51070067,10.0,10.0,10.0,10.0,1.0
51070068,4.0,7.0,8.0,6.0,7.0
51070069,4.0,8.0,10.0,10.0,1.0
51070070,10.0,10.0,5.0,6.0,1.0
51070071,5.0,10.0,5.0,5.0,3.0
51070072,5.0,5.0,2.0,7.0,3.0
51070073,10.0,10.0,10.0,10.0,1.0
51070074,8.0,10.0,8.0,5.0,7.0
51070075,10.0,10.0,-1.0,1.0,1.0
51070076,10.0,10.0,1.0,1.0,1.0
51070077,10.0,10.0,10.0,9.0,1.0
51070078,10.0,10.0,10.0,10.0,1.0
51070079,10.0,-1.0,1.0,1.0,10.0
51070080,10.0,10.0,9.0,-1.0,9.0
51070081,8.0,10.0,9.0,10.0,1.0
51070082,10.0,10.0,7.0,5.0,7.0
51070083,7.0,8.0,8.0,7.0,5.0
51070084,5.0,8.0,8.0,7.0,7.0
51070085,10.0,10.0,10.0,9.0,7.0
51070086,6.0,5.0,1.0,-1.0,10.0
51070087,6.0,10.0,10.0,10.0,5.0
51070088,7.0,8.0,8.0,4.0,4.0
51070089,10.0,10.0,10.0,10.0,1.0
51070090,10.0,10.0,7.0,5.0,3.0
51070091,7.0,8.0,8.0,8.0,3.0
51070092,5.0,10.0,7.0,6.0,8.0
51070093,10.0,10.0,5.0,5.0,1.0
51070094,10.0,10.0,10.0,10.0,1.0
51070095,10.0,10.0,9.0,5.0,2.0
51070096,10.0,10.0,5.0,5.0,2.0
51070097,10.0,10.0,10.0,5.0,7.0
51070098,6.0,10.0,9.0,7.0,8.0
51070099,10.0,10.0,10.0,10.0,10.0
51070100,7.0,8.0,10.0,7.0,8.0
51070101,10.0,10.0,10.0,10.0,10.0
51070102,10.0,10.0,10.0,10.0,1.0
51070103,5.0,10.0,6.0,8.0,1.0
51070104,10.0,10.0,5.0,5.0,1.0
51070105,10.0,10.0,6.0,10.0,1.0
51070106,5.0,5.0,10.0,10.0,1.0
51070107,6.0,7.0,10.0,-1.0,10.0
51070108,10.0,10.0,1.0,10.0,1.0
51070109,5.0,5.0,10.0,10.0,5.0
51070110,10.0,10.0,10.0,1.0,10.0
51070111,8.0,10.0,8.0,8.0,8.0
51070112,10.0,10.0,10.0,10.0,1.0
51070113,10.0,10.0,10.0,1.0,5.0
51070114,10.0,10.0,6.0,5.0,10.0
51070115,10.0,10.0,10.0,10.0,10.0
51070116,10.0,10.0,10.0,7.0,3.0
51070117,10.0,10.0,10.0,10.0,10.0
51070118,10.0,10.0,10.0,1.0,10.0
51070119,5.0,10.0,1.0,5.0,1.0
51070120,10.0,10.0,10.0,5.0,1.0
51070121,10.0,10.0,10.0,10.0,10.0
51070122,10.0,10.0,10.0,10.0,1.0
51070123,10.0,10.0,1.0,1.0,1.0
51070124,10.0,10.0,10.0,1.0,10.0
51070125,10.0,10.0,10.0,10.0,1.0
51070126,10.0,10.0,4.0,8.0,2.0
51070127,9.0,6.0,10.0,10.0,3.0
51070128,10.0,10.0,8.0,8.0,8.0
51070129,9.0,9.0,8.0,9.0,2.0
51070130,10.0,10.0,7.0,8.0,8.0
