D_INTERVIEW,Q158,Q159,Q160,Q161,Q162
170070052,4,5,7.0,7,5
170070053,10,10,8.0,10,1
170070054,5,5,3.0,9,1
170070057,5,6,8.0,8,8
170070069,1,6,10.0,10,1
170070074,5,10,10.0,10,1
170070075,10,5,5.0,1,5
170070076,1,10,10.0,10,1
170070080,8,10,6.0,3,1
170070085,10,10,1.0,1,1
170070087,1,1,1.0,9,2
170070093,2,9,5.0,1,5
170070104,1,1,1.0,1,8
170070105,2,3,2.0,3,8
170070112,10,10,1.0,10,10
170070113,4,8,10.0,7,1
170070122,10,10,10.0,10,1
170070126,1,2,10.0,10,5
170070128,5,1,1.0,1,10
170070132,10,10,10.0,10,5
170070154,9,10,2.0,10,9
170070156,8,10,7.0,10,10
170070197,9,9,8.0,3,1
170070198,5,5,5.0,5,5
170070210,8,10,6.0,10,1
170070213,5,10,10.0,10,6
170070214,1,1,1.0,10,10
170070215,2,5,5.0,1,1
170070219,8,9,7.0,4,10
170070222,5,7,5.0,7,4
170070224,10,8,10.0,10,10
170070253,6,8,3.0,5,6
170070255,10,10,10.0,10,10
170070261,10,10,10.0,10,10
170070308,5,10,10.0,10,1
170070312,5,5,5.0,6,5
170070323,8,3,9.0,9,3
170070332,10,10,7.0,6,10
170070334,1,10,1.0,1,10
170070337,5,10,7.0,5,10
170070341,10,10,1.0,1,10
170070344,1,7,10.0,10,10
170070358,8,8,10.0,10,5
170070366,10,10,10.0,10,1
170070369,1,6,6.0,6,8
170070378,10,10,1.0,1,10
170070385,10,10,1.0,10,1
170070388,1,10,10.0,10,1
170070389,6,7,10.0,10,10
170070390,2,1,10.0,10,10
170070393,7,2,9.0,6,8
170070394,5,5,3.0,5,3
170070395,3,4,8.0,6,8
170070407,1,3,2.0,2,5
170070408,10,10,10.0,10,1
170070414,7,5,9.0,8,7
170070415,1,10,10.0,10,1
170070418,9,10,10.0,9,9
170070421,7,8,4.0,7,3
170070422,10,10,10.0,10,10
170070423,10,10,10.0,10,1
170070426,10,10,10.0,1,1
170070432,10,10,9.0,1,1
170070442,10,10,10.0,10,10
170070465,10,10,10.0,1,10
170070471,10,10,10.0,10,10
170070497,6,10,10.0,10,5
170070503,10,1,1.0,10,1
170070507,3,8,9.0,2,1
170070510,10,1,10.0,10,10
170070514,10,10,4.0,4,7
170070515,1,10,1.0,10,1
170070522,10,3,2.0,1,2
170070530,10,10,10.0,10,10
170070531,3,8,5.0,7,3
170070534,3,8,1.0,3,3
170070538,5,5,10.0,10,9
170070541,9,9,10.0,2,3
170070544,5,10,5.0,10,5
170070545,5,10,1.0,5,5
170070553,10,10,10.0,10,10
170070558,6,10,10.0,3,8
170070559,1,1,10.0,10,1
170070560,10,10,10.0,10,10
170070561,10,5,5.0,10,6
170070562,10,1,10.0,1,10
170070565,3,8,10.0,7,3
170070585,8,6,8.0,10,8
170070593,9,10,7.0,1,10
170070598,10,10,8.0,1,1
170070601,9,10,10.0,10,10
170070621,1,10,10.0,10,10
170070626,1,4,1.0,1,1
170070630,1,1,10.0,5,10
170070631,8,6,4.0,4,3
170070663,10,3,8.0,8,9
170070666,10,5,1.0,2,10
170070669,10,10,10.0,7,9
170070672,10,10,6.0,2,8
170070673,1,8,7.0,5,8
170070676,10,1,10.0,10,1
170070680,10,1,1.0,10,10
170070682,7,8,6.0,6,3
170070686,7,8,10.0,7,6
170070699,1,7,7.0,9,8
170070703,10,10,10.0,10,1
170070704,8,8,8.0,8,8
170070706,6,10,7.0,8,5
170070723,9,10,9.0,8,9
170070731,9,9,5.0,6,8
170070734,9,8,7.0,8,6
170070737,1,1,1.0,1,1
170070749,1,10,10.0,9,9
170070750,6,6,5.0,7,2
170070751,8,10,1.0,5,2
170070752,10,10,2.0,10,10
170070756,6,9,10.0,9,8
170070760,10,10,10.0,10,10
170070762,5,2,2.0,5,8
170070763,6,1,10.0,10,1
170070764,1,8,10.0,1,9
170070769,1,10,10.0,1,10
170070776,1,8,4.0,10,4
170070779,1,9,8.0,7,1
170070805,10,10,1.0,1,1
170070809,10,10,10.0,1,1
170070810,10,10,8.0,10,2
170070836,8,7,5.0,6,8
170070856,1,1,1.0,1,10
170070868,9,8,6.0,6,6
170070881,10,5,10.0,4,2
170070884,10,10,10.0,10,10
170070890,10,5,10.0,10,4
170070904,7,8,10.0,10,6
170071000,4,9,9.0,10,1
170071009,6,6,6.0,8,1
170071010,10,10,1.0,1,1
170071012,1,10,10.0,10,10
170071013,10,10,10.0,1,1
170071014,10,10,10.0,10,10
170071018,10,7,8.0,6,9
170071020,1,1,1.0,1,10
170071024,4,9,8.0,5,5
170071029,10,10,1.0,1,1
170071042,7,8,7.0,7,1
170071045,6,3,7.0,4,7
170071046,10,10,10.0,10,10
170071051,5,9,10.0,9,4
170071052,5,6,10.0,10,10
170071053,10,10,5.0,5,1
170071059,5,6,1.0,10,5
170071060,1,10,10.0,6,10
170071061,1,6,10.0,10,5
170071062,10,10,1.0,1,10
170071083,8,8,10.0,1,10
170071092,10,10,10.0,10,1
170071094,7,8,4.0,4,3
170071095,10,10,1.0,1,1
170071096,1,5,5.0,5,5
170071097,10,10,10.0,10,10
170071101,10,10,10.0,1,10
170071104,4,7,2.0,1,1
170071110,1,10,1.0,10,10
170071113,1,1,9.0,9,2
170071124,8,8,8.0,1,10
170071131,9,9,10.0,7,9
170071152,1,1,10.0,10,1
170071153,6,10,10.0,5,1
170071158,4,6,8.0,2,5
170071160,1,7,2.0,4,5
170071163,1,1,3.0,1,1
170071164,6,9,10.0,8,6
170071165,8,5,10.0,8,8
170071166,10,10,10.0,10,1
170071178,7,8,9.0,1,7
170071181,7,9,10.0,10,6
170071187,8,10,8.0,2,7
170071188,1,3,10.0,10,1
170071191,10,7,8.0,6,9
170071216,4,7,1.0,1,1
170071219,3,7,7.0,3,6
170071222,10,10,10.0,10,1
170071225,10,10,9.0,8,10
170071226,9,6,10.0,9,10
170071230,5,10,10.0,10,10
170071231,10,10,9.0,10,5
170071234,1,2,8.0,1,1
170071248,7,9,6.0,5,8
170071249,6,5,5.0,1,1
170071252,5,8,8.0,3,9
170071255,10,10,9.0,8,9
170071258,10,10,10.0,5,1
170071259,10,10,10.0,10,5
170071261,9,2,8.0,8,6
170071263,6,5,8.0,9,3
170071264,10,10,10.0,1,1
170071265,10,10,10.0,10,10
170071276,10,10,10.0,10,10
170071279,4,5,8.0,10,6
170071284,7,8,6.0,8,8
170071296,10,10,10.0,10,10
170071297,4,7,8.0,5,4
170071302,10,10,10.0,1,1
170071303,8,4,3.0,4,8
170071304,10,10,10.0,5,1
170071305,2,8,8.0,3,6
170071306,9,2,2.0,3,8
170071307,8,8,9.0,2,2
170071308,7,8,8.0,3,1
170071309,6,8,8.0,7,6
170071310,2,2,2.0,2,5
170071311,4,6,6.0,6,4
170071313,1,10,10.0,1,10
170071317,1,10,10.0,10,1
170071320,10,10,10.0,10,10
170071327,10,10,1.0,1,10
170071429,6,7,8.0,6,7
170071432,10,10,7.0,7,10
170071433,10,10,1.0,1,1
170071444,5,10,9.0,9,7
170071448,10,10,10.0,1,10
170071454,10,10,5.0,5,10
170071463,10,10,10.0,1,10
170071472,6,6,5.0,8,6
170071473,5,5,5.0,5,8
170071474,8,8,7.0,6,6
170071481,4,8,1.0,1,3
170071484,8,8,8.0,5,7
170071491,10,10,5.0,7,6
170071494,5,8,8.0,5,4
170071495,5,5,10.0,10,5
170071496,7,8,9.0,7,4
170071497,10,10,10.0,1,1
170071504,10,10,1.0,1,10
170071505,10,10,10.0,5,9
