D_INTERVIEW,Q158,Q159,Q160,Q161,Q162
276070001,6,6,5,5,6
276070002,9,8,8,9,2
276070003,5,8,3,1,2
276070004,8,8,3,3,1
276070005,9,8,7,6,7
276070006,9,9,2,2,2
276070007,6,6,-2,-2,8
276070008,6,5,5,5,5
276070009,8,8,2,-1,2
276070010,9,9,7,4,3
276070011,9,10,1,1,3
276070012,5,6,5,5,5
276070013,5,5,8,9,2
276070014,4,6,6,-1,3
276070015,7,7,1,6,1
276070016,7,8,3,3,1
276070017,9,9,6,5,1
276070018,8,10,3,2,2
276070019,7,7,4,7,3
276070020,4,3,1,-1,2
276070021,8,8,4,3,3
276070022,5,8,10,8,1
276070023,9,5,2,7,2
276070024,8,10,1,-1,1
276070025,7,7,-2,-1,1
276070026,8,10,8,10,8
276070027,7,8,1,3,1
276070028,6,6,7,6,5
276070029,8,8,5,1,1
276070030,5,8,1,5,1
276070031,7,5,5,7,8
276070032,8,8,8,7,1
276070033,10,10,5,1,1
276070034,3,5,7,5,3
276070035,9,10,1,1,10
276070036,10,10,1,10,1
276070037,8,8,1,1,8
276070038,8,9,9,5,1
276070039,7,6,5,-1,5
276070040,7,9,-1,3,2
276070041,5,10,5,5,2
276070042,8,8,1,2,1
276070043,7,7,3,1,1
276070044,6,6,10,6,2
276070045,4,5,10,8,6
276070046,7,6,7,-1,-1
276070047,5,5,7,-1,5
276070048,7,7,8,7,2
276070049,8,8,3,4,4
276070050,8,9,3,3,3
276070051,8,10,1,10,1
276070052,7,7,1,5,1
276070053,8,10,1,5,1
276070054,10,10,1,8,1
276070055,5,5,1,5,1
276070056,7,8,5,9,1
276070057,10,10,1,5,1
276070058,8,8,2,4,2
276070059,9,9,9,3,3
276070060,3,5,5,5,2
276070061,9,9,7,3,2
276070062,7,8,2,1,1
276070063,8,8,3,6,5
276070064,6,7,5,4,3
276070065,9,10,1,1,6
276070066,4,7,2,3,4
276070067,6,4,5,3,2
276070068,10,10,5,10,1
276070069,9,10,2,5,10
276070070,8,8,3,2,5
276070071,5,5,3,7,1
276070072,5,7,1,5,1
276070073,8,10,1,2,2
276070074,8,8,5,1,1
276070075,5,5,5,4,3
276070076,5,6,6,7,4
276070077,8,7,3,1,7
276070078,2,3,7,8,5
276070079,9,9,5,7,1
276070080,8,10,5,5,2
276070081,8,8,7,7,8
276070082,5,7,4,6,7
276070083,3,3,10,8,2
276070084,7,7,1,1,1
276070085,3,3,2,2,5
276070086,9,9,3,8,3
276070087,8,8,5,1,3
276070088,5,7,3,1,1
276070089,8,8,2,6,3
276070090,8,10,1,1,3
276070091,7,7,5,4,3
276070092,10,10,1,6,1
276070093,9,7,3,4,3
276070094,8,8,2,2,1
276070095,7,8,5,7,2
276070096,10,10,1,1,10
276070097,8,8,5,6,8
276070098,10,10,-1,1,1
276070099,8,8,3,7,6
276070100,4,9,5,5,8
276070101,7,8,3,3,2
276070102,9,8,4,4,2
276070103,2,7,2,8,6
276070104,9,9,6,1,1
276070105,9,9,1,1,9
276070106,8,8,1,2,2
276070107,10,10,1,-2,1
276070108,-1,-1,-1,-1,1
276070109,6,10,1,1,1
276070110,9,8,4,5,3
276070111,9,9,1,5,1
276070112,10,10,-1,4,1
276070113,8,8,1,1,1
276070114,5,10,3,5,2
276070115,5,7,3,5,2
276070116,5,8,5,5,5
276070117,7,7,3,3,3
276070118,9,10,8,8,1
276070119,6,7,6,9,1
276070120,3,6,2,5,4
276070121,10,10,10,10,1
276070122,7,7,1,4,1
276070123,6,6,6,7,2
276070124,10,10,2,1,1
276070125,8,9,7,4,6
276070126,7,7,3,3,1
276070127,6,7,9,9,8
276070128,7,8,6,2,1
276070129,8,7,2,2,3
276070130,6,7,8,7,2
276070131,6,8,5,4,3
276070132,8,8,5,5,5
276070133,7,7,7,7,3
276070134,8,8,3,5,1
276070135,8,8,3,1,3
276070136,9,9,1,-1,5
276070137,8,8,7,5,3
276070138,5,7,6,6,3
276070139,9,9,-1,-1,3
276070140,8,8,1,3,5
276070141,7,9,5,-1,4
276070142,6,8,1,-1,5
276070143,-1,-1,-1,-1,-1
276070144,10,10,1,-1,1
276070145,10,10,-1,-1,-1
276070146,10,10,2,2,2
276070147,5,6,3,3,3
276070148,7,7,1,1,1
276070149,7,8,1,10,1
276070150,2,2,9,8,3
276070151,5,5,5,10,10
276070152,5,8,1,5,3
276070153,5,5,10,8,3
276070154,10,10,10,5,1
276070155,7,8,2,5,8
276070156,8,8,4,3,5
276070157,6,8,3,4,2
276070158,8,8,3,5,3
276070159,7,8,6,5,4
276070160,8,8,3,3,7
276070161,7,7,1,10,1
276070162,9,1,1,1,8
276070163,7,7,2,5,5
276070164,4,8,5,8,7
276070165,9,9,7,9,4
276070166,7,8,5,1,7
276070167,10,10,1,1,3
276070168,3,5,3,1,1
276070169,10,5,5,5,5
276070170,8,8,1,1,1
276070171,10,10,1,5,1
276070172,6,10,1,3,2
276070173,3,5,3,3,3
276070174,7,10,1,1,1
276070175,9,10,1,7,1
