D_INTERVIEW,Q158,Q159,Q160,Q161,Q162
300070001,7,-1,7,-1,5
300070002,8,8,7,4,3
300070003,4,5,9,7,10
300070004,9,9,5,1,1
300070005,10,8,8,1,1
300070006,6,-1,9,5,9
300070007,8,8,10,5,4
300070008,6,-1,8,7,8
300070009,8,9,10,8,2
300070010,8,8,10,5,3
300070011,9,8,6,8,6
300070012,9,9,4,7,6
300070013,8,7,5,5,7
300070014,8,8,5,5,4
300070015,8,-1,6,7,7
300070016,9,8,7,7,7
300070017,7,7,7,-1,-1
300070018,10,8,3,7,7
300070019,8,8,7,7,5
300070020,8,7,5,5,7
300070021,10,8,4,1,5
300070022,8,8,10,7,3
300070023,6,7,4,5,6
300070024,10,5,1,3,1
300070025,10,10,10,5,1
300070026,10,10,10,10,5
300070027,8,9,8,4,3
300070028,5,7,5,5,6
300070029,-2,-2,8,5,5
300070030,7,5,2,2,2
300070031,10,10,8,7,3
300070032,9,7,4,6,4
300070033,9,9,8,6,3
300070034,9,8,8,6,5
300070035,9,8,6,6,4
300070036,10,10,6,7,4
300070037,8,7,9,7,5
300070038,8,10,8,7,5
300070039,5,9,4,1,9
300070040,8,9,9,7,4
300070041,10,5,10,1,1
300070042,8,7,7,7,3
300070043,6,6,10,5,10
300070044,10,5,10,10,1
300070045,2,1,2,8,5
300070046,7,6,6,5,5
300070047,6,8,7,8,6
300070048,7,6,7,5,8
300070049,3,6,7,3,7
300070050,6,7,6,5,-2
300070051,8,9,2,2,3
300070052,1,1,10,10,1
300070053,9,9,10,-1,2
300070054,8,6,-1,-1,3
300070055,8,9,2,3,3
300070056,3,8,5,3,3
300070057,6,7,4,2,2
300070058,5,-1,7,3,-2
300070059,8,9,7,-1,7
300070060,6,7,4,5,3
300070061,9,10,-1,-1,3
300070062,9,9,3,-1,4
300070063,8,10,1,-1,1
300070064,9,10,2,-1,2
300070065,10,10,1,1,1
300070066,7,9,6,-1,4
300070067,8,9,7,2,2
300070068,8,9,2,3,3
300070069,9,10,1,3,1
300070070,8,10,2,2,2
300070071,10,6,10,10,1
300070072,7,6,7,5,3
300070073,10,-1,10,10,8
300070074,7,7,10,6,7
300070075,5,-1,10,-1,10
300070076,10,10,10,1,1
300070077,7,-1,7,7,8
300070078,7,8,8,5,3
300070079,7,7,10,4,3
300070080,6,-1,9,9,10
300070081,9,8,2,3,1
300070082,9,5,10,7,4
300070083,10,5,1,7,3
300070084,5,4,7,7,1
300070085,8,4,8,5,2
300070086,8,5,3,1,1
300070087,10,4,8,3,1
300070088,8,5,5,2,1
300070089,5,8,8,4,2
300070090,6,5,10,8,7
300070091,7,10,8,5,2
300070092,8,10,10,10,2
300070093,8,8,8,5,2
300070094,10,9,10,10,1
300070095,10,10,5,1,1
300070096,7,5,10,7,5
300070097,7,8,10,8,5
300070098,8,7,10,8,3
300070099,5,6,8,5,10
300070100,10,10,8,8,1
300070101,9,8,6,5,4
300070102,8,7,6,6,6
300070103,10,8,7,5,5
300070104,8,8,6,6,5
300070105,8,8,5,6,6
300070106,8,8,5,6,6
300070107,7,7,7,5,6
300070108,7,7,8,6,4
300070109,8,7,5,5,6
300070110,7,7,6,6,5
300070111,9,10,8,5,8
300070112,6,7,8,6,7
300070113,10,10,10,10,1
300070114,3,3,9,3,5
300070115,6,8,10,8,7
300070116,8,8,8,1,2
300070117,7,8,7,5,5
300070118,8,7,4,-1,6
300070119,7,10,10,5,5
300070120,10,10,7,10,1
300070121,6,7,5,4,4
300070122,7,9,6,5,7
300070123,9,7,6,7,5
300070124,8,7,4,6,4
300070125,8,6,4,7,4
300070126,8,6,7,5,4
300070127,9,9,1,1,1
300070128,4,3,8,8,4
300070129,7,5,7,4,3
300070130,7,5,7,7,4
300070131,8,7,7,5,1
300070132,9,7,8,6,1
300070133,6,7,8,6,2
300070134,8,7,7,5,1
300070135,4,3,10,8,8
300070136,10,5,5,5,1
300070137,6,4,10,8,7
300070138,8,5,5,3,7
300070139,8,4,7,4,1
300070140,10,8,7,8,1
300070141,7,5,9,7,3
300070142,9,8,1,1,1
300070143,10,5,10,1,10
300070144,5,3,9,7,8
300070145,8,7,1,1,1
300070146,9,5,8,3,1
300070147,9,7,3,7,1
300070148,8,4,7,4,9
300070149,8,5,7,-1,5
300070150,8,5,8,2,1
300070151,9,9,4,4,4
300070152,9,10,3,1,2
300070153,10,10,2,7,1
300070154,8,10,2,3,1
300070155,8,9,5,5,4
300070156,9,10,4,8,5
300070157,10,4,6,5,4
300070158,8,6,5,4,5
300070159,9,9,5,6,5
300070160,8,8,4,1,3
300070161,3,2,5,-1,3
300070162,9,6,5,5,5
300070163,8,7,9,7,4
300070164,9,8,9,7,2
300070165,8,6,8,6,5
300070166,7,6,7,4,7
300070167,10,10,3,2,3
300070168,7,8,5,7,4
300070169,9,10,6,6,2
300070170,8,9,6,7,5
300070171,9,6,7,5,4
300070172,9,7,5,5,4
300070173,10,5,8,8,3
300070174,8,4,8,7,5
300070175,10,9,6,6,2
300070176,7,3,5,7,4
300070177,10,10,10,1,1
300070178,10,8,7,6,2
300070179,10,9,8,7,3
300070180,10,7,4,3,6
300070181,8,8,2,7,4
300070182,9,9,2,3,2
300070183,9,9,2,4,5
300070184,6,8,4,3,7
300070185,7,8,2,3,6
300070186,9,9,2,3,3
300070187,7,9,2,5,5
300070188,8,9,3,3,6
300070189,10,10,1,1,4
300070190,8,9,2,4,6
300070191,7,7,5,5,5
300070192,8,7,5,5,6
300070193,8,8,7,6,7
300070194,6,8,7,5,5
300070195,8,8,4,5,7
300070196,8,7,5,5,5
300070197,7,7,6,5,5
300070198,8,8,5,5,4
300070199,8,7,7,5,5
300070200,8,8,7,6,5
300070201,9,7,7,6,6
300070202,10,10,7,6,7
300070203,4,7,2,4,2
300070204,9,9,4,4,2
300070205,8,9,6,8,7
300070206,10,10,4,1,1
300070207,10,10,2,3,2
300070208,-1,10,1,3,4
300070209,8,10,3,3,3
300070210,8,10,5,4,5
300070211,10,10,7,6,5
300070212,10,9,2,5,3
300070213,10,10,1,2,3
300070214,-1,-1,6,-1,8
300070215,5,6,3,5,6
300070216,10,5,2,3,6
300070217,9,7,1,2,4
300070218,10,7,3,6,5
300070219,7,8,2,3,1
300070220,6,7,4,5,2
300070221,10,10,4,4,2
300070222,10,10,3,3,5
300070223,8,9,9,9,7
300070224,9,10,8,6,4
300070225,8,-1,4,6,4
300070226,9,8,7,6,5
300070227,9,10,5,5,6
300070228,10,10,7,8,3
300070229,8,8,4,3,2
300070230,10,10,8,7,7
300070231,9,9,4,4,6
300070232,10,10,2,3,3
300070233,8,7,5,8,6
300070234,10,10,6,5,5
300070235,10,10,4,6,4
300070236,8,4,1,4,2
300070237,5,3,1,2,1
300070238,3,3,5,9,8
300070239,8,10,7,8,7
300070240,8,10,2,5,2
300070241,9,9,2,3,8
300070242,9,9,2,2,4
300070243,8,9,4,-1,6
300070244,9,8,1,2,3
300070245,9,9,4,4,5
300070246,8,8,2,1,4
300070247,8,9,2,1,4
300070248,9,9,3,3,3
300070249,9,9,3,3,4
300070250,7,9,4,2,8
300070251,8,10,1,7,6
