D_INTERVIEW,Q158,Q159,Q160,Q161,Q162
392070001,8,8,5,2,1
392070002,10,10,3,10,4
392070003,10,10,4,4,2
392070004,-1,5,1,-1,5
392070005,7,7,5,5,5
392070006,5,5,5,5,5
392070007,5,7,5,-1,-1
392070008,5,5,10,6,8
392070009,5,4,4,4,4
392070010,8,8,4,5,3
392070011,9,9,2,2,1
392070012,8,8,2,6,3
392070013,8,8,6,6,6
392070014,10,10,3,-1,3
392070015,8,8,8,6,3
392070016,10,10,10,10,-1
392070017,10,10,7,10,8
392070018,9,9,6,3,6
392070019,8,7,2,2,1
392070020,9,9,1,1,6
392070021,7,7,7,-1,-1
392070022,10,10,1,1,1
392070023,7,8,3,3,3
392070024,8,8,1,6,1
392070025,6,6,5,5,-1
392070026,8,10,5,6,6
392070027,8,8,3,4,2
392070028,8,8,3,7,3
392070029,8,6,2,3,4
392070030,-2,-2,-2,-2,-2
392070031,8,8,2,2,1
392070032,10,10,4,5,5
392070033,8,8,5,4,5
392070034,5,6,-1,-1,7
392070035,9,9,3,3,3
392070036,8,8,1,3,5
392070037,8,8,4,3,3
392070038,8,5,5,-1,4
392070039,8,8,6,-1,3
392070040,8,7,8,8,1
392070041,10,10,3,3,5
392070042,8,7,5,4,-1
392070043,1,10,6,6,7
392070044,9,9,3,6,3
392070045,-1,8,6,5,3
392070046,-2,-2,-2,-2,-2
392070047,6,6,-1,-1,-1
392070048,10,10,-1,-1,2
392070049,5,5,4,5,5
392070050,-1,6,-1,6,4
392070051,-1,6,-1,-1,5
392070052,8,7,3,4,5
392070053,9,8,2,3,3
392070054,8,8,-1,1,1
392070055,10,10,1,1,1
392070056,5,6,6,5,6
392070057,7,7,5,5,3
392070058,10,10,1,1,8
392070059,8,8,5,5,1
392070060,7,8,3,2,3
392070061,9,9,-1,9,1
392070062,8,9,1,2,2
392070063,8,8,1,1,3
392070064,6,6,6,-1,1
392070065,6,7,6,8,6
392070066,8,8,3,3,5
392070067,10,10,-1,1,1
392070068,8,8,2,5,1
392070069,-2,-2,-2,-2,-2
392070070,8,8,2,3,1
392070071,5,5,5,5,5
392070072,8,6,-1,-1,4
392070073,9,7,3,3,1
392070074,8,8,5,5,8
392070075,8,8,4,-1,4
392070076,9,9,2,9,2
392070077,3,4,5,6,4
392070078,9,9,5,8,6
392070079,-1,-1,-1,-1,-1
392070080,5,5,7,6,5
392070081,7,8,5,5,5
392070082,7,7,7,3,7
392070083,-1,-1,-1,-1,-1
392070084,6,9,6,8,2
392070085,4,6,3,-1,3
392070086,8,8,5,5,1
392070087,10,10,-1,-1,-1
392070088,-1,-1,-1,-1,-1
392070089,3,3,-1,-1,4
392070090,10,7,2,-1,2
392070091,8,7,-1,9,-1
392070092,5,5,5,5,5
392070093,7,7,5,5,7
392070094,7,8,2,2,2
392070095,10,10,1,1,1
392070096,5,5,8,8,5
392070097,-1,-1,-1,-1,-1
392070098,8,7,3,5,2
392070099,10,10,3,3,1
392070100,9,9,8,5,1
392070101,7,9,9,9,9
392070102,8,7,3,3,2
392070103,7,9,-1,-1,-1
392070104,8,8,1,1,1
392070105,10,10,-1,-1,3
392070106,6,7,6,5,5
392070107,8,8,3,2,1
392070108,10,10,1,5,1
392070109,5,6,5,5,4
392070110,9,9,3,4,8
392070111,-1,-1,-1,-1,-1
392070112,5,5,-1,-1,3
392070113,8,8,-1,-1,2
392070114,10,10,3,3,2
392070115,7,8,2,9,1
392070116,5,7,3,3,3
392070117,7,7,1,-1,4
392070118,8,9,3,7,2
