D_INTERVIEW,Q158,Q159,Q160,Q161,Q162
458070001,9,8,8,9,8
458070002,6,5,6,5,5
458070003,8,7,8,8,8
458070004,10,10,5,7,6
458070005,10,10,5,5,1
458070006,8,7,9,9,6
458070007,7,7,6,7,5
458070008,10,9,9,9,3
458070009,10,10,8,10,1
458070010,7,7,7,6,6
458070011,7,5,5,4,4
458070012,6,6,10,1,1
458070013,10,7,4,4,3
458070014,9,10,6,8,6
458070015,10,10,3,3,2
458070016,6,6,5,4,5
458070017,6,8,7,6,4
458070018,8,9,7,8,9
458070019,7,8,5,5,5
458070020,9,9,4,8,4
458070021,7,6,8,7,5
458070022,1,6,8,10,4
458070023,5,6,8,9,9
458070024,9,8,5,6,4
458070025,10,10,6,5,1
458070026,5,5,8,7,5
458070027,10,10,10,10,4
458070028,5,5,5,5,5
458070029,10,10,10,10,3
458070030,7,7,10,9,6
458070031,10,10,10,10,1
458070032,10,10,10,10,10
458070033,10,10,1,1,10
458070034,6,7,5,5,5
458070035,5,9,9,9,9
458070036,8,7,2,8,7
458070037,9,9,9,9,9
458070038,7,10,5,1,1
458070039,9,9,9,8,5
458070040,10,10,4,3,1
458070041,9,8,8,8,8
458070042,10,10,5,6,1
458070043,6,8,1,7,5
458070044,6,7,5,5,4
458070045,8,8,8,8,4
458070046,6,6,5,6,5
458070047,6,7,5,6,5
458070048,5,2,5,6,5
458070049,9,9,7,7,8
458070050,9,9,8,8,9
458070051,9,8,8,6,6
458070052,9,9,9,9,9
458070053,8,10,6,4,1
458070054,10,10,1,10,1
458070055,8,7,8,8,8
458070056,10,10,1,10,1
458070057,10,10,1,6,1
458070058,8,8,7,7,8
458070059,7,7,7,7,7
458070060,5,6,2,6,6
458070061,10,10,8,10,1
458070062,9,9,8,9,7
458070063,9,7,8,8,8
458070064,9,8,8,8,8
458070065,8,7,5,5,8
458070066,6,7,8,9,5
458070067,4,4,4,4,4
458070068,8,8,8,7,7
458070069,7,6,3,4,2
458070070,6,7,5,8,2
458070071,4,5,9,9,6
458070072,10,10,10,10,10
458070073,6,6,7,7,5
458070074,6,6,6,6,6
458070075,7,5,5,5,6
458070076,5,4,8,8,3
458070077,7,7,10,8,4
458070078,8,7,8,6,8
458070079,8,9,9,8,9
458070080,5,5,5,5,5
458070081,8,9,9,8,9
458070082,8,7,6,5,5
458070083,9,8,8,8,9
458070084,10,10,3,4,2
458070085,8,9,8,5,8
458070086,7,9,7,5,7
458070087,8,8,8,7,4
458070088,5,4,5,6,5
458070089,8,7,6,7,5
458070090,4,5,8,9,4
458070091,9,9,8,7,8
458070092,8,8,9,8,8
458070093,9,8,8,9,8
458070094,10,9,3,7,6
458070095,9,8,8,9,4
458070096,6,6,6,6,5
458070097,8,8,4,6,8
458070098,6,6,6,6,6
458070099,10,9,10,9,1
458070100,7,8,6,8,7
458070101,8,9,8,9,8
458070102,9,8,9,8,9
458070103,8,8,8,7,8
458070104,9,9,9,9,9
458070105,9,7,7,5,8
458070106,8,8,8,5,7
458070107,9,10,5,3,8
458070108,8,8,6,7,4
458070109,6,6,6,6,6
458070110,10,9,7,8,3
458070111,7,7,8,8,8
458070112,5,5,5,5,5
458070113,8,8,7,8,6
458070114,6,6,6,6,6
458070115,10,8,3,8,8
458070116,10,9,6,7,3
458070117,6,6,6,6,6
458070118,6,4,7,6,5
458070119,7,7,8,7,3
458070120,8,8,7,8,8
458070121,5,3,5,5,5
458070122,8,8,5,5,5
458070123,9,7,6,6,6
458070124,7,7,7,7,3
458070125,8,8,8,8,8
458070126,8,8,8,8,8
458070127,6,6,6,6,6
458070128,8,7,7,8,7
458070129,7,8,6,7,4
458070130,7,6,8,6,6
458070131,7,6,5,6,5
458070132,8,9,1,7,3
458070133,7,5,6,5,6
458070134,8,8,7,5,5
458070135,7,8,7,6,8
458070136,6,7,7,7,6
458070137,9,8,6,5,1
458070138,6,7,9,8,5
458070139,10,10,3,3,1
458070140,8,7,8,3,4
458070141,9,9,6,5,1
458070142,7,5,6,5,5
458070143,9,9,8,7,6
458070144,7,6,5,7,6
458070145,7,8,7,7,4
458070146,9,8,8,8,8
458070147,7,7,6,5,8
458070148,9,8,9,9,8
458070149,8,8,8,6,8
458070150,8,5,7,6,5
458070151,10,8,7,8,8
458070152,8,7,9,7,8
458070153,7,6,7,3,2
458070154,6,6,6,7,5
458070155,6,2,9,9,4
458070156,8,8,8,6,4
458070157,8,7,7,6,3
458070158,9,5,7,7,4
458070159,8,8,5,8,4
458070160,8,7,6,8,4
458070161,7,6,6,6,6
458070162,8,8,3,3,4
458070163,8,8,7,7,7
458070164,9,8,3,4,8
458070165,8,8,3,6,3
458070166,9,9,9,7,2
458070167,5,6,7,5,8
458070168,9,8,2,6,4
458070169,8,8,4,6,8
458070170,10,10,2,6,2
458070171,8,7,5,5,3
458070172,5,10,8,9,4
458070173,10,10,10,10,1
458070174,10,10,6,6,6
458070175,6,10,6,5,6
458070176,10,10,10,10,1
458070177,10,10,5,6,6
458070178,6,7,5,7,4
458070179,7,7,7,6,6
458070180,6,6,6,7,5
458070181,10,9,9,9,3
458070182,6,8,7,7,6
458070183,8,7,9,9,8
458070184,7,7,7,8,8
458070185,8,8,9,7,7
458070186,8,5,8,6,8
458070187,8,8,8,8,7
458070188,8,8,8,9,8
458070189,9,9,9,9,9
458070190,6,5,6,7,8
458070191,6,6,6,5,5
458070192,6,6,7,6,6
458070193,6,5,7,8,8
458070194,8,7,8,8,5
458070195,8,6,7,6,8
458070196,8,7,8,7,7
458070197,7,5,5,6,6
458070198,8,8,6,6,6
458070199,9,9,8,9,9
458070200,8,6,7,8,6
458070201,7,7,9,7,9
458070202,7,7,8,8,8
458070203,5,8,7,8,8
458070204,7,8,6,8,7
458070205,7,7,7,7,4
458070206,8,6,8,7,8
458070207,7,8,2,3,2
458070208,8,7,5,6,8
458070209,8,8,8,7,8
458070210,9,9,6,4,5
458070211,8,9,8,5,3
458070212,5,8,1,4,5
458070213,5,7,8,8,8
458070214,5,5,4,4,3
458070215,6,6,5,6,6
458070216,7,7,6,5,5
458070217,9,8,7,8,8
458070218,8,8,9,8,8
458070219,9,8,8,8,8
458070220,6,7,10,10,3
458070221,7,5,7,6,7
458070222,9,8,7,4,8
458070223,7,7,5,6,6
458070224,8,7,7,5,5
458070225,7,6,3,3,2
458070226,6,6,6,6,6
458070227,8,8,6,8,7
458070228,6,7,6,5,5
458070229,7,7,1,1,1
458070230,3,4,4,5,5
458070231,6,6,7,5,5
458070232,9,9,5,6,3
458070233,7,6,7,5,5
458070234,10,10,6,6,1
458070235,10,10,9,10,1
458070236,6,7,5,5,5
458070237,9,9,8,8,7
458070238,9,10,1,1,1
458070239,5,6,7,5,4
458070240,8,8,7,8,7
458070241,9,6,7,4,3
458070242,7,8,8,7,4
458070243,8,9,5,5,8
458070244,6,9,9,7,7
458070245,6,8,5,6,4
458070246,8,8,7,2,3
458070247,7,7,9,6,3
458070248,7,8,5,8,7
458070249,8,7,9,7,9
458070250,10,10,5,8,1
458070251,8,8,8,9,9
458070252,8,9,9,7,7
458070253,10,10,7,6,6
458070254,9,9,8,8,4
458070255,8,9,7,4,8
458070256,5,5,7,6,5
458070257,10,10,6,7,2
458070258,8,7,6,5,6
458070259,8,7,8,5,4
458070260,7,8,7,8,4
458070261,8,6,5,8,10
458070262,6,9,9,8,8
458070263,7,7,3,3,3
458070264,6,6,5,5,5
458070265,5,5,4,5,5
458070266,7,6,5,5,4
458070267,10,8,5,7,7
458070268,3,3,9,8,7
458070269,9,8,5,3,1
458070270,9,8,5,5,2
458070271,10,10,3,5,3
458070272,8,8,8,8,9
458070273,8,7,8,8,8
458070274,9,9,9,9,7
458070275,5,6,7,4,5
458070276,7,7,7,9,3
458070277,8,8,7,8,7
458070278,6,7,8,8,7
458070279,7,7,6,7,6
458070280,7,7,8,8,6
458070281,7,8,5,7,4
458070282,8,9,8,9,7
458070283,8,8,10,8,10
458070284,10,10,10,9,9
458070285,4,5,8,9,6
458070286,8,7,8,7,5
458070287,8,10,3,4,10
458070288,9,8,5,7,1
458070289,8,7,10,7,3
458070290,8,8,9,9,1
458070291,10,10,7,1,3
458070292,7,7,7,7,2
458070293,8,8,8,8,8
458070294,8,10,1,6,10
458070295,9,10,1,10,10
458070296,8,10,2,9,10
458070297,9,10,3,10,10
458070298,10,10,5,10,10
458070299,8,9,9,9,7
458070300,8,8,6,4,4
458070301,8,10,6,4,3
458070302,7,8,7,8,4
458070303,10,10,10,10,10
458070304,9,8,7,7,8
458070305,8,8,5,8,8
458070306,9,9,10,9,9
458070307,7,6,6,6,6
458070308,7,4,7,5,6
458070309,9,10,4,3,1
458070310,10,10,10,10,1
458070311,9,9,4,5,4
458070312,8,8,5,5,3
458070313,7,7,4,6,3
458070314,8,7,6,7,7
458070315,10,10,6,5,4
458070316,8,7,6,7,6
458070317,9,7,4,4,3
458070318,10,6,3,4,1
458070319,8,8,7,7,7
458070320,4,5,6,7,4
458070321,7,7,5,5,5
458070322,6,7,6,9,4
458070323,8,8,5,5,1
458070324,10,10,7,2,1
458070325,10,9,4,3,10
458070326,6,6,8,9,4
458070327,7,7,8,9,4
458070328,6,8,5,6,4
458070329,6,6,4,6,4
458070330,5,5,6,6,6
458070331,6,5,5,6,6
458070332,7,8,4,6,4
458070333,7,6,7,7,7
458070334,7,7,8,8,4
458070335,7,9,7,5,3
458070336,8,8,6,4,3
458070337,7,6,6,6,4
458070338,7,8,5,5,4
458070339,7,6,5,5,4
458070340,6,6,5,6,5
458070341,10,10,10,10,1
458070342,6,5,4,5,6
458070343,7,6,6,6,6
458070344,7,5,6,5,6
458070345,7,6,6,6,6
458070346,10,8,5,7,1
458070347,6,5,6,7,6
458070348,6,9,5,9,8
458070349,6,5,6,6,5
458070350,6,7,7,7,6
458070351,9,8,7,7,5
458070352,8,7,6,6,7
458070353,10,8,9,9,9
458070354,8,5,7,5,5
458070355,8,7,8,6,4
458070356,9,10,10,9,9
458070357,9,8,9,5,2
458070358,8,9,8,9,8
458070359,8,7,8,7,8
458070360,8,9,7,8,9
458070361,8,8,9,8,8
458070362,8,8,8,8,9
458070363,8,8,8,8,7
458070364,8,8,8,9,8
458070365,8,8,8,8,8
458070366,8,8,8,8,9
458070367,8,8,7,9,8
458070368,8,8,4,5,5
458070369,10,10,6,7,1
458070370,10,10,10,6,1
458070371,9,8,7,7,5
458070372,10,10,7,8,4
458070373,8,9,5,5,5
458070374,8,8,7,7,1
458070375,7,8,8,6,8
458070376,10,8,7,8,8
458070377,7,8,2,6,2
458070378,6,6,6,5,5
458070379,8,8,7,5,6
458070380,9,8,8,7,7
458070381,7,8,8,6,8
458070382,6,7,3,4,3
458070383,5,6,4,5,5
458070384,8,8,7,7,5
458070385,7,6,8,6,4
458070386,9,8,3,2,3
458070387,9,8,1,5,3
458070388,9,9,1,9,2
458070389,9,9,9,7,2
458070390,9,8,7,8,7
458070391,8,7,8,8,7
458070392,8,8,4,5,5
458070393,9,9,2,6,3
458070394,8,8,3,5,3
458070395,8,8,6,7,5
458070396,8,7,7,7,8
458070397,8,7,7,6,5
458070398,6,6,6,6,6
458070399,7,7,8,6,6
458070400,9,9,2,2,2
458070401,10,10,1,1,1
458070402,5,6,6,6,6
458070403,4,6,6,6,6
458070404,8,7,4,5,3
458070405,9,7,7,10,1
458070406,8,7,6,5,3
458070407,8,8,7,6,4
458070408,8,8,3,3,3
458070409,4,3,7,8,5
458070410,8,8,8,8,5
458070411,5,5,5,5,5
458070412,8,8,8,7,7
458070413,9,9,8,5,4
458070414,9,8,6,3,4
458070415,5,5,5,5,2
458070416,9,7,6,6,5
458070417,10,10,8,10,6
458070418,4,8,7,6,4
458070419,9,8,5,4,4
458070420,8,8,3,2,2
458070421,6,6,6,5,5
458070422,8,7,7,7,2
458070423,7,7,6,6,5
458070424,6,5,6,4,4
458070425,7,7,3,5,5
458070426,1,5,10,1,8
458070427,10,10,7,6,3
458070428,6,6,8,7,7
458070429,9,9,5,4,3
458070430,9,8,9,7,1
458070431,9,9,2,2,1
458070432,8,7,5,6,3
458070433,6,7,5,6,1
458070434,8,6,4,4,3
458070435,6,6,6,5,5
458070436,7,8,8,9,2
458070437,8,8,8,6,6
458070438,10,10,1,1,1
458070439,6,7,8,8,4
458070440,9,9,6,6,7
458070441,6,5,5,6,6
458070442,6,6,6,5,1
458070443,7,5,6,6,7
458070444,10,10,9,5,1
458070445,6,6,4,5,5
458070446,7,6,4,9,3
458070447,8,8,8,8,8
458070448,5,5,5,5,5
458070449,6,8,9,9,1
458070450,10,10,2,2,2
458070451,9,8,2,3,1
458070452,8,7,9,8,2
458070453,7,6,4,5,4
458070454,8,8,8,8,8
458070455,8,8,5,8,4
458070456,8,8,8,3,2
458070457,8,8,9,6,2
458070458,10,9,2,1,8
458070459,8,8,9,10,4
458070460,9,9,8,9,6
458070461,6,7,5,6,3
458070462,1,9,2,8,2
458070463,8,10,8,1,1
458070464,7,7,8,8,8
458070465,8,8,7,6,2
458070466,8,8,5,6,5
458070467,7,7,6,4,4
458070468,6,7,6,5,3
458070469,7,7,5,5,4
458070470,6,6,7,5,6
458070471,8,8,5,5,4
458070472,5,6,6,6,5
458070473,9,9,3,4,2
458070474,8,8,6,7,4
458070475,8,7,8,8,8
458070476,8,9,5,10,8
458070477,10,10,7,1,2
458070478,9,8,9,8,8
458070479,9,9,2,2,2
458070480,7,7,9,5,4
458070481,7,6,5,2,5
458070482,9,9,5,6,1
458070483,7,7,7,7,7
458070484,5,5,5,6,6
458070485,8,8,7,7,2
458070486,8,8,7,6,3
458070487,9,9,9,10,4
458070488,6,6,6,6,6
458070489,10,8,10,3,1
458070490,8,6,7,5,4
458070491,5,7,5,5,5
458070492,8,7,4,5,4
458070493,6,6,4,4,6
458070494,9,9,1,2,5
458070495,10,10,5,5,5
458070496,3,1,7,6,1
458070497,9,10,3,4,1
458070498,5,3,4,7,5
458070499,7,7,5,2,1
458070500,6,6,6,6,5
458070501,7,6,8,7,5
458070502,8,9,7,4,4
458070503,5,3,6,7,4
458070504,7,8,7,6,5
458070505,6,6,5,5,5
458070506,9,9,5,5,1
458070507,5,7,6,1,1
458070508,7,7,4,4,4
458070509,7,7,8,7,7
458070510,6,9,9,8,5
458070511,9,10,10,9,8
458070512,8,8,1,10,1
458070513,8,8,8,8,8
458070514,10,10,6,7,1
458070515,8,8,3,3,1
458070516,7,8,8,5,3
458070517,7,7,6,6,5
458070518,8,8,5,5,4
458070519,7,6,6,6,3
458070520,6,9,5,6,1
458070521,8,9,8,5,2
458070522,7,8,5,5,2
458070523,9,9,8,2,1
458070524,8,7,7,8,6
458070525,5,5,5,5,5
458070526,9,9,5,3,3
458070527,8,8,8,8,8
458070528,4,8,6,6,4
458070529,7,5,8,5,4
458070530,6,6,5,4,4
458070531,7,7,7,6,3
458070532,10,10,2,2,1
458070533,8,6,5,5,4
458070534,9,10,5,7,5
458070535,8,9,6,9,5
458070536,8,9,9,7,2
458070537,8,8,8,7,8
458070538,8,7,7,7,3
458070539,8,7,8,8,7
458070540,6,6,5,6,3
458070541,10,9,3,7,1
458070542,8,8,6,5,7
458070543,8,8,9,9,6
458070544,7,6,5,6,5
458070545,9,8,5,4,5
458070546,8,8,6,5,3
458070547,7,8,5,3,2
458070548,9,8,7,2,2
458070549,8,8,6,5,3
458070550,8,9,7,7,3
458070551,7,8,7,6,3
458070552,7,7,5,3,2
458070553,9,8,6,5,1
458070554,9,9,9,8,2
458070555,9,9,3,5,2
458070556,6,7,6,6,5
458070557,8,7,7,7,6
458070558,8,8,2,8,3
458070559,1,1,5,1,6
458070560,8,8,6,6,8
458070561,6,6,7,7,1
458070562,9,9,7,4,3
458070563,9,8,7,3,3
458070564,7,8,8,7,7
458070565,7,7,6,6,6
458070566,10,10,6,6,3
458070567,8,6,4,5,1
458070568,6,7,7,8,5
458070569,7,7,6,6,4
458070570,6,6,6,6,4
458070571,8,8,3,4,3
458070572,9,9,6,6,1
458070573,6,6,6,6,5
458070574,7,9,5,6,2
458070575,9,9,6,5,4
458070576,7,6,5,5,5
458070577,9,9,5,4,3
458070578,6,6,5,5,7
458070579,9,9,6,7,2
458070580,9,8,8,7,8
458070581,10,10,1,1,1
458070582,7,7,6,5,2
458070583,7,7,6,7,7
458070584,6,5,7,7,7
458070585,7,7,2,3,3
458070586,6,5,2,6,4
458070587,9,8,9,3,6
458070588,5,9,5,5,5
458070589,10,10,1,5,1
458070590,8,7,9,7,1
458070591,7,7,4,5,1
458070592,6,7,6,5,5
458070593,8,8,7,6,5
458070594,7,6,6,4,7
458070595,5,5,3,3,2
458070596,6,4,7,5,4
458070597,9,9,5,9,8
458070598,10,10,10,5,5
458070599,8,8,2,2,8
458070600,8,7,6,7,2
458070601,10,10,10,10,5
458070602,7,3,4,1,4
458070603,7,9,2,5,5
458070604,9,9,9,6,3
458070605,10,10,7,7,3
458070606,9,9,7,2,2
458070607,8,8,8,8,9
458070608,10,10,9,6,1
458070609,9,9,2,1,1
458070610,6,6,7,6,4
458070611,6,6,8,2,2
458070612,9,10,2,2,2
458070613,6,6,5,5,5
458070614,8,8,5,5,3
458070615,10,9,5,5,8
458070616,7,6,8,4,7
458070617,10,10,5,1,4
458070618,6,7,8,8,8
458070619,8,8,4,4,2
458070620,5,5,5,5,5
458070621,7,7,4,5,4
458070622,10,10,7,1,10
458070623,8,6,9,4,5
458070624,9,9,9,9,10
458070625,10,10,1,1,1
458070626,5,6,6,6,6
458070627,7,7,6,7,6
458070628,8,9,10,10,2
458070629,7,7,7,6,5
458070630,8,7,9,8,6
458070631,10,10,10,10,10
458070632,9,8,7,6,3
458070633,8,4,5,5,3
458070634,10,10,9,10,1
458070635,5,5,5,5,5
458070636,8,9,3,7,8
458070637,6,7,7,5,2
458070638,3,4,1,5,4
458070639,7,7,7,6,4
458070640,7,7,6,5,7
458070641,7,6,8,8,3
458070642,7,8,8,8,8
458070643,7,7,6,5,2
458070644,9,9,10,9,4
458070645,9,7,7,8,6
458070646,6,6,6,6,6
458070647,10,9,8,10,9
458070648,7,5,2,5,2
458070649,8,8,8,8,7
458070650,8,7,9,6,4
458070651,5,5,4,5,4
458070652,6,6,6,6,6
458070653,8,6,8,7,5
458070654,8,8,9,8,3
458070655,8,7,6,8,4
458070656,8,8,6,7,1
458070657,10,8,9,6,1
458070658,8,8,6,7,5
458070659,7,6,8,7,5
458070660,7,8,8,6,7
458070661,8,10,5,6,1
458070662,6,6,5,5,5
458070663,7,8,7,4,5
458070664,5,7,3,2,5
458070665,6,6,6,6,6
458070666,5,5,5,5,3
458070667,9,7,10,8,7
458070668,6,6,6,5,6
458070669,5,5,5,6,5
458070670,5,6,5,4,9
458070671,6,6,6,6,6
458070672,8,6,5,5,3
458070673,7,8,7,8,7
458070674,6,6,5,6,5
458070675,8,7,8,8,7
458070676,10,9,6,7,2
458070677,6,9,5,8,5
458070678,9,9,1,1,1
458070679,6,7,7,9,3
458070680,10,9,2,2,1
458070681,8,8,5,5,4
458070682,8,6,5,6,5
458070683,10,10,3,6,1
458070684,8,7,6,6,5
458070685,7,7,6,5,2
458070686,6,6,6,6,6
