D_INTERVIEW,Q158,Q159,Q160,Q161,Q162
458070001,9,8,8,9,8.0
458070002,6,5,6,5,5.0
458070003,8,7,8,8,8.0
458070004,10,10,5,7,6.0
458070005,10,10,5,5,1.0
458070006,8,7,9,9,6.0
458070007,7,7,6,7,5.0
458070008,10,9,9,9,3.0
458070009,10,10,8,10,1.0
458070010,7,7,7,6,6.0
458070011,7,5,5,4,4.0
458070012,6,6,10,1,1.0
458070013,10,7,4,4,3.0
458070014,9,10,6,8,6.0
458070015,10,10,3,3,2.0
458070016,6,6,5,4,5.0
458070017,6,8,7,6,4.0
458070018,8,9,7,8,9.0
458070019,7,8,5,5,5.0
458070020,9,9,4,8,4.0
458070021,7,6,8,7,5.0
458070022,1,6,8,10,4.0
458070023,5,6,8,9,9.0
458070024,9,8,5,6,4.0
458070025,10,10,6,5,1.0
458070026,5,5,8,7,5.0
458070027,10,10,10,10,4.0
458070028,5,5,5,5,5.0
458070029,10,10,10,10,3.0
458070030,7,7,10,9,6.0
458070031,10,10,10,10,1.0
458070032,10,10,10,10,10.0
458070033,10,10,1,1,10.0
458070034,6,7,5,5,5.0
458070035,5,9,9,9,9.0
458070036,8,7,2,8,7.0
458070037,9,9,9,9,9.0
458070038,7,10,5,1,1.0
458070039,9,9,9,8,5.0
458070040,10,10,4,3,1.0
458070041,9,8,8,8,8.0
458070042,10,10,5,6,1.0
458070043,6,8,1,7,5.0
458070044,6,7,5,5,4.0
458070045,8,8,8,8,4.0
458070046,6,6,5,6,5.0
458070047,6,7,5,6,5.0
458070048,5,2,5,6,5.0
458070049,9,9,7,7,8.0
458070050,9,9,8,8,9.0
458070051,9,8,8,6,6.0
458070052,9,9,9,9,9.0
458070053,8,10,6,4,1.0
458070054,10,10,1,10,1.0
458070055,8,7,8,8,8.0
458070056,10,10,1,10,1.0
458070057,10,10,1,6,1.0
458070058,8,8,7,7,8.0
458070059,7,7,7,7,7.0
458070060,5,6,2,6,6.0
458070061,10,10,8,10,1.0
458070062,9,9,8,9,7.0
458070063,9,7,8,8,8.0
458070064,9,8,8,8,8.0
458070065,8,7,5,5,8.0
458070066,6,7,8,9,5.0
458070067,4,4,4,4,4.0
458070068,8,8,8,7,7.0
458070069,7,6,3,4,2.0
458070070,6,7,5,8,2.0
458070071,4,5,9,9,6.0
458070072,10,10,10,10,10.0
458070073,6,6,7,7,5.0
458070074,6,6,6,6,6.0
458070075,7,5,5,5,6.0
458070076,5,4,8,8,3.0
458070077,7,7,10,8,4.0
458070078,8,7,8,6,8.0
458070079,8,9,9,8,9.0
458070080,5,5,5,5,5.0
458070081,8,9,9,8,9.0
458070082,8,7,6,5,5.0
458070083,9,8,8,8,9.0
458070084,10,10,3,4,2.0
458070085,8,9,8,5,8.0
458070086,7,9,7,5,7.0
458070087,8,8,8,7,4.0
458070088,5,4,5,6,5.0
458070089,8,7,6,7,5.0
458070090,4,5,8,9,4.0
458070091,9,9,8,7,8.0
458070092,8,8,9,8,8.0
458070093,9,8,8,9,8.0
458070094,10,9,3,7,6.0
458070095,9,8,8,9,4.0
458070096,6,6,6,6,5.0
458070097,8,8,4,6,8.0
458070098,6,6,6,6,6.0
458070099,10,9,10,9,1.0
458070100,7,8,6,8,7.0
458070101,8,9,8,9,8.0
458070102,9,8,9,8,9.0
458070103,8,8,8,7,8.0
458070104,9,9,9,9,9.0
458070105,9,7,7,5,8.0
458070106,8,8,8,5,7.0
458070107,9,10,5,3,8.0
458070108,8,8,6,7,4.0
458070109,6,6,6,6,6.0
458070110,10,9,7,8,3.0
458070111,7,7,8,8,8.0
458070112,5,5,5,5,5.0
458070113,8,8,7,8,6.0
458070114,6,6,6,6,6.0
458070115,10,8,3,8,8.0
458070116,10,9,6,7,3.0
458070117,6,6,6,6,6.0
458070118,6,4,7,6,5.0
458070119,7,7,8,7,3.0
458070120,8,8,7,8,8.0
458070121,5,3,5,5,5.0
458070122,8,8,5,5,5.0
458070123,9,7,6,6,6.0
458070124,7,7,7,7,3.0
458070125,8,8,8,8,8.0
458070126,8,8,8,8,8.0
458070127,6,6,6,6,6.0
458070128,8,7,7,8,7.0
458070129,7,8,6,7,4.0
458070130,7,6,8,6,6.0
458070131,7,6,5,6,5.0
458070132,8,9,1,7,3.0
458070133,7,5,6,5,6.0
458070134,8,8,7,5,5.0
458070135,7,8,7,6,8.0
458070136,6,7,7,7,6.0
458070137,9,8,6,5,1.0
458070138,6,7,9,8,5.0
458070139,10,10,3,3,1.0
458070140,8,7,8,3,4.0
458070141,9,9,6,5,1.0
458070142,7,5,6,5,5.0
458070143,9,9,8,7,6.0
458070144,7,6,5,7,6.0
458070145,7,8,7,7,4.0
458070146,9,8,8,8,8.0
458070147,7,7,6,5,8.0
458070148,9,8,9,9,8.0
458070149,8,8,8,6,8.0
458070150,8,5,7,6,5.0
458070151,10,8,7,8,8.0
458070152,8,7,9,7,8.0
458070153,7,6,7,3,2.0
458070154,6,6,6,7,5.0
458070155,6,2,9,9,4.0
458070156,8,8,8,6,4.0
458070157,8,7,7,6,3.0
458070158,9,5,7,7,4.0
458070159,8,8,5,8,4.0
458070160,8,7,6,8,4.0
458070161,7,6,6,6,6.0
458070162,8,8,3,3,4.0
458070163,8,8,7,7,7.0
458070164,9,8,3,4,8.0
458070165,8,8,3,6,3.0
458070166,9,9,9,7,2.0
458070167,5,6,7,5,8.0
458070168,9,8,2,6,4.0
458070169,8,8,4,6,8.0
458070170,10,10,2,6,2.0
458070171,8,7,5,5,3.0
458070172,5,10,8,9,4.0
458070173,10,10,10,10,1.0
458070174,10,10,6,6,6.0
458070175,6,10,6,5,6.0
458070176,10,10,10,10,1.0
458070177,10,10,5,6,6.0
458070178,6,7,5,7,4.0
458070179,7,7,7,6,6.0
458070180,6,6,6,7,5.0
458070181,10,9,9,9,3.0
458070182,6,8,7,7,6.0
458070183,8,7,9,9,8.0
458070184,7,7,7,8,8.0
458070185,8,8,9,7,7.0
458070186,8,5,8,6,8.0
458070187,8,8,8,8,7.0
458070188,8,8,8,9,8.0
458070189,9,9,9,9,9.0
458070190,6,5,6,7,8.0
458070191,6,6,6,5,5.0
458070192,6,6,7,6,6.0
458070193,6,5,7,8,8.0
458070194,8,7,8,8,5.0
458070195,8,6,7,6,8.0
458070196,8,7,8,7,7.0
458070197,7,5,5,6,6.0
458070198,8,8,6,6,6.0
458070199,9,9,8,9,9.0
458070200,8,6,7,8,6.0
458070201,7,7,9,7,9.0
458070202,7,7,8,8,8.0
458070203,5,8,7,8,8.0
458070204,7,8,6,8,7.0
458070205,7,7,7,7,4.0
458070206,8,6,8,7,8.0
458070207,7,8,2,3,2.0
458070208,8,7,5,6,8.0
458070209,8,8,8,7,8.0
458070210,9,9,6,4,5.0
458070211,8,9,8,5,3.0
458070212,5,8,1,4,5.0
458070213,5,7,8,8,8.0
458070214,5,5,4,4,3.0
458070215,6,6,5,6,6.0
458070216,7,7,6,5,5.0
458070217,9,8,7,8,8.0
458070218,8,8,9,8,8.0
458070219,9,8,8,8,8.0
458070220,6,7,10,10,3.0
458070221,7,5,7,6,7.0
458070222,9,8,7,4,8.0
458070223,7,7,5,6,6.0
458070224,8,7,7,5,5.0
458070225,7,6,3,3,2.0
458070226,6,6,6,6,6.0
458070227,8,8,6,8,7.0
458070228,6,7,6,5,5.0
458070229,7,7,1,1,1.0
458070230,3,4,4,5,5.0
458070231,6,6,7,5,5.0
458070232,9,9,5,6,3.0
458070233,7,6,7,5,5.0
458070234,10,10,6,6,1.0
458070235,10,10,9,10,1.0
458070236,6,7,5,5,5.0
458070237,9,9,8,8,7.0
458070238,9,10,1,1,1.0
458070239,5,6,7,5,4.0
458070240,8,8,7,8,7.0
458070241,9,6,7,4,3.0
458070242,7,8,8,7,4.0
458070243,8,9,5,5,8.0
458070244,6,9,9,7,7.0
458070245,6,8,5,6,4.0
458070246,8,8,7,2,3.0
458070247,7,7,9,6,3.0
458070248,7,8,5,8,7.0
458070249,8,7,9,7,9.0
458070250,10,10,5,8,1.0
458070251,8,8,8,9,9.0
458070252,8,9,9,7,7.0
458070253,10,10,7,6,6.0
458070254,9,9,8,8,4.0
458070255,8,9,7,4,8.0
458070256,5,5,7,6,5.0
458070257,10,10,6,7,2.0
458070258,8,7,6,5,6.0
458070259,8,7,8,5,4.0
458070260,7,8,7,8,4.0
458070261,8,6,5,8,10.0
458070262,6,9,9,8,8.0
458070263,7,7,3,3,3.0
458070264,6,6,5,5,5.0
458070265,5,5,4,5,5.0
458070266,7,6,5,5,4.0
458070267,10,8,5,7,7.0
458070268,3,3,9,8,7.0
458070269,9,8,5,3,1.0
458070270,9,8,5,5,2.0
458070271,10,10,3,5,3.0
458070272,8,8,8,8,9.0
458070273,8,7,8,8,8.0
458070274,9,9,9,9,7.0
458070275,5,6,7,4,5.0
458070276,7,7,7,9,3.0
458070277,8,8,7,8,7.0
458070278,6,7,8,8,7.0
458070279,7,7,6,7,6.0
458070280,7,7,8,8,6.0
458070281,7,8,5,7,4.0
458070282,8,9,8,9,7.0
458070283,8,8,10,8,10.0
458070284,10,10,10,9,9.0
458070285,4,5,8,9,6.0
458070286,8,7,8,7,5.0
458070287,8,10,3,4,10.0
458070288,9,8,5,7,1.0
458070289,8,7,10,7,3.0
458070290,8,8,9,9,1.0
458070291,10,10,7,1,3.0
458070292,7,7,7,7,2.0
458070293,8,8,8,8,8.0
458070294,8,10,1,6,10.0
458070295,9,10,1,10,10.0
458070296,8,10,2,9,10.0
458070297,9,10,3,10,10.0
458070298,10,10,5,10,10.0
458070299,8,9,9,9,7.0
458070300,8,8,6,4,4.0
458070301,8,10,6,4,3.0
458070302,7,8,7,8,4.0
458070303,10,10,10,10,10.0
458070304,9,8,7,7,8.0
458070305,8,8,5,8,8.0
458070306,9,9,10,9,9.0
458070307,7,6,6,6,6.0
458070308,7,4,7,5,6.0
458070309,9,10,4,3,1.0
458070310,10,10,10,10,1.0
458070311,9,9,4,5,4.0
458070312,8,8,5,5,3.0
458070313,7,7,4,6,3.0
458070314,8,7,6,7,7.0
458070315,10,10,6,5,4.0
458070316,8,7,6,7,6.0
458070317,9,7,4,4,3.0
458070318,10,6,3,4,1.0
458070319,8,8,7,7,7.0
458070320,4,5,6,7,4.0
458070321,7,7,5,5,5.0
458070322,6,7,6,9,4.0
458070323,8,8,5,5,1.0
458070324,10,10,7,2,1.0
458070325,10,9,4,3,10.0
458070326,6,6,8,9,4.0
458070327,7,7,8,9,4.0
458070328,6,8,5,6,4.0
458070329,6,6,4,6,4.0
458070330,5,5,6,6,6.0
458070331,6,5,5,6,6.0
458070332,7,8,4,6,4.0
458070333,7,6,7,7,7.0
458070334,7,7,8,8,4.0
458070335,7,9,7,5,3.0
458070336,8,8,6,4,3.0
458070337,7,6,6,6,4.0
458070338,7,8,5,5,4.0
458070339,7,6,5,5,4.0
458070340,6,6,5,6,5.0
458070341,10,10,10,10,1.0
458070342,6,5,4,5,6.0
458070343,7,6,6,6,6.0
458070344,7,5,6,5,6.0
458070345,7,6,6,6,6.0
458070346,10,8,5,7,1.0
458070347,6,5,6,7,6.0
458070348,6,9,5,9,8.0
458070349,6,5,6,6,5.0
458070350,6,7,7,7,6.0
458070351,9,8,7,7,5.0
458070352,8,7,6,6,7.0
458070353,10,8,9,9,9.0
458070354,8,5,7,5,5.0
458070355,8,7,8,6,4.0
458070356,9,10,10,9,9.0
458070357,9,8,9,5,2.0
458070358,8,9,8,9,8.0
458070359,8,7,8,7,8.0
458070360,8,9,7,8,9.0
458070361,8,8,9,8,8.0
458070362,8,8,8,8,9.0
458070363,8,8,8,8,7.0
458070364,8,8,8,9,8.0
458070365,8,8,8,8,8.0
458070366,8,8,8,8,9.0
458070367,8,8,7,9,8.0
458070368,8,8,4,5,5.0
458070369,10,10,6,7,1.0
458070370,10,10,10,6,1.0
458070371,9,8,7,7,5.0
458070372,10,10,7,8,4.0
458070373,8,9,5,5,5.0
458070374,8,8,7,7,1.0
458070375,7,8,8,6,8.0
458070376,10,8,7,8,8.0
458070377,7,8,2,6,2.0
458070378,6,6,6,5,5.0
458070379,8,8,7,5,6.0
458070380,9,8,8,7,7.0
458070381,7,8,8,6,8.0
458070382,6,7,3,4,3.0
458070383,5,6,4,5,5.0
458070384,8,8,7,7,5.0
458070385,7,6,8,6,4.0
