D_INTERVIEW,Q158,Q159,Q160,Q161,Q162
484070001,10,10,1,2.0,4
484070002,2,3,7,6.0,1
484070003,3,1,4,5.0,5
484070004,10,10,10,9.0,1
484070005,9,5,1,1.0,5
484070006,1,1,1,1.0,1
484070007,10,10,10,10.0,9
484070008,10,10,5,1.0,5
484070009,7,9,9,7.0,5
484070010,10,10,10,1.0,1
484070011,10,10,10,10.0,10
484070012,6,5,8,6.0,4
484070013,7,9,4,9.0,7
484070014,1,9,1,2.0,6
484070015,1,1,1,10.0,3
484070016,10,10,10,2.0,8
484070017,10,10,10,1.0,9
484070018,10,10,6,6.0,7
484070019,1,7,5,5.0,5
484070020,9,10,9,9.0,9
484070021,10,10,1,1.0,10
484070022,10,10,5,6.0,4
484070023,9,10,10,5.0,5
484070024,-1,-1,-1,-1.0,-1
484070025,8,6,8,5.0,4
484070026,1,10,10,10.0,10
484070027,1,3,7,8.0,10
484070028,1,10,10,10.0,10
484070029,10,10,6,9.0,7
484070030,7,9,10,6.0,6
484070031,6,8,3,7.0,5
484070032,9,7,9,7.0,6
484070033,-1,-1,-1,-1.0,-1
484070034,-1,-1,-1,-1.0,-1
484070035,7,8,8,7.0,7
484070036,5,8,4,6.0,5
484070037,9,10,3,8.0,4
484070038,9,10,10,5.0,1
484070039,6,8,7,6.0,5
484070040,10,10,1,1.0,2
484070041,7,10,5,6.0,7
484070042,10,10,7,8.0,6
484070043,8,8,9,10.0,1
484070044,5,8,10,6.0,10
484070045,10,10,5,5.0,5
484070046,5,5,3,10.0,10
484070047,9,5,9,8.0,8
484070048,8,7,8,4.0,8
484070049,10,10,5,1.0,1
484070050,6,5,10,1.0,1
484070051,1,5,10,10.0,1
484070052,9,8,1,8.0,1
484070053,4,7,8,9.0,7
484070054,10,10,5,3.0,9
484070055,3,3,10,1.0,5
484070056,10,10,10,10.0,1
484070057,6,8,8,7.0,9
484070058,10,10,5,5.0,1
484070059,3,10,5,5.0,3
484070060,2,10,10,10.0,2
484070061,1,10,8,10.0,1
484070062,1,4,2,9.0,4
484070063,10,10,1,10.0,10
484070064,1,1,1,10.0,10
484070065,7,8,1,1.0,1
484070066,10,10,10,10.0,2
484070067,7,9,2,2.0,7
484070068,8,10,8,5.0,5
484070069,10,10,10,5.0,8
484070070,7,8,3,3.0,1
484070071,2,5,4,1.0,6
484070072,1,1,10,10.0,10
484070073,8,8,10,2.0,6
484070074,10,10,10,10.0,3
484070075,10,10,10,1.0,10
484070076,2,3,10,9.0,8
484070077,1,3,9,10.0,1
484070078,10,10,10,10.0,1
484070079,10,10,5,10.0,5
484070080,5,1,1,10.0,8
484070081,10,8,10,10.0,1
484070082,9,10,8,2.0,-2
484070083,9,10,2,8.0,9
484070084,8,10,8,3.0,7
484070085,9,8,7,2.0,10
484070086,5,1,10,10.0,10
484070087,2,10,10,10.0,10
484070088,6,4,7,7.0,10
484070089,10,10,5,10.0,10
484070090,5,5,10,10.0,5
484070091,10,10,10,10.0,10
484070092,10,10,7,3.0,1
484070093,9,6,2,2.0,1
484070094,7,10,1,4.0,3
484070095,2,7,5,7.0,5
484070096,10,9,10,8.0,10
484070097,1,1,1,4.0,4
484070098,10,10,10,10.0,1
484070099,6,8,5,7.0,4
484070100,6,8,9,6.0,6
484070101,10,10,6,3.0,4
484070102,8,10,1,5.0,1
484070103,6,10,5,4.0,7
484070104,8,2,10,1.0,4
484070105,8,10,8,1.0,3
484070106,7,10,4,8.0,1
484070107,10,10,10,10.0,10
484070108,3,10,2,5.0,10
484070109,6,7,5,5.0,1
484070110,1,10,10,10.0,1
484070111,1,10,1,1.0,10
484070112,10,10,1,1.0,10
484070113,1,10,10,8.0,8
484070114,4,6,3,5.0,9
484070115,2,9,10,7.0,8
484070116,6,8,2,6.0,4
484070117,5,4,7,8.0,10
484070118,1,7,9,10.0,6
484070119,8,9,5,7.0,6
484070120,1,7,9,10.0,8
484070121,8,10,7,8.0,8
484070122,10,8,7,5.0,5
484070123,8,10,6,4.0,1
484070124,8,9,1,1.0,10
484070125,5,8,5,2.0,5
484070126,8,5,5,5.0,8
484070127,4,4,4,5.0,4
484070128,5,5,10,10.0,8
484070129,10,10,9,7.0,4
484070130,10,10,7,7.0,10
484070131,7,5,3,6.0,4
484070132,5,10,10,10.0,4
484070133,7,7,6,4.0,3
484070134,5,4,7,5.0,3
484070135,10,10,3,1.0,2
484070136,8,10,7,10.0,7
484070137,7,6,5,2.0,3
484070138,4,1,5,5.0,1
484070139,8,8,4,3.0,5
484070140,8,10,10,7.0,2
484070141,8,8,3,7.0,5
484070142,9,9,10,10.0,9
484070143,8,5,6,5.0,3
484070144,5,9,10,10.0,8
484070145,4,6,7,7.0,6
484070146,7,3,-1,-1.0,2
484070147,9,10,7,9.0,10
484070148,5,10,10,10.0,10
484070149,1,1,10,1.0,1
484070150,4,7,3,2.0,9
484070151,4,8,6,5.0,4
484070152,6,6,10,6.0,8
484070153,10,10,10,10.0,10
484070154,10,9,8,10.0,9
484070155,10,10,1,5.0,1
484070156,3,5,6,3.0,7
484070157,10,9,10,7.0,6
484070158,10,8,7,8.0,9
484070159,10,10,5,1.0,9
484070160,8,10,10,10.0,1
484070161,5,6,10,2.0,5
484070162,2,3,5,6.0,7
484070163,8,8,5,5.0,5
484070164,6,8,4,5.0,7
484070165,4,7,3,1.0,4
484070166,3,2,3,3.0,4
484070167,10,9,8,5.0,6
484070168,4,6,5,4.0,7
484070169,5,5,5,10.0,5
484070170,5,7,5,5.0,9
484070171,1,9,9,10.0,3
484070172,7,9,10,5.0,4
484070173,6,7,4,3.0,8
484070174,10,10,5,1.0,7
484070175,5,5,5,1.0,1
484070176,10,7,9,10.0,4
484070177,10,9,8,7.0,10
484070178,3,8,10,10.0,1
484070179,10,10,10,10.0,3
484070180,7,5,4,3.0,1
484070181,10,10,10,10.0,5
484070182,5,10,10,10.0,5
484070183,2,10,10,10.0,2
484070184,8,7,6,9.0,8
484070185,10,10,10,5.0,10
484070186,10,1,5,10.0,5
484070187,10,10,7,9.0,10
484070188,2,1,10,10.0,9
484070189,10,10,10,10.0,5
484070190,10,10,10,10.0,5
484070191,9,7,10,9.0,8
484070192,1,1,1,1.0,9
484070193,5,5,10,10.0,1
484070194,10,7,5,7.0,4
484070195,1,7,7,1.0,10
484070196,10,10,10,9.0,10
484070197,7,7,3,6.0,6
484070198,5,7,7,4.0,5
484070199,1,1,10,10.0,1
484070200,5,7,7,9.0,3
484070201,6,7,9,5.0,5
484070202,1,8,10,10.0,9
484070203,6,6,7,1.0,10
484070204,3,8,9,8.0,6
484070205,7,7,8,8.0,4
484070206,8,7,2,5.0,7
484070207,7,8,7,5.0,2
484070208,8,8,3,5.0,2
484070209,10,10,4,4.0,3
484070210,7,4,5,7.0,10
484070211,6,6,5,4.0,6
484070212,8,9,3,7.0,5
484070213,4,6,3,5.0,4
484070214,5,9,2,8.0,5
484070215,9,9,3,9.0,4
484070216,8,9,6,5.0,9
484070217,1,8,5,5.0,5
484070218,10,10,10,10.0,1
484070219,2,10,9,2.0,2
484070220,10,10,10,9.0,7
484070221,8,9,7,4.0,5
484070222,9,10,10,8.0,7
484070223,10,1,1,1.0,1
484070224,8,8,2,2.0,7
484070225,1,10,10,10.0,1
484070226,6,5,1,5.0,1
484070227,8,9,7,6.0,5
484070228,8,9,8,3.0,6
484070229,7,8,6,3.0,5
484070230,8,8,4,6.0,5
484070231,1,1,1,1.0,1
484070232,1,9,1,3.0,8
484070233,8,8,7,6.0,8
