D_INTERVIEW,Q158,Q159,Q160,Q161,Q162
604070001,2,8,2,9,5
604070002,8,9,7,4,8
604070003,2,6,8,10,6
604070004,7,7,4,8,4
604070005,10,10,2,2,2
604070006,3,7,10,8,5
604070007,6,7,7,5,5
604070008,9,8,10,10,8
604070009,1,1,10,6,7
604070010,8,8,8,8,8
604070011,1,3,10,10,9
604070012,3,3,9,10,8
604070013,3,4,8,9,8
604070014,6,7,5,1,1
604070015,8,8,8,8,6
604070016,6,3,5,8,3
604070017,2,7,9,8,9
604070018,3,8,9,9,6
604070019,8,9,8,5,2
604070020,9,8,7,8,3
604070021,9,9,6,5,4
604070022,7,10,3,8,1
604070023,8,9,4,9,3
604070024,10,10,7,4,3
604070025,10,8,7,6,5
604070026,9,9,8,3,2
604070027,7,7,9,6,5
604070028,5,7,8,6,4
604070029,7,7,8,5,4
604070030,6,6,8,7,4
604070031,7,7,8,4,3
604070032,5,6,10,5,5
604070033,5,7,8,5,6
604070034,6,7,8,5,5
604070035,8,8,7,2,3
604070036,9,10,9,7,8
604070037,9,10,7,5,7
604070038,6,10,7,7,7
604070039,8,10,5,6,6
604070040,8,10,7,7,7
604070041,9,8,5,7,5
604070042,9,9,9,8,3
604070043,9,8,5,8,4
604070044,9,8,8,6,4
604070045,9,8,9,6,3
604070046,7,8,8,4,7
604070047,8,9,8,8,6
604070048,6,7,8,8,5
604070049,8,8,9,9,4
604070050,6,8,8,9,4
604070051,6,7,4,7,2
604070052,8,8,8,9,3
604070053,7,8,8,3,8
604070054,5,9,7,8,7
604070055,8,8,9,9,8
604070056,10,10,10,10,7
604070057,7,8,7,9,7
604070058,7,8,5,2,3
604070059,3,8,7,3,8
604070060,8,8,8,9,8
604070061,9,9,8,9,7
604070062,10,10,10,1,6
604070063,8,9,10,10,1
604070064,10,9,8,7,5
604070065,9,8,7,6,7
604070066,5,3,3,7,4
604070067,9,8,7,7,3
604070068,5,8,8,6,3
604070069,5,8,8,8,3
604070070,5,8,7,8,7
604070071,9,9,6,8,7
604070072,10,4,8,8,5
604070073,8,9,10,9,6
604070074,8,8,6,8,7
604070075,5,7,7,6,5
604070076,7,9,6,8,7
604070077,7,10,10,-1,-1
604070078,2,-1,8,10,8
604070079,7,9,6,7,6
604070080,8,-1,7,-1,8
604070081,10,10,10,9,2
604070082,10,10,10,10,6
604070083,9,10,10,10,4
604070084,6,10,9,9,1
604070085,5,8,6,6,10
604070086,6,8,10,8,5
