D_INTERVIEW,Q158,Q159,Q160,Q161,Q162
840071001,-2,-2,-2,-2,-2
840071002,3,4,4,3,6
840071003,10,1,1,10,10
840071004,1,1,10,1,5
840071005,5,4,5,5,5
840071006,1,1,1,1,1
840071007,1,1,1,1,10
840071008,7,6,4,6,1
840071009,1,1,10,10,5
840071010,10,10,10,10,10
840071011,1,-1,10,-1,1
840071012,1,1,10,10,10
840071013,10,3,1,6,6
840071014,8,10,10,9,2
840071015,3,3,5,4,3
840071016,2,5,1,3,7
840071017,1,7,10,8,8
840071018,8,4,10,3,1
840071019,10,10,10,1,1
840071020,1,1,1,5,7
840071021,9,10,10,1,1
840071022,5,5,5,6,1
840071023,7,6,9,5,8
840071024,6,3,7,6,6
840071025,3,2,9,5,2
840071026,6,4,5,1,5
840071027,8,5,5,5,4
840071028,7,7,6,7,8
840071029,4,6,3,7,4
840071030,6,5,5,6,7
840071031,3,4,6,6,3
840071032,3,5,3,3,3
840071033,7,8,5,5,5
840071034,5,5,5,3,1
840071035,9,9,4,7,2
840071036,3,5,10,8,4
840071037,10,10,10,10,4
840071038,4,4,3,6,4
840071039,5,5,5,5,5
840071040,5,5,5,5,5
840071041,7,6,5,1,1
840071042,5,5,5,5,5
840071043,2,2,8,10,5
840071044,10,10,1,4,1
840071045,8,7,7,8,2
840071046,7,5,3,3,1
840071047,8,7,5,6,7
840071048,5,5,5,5,5
840071049,6,6,5,6,-2
840071050,7,4,5,1,7
840071051,10,1,10,1,10
840071052,5,7,9,8,4
840071053,1,8,5,5,10
840071054,5,5,5,5,5
840071055,5,5,5,5,5
840071056,10,10,1,5,5
840071057,5,5,5,5,5
840071058,5,1,10,6,4
840071059,3,3,7,9,9
840071060,5,7,10,5,5
840071061,4,10,1,7,10
840071062,6,6,10,5,7
840071063,10,7,5,5,10
840071064,5,5,5,5,5
840071065,7,7,7,5,4
840071066,5,3,9,10,7
840071067,5,5,5,1,5
840071068,4,5,5,5,5
840071069,5,5,5,5,5
840071070,10,10,3,7,5
840071071,10,1,1,1,1
840071072,5,3,9,7,7
840071073,6,6,6,6,6
840071074,5,5,5,5,3
840071075,6,6,6,6,6
840071076,6,6,6,6,6
840071077,5,7,3,6,7
840071078,1,4,5,6,5
840071079,5,7,1,3,7
840071080,4,7,6,5,8
840071081,10,10,5,5,5
840071082,5,7,7,5,6
840071083,1,6,10,6,10
840071084,6,8,3,4,5
840071085,4,6,4,2,3
840071086,3,3,3,3,7
840071087,6,6,7,4,1
840071088,7,6,6,5,3
840071089,5,5,5,5,1
840071090,8,8,5,9,7
840071091,7,1,9,8,3
840071092,6,7,10,4,6
840071093,8,9,1,1,1
840071094,8,8,4,1,1
840071095,7,6,3,4,3
840071096,8,8,5,7,10
840071097,7,7,7,7,7
840071098,7,9,7,7,7
840071099,7,3,8,7,3
840071100,6,6,8,9,5
840071101,5,8,5,6,4
840071102,1,1,1,1,6
840071103,5,6,6,8,8
840071104,6,7,1,1,3
840071105,1,5,2,9,4
840071106,7,7,3,6,3
840071107,7,7,7,7,8
840071108,6,6,8,8,3
840071109,3,4,3,3,5
840071110,7,9,9,9,9
840071111,8,10,1,1,4
840071112,3,1,1,1,1
840071113,1,8,1,8,8
840071114,10,10,1,1,1
840071115,8,5,1,1,1
840071116,8,7,1,7,1
840071117,10,10,1,1,10
840071118,3,1,1,5,1
840071119,10,10,1,1,1
840071120,10,10,1,1,1
840071121,10,10,1,1,1
840071122,-2,10,1,1,1
840071123,8,8,9,10,7
840071124,10,10,1,1,1
840071125,10,10,10,1,1
840071126,1,1,-1,10,1
840071127,10,10,1,1,1
840071128,10,10,10,10,1
840071129,10,10,3,1,1
840071130,10,10,1,1,1
840071131,1,2,2,1,2
840071132,9,7,9,5,4
840071133,6,6,10,10,10
840071134,10,10,5,5,5
840071135,10,10,1,1,6
840071136,10,10,1,1,1
840071137,10,10,1,1,1
840071138,6,8,6,9,5
840071139,10,5,1,3,1
840071140,10,10,2,2,1
840071141,10,10,5,5,7
840071142,10,10,1,3,3
840071143,10,10,1,1,1
840071144,8,10,5,1,1
840071145,8,8,9,3,2
840071146,3,4,1,8,3
840071147,-2,-2,-2,-2,-2
840071148,-2,6,-2,-2,4
840071149,8,8,4,7,-2
840071150,8,8,7,8,7
840071151,10,2,8,5,1
840071152,6,4,10,5,7
840071153,7,7,5,1,5
