D_INTERVIEW,Q165,Q166,Q167,Q168
276070001,2,1,1,1
276070002,1,1,1,1
276070003,1,2,2,1
276070004,2,2,2,2
276070005,1,2,2,2
276070006,2,2,2,2
276070007,2,2,2,2
276070008,2,2,2,2
276070009,2,2,2,2
276070010,2,2,2,2
276070011,2,2,2,2
276070012,1,1,1,1
276070013,2,2,2,2
276070014,1,2,2,2
276070015,2,2,2,2
276070016,1,1,2,2
276070017,2,2,2,2
276070018,-2,1,2,2
276070019,1,-1,2,2
276070020,2,2,2,2
276070021,1,1,1,1
276070022,1,1,1,1
276070023,2,2,2,2
276070024,2,1,1,2
276070025,2,1,2,2
276070026,1,1,2,1
276070027,2,2,2,2
276070028,1,1,1,1
276070029,1,1,2,2
276070030,2,2,2,2
276070031,1,1,2,1
276070032,1,2,2,2
276070033,1,1,2,1
276070034,2,2,2,2
276070035,1,1,2,2
276070036,1,2,2,2
276070037,-1,-1,-1,-1
276070038,1,1,1,1
276070039,2,2,2,2
276070040,1,1,2,2
276070041,2,1,2,2
276070042,2,2,2,2
276070043,1,2,2,2
276070044,1,1,2,1
276070045,1,1,1,1
276070046,1,2,2,2
276070047,2,-1,-1,-1
276070048,1,1,1,1
276070049,1,1,2,1
276070050,1,1,2,2
276070051,1,2,2,2
276070052,2,2,2,2
276070053,2,2,2,2
276070054,2,2,2,2
276070055,2,2,2,2
276070056,2,1,2,2
276070057,2,2,2,2
276070058,2,2,2,2
276070059,2,2,2,2
276070060,2,2,2,2
276070061,2,2,2,2
276070062,2,2,2,2
276070063,2,2,2,2
276070064,1,2,2,2
276070065,2,2,2,2
276070066,2,2,2,2
276070067,2,1,2,-1
276070068,1,1,1,1
276070069,1,1,1,1
276070070,2,2,2,2
276070071,2,2,2,2
276070072,2,2,2,2
276070073,2,2,2,2
276070074,2,2,2,2
276070075,-1,-1,-1,-1
276070076,2,1,2,2
276070077,2,2,2,2
276070078,2,2,2,2
276070079,1,2,2,2
276070080,2,2,2,2
276070081,1,1,1,1
276070082,2,2,2,2
276070083,2,1,2,2
276070084,2,2,2,2
276070085,1,1,2,2
276070086,1,-1,2,2
276070087,1,1,1,1
276070088,1,2,1,1
276070089,2,2,2,2
276070090,1,2,1,2
276070091,1,1,2,2
276070092,2,2,2,2
276070093,2,2,2,2
276070094,2,2,2,2
276070095,2,2,2,2
276070096,1,2,2,1
276070097,1,1,1,1
276070098,2,2,2,2
