D_INTERVIEW,Q165,Q166,Q167,Q168
276070001,2.0,1.0,1.0,1.0
276070002,1.0,1.0,1.0,1.0
276070003,1.0,2.0,2.0,1.0
276070004,2.0,2.0,2.0,2.0
276070005,1.0,2.0,2.0,2.0
276070006,2.0,2.0,2.0,2.0
276070007,2.0,2.0,2.0,2.0
276070008,2.0,2.0,2.0,2.0
276070009,2.0,2.0,2.0,2.0
276070010,2.0,2.0,2.0,2.0
276070011,2.0,2.0,2.0,2.0
276070012,1.0,1.0,1.0,1.0
276070013,2.0,2.0,2.0,2.0
276070014,1.0,2.0,2.0,2.0
276070015,2.0,2.0,2.0,2.0
276070016,1.0,1.0,2.0,2.0
276070017,2.0,2.0,2.0,2.0
276070018,-2.0,1.0,2.0,2.0
276070019,1.0,-1.0,2.0,2.0
276070020,2.0,2.0,2.0,2.0
276070021,1.0,1.0,1.0,1.0
276070022,1.0,1.0,1.0,1.0
276070023,2.0,2.0,2.0,2.0
276070024,2.0,1.0,1.0,2.0
276070025,2.0,1.0,2.0,2.0
276070026,1.0,1.0,2.0,1.0
276070027,2.0,2.0,2.0,2.0
276070028,1.0,1.0,1.0,1.0
276070029,1.0,1.0,2.0,2.0
276070030,2.0,2.0,2.0,2.0
276070031,1.0,1.0,2.0,1.0
276070032,1.0,2.0,2.0,2.0
276070033,1.0,1.0,2.0,1.0
276070034,2.0,2.0,2.0,2.0
276070035,1.0,1.0,2.0,2.0
276070036,1.0,2.0,2.0,2.0
276070037,-1.0,-1.0,-1.0,-1.0
276070038,1.0,1.0,1.0,1.0
276070039,2.0,2.0,2.0,2.0
276070040,1.0,1.0,2.0,2.0
276070041,2.0,1.0,2.0,2.0
276070042,2.0,2.0,2.0,2.0
276070043,1.0,2.0,2.0,2.0
276070044,1.0,1.0,2.0,1.0
276070045,1.0,1.0,1.0,1.0
276070046,1.0,2.0,2.0,2.0
276070047,2.0,-1.0,-1.0,-1.0
276070048,1.0,1.0,1.0,1.0
276070049,1.0,1.0,2.0,1.0
276070050,1.0,1.0,2.0,2.0
276070051,1.0,2.0,2.0,2.0
276070052,2.0,2.0,2.0,2.0
276070053,2.0,2.0,2.0,2.0
276070054,2.0,2.0,2.0,2.0
276070055,2.0,2.0,2.0,2.0
276070056,2.0,1.0,2.0,2.0
276070057,2.0,2.0,2.0,2.0
276070058,2.0,2.0,2.0,2.0
