D_INTERVIEW,Q165,Q166,Q167,Q168
300070001,1,-1,-1,-1
300070002,1,-1,-1,-1
300070003,1,1,1,1
300070004,1,1,1,1
300070005,1,-1,-1,-1
300070006,1,1,-1,-1
300070007,1,1,1,1
300070008,1,1,1,1
300070009,1,-1,-1,-1
300070010,1,1,-1,-1
300070011,1,2,1,1
300070012,1,2,2,2
300070013,1,-1,-1,-1
300070014,1,2,2,2
300070015,1,2,2,2
300070016,1,2,2,2
300070017,1,2,2,2
300070018,1,1,1,1
300070019,1,1,1,1
300070020,2,2,2,2
300070021,1,2,2,2
300070022,1,2,2,2
300070023,2,2,2,2
300070024,1,2,2,2
300070025,2,2,2,2
300070026,2,2,2,2
300070027,2,2,2,2
300070028,2,2,2,2
300070029,1,1,1,1
300070030,1,1,2,2
300070031,1,1,2,2
300070032,1,-1,1,1
300070033,1,1,1,1
300070034,1,1,1,1
300070035,1,2,1,1
300070036,1,1,1,1
300070037,1,-1,2,2
300070038,1,1,1,1
300070039,1,1,2,2
300070040,1,-1,-1,-1
300070041,2,2,2,2
300070042,2,2,2,2
300070043,1,1,1,1
300070044,1,2,2,1
300070045,1,1,1,1
300070046,1,1,1,1
300070047,1,1,-1,-1
300070048,2,2,2,2
300070049,1,1,1,1
300070050,1,1,1,1
300070051,1,-1,2,2
300070052,2,1,2,1
300070053,2,2,2,2
300070054,1,-1,2,2
300070055,1,-1,2,2
300070056,1,-1,2,2
300070057,1,1,2,2
300070058,1,-1,-1,-1
300070059,1,-1,-1,-1
300070060,1,-1,2,2
300070061,1,-1,1,1
300070062,1,2,2,2
300070063,1,2,2,2
300070064,1,2,2,2
300070065,2,2,2,2
300070066,1,-1,-1,-1
300070067,1,2,2,2
300070068,1,1,2,2
300070069,1,-1,2,2
300070070,1,1,2,2
300070071,1,1,1,1
300070072,1,-1,-1,-1
300070073,1,-1,-1,-1
300070074,1,-1,-1,-1
300070075,1,-1,1,1
300070076,2,2,2,2
300070077,1,-1,-1,-1
300070078,1,-1,-1,-1
300070079,1,-1,-1,-1
300070080,1,1,1,1
300070081,2,2,2,2
300070082,1,1,1,1
300070083,2,2,2,2
300070084,1,1,-1,-1
300070085,1,1,2,2
300070086,1,-1,2,2
300070087,1,-1,2,2
300070088,2,2,2,2
300070089,1,2,2,2
300070090,1,1,1,1
300070091,1,-1,2,2
300070092,1,2,2,2
300070093,1,2,2,2
300070094,1,2,2,2
300070095,2,2,2,2
300070096,1,-1,-1,-1
300070097,1,-1,-1,-1
300070098,1,-1,-1,-1
300070099,1,1,1,1
300070100,2,2,2,2
300070101,1,1,1,1
300070102,1,2,2,2
300070103,2,2,2,2
300070104,1,1,1,1
300070105,1,-1,-1,-1
300070106,1,2,2,2
300070107,1,2,2,2
300070108,1,2,2,2
300070109,1,2,2,2
300070110,1,2,2,2
300070111,1,1,1,1
300070112,1,1,1,1
300070113,1,2,2,2
300070114,2,2,2,2
300070115,1,1,2,2
300070116,1,1,2,2
300070117,1,1,1,1
300070118,1,1,1,1
300070119,1,1,1,1
300070120,1,-1,-1,-1
300070121,-1,-1,-1,-1
300070122,1,1,1,1
300070123,1,-1,-1,-1
300070124,1,1,1,1
300070125,1,1,1,1
300070126,-2,2,2,2
300070127,1,1,2,2
300070128,2,2,2,2
300070129,1,2,2,2
300070130,1,2,2,2
300070131,1,1,1,1
300070132,1,-1,-1,-1
300070133,1,1,1,1
300070134,1,-1,2,1
300070135,1,1,1,1
300070136,1,-1,-1,-1
300070137,1,1,-1,-1
300070138,1,1,2,2
300070139,1,1,1,1
300070140,1,1,1,1
300070141,1,1,1,1
300070142,2,2,2,2
300070143,1,2,2,2
300070144,1,2,2,2
300070145,2,2,2,2
300070146,1,-1,-1,-1
300070147,1,2,2,2
300070148,1,2,2,2
300070149,1,-1,-1,-1
300070150,1,1,2,2
300070151,1,1,1,1
300070152,1,2,1,1
300070153,1,1,1,1
300070154,1,-1,-1,-1
300070155,1,1,1,1
300070156,1,1,1,1
300070157,1,2,1,1
300070158,1,1,2,2
300070159,1,1,1,1
300070160,1,-1,-1,-1
300070161,-1,-1,-1,-1
300070162,1,-1,-1,-1
300070163,1,1,2,2
300070164,1,1,-1,-1
300070165,1,-1,-1,-1
300070166,1,-1,-1,-1
300070167,-1,-1,-1,-1
300070168,2,2,2,2
300070169,2,2,2,2
300070170,2,1,2,2
300070171,-1,1,-1,-1
300070172,1,1,-1,-1
300070173,1,1,2,2
300070174,1,1,1,1
300070175,1,-1,-1,-1
300070176,1,-1,2,2
300070177,1,2,2,2
300070178,1,1,-1,-1
300070179,1,2,2,2
300070180,1,-1,-1,-1
300070181,1,2,2,2
300070182,1,2,2,2
