D_INTERVIEW,Q165,Q166,Q167,Q168
392070001,2,-1,2,2
392070002,2,2,2,2
392070003,-1,1,1,-1
392070004,1,2,1,1
392070005,2,2,2,2
392070006,2,2,2,2
392070007,2,2,2,2
392070008,2,2,2,2
392070009,1,1,1,1
392070010,-1,-1,-1,-1
392070011,-1,-1,-1,-1
392070012,1,-1,-1,-1
392070013,-1,-1,-1,-1
392070014,1,1,1,1
392070015,1,-1,-1,-1
392070016,1,1,1,1
392070017,-1,-1,-1,-1
392070018,2,2,2,2
392070019,-1,1,2,2
392070020,1,1,2,2
392070021,-1,-1,-1,-1
392070022,2,2,2,2
392070023,-1,2,2,2
392070024,-1,1,-1,-1
392070025,-1,-1,-1,-1
392070026,2,2,-1,-1
392070027,2,1,2,2
392070028,2,-1,-1,-1
392070029,1,-1,-1,-1
392070030,-1,-1,-1,-1
392070031,2,2,2,2
392070032,-1,-1,-1,-1
392070033,1,1,-1,-1
392070034,-1,-1,-1,-1
392070035,-1,-1,-1,-1
392070036,2,2,2,2
392070037,1,1,1,1
392070038,2,2,2,2
392070039,2,2,2,2
392070040,1,1,2,2
392070041,1,1,-1,1
392070042,-1,2,2,2
392070043,2,1,-1,-1
392070044,2,1,2,2
392070045,1,1,1,1
392070046,-1,2,2,-1
392070047,-1,-1,-1,-1
392070048,1,1,-1,-1
392070049,-1,1,-1,-1
392070050,2,1,2,2
392070051,2,-1,2,1
392070052,1,-1,-1,-1
392070053,1,1,2,2
392070054,2,2,2,2
392070055,2,2,2,2
392070056,1,1,1,1
392070057,2,-1,2,2
392070058,1,-1,-1,-1
392070059,1,-1,-1,-1
392070060,1,2,-1,-1
392070061,-1,-1,2,2
392070062,2,1,2,2
392070063,1,-1,-1,-1
392070064,-1,-1,-1,-1
392070065,-1,1,-1,1
392070066,2,1,2,2
392070067,2,2,2,2
392070068,2,2,2,2
392070069,1,-1,-1,-1
392070070,1,2,2,1
392070071,-1,-1,-1,-1
392070072,2,1,1,1
392070073,1,1,-1,1
392070074,1,1,2,1
392070075,1,1,1,1
392070076,2,2,2,2
392070077,1,1,1,1
392070078,-1,1,2,2
392070079,2,2,2,2
392070080,2,1,2,2
392070081,-1,-1,-1,-1
392070082,1,-1,-1,1
392070083,1,1,1,1
392070084,2,1,1,1
392070085,1,2,2,2
392070086,1,1,2,2
392070087,2,2,2,2
392070088,2,2,2,2
392070089,1,1,1,1
392070090,1,-1,2,1
392070091,2,2,2,2
392070092,1,-1,-1,1
392070093,1,2,2,1
392070094,2,-1,-1,-1
392070095,-1,1,1,1
392070096,1,1,1,1
392070097,2,-1,-1,-1
392070098,2,2,2,2
392070099,1,1,1,1
392070100,1,2,-1,-1
392070101,1,2,2,1
392070102,-1,-1,-1,-1
392070103,1,1,1,1
392070104,2,1,2,1
392070105,-1,1,1,1
392070106,2,2,2,2
392070107,2,-1,2,2
392070108,2,2,2,2
392070109,1,1,1,1
392070110,2,2,2,2
392070111,-1,-1,-1,-1
392070112,-1,-1,-1,-1
392070113,-1,1,-1,-1
392070114,1,1,1,1
392070115,1,2,2,2
392070116,-1,-1,-1,-1
392070117,2,2,2,2
