D_INTERVIEW,Q165,Q166,Q167,Q168
604070001,1,-2,2,2
604070002,1,1,1,1
604070003,1,1,1,1
604070004,1,1,2,1
604070005,1,2,2,2
604070006,1,2,2,1
604070007,1,1,1,1
604070008,1,2,2,1
604070009,1,2,2,1
604070010,1,1,1,1
604070011,1,1,1,1
604070012,1,1,1,1
604070013,1,1,1,1
604070014,1,1,1,1
604070015,1,2,2,1
604070016,1,2,2,2
604070017,1,1,1,1
604070018,1,-1,1,1
604070019,1,-2,2,2
604070020,1,1,2,1
604070021,1,2,2,2
604070022,1,1,1,1
604070023,1,1,1,1
604070024,1,2,2,2
604070025,1,1,2,1
604070026,1,2,2,2
604070027,1,1,1,1
604070028,1,2,2,2
604070029,1,1,1,1
604070030,1,1,1,1
604070031,1,1,1,1
604070032,1,1,1,1
604070033,1,1,1,1
604070034,1,1,1,1
604070035,1,1,2,1
604070036,1,2,2,1
604070037,1,1,2,1
604070038,1,1,1,1
604070039,1,1,1,2
604070040,1,1,2,1
604070041,1,2,2,2
604070042,1,2,2,2
604070043,1,2,2,2
604070044,1,1,1,1
604070045,1,1,1,1
604070046,1,1,2,1
604070047,1,2,2,2
604070048,1,2,1,1
604070049,1,1,1,1
604070050,1,1,2,2
604070051,1,2,2,2
604070052,1,1,1,1
604070053,1,1,1,1
604070054,1,1,1,1
604070055,1,1,1,1
604070056,1,-1,1,1
604070057,1,2,2,1
604070058,1,1,1,1
604070059,1,-1,2,1
604070060,1,1,1,1
604070061,1,1,2,1
604070062,2,2,2,2
604070063,1,1,2,1
604070064,1,1,1,1
604070065,1,2,2,2
604070066,1,1,-1,1
604070067,1,1,1,1
604070068,1,1,1,1
604070069,1,1,1,-1
604070070,1,1,1,1
604070071,1,1,2,2
604070072,1,1,1,1
604070073,1,2,2,1
604070074,1,1,2,1
604070075,1,1,2,1
604070076,1,2,2,2
604070077,1,1,1,1
604070078,1,2,2,2
604070079,1,1,2,1
604070080,1,1,1,1
604070081,1,1,1,1
604070082,1,2,1,1
604070083,1,1,1,1
604070084,1,1,1,1
604070085,1,1,2,2
604070086,1,1,1,1
604070087,1,2,2,1
604070088,1,1,1,1
604070089,1,1,1,1
604070090,1,1,1,1
604070091,1,1,1,1
604070092,1,1,1,1
604070093,1,2,1,1
604070094,1,2,2,2
604070095,1,1,1,1
604070096,1,1,2,1
604070097,1,1,1,1
604070098,1,1,1,1
604070099,1,1,1,1
604070100,1,1,1,1
604070101,1,2,2,1
604070102,1,1,1,1
604070103,1,-1,2,2
604070104,1,1,1,1
604070105,1,1,1,1
604070106,1,1,1,1
604070107,1,1,1,1
604070108,1,1,1,1
604070109,1,1,1,1
604070110,1,2,2,2
604070111,1,1,1,1
604070112,1,1,1,1
604070113,1,1,1,1
604070114,1,1,2,1
604070115,1,1,2,1
604070116,1,1,1,1
604070117,1,1,2,1
604070118,1,1,1,1
604070119,1,1,1,1
604070120,1,1,1,1
604070121,1,1,1,1
604070122,1,1,1,1
604070123,1,1,-1,1
604070124,1,1,2,1
604070125,1,1,-1,-1
604070126,1,1,1,1
604070127,1,2,2,2
604070128,1,1,2,1
604070129,1,1,1,1
604070130,1,1,2,1
604070131,1,1,1,-1
604070132,1,1,1,1
604070133,1,1,1,1
604070134,1,1,1,1
604070135,1,1,1,1
604070136,1,2,2,2
604070137,1,1,1,1
604070138,1,1,1,1
604070139,1,1,1,1
604070140,1,1,1,1
604070141,1,1,1,1
604070142,1,1,1,1
604070143,1,1,1,1
604070144,1,1,1,1
604070145,1,1,1,2
604070146,1,-1,-1,-1
604070147,1,1,2,1
604070148,1,1,-1,-1
604070149,1,1,2,1
604070150,1,1,1,1
604070151,1,1,1,1
604070152,1,1,1,1
604070153,1,1,1,1
604070154,1,1,2,1
604070155,1,-1,2,1
604070156,1,1,1,1
604070157,2,2,2,2
604070158,1,1,2,1
604070159,1,1,2,1
604070160,1,1,1,1
604070161,1,1,1,1
604070162,1,2,2,1
604070163,1,2,1,1
604070164,1,1,2,2
604070165,1,-1,-1,1
604070166,1,1,1,1
604070167,2,1,1,1
604070168,1,1,1,1
604070169,1,-1,1,1
604070170,1,1,1,1
604070171,1,2,2,1
604070172,1,2,2,2
604070173,1,2,2,2
604070174,2,2,1,2
604070175,1,2,2,1
604070176,1,2,2,2
604070177,1,1,1,1
604070178,1,2,1,1
604070179,1,1,1,1
604070180,1,1,1,1
604070181,1,1,1,1
604070182,1,1,1,1
604070183,1,1,1,1
604070184,1,2,2,1
604070185,1,1,1,1
604070186,1,2,1,1
604070187,1,2,2,2
604070188,1,1,1,1
604070189,1,1,1,1
604070190,1,1,1,1
604070191,1,1,1,1
604070192,1,-1,1,2
604070193,1,2,2,1
604070194,1,1,1,1
604070195,1,2,2,1
604070196,1,1,1,1
604070197,1,1,2,1
604070198,1,1,1,1
604070199,1,1,1,1
604070200,1,2,2,1
604070201,1,2,2,2
604070202,1,1,1,1
604070203,1,2,2,2
604070204,1,1,2,1
604070205,1,1,1,1
604070206,1,1,1,1
604070207,1,1,1,1
604070208,1,1,1,1
604070209,1,2,2,1
604070210,1,1,2,1
604070211,1,1,2,1
604070212,1,1,1,1
604070213,1,2,1,1
604070214,1,1,1,1
604070215,1,1,2,1
604070216,1,1,1,1
604070217,1,1,1,1
604070218,1,1,2,2
604070219,1,1,1,1
604070220,1,2,1,1
604070221,2,2,2,2
604070222,1,2,2,2
604070223,1,1,1,1
604070224,1,1,1,1
604070225,1,1,1,1
604070226,1,2,2,1
604070227,1,-1,-1,-1
604070228,1,1,1,1
604070229,1,2,2,2
604070230,2,1,2,2
604070231,1,2,2,2
604070232,1,1,1,1
604070233,1,1,1,1
604070234,1,1,1,1
604070235,1,2,1,1
604070236,1,2,1,1
604070237,1,1,1,1
604070238,1,1,1,1
604070239,1,1,1,1
604070240,1,-1,1,1
604070241,1,1,2,-1
604070242,1,1,1,1
604070243,1,1,1,1
604070244,1,1,1,1
604070245,1,-1,2,1
604070246,1,-1,1,1
604070247,1,1,1,1
604070248,1,1,1,1
604070249,1,1,1,1
604070250,1,1,1,1
604070251,1,1,1,1
604070252,1,1,1,1
604070253,1,1,1,1
604070254,1,1,1,1
604070255,1,1,1,1
604070256,1,2,1,1
604070257,1,-1,-1,-1
604070258,1,2,2,2
604070259,1,1,1,1
604070260,1,1,1,1
604070261,1,1,1,1
604070262,1,2,2,2
604070263,1,1,1,1
604070264,1,1,1,1
604070265,1,1,2,1
604070266,1,1,1,1
604070267,1,1,1,1
604070268,1,1,1,1
604070269,1,2,1,2
604070270,1,1,1,1
604070271,1,1,1,1
604070272,1,2,2,1
604070273,1,2,2,1
604070274,1,1,1,1
604070275,1,1,1,1
604070276,1,2,2,1
604070277,1,1,1,1
604070278,1,1,1,1
604070279,1,-1,1,1
604070280,1,1,1,1
604070281,1,1,1,1
604070282,1,2,1,1
604070283,1,1,2,2
604070284,1,1,1,1
604070285,1,1,1,1
604070286,1,2,2,1
604070287,1,1,1,1
604070288,1,2,1,1
604070289,1,1,1,1
604070290,-1,2,2,2
604070291,1,-1,-1,1
604070292,1,1,1,1
604070293,1,-1,2,1
604070294,1,1,1,1
604070295,1,1,2,1
604070296,1,1,1,1
604070297,1,2,1,1
604070298,1,2,1,1
604070299,1,1,1,1
604070300,1,1,2,2
604070301,1,1,2,1
604070302,1,1,1,1
604070303,1,2,1,1
604070304,1,1,1,1
604070305,1,2,2,1
604070306,1,1,2,-1
604070307,1,1,1,-1
604070308,1,1,1,1
604070309,1,1,1,-1
604070310,1,1,-1,-1
604070311,1,1,2,1
604070312,1,1,2,1
604070313,1,2,2,1
604070314,1,2,2,2
604070315,1,1,2,1
604070316,1,1,2,1
604070317,1,1,1,1
604070318,1,1,2,1
604070319,1,1,2,1
604070320,2,1,2,2
604070321,1,-1,-1,1
604070322,1,1,1,1
604070323,1,1,2,1
604070324,1,1,1,1
604070325,1,1,2,1
604070326,1,2,1,2
604070327,1,1,2,1
604070328,1,2,2,1
604070329,1,2,2,1
604070330,1,1,1,1
604070331,1,1,1,1
604070332,1,-1,2,2
604070333,1,1,1,1
604070334,1,1,1,1
604070335,1,2,2,2
604070336,1,1,1,1
604070337,1,2,1,2
604070338,1,1,1,1
604070339,1,1,2,1
604070340,1,2,2,2
604070341,1,-1,-1,1
604070342,1,1,1,1
604070343,1,1,-1,2
604070344,1,1,1,2
604070345,1,1,1,1
604070346,1,1,1,1
604070347,1,1,1,1
604070348,1,1,1,1
604070349,1,2,2,2
604070350,1,2,2,2
604070351,1,1,1,1
604070352,1,1,1,1
604070353,1,1,1,1
604070354,1,1,2,1
604070355,1,2,2,2
604070356,1,1,1,1
604070357,1,1,1,1
604070358,1,1,2,1
