D_INTERVIEW,Q165,Q166,Q167,Q168
840071001,1,1,1,1
840071002,1,1,1,1
840071003,1,1,1,1
840071004,1,1,1,1
840071005,1,1,1,1
840071006,1,1,1,1
840071007,2,1,2,2
840071008,1,1,2,1
840071009,1,1,1,1
840071010,1,1,2,1
840071011,1,1,1,1
840071012,1,1,1,1
840071013,1,1,2,1
840071014,1,1,1,1
840071015,1,1,1,1
840071016,1,1,1,2
840071017,1,1,1,1
840071018,1,1,1,1
840071019,2,2,2,2
840071020,1,1,2,2
840071021,1,1,1,1
840071022,1,1,1,1
840071023,1,1,2,1
840071024,1,1,1,2
840071025,2,1,2,2
840071026,1,1,1,1
840071027,1,2,1,1
840071028,1,1,1,1
840071029,1,1,1,1
840071030,1,1,1,1
840071031,1,1,1,1
840071032,1,1,1,1
840071033,1,1,1,1
840071034,2,1,2,2
840071035,1,1,1,1
840071036,1,2,1,1
840071037,1,1,1,1
840071038,2,2,-2,2
840071039,1,2,1,1
840071040,1,2,1,1
840071041,1,1,1,1
840071042,1,1,1,1
840071043,1,1,1,1
840071044,1,1,2,2
840071045,1,1,1,1
840071046,1,1,2,2
840071047,1,1,1,1
840071048,1,1,1,1
840071049,2,2,2,2
840071050,1,1,1,1
840071051,1,1,2,1
840071052,1,-2,1,1
840071053,1,1,1,1
840071054,1,1,1,1
840071055,1,1,1,1
840071056,1,1,2,2
840071057,1,1,1,1
840071058,1,1,1,1
840071059,1,1,1,1
840071060,1,1,1,1
840071061,1,1,1,1
840071062,1,1,1,1
840071063,1,1,1,1
840071064,1,2,1,1
840071065,1,1,2,2
840071066,1,1,1,1
840071067,1,2,2,2
840071068,1,1,1,1
840071069,2,1,2,1
840071070,1,1,1,1
840071071,1,1,2,2
840071072,2,2,2,2
840071073,1,1,1,1
840071074,2,1,2,2
840071075,2,2,1,1
840071076,1,1,1,1
840071077,1,1,1,1
840071078,1,1,1,1
840071079,1,1,1,1
840071080,1,1,1,1
840071081,2,2,2,2
840071082,1,2,1,1
840071083,1,2,1,1
840071084,1,2,2,1
840071085,1,2,1,1
840071086,1,1,1,1
840071087,1,1,1,1
840071088,1,1,1,1
840071089,1,1,1,1
840071090,1,1,1,1
840071091,1,1,1,1
840071092,1,1,1,1
840071093,1,1,2,1
840071094,1,1,2,1
840071095,1,1,2,1
840071096,1,1,1,2
840071097,1,1,1,1
840071098,1,1,1,1
840071099,1,1,2,2
840071100,1,1,1,1
840071101,1,1,1,1
840071102,2,2,2,2
840071103,1,1,1,1
840071104,2,1,2,2
840071105,1,1,1,1
840071106,2,2,2,2
840071107,1,1,2,1
840071108,1,1,1,1
840071109,1,1,1,1
840071110,1,1,1,1
840071111,1,1,2,2
840071112,2,1,2,2
840071113,2,1,1,2
840071114,2,2,2,2
840071115,2,1,2,2
840071116,1,1,1,1
840071117,2,1,1,1
840071118,1,1,2,2
840071119,1,2,2,2
840071120,1,1,2,2
840071121,2,1,2,2
840071122,1,1,1,1
840071123,1,1,2,1
840071124,2,2,2,2
840071125,1,2,1,1
840071126,1,1,1,1
840071127,2,2,2,2
840071128,1,1,1,1
840071129,1,1,1,2
840071130,1,1,1,1
840071131,1,2,2,1
840071132,1,1,1,1
840071133,1,1,1,1
840071134,1,1,1,1
840071135,2,2,2,2
840071136,1,1,2,2
840071137,2,1,2,2
840071138,1,1,1,1
840071139,2,2,2,2
840071140,1,2,1,2
840071141,1,1,1,1
840071142,2,2,2,2
840071143,2,2,2,2
840071144,1,1,1,1
840071145,1,1,1,1
840071146,1,1,1,1
840071147,1,1,1,1
840071148,1,1,1,1
840071149,2,1,2,2
840071150,1,1,1,1
840071151,1,1,1,1
840071152,1,1,1,1
840071153,1,1,2,2
840071154,1,1,2,1
840071155,1,1,1,2
840071156,1,2,1,2
840071157,1,1,1,1
840071158,2,2,2,2
840071159,1,1,2,1
840071160,2,1,2,2
840071161,1,1,1,1
840071162,1,1,1,2
840071163,1,1,1,1
840071164,2,2,2,2
840071165,1,1,1,1
840071166,1,1,1,1
840071167,1,-2,-2,-2
840071168,1,1,1,1
840071169,1,1,1,1
840071170,1,2,2,1
840071171,1,1,1,1
840071172,1,1,1,2
840071173,1,1,1,1
840071174,1,2,1,1
840071175,1,1,1,1
840071176,1,1,1,1
840071177,1,1,1,2
840071178,1,1,1,1
840071179,1,1,1,1
840071180,1,1,1,1
840071181,2,2,2,2
840071182,1,1,1,1
840071183,2,2,2,2
840071184,1,1,1,1
840071185,1,1,1,1
840071186,1,1,1,1
840071187,1,1,1,2
840071188,1,1,1,1
840071189,1,2,1,1
840071190,1,1,1,1
840071191,1,2,1,1
840071192,1,1,1,1
840071193,1,1,1,1
840071194,2,1,2,2
840071195,1,1,1,2
840071196,1,1,1,1
840071197,2,2,2,2
840071198,2,2,2,2
840071199,2,2,1,2
840071200,1,1,1,1
840071201,1,2,1,1
840071202,2,1,2,2
840071203,2,1,2,2
840071204,2,1,2,2
840071205,1,2,2,1
840071206,1,1,1,1
840071207,1,2,1,1
840071208,1,1,1,1
840071209,1,2,1,2
840071210,1,1,1,2
840071211,1,1,1,1
840071212,1,2,1,1
840071213,1,1,1,1
840071214,1,1,1,1
840071215,1,1,1,1
840071216,1,1,1,1
840071217,2,2,2,2
840071218,1,1,1,1
840071219,1,1,1,1
840071220,1,1,1,1
840071221,1,1,2,1
840071222,1,1,1,1
840071223,2,2,1,1
840071224,1,-2,-2,-2
840071225,1,1,1,1
840071226,1,1,1,1
840071227,1,1,1,2
840071228,1,1,1,1
840071229,1,2,1,1
840071230,1,1,1,1
840071231,1,2,1,1
840071232,1,2,2,2
840071233,1,1,1,1
840071234,1,1,1,1
840071235,1,1,1,1
840071236,1,1,1,1
840071237,1,1,1,1
840071238,2,2,2,2
840071239,2,2,2,2
840071240,1,1,1,1
840071241,1,1,1,1
840071242,1,1,1,1
840071243,2,2,2,2
840071244,1,1,1,1
840071245,1,2,1,1
840071246,1,1,1,2
840071247,1,1,2,1
840071248,1,1,1,1
840071249,1,1,1,1
840071250,1,2,1,1
840071251,1,1,1,1
840071252,2,2,2,2
840071253,1,2,1,1
840071254,2,2,1,1
840071255,1,1,1,1
840071256,1,1,1,1
840071257,1,1,1,1
840071258,1,1,1,1
840071259,1,1,1,1
840071260,1,1,1,2
840071261,1,1,1,1
840071262,1,1,1,1
840071263,1,1,1,1
840071264,2,2,2,2
840071265,1,1,1,1
840071266,1,1,1,1
840071267,1,1,1,1
840071268,1,1,1,1
840071269,2,2,2,2
840071270,1,1,2,2
840071271,1,1,2,2
840071272,1,1,1,2
840071273,1,1,1,1
840071274,1,2,2,2
840071275,1,1,1,1
840071276,1,2,1,1
840071277,1,2,1,2
840071278,1,1,1,1
840071279,1,2,2,1
840071280,1,1,1,1
840071281,1,1,1,2
840071282,2,2,2,2
840071283,1,1,1,1
840071284,1,2,1,1
840071285,1,1,1,1
840071286,1,1,1,1
840071287,1,1,1,1
840071288,1,1,1,1
840071289,1,1,1,1
840071290,1,1,1,1
840071291,1,1,1,1
840071292,1,1,1,1
840071293,1,2,1,1
840071294,1,1,1,1
840071295,1,1,1,1
840071296,1,1,1,1
840071297,1,1,1,1
840071298,2,1,1,2
840071299,1,1,1,1
840071300,2,1,1,1
840071301,1,1,1,1
840071302,1,1,1,1
840071303,1,1,1,1
840071304,2,2,2,2
840071305,1,1,1,1
840071306,2,1,2,2
840071307,2,2,2,2
840071308,1,2,2,1
840071309,1,1,1,1
840071310,1,1,1,1
840071311,1,2,1,1
840071312,1,2,1,1
840071313,1,1,1,2
840071314,1,2,2,2
840071315,1,1,1,1
840071316,1,1,1,1
840071317,1,1,1,1
840071318,1,1,1,2
840071319,1,2,1,1
840071320,1,1,1,1
840071321,1,1,1,1
840071322,1,1,1,1
840071323,1,1,2,2
840071324,1,1,1,2
840071325,1,2,1,2
840071326,2,2,2,2
840071327,1,1,1,1
840071328,1,1,1,1
840071329,1,1,1,1
840071330,1,1,1,1
840071331,1,1,1,1
840071332,1,1,1,1
840071333,1,1,1,1
840071334,1,2,1,-2
840071335,2,1,1,1
840071336,1,2,1,1
840071337,1,2,2,2
840071338,1,1,1,1
840071339,1,1,1,2
840071340,2,2,2,2
840071341,1,2,1,1
840071342,1,1,1,1
840071343,1,2,1,2
840071344,1,1,1,2
840071345,1,1,1,1
840071346,1,1,1,1
840071347,1,1,1,1
840071348,1,1,1,1
840071349,2,2,1,2
840071350,1,1,1,1
840071351,1,1,2,1
840071352,1,1,1,1
840071353,2,1,2,2
840071354,1,1,1,1
840071355,1,1,1,1
840071356,1,1,1,1
840071357,2,2,1,1
840071358,1,1,1,1
840071359,2,2,2,2
840071360,1,2,1,1
840071361,1,1,2,2
840071362,1,2,1,1
840071363,1,2,2,1
840071364,1,1,1,1
840071365,1,1,1,1
840071366,1,1,1,1
840071367,1,1,1,1
840071368,1,1,1,1
840071369,1,1,1,1
840071370,1,1,1,1
840071371,2,2,2,2
840071372,1,1,1,1
840071373,2,2,2,1
840071374,1,1,1,1
840071375,1,1,1,1
840071376,1,1,1,1
840071377,1,1,1,1
840071378,1,1,-2,1
840071379,1,1,1,1
840071380,1,1,1,1
840071381,1,1,1,1
840071382,1,1,2,2
840071383,1,1,1,1
840071384,2,1,1,1
840071385,1,1,2,2
840071386,1,1,1,1
840071387,1,1,1,2
840071388,2,2,2,2
840071389,1,1,1,1
840071390,1,1,1,1
840071391,1,1,1,1
840071392,2,1,1,1
840071393,-2,-2,-2,-2
840071394,1,1,1,1
840071395,1,1,1,1
840071396,1,1,1,1
840071397,1,1,1,1
840071398,2,2,2,2
840071399,2,1,2,2
840071400,1,2,1,1
840071401,1,1,1,1
840071402,2,1,1,1
840071403,1,1,1,1
840071404,1,1,1,1
840071405,2,2,2,2
840071406,1,1,1,1
840071407,1,1,-2,-2
840071408,1,1,1,1
840071409,2,2,2,2
840071410,2,2,2,2
840071411,2,1,2,2
840071412,1,2,2,1
840071413,1,1,1,1
840071414,1,1,1,1
840071415,1,1,1,1
840071416,1,1,1,1
840071417,1,1,1,1
840071418,2,1,2,2
840071419,1,2,2,2
840071420,1,1,1,1
840071421,1,2,2,2
840071422,1,1,1,1
840071423,1,1,1,1
840071424,1,2,2,2
840071425,1,1,1,1
840071426,1,1,1,1
840071427,2,1,2,2
840071428,2,2,2,2
840071429,1,1,1,1
840071430,1,1,1,1
840071431,1,1,1,1
840071432,1,1,1,1
840071433,1,1,1,1
840071434,1,1,1,1
840071435,2,2,2,2
840071436,1,1,1,1
