D_INTERVIEW,Q58,Q59,Q60,Q61,Q62,Q63
51070001,2,4,1,4,3,3
51070002,1,3,2,4,-1,-1
51070003,1,2,2,2,4,2
51070004,1,2,2,4,4,3
51070005,1,2,3,3,2,2
51070006,1,1,1,2,3,2
51070007,1,2,4,4,4,4
51070008,1,2,2,4,3,3
51070009,1,1,1,2,3,2
51070010,1,1,2,2,2,2
51070011,1,2,3,1,3,3
51070012,1,2,1,2,1,1
51070013,1,2,2,4,4,2
51070014,1,3,2,3,-1,-1
51070015,1,2,2,4,4,4
51070016,1,1,1,3,4,-1
51070017,1,1,1,4,4,4
51070018,1,2,2,4,4,4
51070019,1,2,2,3,4,3
51070020,1,3,2,4,4,4
51070021,1,4,4,4,4,4
51070022,1,2,4,3,2,2
51070023,1,2,3,3,1,1
51070024,1,2,4,4,4,4
51070025,1,2,4,3,4,4
51070026,1,2,3,3,3,3
51070027,1,2,2,3,3,-1
51070028,1,2,2,3,4,4
51070029,2,3,4,2,2,3
51070030,1,2,3,4,4,2
51070031,1,1,1,4,3,3
51070032,1,2,1,2,-1,-1
51070033,1,2,2,3,3,3
51070034,1,2,1,4,4,4
51070035,1,2,2,3,4,4
51070036,1,1,1,4,4,4
51070037,1,2,2,4,4,4
51070038,1,2,2,3,2,2
51070039,1,1,1,4,4,3
51070040,1,2,2,4,4,4
51070041,1,2,2,4,4,4
51070042,1,2,2,4,3,4
51070043,1,2,2,3,4,4
51070044,1,2,2,4,2,2
51070045,1,2,1,3,3,2
51070046,1,2,3,3,4,4
51070047,1,2,2,4,2,2
51070048,1,1,1,4,4,4
51070049,1,1,2,3,4,2
51070050,2,2,3,2,4,3
51070051,1,2,2,4,-1,3
51070052,1,2,1,2,4,4
51070053,1,2,1,2,4,4
51070054,1,2,1,3,4,4
51070055,1,2,3,3,2,2
51070056,1,2,1,2,1,1
51070057,1,3,2,3,4,2
51070058,1,1,2,3,3,2
51070059,1,2,1,3,4,4
51070060,1,4,2,4,4,4
51070061,1,2,2,4,3,-1
51070062,1,2,2,3,2,4
51070063,1,2,2,2,3,4
51070064,1,1,2,3,4,2
51070065,2,3,2,4,4,4
51070066,1,2,1,3,3,3
51070067,1,3,3,3,4,2
51070068,1,3,3,4,3,3
51070069,1,1,1,3,3,3
51070070,1,2,2,2,2,2
51070071,1,2,1,3,3,3
51070072,1,-2,-2,1,2,1
51070073,1,2,2,4,3,2
51070074,1,1,1,2,2,2
51070075,1,1,1,3,4,4
51070076,1,2,1,2,2,2
51070077,1,2,2,2,2,2
51070078,1,2,2,3,3,3
51070079,1,2,2,3,4,-1
51070080,1,2,2,2,2,-1
51070081,1,2,1,4,2,2
51070082,1,1,2,4,2,2
51070083,1,1,1,2,2,3
51070084,1,2,2,4,4,3
51070085,1,3,2,3,4,2
51070086,1,4,2,4,4,4
51070087,1,2,2,4,4,3
51070088,1,2,2,4,4,4
51070089,1,4,3,4,4,4
51070090,1,3,2,4,2,2
51070091,1,2,2,3,3,3
51070092,1,2,2,4,4,4
51070093,1,1,2,3,2,2
51070094,1,2,1,2,2,2
51070095,1,2,2,3,3,2
51070096,1,2,2,3,4,2
51070097,1,3,1,4,4,3
51070098,1,2,2,3,4,3
51070099,1,2,2,2,2,2
51070100,1,4,2,4,4,4
51070101,1,2,3,3,2,3
51070102,1,2,2,2,4,-1
51070103,1,2,2,3,4,4
51070104,1,2,3,3,4,4
51070105,1,3,1,4,4,4
51070106,1,1,1,2,3,2
51070107,1,2,2,3,3,4
51070108,1,2,2,3,4,4
51070109,1,2,3,3,3,2
51070110,1,3,3,4,3,3
51070111,1,1,1,4,4,4
51070112,1,2,3,3,1,3
51070113,1,2,4,3,4,4
51070114,1,1,2,3,4,3
51070115,2,4,3,3,3,2
51070116,1,2,1,4,2,2
51070117,1,2,4,4,4,4
51070118,1,2,2,2,4,3
51070119,1,2,3,4,3,3
51070120,1,3,3,2,4,2
51070121,1,2,2,3,3,3
51070122,2,2,2,4,4,4
51070123,1,2,3,4,4,4
51070124,1,2,3,3,4,3
51070125,1,3,1,4,4,4
51070126,1,2,2,3,3,3
51070127,1,3,3,2,4,4
51070128,1,-1,2,3,-1,-2
51070129,1,2,2,3,3,3
51070130,1,4,2,3,3,3
51070131,1,4,4,4,3,2
51070132,1,2,2,4,4,4
51070133,1,2,2,3,3,2
51070134,1,2,1,2,4,3
51070135,1,3,2,4,4,4
51070136,1,1,1,3,4,-1
51070137,2,1,2,2,2,2
51070138,1,2,2,3,3,3
51070139,1,3,2,3,4,4
51070140,1,4,2,4,4,2
51070141,2,4,2,4,4,4
51070142,1,3,2,4,4,4
51070143,1,3,3,4,2,3
51070144,2,4,1,4,4,4
51070145,1,2,1,2,3,3
51070146,1,2,2,2,3,3
51070147,1,1,1,2,3,3
51070148,1,2,1,3,4,2
51070149,1,2,3,2,4,4
51070150,1,3,1,1,2,2
51070151,1,2,1,3,4,4
51070152,1,3,2,4,4,4
51070153,1,4,3,4,4,3
51070154,1,2,-1,3,3,3
51070155,1,2,2,2,2,2
51070156,1,1,1,2,2,2
51070157,1,2,2,3,4,2
51070158,1,1,1,4,4,3
51070159,1,3,2,4,4,4
51070160,1,2,2,4,3,3
51070161,1,3,3,4,3,3
51070162,1,3,1,4,4,4
51070163,1,2,1,4,2,3
51070164,1,2,2,4,4,4
51070165,1,2,2,3,2,2
51070166,1,-1,2,4,2,2
51070167,1,4,2,-1,2,2
51070168,1,4,2,4,3,3
51070169,1,2,2,3,4,2
51070170,1,1,1,3,3,3
51070171,1,2,2,4,4,4
51070172,1,2,1,3,3,3
51070173,1,2,2,2,2,2
51070174,1,2,2,3,4,-1
51070175,1,1,1,2,4,4
51070176,1,2,2,4,3,3
51070177,1,2,2,3,4,2
51070178,1,1,2,4,2,2
51070179,1,4,3,3,2,1
51070180,1,2,3,4,4,4
51070181,1,2,2,4,3,4
51070182,1,1,1,2,4,2
51070183,1,2,2,1,4,4
51070184,1,2,1,3,3,3
51070185,1,3,2,3,4,4
51070186,1,2,3,4,4,4
51070187,1,2,2,3,3,4
51070188,1,2,2,3,4,4
51070189,1,2,2,2,4,4
51070190,1,2,2,2,3,3
51070191,1,2,2,3,2,2
51070192,1,2,2,3,4,2
51070193,1,2,2,3,1,1
51070194,2,3,2,4,3,4
51070195,1,3,2,4,4,4
51070196,1,2,3,3,3,2
51070197,1,2,2,3,3,3
51070198,1,3,3,4,4,4
51070199,1,2,2,3,3,3
51070200,1,2,2,4,2,2
51070201,1,2,2,3,4,4
51070202,-2,2,2,3,2,3
51070203,1,2,3,4,4,4
51070204,1,3,3,4,4,4
51070205,1,2,3,4,4,4
51070206,1,2,2,4,4,4
51070207,1,2,2,4,3,4
51070208,1,4,4,4,4,4
51070209,2,4,3,4,4,3
51070210,1,2,2,3,4,2
51070211,1,2,2,3,3,3
51070212,1,2,4,3,3,3
51070213,2,3,2,4,2,2
51070214,1,2,2,3,1,3
51070215,1,2,3,4,3,3
51070216,1,3,1,3,4,4
51070217,1,4,2,4,4,4
51070218,1,2,2,2,2,2
51070219,1,4,4,4,4,4
51070220,-1,4,2,4,4,4
51070221,1,3,2,4,4,4
51070222,1,2,2,2,2,2
51070223,2,3,2,4,4,4
51070224,2,1,1,3,-2,3
51070225,1,2,1,3,4,4
51070226,1,1,1,3,4,3
51070227,1,2,2,3,-1,-1
51070228,1,2,2,4,2,2
51070229,1,1,3,3,4,4
51070230,2,2,2,3,4,4
51070231,1,2,1,3,4,3
51070232,1,2,2,4,4,4
51070233,1,4,4,4,4,4
51070234,1,2,1,2,1,1
51070235,1,2,2,3,2,2
51070236,1,2,2,4,4,4
51070237,1,2,1,2,2,2
51070238,1,2,2,3,2,2
51070239,1,2,2,4,4,4
51070240,1,2,2,3,3,3
51070241,1,1,2,2,4,4
51070242,1,3,2,3,3,4
51070243,1,2,2,2,2,2
51070244,1,-1,2,3,-1,4
51070245,1,1,2,3,-1,2
51070246,1,2,1,2,2,2
51070247,1,2,2,4,2,2
51070248,1,3,2,3,2,2
51070249,2,2,2,3,4,3
51070250,1,1,1,2,2,2
51070251,1,3,3,3,3,3
51070252,1,2,1,4,4,4
51070253,1,1,2,4,4,2
51070254,1,1,1,2,4,4
51070255,1,2,3,4,4,4
51070256,1,1,3,3,4,1
51070257,1,1,2,3,4,2
51070258,1,2,2,4,4,4
51070259,1,2,2,3,4,2
51070260,2,3,2,4,4,4
51070261,1,2,2,4,4,4
51070262,1,3,4,4,4,3
51070263,1,1,1,2,4,4
51070264,1,1,2,4,2,2
51070265,1,2,2,4,4,4
51070266,1,2,3,4,4,4
51070267,1,2,1,4,4,-1
51070268,2,4,2,4,-1,4
51070269,1,1,1,2,2,2
51070270,1,2,2,3,4,4
51070271,1,4,3,4,4,2
51070272,1,1,2,2,-1,2
51070273,1,4,2,4,4,4
51070274,1,2,2,2,4,4
51070275,1,3,3,4,-1,4
51070276,1,2,2,4,4,3
51070277,1,2,1,4,4,4
51070278,1,3,3,3,4,4
51070279,1,2,1,3,4,2
51070280,1,2,2,2,2,2
51070281,1,2,2,3,4,3
51070282,2,2,2,4,2,2
51070283,1,2,1,4,3,3
51070284,1,2,2,3,3,2
51070285,1,3,2,2,2,4
51070286,1,2,2,4,4,4
51070287,1,2,1,3,4,4
51070288,1,2,2,2,2,3
51070289,1,4,2,-1,2,2
51070290,1,2,3,2,4,3
51070291,1,2,2,4,3,4
51070292,1,4,4,4,4,4
51070293,2,3,2,3,3,2
51070294,1,2,2,2,3,3
51070295,1,-1,2,4,-2,-2
51070296,1,2,3,3,4,4
51070297,1,2,2,3,4,2
51070298,1,2,2,4,4,4
51070299,1,2,1,2,2,2
51070300,1,1,1,2,4,2
51070301,1,2,1,2,2,2
51070302,1,1,1,2,4,4
51070303,1,1,2,2,2,2
51070304,1,2,3,3,3,2
51070305,1,2,2,3,4,4
51070306,1,1,1,3,3,3
51070307,1,4,2,4,4,2
51070308,1,1,1,3,4,2
51070309,1,3,1,3,4,3
51070310,1,3,3,2,2,2
51070311,2,4,2,2,2,2
51070312,1,2,2,3,2,2
51070313,1,1,1,1,-1,-2
51070314,-2,1,1,3,2,2
51070315,1,3,2,2,3,2
51070316,1,2,2,2,2,2
51070317,2,3,3,3,3,3
51070318,1,2,2,2,2,2
51070319,1,2,2,2,2,2
51070320,2,1,2,2,4,4
51070321,1,2,2,3,2,2
51070322,1,2,3,4,4,2
51070323,1,2,2,2,3,2
51070324,1,2,3,4,2,2
51070325,1,4,3,3,-1,4
51070326,1,4,2,4,4,4
51070327,1,4,3,4,4,4
51070328,1,2,2,3,3,3
51070329,1,3,3,4,4,3
51070330,1,2,2,4,1,2
51070331,1,2,2,2,2,2
51070332,1,2,3,3,3,3
51070333,1,1,1,2,3,3
51070334,1,2,1,3,-1,4
51070335,1,2,1,3,3,4
51070336,1,2,1,3,4,2
51070337,1,2,2,3,4,2
51070338,1,2,1,2,2,4
51070339,1,2,2,4,4,4
51070340,1,1,1,3,3,3
51070341,1,2,2,2,-1,-1
51070342,1,2,3,4,4,2
51070343,1,1,2,2,2,2
51070344,1,1,3,2,1,1
51070345,1,2,1,4,4,2
51070346,1,2,2,2,2,2
51070347,1,2,2,4,2,2
51070348,1,1,2,2,4,2
51070349,1,3,2,3,2,2
51070350,1,3,2,2,4,4
51070351,1,3,2,4,2,2
51070352,1,3,1,3,-1,-1
51070353,1,2,1,3,3,4
51070354,1,1,1,2,4,4
51070355,1,1,1,3,3,3
51070356,1,1,2,4,3,3
51070357,1,2,1,4,4,4
51070358,1,4,2,4,4,4
51070359,1,1,1,1,3,2
51070360,1,2,2,2,2,2
51070361,1,4,3,4,4,3
51070362,1,2,2,4,3,3
51070363,1,2,2,3,4,2
51070364,1,2,1,2,1,2
51070365,1,2,2,2,2,2
51070366,1,2,2,3,4,2
51070367,1,2,2,3,4,2
51070368,1,2,2,3,4,4
51070369,1,3,3,3,3,3
