D_INTERVIEW,Q58,Q59,Q60,Q61,Q62,Q63
170070052,1,3,3,4,3,3
170070053,1,1,2,3,4,3
170070054,1,3,2,4,2,4
170070057,1,3,1,2,2,3
170070069,1,3,2,4,3,4
170070074,2,2,2,4,2,3
170070075,2,4,4,4,4,4
170070076,1,3,4,4,4,2
170070080,1,2,2,3,2,2
170070085,2,2,2,4,2,2
170070087,4,4,4,4,4,4
170070093,3,3,3,3,3,3
170070104,1,2,2,2,2,2
170070105,1,2,2,3,3,3
170070112,1,2,2,3,2,2
170070113,1,2,2,3,2,2
170070122,1,1,1,3,3,4
170070126,2,2,1,1,4,2
170070128,1,3,2,3,3,3
170070132,2,3,3,4,4,3
170070154,1,1,1,2,2,4
170070156,1,3,2,4,3,3
170070197,1,2,2,3,2,2
170070198,3,2,2,2,2,3
170070210,1,2,2,4,2,4
170070213,1,3,2,3,2,4
170070214,3,3,3,3,4,3
170070215,1,1,1,1,3,3
170070219,1,3,2,3,2,2
170070222,1,2,1,2,2,2
170070224,3,4,4,4,4,1
170070253,1,2,2,3,2,2
170070255,1,2,1,4,3,4
170070261,1,4,4,4,4,4
170070308,4,4,2,4,4,4
170070312,1,3,2,2,2,2
170070323,1,3,2,4,3,3
170070332,1,3,1,4,3,3
170070334,2,2,3,3,3,2
170070337,1,3,2,3,3,3
170070341,2,3,4,3,4,4
170070344,1,3,3,4,2,2
170070358,2,3,1,4,2,2
170070366,1,2,2,3,3,3
170070369,1,2,2,1,1,1
170070378,3,4,3,3,4,4
170070385,1,2,3,4,2,4
170070388,2,4,2,4,3,3
170070389,2,3,2,3,3,2
170070390,2,4,2,3,3,3
170070393,4,3,4,4,4,4
170070394,3,3,3,3,3,3
170070395,1,3,2,2,2,2
170070407,2,2,2,4,3,3
170070408,2,2,2,4,4,4
170070414,1,2,2,4,2,2
170070415,1,2,2,4,2,2
170070418,2,2,2,4,4,4
170070421,1,2,1,3,3,2
170070422,1,3,2,4,3,3
170070423,2,2,2,2,2,2
170070426,1,1,1,2,1,2
170070432,1,1,2,3,2,2
170070442,1,2,2,2,2,2
170070465,1,3,3,3,3,3
170070471,1,2,1,3,1,3
170070497,1,1,1,4,4,4
170070503,2,4,4,4,3,3
170070507,1,4,4,4,1,3
170070510,1,2,3,4,4,4
170070514,1,2,2,3,2,3
170070515,1,1,4,4,1,4
170070522,1,3,2,3,2,3
170070530,1,1,1,4,4,4
170070531,1,3,3,4,4,4
170070534,1,3,4,4,2,3
170070538,2,4,4,4,4,4
170070541,1,2,2,3,3,3
170070544,2,4,1,3,1,2
170070545,1,2,3,4,3,3
170070553,1,1,3,3,3,3
170070558,2,3,2,4,3,4
170070559,1,2,2,3,2,2
170070560,1,2,3,3,3,3
170070561,2,2,1,4,4,4
170070562,1,1,1,3,3,3
170070565,1,1,3,3,3,3
170070585,1,2,3,3,3,3
170070593,1,2,2,2,2,2
170070598,1,2,2,3,2,2
170070601,2,2,2,4,4,4
170070621,1,2,3,3,4,4
170070626,1,2,2,3,3,3
170070630,1,2,4,4,4,4
170070631,1,2,2,3,2,3
170070663,2,3,2,4,4,1
170070666,1,1,2,3,2,2
170070669,1,3,2,4,3,4
170070672,2,3,2,3,3,2
170070673,2,3,3,3,3,3
170070676,4,4,4,4,4,4
170070680,1,3,3,3,3,3
170070682,1,2,2,3,2,3
170070686,1,2,2,3,2,2
170070699,3,3,4,4,1,4
170070703,1,3,3,4,3,3
170070704,2,3,3,3,3,3
170070706,2,4,2,4,4,4
170070723,2,1,4,4,4,4
170070731,1,2,1,1,1,2
170070734,1,2,3,4,2,2
170070737,1,2,4,4,4,4
170070749,2,4,4,4,4,4
170070750,1,3,2,3,3,4
170070751,1,4,2,2,2,2
170070752,1,3,2,4,4,4
170070756,2,2,3,3,3,3
170070760,1,3,2,3,3,3
170070762,1,2,2,2,2,2
170070763,1,2,2,2,2,2
170070764,1,3,4,4,3,3
170070769,1,3,3,3,3,3
170070776,1,2,2,4,4,4
170070779,1,1,2,2,2,3
170070805,2,2,2,3,2,3
170070809,1,2,2,3,4,2
170070810,2,3,4,4,4,4
170070836,1,2,4,4,2,2
170070856,1,2,2,3,2,2
170070868,2,4,4,4,4,4
170070881,1,3,1,4,3,4
170070884,1,4,4,4,4,4
170070890,1,2,2,3,3,1
170070904,1,2,2,3,3,3
170071000,1,2,2,4,4,3
170071009,1,3,2,4,2,3
170071010,1,3,3,3,3,3
170071012,1,3,3,4,4,4
170071013,1,3,3,3,2,3
170071014,1,2,2,2,2,2
170071018,1,1,2,3,3,4
170071020,1,2,2,3,2,4
170071024,1,3,3,4,4,4
170071029,1,1,1,4,2,3
170071042,1,2,3,4,3,2
170071045,2,2,1,2,2,2
170071046,1,3,2,4,2,4
170071051,1,3,1,3,3,4
170071052,1,2,3,4,3,3
170071053,1,2,2,2,4,4
170071059,1,3,3,4,3,3
170071060,2,3,3,3,2,3
170071061,2,3,2,3,3,3
170071062,1,3,3,4,4,4
170071083,4,2,2,2,2,2
170071092,1,3,3,4,3,3
170071094,1,3,2,3,2,3
170071095,3,3,3,4,4,4
170071096,1,3,3,3,3,3
170071097,2,1,2,3,4,4
170071101,1,3,3,3,4,4
170071104,1,4,2,4,1,4
170071110,1,1,2,2,2,2
170071113,2,4,4,4,4,4
170071124,1,1,3,3,3,3
170071131,1,3,4,4,4,4
170071152,2,2,2,3,4,3
170071153,1,2,3,3,3,3
