D_INTERVIEW,Q58,Q59,Q60,Q61,Q62,Q63
276070001,1,1,1,2,2,2
276070002,1,3,2,3,2,2
276070003,1,3,2,2,2,2
276070004,1,2,2,2,2,2
276070005,1,1,2,2,2,2
276070006,1,2,2,3,-1,-1
276070007,2,1,2,3,2,2
276070008,1,2,2,3,3,3
276070009,1,2,2,3,3,4
276070010,2,3,3,4,4,4
276070011,1,2,2,2,2,2
276070012,2,2,2,3,3,3
276070013,1,2,2,3,4,4
276070014,1,2,2,3,3,3
276070015,1,3,2,3,2,2
276070016,2,3,1,2,2,2
276070017,2,4,4,4,4,4
276070018,1,3,2,3,2,2
276070019,1,2,1,3,2,2
276070020,1,2,2,3,-2,2
276070021,1,2,-1,2,2,2
276070022,1,2,2,2,2,2
276070023,1,2,2,2,2,2
276070024,2,3,2,4,3,3
276070025,1,3,2,3,-1,2
276070026,1,1,2,3,2,2
276070027,1,2,1,2,2,2
276070028,1,2,2,4,3,3
276070029,2,2,1,3,2,2
276070030,1,3,2,4,-1,-1
276070031,1,2,1,2,2,2
276070032,1,2,2,2,2,2
276070033,1,2,2,2,2,2
276070034,1,2,2,3,2,2
276070035,1,1,1,2,2,2
276070036,1,3,2,3,3,4
276070037,1,2,2,3,2,2
276070038,3,2,2,2,2,2
276070039,1,2,2,3,2,2
276070040,1,3,1,3,-1,-1
276070041,1,2,2,3,2,2
276070042,1,2,3,3,3,2
276070043,1,2,2,3,3,3
276070044,1,1,2,3,2,3
276070045,1,3,2,4,3,3
276070046,1,2,2,4,2,2
276070047,2,2,2,3,3,3
276070048,1,2,2,2,1,1
276070049,1,2,2,2,2,2
276070050,2,2,2,2,2,2
276070051,1,2,2,3,3,3
276070052,1,2,2,3,2,-1
276070053,2,2,2,3,3,3
276070054,1,2,1,3,2,2
276070055,2,2,2,3,3,3
276070056,1,1,2,3,2,2
276070057,1,2,2,3,3,2
276070058,1,2,2,2,2,2
276070059,1,2,2,3,2,2
276070060,2,2,2,2,3,2
276070061,1,2,2,3,3,3
276070062,2,2,2,2,2,2
276070063,2,2,2,3,2,2
276070064,1,2,2,3,2,2
276070065,1,3,2,2,2,2
276070066,1,2,2,2,2,2
276070067,1,2,2,2,1,2
276070068,1,1,1,2,-2,2
276070069,1,-1,-1,3,-1,-1
276070070,1,2,2,3,3,3
276070071,1,2,1,2,2,2
276070072,2,2,3,2,2,2
276070073,1,2,2,3,-1,-1
276070074,1,2,1,2,2,2
276070075,1,2,2,2,2,2
276070076,1,2,2,3,2,2
276070077,1,2,1,3,2,2
276070078,-2,2,3,4,4,4
276070079,1,2,1,3,3,3
276070080,1,2,1,2,2,2
276070081,1,1,2,4,2,2
276070082,1,2,1,3,3,3
276070083,2,2,2,4,3,3
276070084,1,2,2,3,2,2
276070085,1,4,2,3,-1,2
276070086,1,2,2,3,2,2
276070087,1,2,2,2,2,2
276070088,1,2,2,3,2,2
276070089,1,3,2,3,3,3
276070090,1,2,2,4,2,2
276070091,1,3,2,2,2,2
276070092,1,2,2,2,2,1
276070093,1,2,2,2,2,2
276070094,1,3,2,4,4,4
276070095,1,2,1,3,-2,-2
276070096,1,2,2,4,3,2
276070097,1,2,2,3,2,2
276070098,1,2,2,2,-2,-2
276070099,1,4,1,3,1,1
276070100,1,2,1,4,3,3
276070101,1,2,2,3,-1,-1
276070102,1,2,2,2,2,2
276070103,1,3,2,4,2,2
276070104,1,2,2,3,3,3
276070105,1,2,2,3,3,3
276070106,1,2,2,3,3,3
276070107,1,1,1,2,2,2
276070108,1,2,2,2,2,2
276070109,3,3,2,4,3,3
276070110,1,2,2,4,3,3
276070111,1,1,2,3,3,3
276070112,1,2,1,2,2,2
276070113,1,2,2,3,2,2
276070114,2,2,2,3,3,3
276070115,1,2,2,3,3,3
276070116,1,2,2,3,2,2
276070117,2,3,2,4,3,3
276070118,1,2,2,2,2,2
276070119,2,3,3,3,1,1
276070120,1,2,2,3,-1,-1
276070121,2,2,2,3,2,2
276070122,1,2,1,2,2,2
276070123,2,2,2,3,3,3
276070124,1,2,1,2,2,1
276070125,1,2,2,3,2,2
276070126,2,3,2,3,3,2
276070127,1,2,2,2,2,2
276070128,4,2,2,2,2,2
276070129,1,2,1,2,-2,-2
276070130,1,2,1,2,2,2
276070131,1,2,2,4,2,2
276070132,1,2,2,2,3,4
276070133,1,2,2,2,2,2
276070134,1,2,2,2,2,2
276070135,1,1,2,3,2,2
276070136,2,2,2,2,2,2
276070137,1,2,2,-1,-1,-1
276070138,1,2,2,3,2,2
276070139,1,2,2,2,2,2
276070140,1,2,2,3,2,2
276070141,1,3,2,3,2,2
276070142,1,1,1,3,3,3
276070143,1,3,1,4,4,4
276070144,1,1,1,3,2,2
276070145,2,3,3,3,3,3
276070146,1,1,1,2,2,2
276070147,1,2,2,2,2,2
276070148,1,2,2,-1,-1,-1
276070149,1,1,2,3,3,3
276070150,1,3,2,4,-1,2
276070151,1,1,1,3,2,2
276070152,1,2,2,3,2,2
276070153,1,2,2,3,2,2
276070154,1,2,1,2,2,1
276070155,1,1,2,2,2,2
276070156,1,2,2,2,3,3
276070157,1,2,2,2,2,2
276070158,1,1,2,2,2,2
276070159,1,2,2,3,3,3
276070160,1,2,2,3,2,2
276070161,1,2,1,2,3,4
276070162,2,2,2,2,2,1
276070163,1,2,1,2,2,2
276070164,1,2,2,2,2,-1
276070165,1,2,2,2,2,2
276070166,1,2,1,3,2,2
276070167,1,2,2,2,2,2
276070168,1,2,1,3,1,1
276070169,1,3,1,3,2,2
276070170,2,2,2,2,2,2
276070171,1,2,2,4,2,2
276070172,1,2,2,3,2,2
276070173,1,2,2,2,2,2
276070174,1,2,2,3,3,3
276070175,1,2,1,2,2,2
276070176,1,2,2,2,2,2
