D_INTERVIEW,Q58,Q59,Q60,Q61,Q62,Q63
300070001,1,3,2,3,2,2
300070002,1,2,1,3,2,2
300070003,1,2,2,3,3,3
300070004,1,1,1,2,1,1
300070005,2,2,2,2,2,2
300070006,1,1,1,4,4,3
300070007,1,2,2,2,1,1
300070008,1,2,2,3,3,3
300070009,1,3,2,3,3,3
300070010,1,2,1,2,-1,4
300070011,1,3,2,4,3,3
300070012,1,3,2,4,3,3
300070013,1,3,2,4,3,3
300070014,1,3,2,3,3,3
300070015,1,3,2,4,3,3
300070016,1,3,2,4,3,3
300070017,1,3,2,3,3,3
300070018,2,2,3,3,3,2
300070019,1,3,2,3,3,3
300070020,1,2,2,3,2,2
300070021,1,3,1,3,-1,-1
300070022,1,2,2,4,4,4
300070023,2,3,2,3,2,2
300070024,2,3,2,3,3,3
300070025,1,3,2,4,-1,4
300070026,1,3,2,3,-1,-1
300070027,1,3,2,2,2,2
300070028,1,3,3,3,3,3
300070029,1,2,2,4,-1,-1
300070030,1,3,1,3,2,1
300070031,1,3,3,3,3,3
300070032,2,3,3,4,2,3
300070033,1,4,2,3,2,3
300070034,2,3,2,4,3,4
300070035,1,4,3,4,4,4
300070036,1,3,4,4,4,4
300070037,1,3,3,4,4,4
300070038,1,4,4,4,4,3
300070039,1,2,3,3,2,3
300070040,1,3,3,3,3,3
300070041,1,4,4,4,3,3
300070042,1,4,2,4,-1,-1
300070043,1,1,2,3,3,2
300070044,1,3,2,3,3,4
300070045,1,3,2,-1,-1,-1
300070046,2,3,2,4,3,3
300070047,1,3,2,-1,-1,-1
300070048,1,2,2,2,2,1
300070049,1,3,2,4,-1,-1
300070050,2,3,2,3,3,3
300070051,2,4,3,3,-1,-1
300070052,4,4,-2,1,1,1
300070053,1,-1,2,2,2,2
300070054,1,3,2,3,2,3
300070055,1,3,2,3,-1,3
300070056,1,2,2,3,2,2
300070057,1,2,2,4,2,2
300070058,1,-1,2,2,2,2
300070059,1,3,2,3,-1,-1
300070060,1,3,2,2,4,4
300070061,1,2,-2,-2,-2,-2
300070062,1,3,2,3,2,2
300070063,1,3,2,3,-1,-1
300070064,1,3,2,3,3,3
300070065,1,2,2,2,2,2
300070066,1,2,2,2,2,2
300070067,1,2,2,3,3,3
300070068,1,2,2,3,3,3
300070069,1,3,2,3,-1,-1
300070070,1,3,2,3,3,3
300070071,1,3,1,4,3,3
300070072,1,3,3,4,4,3
300070073,1,2,1,4,3,3
300070074,1,2,1,4,3,2
300070075,1,4,2,3,4,3
300070076,2,3,2,3,3,3
300070077,1,2,1,3,-1,3
300070078,1,2,2,3,3,3
300070079,1,3,1,4,3,3
300070080,1,3,2,3,4,4
300070081,1,2,2,2,2,2
300070082,1,1,1,2,2,2
300070083,1,2,2,4,4,4
300070084,1,3,1,3,3,3
300070085,1,2,1,2,2,2
300070086,1,2,2,3,2,2
300070087,1,2,1,3,3,3
300070088,1,2,2,3,2,3
300070089,1,2,2,3,4,4
300070090,1,1,1,2,3,3
300070091,1,3,1,4,3,3
300070092,1,4,1,4,3,3
300070093,1,2,2,3,3,3
300070094,1,3,1,4,3,2
300070095,1,2,1,3,2,2
300070096,1,4,1,4,4,4
300070097,1,3,2,3,3,3
300070098,1,3,1,3,3,3
300070099,1,3,2,4,4,4
300070100,1,1,1,3,3,3
300070101,1,3,2,3,3,3
300070102,1,2,2,3,3,3
300070103,1,2,2,2,2,2
300070104,1,3,2,3,3,3
300070105,1,3,2,3,3,3
300070106,1,3,2,3,2,2
300070107,1,3,3,4,2,2
300070108,1,3,2,3,3,3
300070109,1,3,2,3,3,3
300070110,1,2,2,3,3,3
300070111,1,3,2,-1,-1,3
300070112,1,2,3,3,3,3
300070113,1,2,2,-1,2,2
300070114,1,3,2,3,3,3
300070115,1,3,2,4,4,4
300070116,1,2,2,3,3,3
300070117,1,2,4,4,2,2
300070118,1,2,1,3,3,-1
300070119,1,2,2,-2,2,2
300070120,1,3,3,3,4,-1
300070121,1,2,2,3,3,4
300070122,1,3,2,3,3,3
300070123,1,3,2,3,3,3
300070124,1,2,2,4,4,4
300070125,1,3,2,3,-1,4
300070126,2,3,3,3,3,3
300070127,1,2,2,2,2,2
300070128,2,4,3,4,4,4
300070129,2,4,3,4,4,4
300070130,1,3,3,4,3,3
300070131,1,3,1,3,3,3
300070132,1,1,2,3,3,3
300070133,1,2,2,3,3,3
300070134,1,2,2,3,3,3
300070135,1,2,1,3,3,3
300070136,1,2,1,2,2,2
300070137,1,3,2,3,4,4
300070138,1,2,1,3,3,3
300070139,1,3,2,3,3,3
300070140,1,2,2,3,2,2
300070141,1,2,1,2,3,3
300070142,1,2,2,3,3,3
300070143,1,-1,2,4,-2,3
300070144,1,2,2,3,3,3
300070145,1,2,1,2,2,2
300070146,1,3,3,3,3,3
300070147,1,2,1,2,2,2
300070148,1,2,2,3,3,3
300070149,1,2,1,3,4,3
300070150,1,2,2,3,-1,-1
300070151,1,2,3,3,3,3
300070152,1,2,2,2,2,2
300070153,1,3,2,3,4,2
300070154,1,2,2,2,2,2
300070155,1,4,3,4,4,4
300070156,1,3,3,3,3,3
300070157,1,1,1,4,2,2
300070158,1,2,2,3,3,3
300070159,1,1,2,3,2,2
300070160,1,2,2,2,2,2
300070161,1,3,1,3,3,3
300070162,1,4,2,4,4,4
300070163,1,1,1,2,2,2
300070164,1,2,1,2,-1,2
300070165,1,3,2,3,3,3
300070166,1,3,3,4,4,4
300070167,1,2,2,3,2,2
300070168,1,3,2,3,3,3
300070169,1,2,2,3,3,3
300070170,1,3,3,4,3,3
300070171,1,3,3,4,4,4
300070172,1,2,2,3,4,4
300070173,1,3,3,4,4,4
300070174,1,2,2,3,2,2
300070175,1,3,3,3,4,4
300070176,2,4,3,4,4,4
300070177,1,3,2,3,3,3
300070178,1,3,3,4,4,4
300070179,1,2,2,3,2,2
300070180,1,3,3,4,4,4
300070181,1,2,2,4,3,3
300070182,1,2,1,2,2,2
300070183,1,3,2,3,3,3
300070184,1,3,2,4,2,2
300070185,1,3,2,3,3,3
300070186,1,2,2,3,2,2
300070187,1,2,2,3,2,2
300070188,1,2,2,4,3,3
300070189,1,3,2,3,3,3
300070190,1,3,2,3,3,3
300070191,1,3,2,4,3,3
300070192,1,2,2,3,3,3
300070193,1,4,2,3,3,3
300070194,1,3,2,4,3,3
300070195,1,4,3,4,3,3
300070196,1,2,2,3,3,3
300070197,1,2,2,3,3,3
300070198,1,2,2,3,3,3
