D_INTERVIEW,Q58,Q59,Q60,Q61,Q62,Q63
392070001,1,2,2,3,2,2
392070002,1,2,2,2,2,2
392070003,1,2,2,3,-1,-1
392070004,3,4,2,4,3,4
392070005,1,3,2,2,3,2
392070006,1,4,4,4,4,4
392070007,1,3,3,4,4,4
392070008,1,2,2,3,-1,-1
392070009,1,2,2,3,2,2
392070010,1,1,1,3,3,3
392070011,1,3,2,4,4,3
392070012,2,-1,2,-1,-1,-1
392070013,2,2,2,2,2,3
392070014,1,1,2,3,3,3
392070015,2,2,2,2,2,2
392070016,1,2,1,2,2,-1
392070017,2,3,2,3,3,3
392070018,1,2,2,-1,3,3
392070019,1,2,3,3,3,3
392070020,2,3,2,3,3,3
392070021,-2,-2,-2,-2,-2,-2
392070022,1,2,2,3,4,4
392070023,2,3,2,3,3,3
392070024,1,3,2,-1,-1,-1
392070025,2,2,2,3,3,3
392070026,1,2,2,3,3,3
392070027,2,2,2,3,-1,3
392070028,2,3,4,4,4,4
392070029,1,2,1,3,3,3
392070030,2,3,2,3,3,3
392070031,1,3,2,3,3,3
392070032,2,2,3,3,-1,-1
392070033,1,2,1,2,2,2
392070034,1,2,2,-1,-1,-1
392070035,1,2,2,3,3,3
392070036,2,2,2,3,4,4
392070037,1,-1,2,-1,-1,-1
392070038,2,2,2,-1,-1,-1
392070039,1,4,2,3,3,3
392070040,1,2,2,3,3,3
392070041,1,3,2,4,-1,-1
392070042,2,2,2,-1,-1,-1
392070043,1,3,2,4,4,4
392070044,1,2,2,4,3,3
392070045,2,2,1,3,3,3
392070046,2,3,2,3,3,3
392070047,2,2,2,-1,-1,-1
392070048,1,2,1,4,-1,-1
392070049,2,2,2,3,3,3
392070050,2,2,2,-1,-1,-1
392070051,2,2,2,3,-1,-1
392070052,1,2,2,3,3,3
392070053,1,-1,2,3,-1,-1
392070054,1,1,2,3,-1,2
392070055,2,2,2,3,4,4
392070056,1,2,2,3,3,3
392070057,1,2,2,3,3,3
392070058,1,1,1,3,-1,-1
392070059,2,2,2,3,3,3
392070060,1,3,2,3,-1,4
392070061,2,2,2,-1,-1,-1
392070062,2,3,2,3,4,4
392070063,1,2,2,-1,-1,-1
392070064,2,2,2,3,-1,-1
392070065,1,3,2,3,3,3
392070066,2,2,3,4,3,3
392070067,2,3,2,4,-1,-1
392070068,1,3,2,3,4,-1
392070069,1,2,2,3,3,3
392070070,1,-1,-1,-1,3,3
392070071,1,2,2,2,-1,-1
392070072,1,3,1,3,-1,-1
392070073,2,2,2,2,2,2
392070074,1,2,2,3,4,3
392070075,2,3,2,4,-1,-1
392070076,1,3,2,4,-1,-1
392070077,1,2,2,3,3,3
392070078,1,4,3,4,4,4
392070079,2,2,2,-1,-1,-1
392070080,1,2,2,2,2,2
392070081,2,3,2,4,-1,-1
392070082,1,2,2,3,3,3
392070083,2,-1,-1,3,-1,-1
392070084,1,2,2,2,3,3
392070085,1,3,2,3,3,3
392070086,1,2,2,-1,-1,-1
392070087,1,2,2,3,-1,-1
392070088,2,3,3,4,4,4
392070089,2,3,2,3,3,3
392070090,1,1,1,2,2,2
392070091,2,-1,-1,4,4,-1
392070092,1,2,2,3,4,-1
392070093,1,4,2,4,4,4
392070094,1,2,2,3,-1,-1
392070095,1,-1,2,4,-1,-1
392070096,1,2,2,3,3,3
392070097,1,2,3,4,3,3
392070098,1,2,2,3,2,2
392070099,1,3,2,3,2,3
392070100,2,3,2,4,3,3
392070101,2,3,2,4,-1,-1
392070102,1,-1,2,-1,-1,-1
392070103,1,1,2,4,3,3
392070104,1,3,1,3,3,2
392070105,3,3,3,3,3,3
392070106,1,3,2,3,-1,-1
392070107,2,-1,-1,-1,-1,-1
392070108,2,4,4,4,4,4
392070109,2,2,2,3,4,4
392070110,2,3,2,4,3,2
392070111,2,3,3,3,2,2
392070112,1,2,2,3,3,3
392070113,1,-1,1,-1,-1,-1
392070114,1,2,2,2,2,2
392070115,1,2,1,2,2,2
392070116,1,3,2,3,4,-1
392070117,1,3,2,3,2,2
392070118,1,2,2,3,3,3
392070119,2,2,2,3,3,3
392070120,2,3,2,4,4,4
392070121,2,2,2,2,2,2
392070122,1,3,2,3,3,3
392070123,-1,2,2,-1,-1,-1
392070124,1,2,2,3,3,3
392070125,1,3,2,3,4,-1
392070126,1,3,2,3,3,3
392070127,1,2,2,3,-1,-1
392070128,1,2,2,3,3,3
392070129,1,2,2,3,3,3
392070130,3,4,4,4,4,-1
392070131,1,2,2,3,-1,-1
392070132,1,2,3,4,4,4
392070133,1,2,2,3,-1,-1
392070134,1,2,2,3,3,3
392070135,1,3,3,4,3,3
392070136,1,2,2,4,-1,3
392070137,2,-1,2,-1,-1,-1
392070138,1,2,2,3,2,2
392070139,1,-1,1,3,3,3
392070140,2,4,4,4,4,4
392070141,1,3,2,3,4,4
392070142,1,3,2,4,4,-1
392070143,2,3,2,4,3,3
392070144,2,2,2,-1,-1,-1
392070145,1,2,2,4,-1,-1
392070146,1,3,2,2,-1,-1
392070147,1,2,3,3,4,3
392070148,2,2,2,3,-1,-1
392070149,1,2,1,-1,-1,-1
392070150,2,3,2,2,2,2
392070151,1,3,3,4,4,4
392070152,1,2,1,3,3,3
392070153,1,2,1,3,-1,-1
392070154,1,2,2,3,3,2
392070155,1,2,2,3,3,3
392070156,1,2,1,-1,-1,-1
392070157,1,-1,-1,-1,-1,-1
392070158,2,2,2,3,3,3
392070159,1,2,2,-1,3,3
392070160,1,2,2,3,-1,3
392070161,2,2,2,3,3,3
392070162,1,2,2,3,-1,3
392070163,2,2,2,3,2,2
392070164,2,2,2,4,3,3
392070165,1,2,2,-2,-1,3
392070166,1,2,2,-1,-1,-1
392070167,1,2,2,3,4,3
392070168,1,2,2,3,3,4
392070169,1,2,3,3,-1,-1
392070170,2,2,2,-1,3,-1
392070171,1,3,2,3,-1,-1
392070172,1,-1,-1,-1,-1,-1
392070173,1,2,2,4,-1,-1
392070174,1,1,1,3,3,3
392070175,1,3,3,4,3,3
392070176,3,-1,2,-1,-1,-1
392070177,1,2,2,3,-1,-1
392070178,1,2,2,3,4,3
392070179,2,2,3,3,3,4
392070180,1,2,2,3,3,3
392070181,1,2,3,-1,-1,-1
392070182,1,2,2,3,3,3
392070183,1,2,2,3,3,-1
392070184,2,3,3,4,4,3
392070185,1,2,2,3,3,3
392070186,1,3,2,3,3,3
392070187,4,4,3,4,4,4
392070188,1,-1,2,2,-1,-1
392070189,1,-1,2,-1,-1,-1
392070190,1,2,2,3,4,-1
392070191,1,2,2,3,-1,-1
392070192,2,2,2,3,3,3
392070193,1,-1,2,-1,-1,-1
392070194,2,2,2,3,3,2
392070195,1,2,1,3,3,3
392070196,1,-1,-1,-1,-1,-1
392070197,-2,-2,-2,-2,-2,-2
392070198,1,2,1,3,2,2
392070199,2,2,2,3,3,3
392070200,1,3,2,3,-1,3
392070201,2,3,2,3,-1,-1
392070202,1,2,2,-1,-1,-1
392070203,1,2,2,4,-1,-1
392070204,1,3,2,3,-1,-1
392070205,1,2,2,3,3,3
392070206,1,2,2,3,4,3
392070207,1,3,2,3,-1,-1
392070208,1,3,2,3,-1,-1
392070209,1,2,2,3,-1,-1
392070210,2,3,2,3,3,2
392070211,1,4,2,3,3,2
392070212,2,3,2,3,-1,-1
392070213,2,3,3,4,4,4
392070214,1,4,3,4,4,4
392070215,2,3,3,4,4,4
392070216,1,2,2,2,2,2
392070217,2,3,3,4,-1,-1
392070218,2,2,2,3,3,3
392070219,2,2,2,3,3,4
392070220,1,2,2,3,2,2
392070221,1,2,2,3,-1,-1
392070222,2,2,2,4,-1,-1
392070223,1,3,2,4,4,4
392070224,1,2,2,4,4,-1
392070225,1,2,2,3,3,3
392070226,1,2,2,3,3,3
392070227,1,2,2,-1,2,2
392070228,1,2,2,-1,-1,-1
392070229,1,2,2,3,-1,-1
392070230,1,2,2,3,-1,-1
392070231,2,2,2,3,3,3
392070232,1,1,1,2,-1,-1
392070233,1,1,1,4,-1,-1
392070234,1,2,1,2,2,2
