D_INTERVIEW,Q58,Q59,Q60,Q61,Q62,Q63
392070001,1.0,2.0,2.0,3.0,2.0,2.0
392070002,1.0,2.0,2.0,2.0,2.0,2.0
392070003,1.0,2.0,2.0,3.0,-1.0,-1.0
392070004,3.0,4.0,2.0,4.0,3.0,4.0
392070005,1.0,3.0,2.0,2.0,3.0,2.0
392070006,1.0,4.0,4.0,4.0,4.0,4.0
392070007,1.0,3.0,3.0,4.0,4.0,4.0
392070008,1.0,2.0,2.0,3.0,-1.0,-1.0
392070009,1.0,2.0,2.0,3.0,2.0,2.0
392070010,1.0,1.0,1.0,3.0,3.0,3.0
392070011,1.0,3.0,2.0,4.0,4.0,3.0
392070012,2.0,-1.0,2.0,-1.0,-1.0,-1.0
392070013,2.0,2.0,2.0,2.0,2.0,3.0
392070014,1.0,1.0,2.0,3.0,3.0,3.0
392070015,2.0,2.0,2.0,2.0,2.0,2.0
392070016,1.0,2.0,1.0,2.0,2.0,-1.0
392070017,2.0,3.0,2.0,3.0,3.0,3.0
392070018,1.0,2.0,2.0,-1.0,3.0,3.0
392070019,1.0,2.0,3.0,3.0,3.0,3.0
392070020,2.0,3.0,2.0,3.0,3.0,3.0
392070021,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
392070022,1.0,2.0,2.0,3.0,4.0,4.0
392070023,2.0,3.0,2.0,3.0,3.0,3.0
392070024,1.0,3.0,2.0,-1.0,-1.0,-1.0
392070025,2.0,2.0,2.0,3.0,3.0,3.0
392070026,1.0,2.0,2.0,3.0,3.0,3.0
392070027,2.0,2.0,2.0,3.0,-1.0,3.0
392070028,2.0,3.0,4.0,4.0,4.0,4.0
392070029,1.0,2.0,1.0,3.0,3.0,3.0
392070030,2.0,3.0,2.0,3.0,3.0,3.0
392070031,1.0,3.0,2.0,3.0,3.0,3.0
392070032,2.0,2.0,3.0,3.0,-1.0,-1.0
392070033,1.0,2.0,1.0,2.0,2.0,2.0
392070034,1.0,2.0,2.0,-1.0,-1.0,-1.0
392070035,1.0,2.0,2.0,3.0,3.0,3.0
392070036,2.0,2.0,2.0,3.0,4.0,4.0
392070037,1.0,-1.0,2.0,-1.0,-1.0,-1.0
392070038,2.0,2.0,2.0,-1.0,-1.0,-1.0
392070039,1.0,4.0,2.0,3.0,3.0,3.0
392070040,1.0,2.0,2.0,3.0,3.0,3.0
392070041,1.0,3.0,2.0,4.0,-1.0,-1.0
392070042,2.0,2.0,2.0,-1.0,-1.0,-1.0
392070043,1.0,3.0,2.0,4.0,4.0,4.0
392070044,1.0,2.0,2.0,4.0,3.0,3.0
392070045,2.0,2.0,1.0,3.0,3.0,3.0
392070046,2.0,3.0,2.0,3.0,3.0,3.0
392070047,2.0,2.0,2.0,-1.0,-1.0,-1.0
392070048,1.0,2.0,1.0,4.0,-1.0,-1.0
392070049,2.0,2.0,2.0,3.0,3.0,3.0
392070050,2.0,2.0,2.0,-1.0,-1.0,-1.0
392070051,2.0,2.0,2.0,3.0,-1.0,-1.0
392070052,1.0,2.0,2.0,3.0,3.0,3.0
392070053,1.0,-1.0,2.0,3.0,-1.0,-1.0
392070054,1.0,1.0,2.0,3.0,-1.0,2.0
392070055,2.0,2.0,2.0,3.0,4.0,4.0
392070056,1.0,2.0,2.0,3.0,3.0,3.0
392070057,1.0,2.0,2.0,3.0,3.0,3.0
392070058,1.0,1.0,1.0,3.0,-1.0,-1.0
392070059,2.0,2.0,2.0,3.0,3.0,3.0
392070060,1.0,3.0,2.0,3.0,-1.0,4.0
392070061,2.0,2.0,2.0,-1.0,-1.0,-1.0
392070062,2.0,3.0,2.0,3.0,4.0,4.0
392070063,1.0,2.0,2.0,-1.0,-1.0,-1.0
392070064,2.0,2.0,2.0,3.0,-1.0,-1.0
392070065,1.0,3.0,2.0,3.0,3.0,3.0
392070066,2.0,2.0,3.0,4.0,3.0,3.0
392070067,2.0,3.0,2.0,4.0,-1.0,-1.0
392070068,1.0,3.0,2.0,3.0,4.0,-1.0
392070069,1.0,2.0,2.0,3.0,3.0,3.0
392070070,1.0,-1.0,-1.0,-1.0,3.0,3.0
392070071,1.0,2.0,2.0,2.0,-1.0,-1.0
392070072,1.0,3.0,1.0,3.0,-1.0,-1.0
392070073,2.0,2.0,2.0,2.0,2.0,2.0
392070074,1.0,2.0,2.0,3.0,4.0,3.0
392070075,2.0,3.0,2.0,4.0,-1.0,-1.0
392070076,1.0,3.0,2.0,4.0,-1.0,-1.0
392070077,1.0,2.0,2.0,3.0,3.0,3.0
392070078,1.0,4.0,3.0,4.0,4.0,4.0
392070079,2.0,2.0,2.0,-1.0,-1.0,-1.0
392070080,1.0,2.0,2.0,2.0,2.0,2.0
392070081,2.0,3.0,2.0,4.0,-1.0,-1.0
392070082,1.0,2.0,2.0,3.0,3.0,3.0
392070083,2.0,-1.0,-1.0,3.0,-1.0,-1.0
392070084,1.0,2.0,2.0,2.0,3.0,3.0
392070085,1.0,3.0,2.0,3.0,3.0,3.0
392070086,1.0,2.0,2.0,-1.0,-1.0,-1.0
392070087,1.0,2.0,2.0,3.0,-1.0,-1.0
392070088,2.0,3.0,3.0,4.0,4.0,4.0
392070089,2.0,3.0,2.0,3.0,3.0,3.0
392070090,1.0,1.0,1.0,2.0,2.0,2.0
