D_INTERVIEW,Q58,Q59,Q60,Q61,Q62,Q63
458070001,1,2,2,3,2,3
458070002,1,2,2,2,2,2
458070003,1,2,2,3,3,4
458070004,1,3,2,4,3,3
458070005,2,2,2,4,2,3
458070006,1,3,3,4,4,4
458070007,1,3,2,3,1,2
458070008,1,1,1,2,1,3
458070009,1,2,2,3,3,3
458070010,2,2,1,2,2,2
458070011,1,2,1,1,2,2
458070012,1,1,2,3,2,2
458070013,1,3,1,3,2,2
458070014,1,3,2,3,2,3
458070015,2,2,3,3,2,3
458070016,1,2,2,3,2,3
458070017,2,2,2,3,3,3
458070018,1,2,2,3,3,4
458070019,3,3,3,4,4,4
458070020,1,1,2,3,3,3
458070021,1,2,2,3,4,3
458070022,1,1,1,3,1,4
458070023,1,2,2,2,2,2
458070024,1,1,1,3,3,3
458070025,1,2,2,3,2,4
458070026,2,2,3,3,3,4
458070027,1,3,3,4,3,4
458070028,2,3,3,3,3,4
458070029,1,2,3,3,3,3
458070030,1,3,3,4,2,4
458070031,1,2,3,3,4,4
458070032,1,2,3,3,3,3
458070033,1,3,2,4,4,4
458070034,1,2,2,3,3,3
458070035,1,2,2,3,2,3
458070036,1,2,2,3,2,3
458070037,1,2,2,3,3,3
458070038,1,1,2,3,2,3
458070039,1,2,2,3,3,3
458070040,1,2,1,4,4,4
458070041,1,2,2,3,3,3
458070042,1,2,2,3,3,4
458070043,1,2,2,3,3,3
458070044,2,2,2,4,2,4
458070045,1,1,2,3,3,3
458070046,1,2,2,4,3,3
458070047,1,2,2,3,3,4
458070048,2,3,3,4,3,4
458070049,1,2,2,3,3,3
458070050,1,2,2,3,3,3
458070051,1,2,2,3,3,3
458070052,1,1,2,3,3,3
458070053,1,2,2,3,2,3
458070054,1,2,3,3,4,4
458070055,1,1,2,3,2,2
458070056,1,2,2,2,3,3
458070057,1,2,2,3,4,4
458070058,1,1,1,4,2,2
458070059,1,1,1,2,2,2
458070060,1,2,2,3,3,2
458070061,1,2,2,3,2,2
458070062,1,2,2,3,2,2
458070063,1,1,2,3,2,2
458070064,1,2,2,2,2,2
458070065,1,2,1,2,1,2
458070066,2,1,1,1,1,2
458070067,1,1,1,1,1,1
458070068,2,2,3,4,4,4
458070069,1,3,2,4,3,3
458070070,1,2,1,3,2,2
458070071,1,1,2,3,3,3
458070072,1,2,3,3,2,3
458070073,3,2,3,4,3,4
458070074,1,1,1,3,3,3
458070075,1,2,3,3,4,4
458070076,2,3,2,3,3,3
458070077,1,2,2,4,3,3
458070078,2,2,1,1,3,2
458070079,1,1,3,1,2,2
458070080,1,2,3,4,3,3
458070081,1,2,2,1,1,1
458070082,1,3,3,4,3,3
458070083,1,2,1,3,2,2
458070084,1,3,2,3,3,3
