D_INTERVIEW,Q58,Q59,Q60,Q61,Q62,Q63
484070001,1,2,2,4,3,3
484070002,1,2,1,2,2,3
484070003,1,3,4,4,4,4
484070004,1,1,1,4,3,-1
484070005,1,1,1,3,1,1
484070006,1,1,3,4,4,4
484070007,1,2,2,4,4,4
484070008,1,2,2,2,3,1
484070009,1,2,2,4,2,1
484070010,1,2,2,4,1,1
484070011,1,1,1,1,1,1
484070012,1,2,2,3,4,4
484070013,2,4,2,4,1,4
484070014,1,3,3,4,3,4
484070015,1,2,2,3,3,4
484070016,1,4,4,4,4,4
484070017,3,3,2,4,3,4
484070018,1,1,1,3,1,3
484070019,3,4,4,4,4,4
484070020,1,2,2,4,2,4
484070021,1,3,3,4,2,4
484070022,1,4,2,2,2,3
484070023,2,2,2,4,4,4
484070024,1,2,3,4,4,4
484070025,2,2,3,3,3,3
484070026,1,2,2,4,2,2
484070027,1,1,3,4,2,4
484070028,1,1,1,2,1,1
484070029,2,3,3,3,4,4
484070030,1,2,1,4,4,4
484070031,2,2,2,3,3,3
484070032,1,2,2,3,2,2
484070033,1,3,3,3,4,4
484070034,1,3,2,4,1,-1
484070035,1,3,3,4,1,4
484070036,1,1,3,3,3,4
484070037,1,3,3,4,3,4
484070038,1,3,3,4,3,4
484070039,1,3,3,3,3,3
484070040,1,4,4,4,4,4
484070041,3,3,3,4,4,4
484070042,1,1,1,3,3,1
484070043,1,3,2,4,3,3
484070044,1,3,4,4,3,4
484070045,1,3,3,4,3,3
484070046,1,2,2,4,4,4
484070047,3,3,3,4,3,4
484070048,3,4,3,4,4,4
484070049,1,2,1,4,1,4
484070050,1,2,4,4,4,4
484070051,1,2,2,2,2,2
484070052,2,2,2,2,2,2
484070053,1,2,3,4,2,2
484070054,1,4,2,3,4,2
484070055,1,1,1,3,1,1
484070056,1,1,3,3,3,1
484070057,1,2,3,4,3,4
484070058,1,3,3,4,3,3
484070059,1,2,2,3,3,3
484070060,1,3,3,3,3,3
484070061,1,3,2,3,3,3
484070062,3,4,4,4,4,4
484070063,1,2,3,2,1,4
484070064,2,4,4,4,4,4
484070065,1,1,2,2,1,1
484070066,2,2,2,4,3,3
484070067,1,3,3,4,2,2
484070068,2,2,2,4,4,3
484070069,1,3,3,4,3,4
484070070,2,2,3,2,2,2
484070071,1,2,2,4,2,2
484070072,1,2,2,2,2,2
484070073,1,4,3,4,3,3
484070074,1,2,2,3,1,1
484070075,2,2,2,3,3,3
484070076,4,4,3,4,4,4
484070077,2,3,3,4,3,3
484070078,1,2,2,1,2,3
484070079,1,1,1,2,2,2
484070080,1,2,2,4,2,4
484070081,1,2,2,4,4,4
484070082,2,3,3,4,-1,-1
484070083,1,2,3,4,3,4
484070084,1,3,3,4,-1,4
484070085,1,3,3,2,1,4
484070086,1,2,2,4,4,4
484070087,2,2,2,4,3,4
484070088,2,3,4,4,4,4
484070089,1,2,3,4,-1,4
484070090,2,2,2,4,2,2
484070091,3,4,3,4,2,2
484070092,1,3,2,3,3,3
484070093,1,2,2,4,2,3
484070094,4,4,4,4,4,4
484070095,1,2,2,3,2,2
484070096,1,2,3,4,3,3
484070097,1,4,4,3,1,1
484070098,1,2,2,4,3,3
484070099,1,3,2,3,3,3
484070100,1,2,2,2,2,2
484070101,1,3,3,3,4,3
484070102,1,3,4,3,4,3
484070103,1,3,3,4,4,4
484070104,1,4,2,4,4,4
484070105,1,4,3,4,3,3
484070106,1,4,4,4,4,4
484070107,1,3,3,4,4,4
484070108,1,3,3,4,4,4
484070109,1,1,2,3,3,3
484070110,1,4,3,3,3,3
484070111,1,2,2,4,2,2
484070112,1,1,1,1,3,1
484070113,2,2,2,2,4,2
484070114,2,2,2,2,2,2
484070115,1,3,2,2,2,2
484070116,1,2,2,3,2,2
484070117,1,1,1,2,1,2
484070118,1,2,3,4,4,4
484070119,2,3,3,4,4,4
484070120,1,2,3,4,4,3
484070121,4,4,4,4,4,4
484070122,1,3,1,4,3,4
484070123,3,3,4,4,4,4
484070124,3,3,3,3,4,4
484070125,1,1,2,3,1,2
484070126,1,2,2,4,2,2
484070127,1,3,2,4,4,3
484070128,1,3,3,4,2,2
484070129,1,2,3,3,3,3
484070130,1,3,3,4,3,3
484070131,2,3,3,4,4,4
484070132,2,2,2,2,2,2
484070133,2,3,3,4,2,4
484070134,2,3,3,4,-1,-1
484070135,1,2,2,3,3,3
484070136,1,2,2,4,4,4
484070137,1,3,3,3,3,3
484070138,2,3,2,4,4,4
484070139,1,2,2,3,3,3
484070140,1,2,2,4,4,4
484070141,2,2,3,3,3,3
484070142,1,1,2,4,4,4
484070143,2,3,4,4,4,4
484070144,3,3,3,3,3,3
484070145,2,2,3,4,3,3
484070146,1,3,4,4,4,4
484070147,1,2,2,3,2,4
484070148,2,3,3,4,4,4
484070149,2,3,3,3,3,3
484070150,2,3,3,4,4,4
484070151,1,4,4,4,4,4
484070152,1,3,3,3,3,3
484070153,1,2,3,3,1,3
484070154,1,2,3,3,2,3
484070155,1,3,3,3,3,3
484070156,2,1,3,3,3,3
484070157,1,4,3,3,2,4
484070158,2,3,2,3,2,2
484070159,1,2,3,4,4,4
484070160,1,2,3,3,3,4
484070161,1,2,2,4,4,4
484070162,1,3,3,4,4,4
484070163,1,2,2,4,3,3
484070164,1,4,4,4,4,4
484070165,1,4,4,4,4,4
484070166,1,3,3,3,3,3
484070167,1,2,3,4,4,4
484070168,1,2,4,4,3,4
484070169,1,3,3,4,3,3
484070170,1,4,4,4,3,4
484070171,1,4,4,4,4,4
484070172,2,3,4,4,4,4
484070173,1,4,4,4,4,4
484070174,1,1,3,4,3,4
484070175,3,3,3,4,2,4
484070176,1,3,3,4,3,3
484070177,1,2,3,3,3,4
484070178,1,3,3,4,4,4
484070179,1,1,4,4,4,4
484070180,2,3,4,3,2,1
484070181,1,1,1,1,1,1
484070182,1,3,2,4,4,4
484070183,1,3,3,3,3,3
484070184,2,4,4,4,4,4
484070185,1,1,1,3,1,1
484070186,1,3,3,4,4,4
484070187,1,4,3,4,3,4
484070188,1,1,1,4,3,4
484070189,1,3,4,4,4,4
484070190,1,2,2,4,2,2
484070191,1,2,2,3,3,3
484070192,2,1,3,3,2,2
484070193,4,4,4,4,4,4
484070194,1,3,4,4,4,4
484070195,1,2,2,4,2,2
484070196,1,2,2,4,2,4
484070197,1,3,4,4,4,4
484070198,1,3,1,3,4,3
484070199,1,4,4,4,4,4
484070200,1,2,2,2,2,2
484070201,1,1,4,4,3,4
484070202,1,1,1,3,2,2
484070203,2,2,2,3,3,2
484070204,1,2,2,3,3,3
484070205,2,2,3,4,3,3
484070206,1,2,2,2,2,2
484070207,1,2,2,2,2,2
484070208,1,3,3,3,3,3
484070209,1,2,3,3,2,3
484070210,2,3,3,4,4,4
484070211,1,2,3,4,2,4
484070212,1,2,2,4,4,4
484070213,1,2,2,3,3,3
484070214,1,-1,2,3,2,2
484070215,1,3,3,4,3,4
484070216,1,2,2,3,3,3
484070217,2,4,4,4,4,4
484070218,1,1,1,2,2,2
484070219,2,2,2,4,2,3
484070220,2,2,2,4,2,2
484070221,2,3,3,4,2,4
484070222,1,3,3,4,4,4
484070223,2,2,2,2,4,4
484070224,1,1,1,3,3,4
484070225,2,4,4,4,4,4
484070226,3,3,2,4,2,4
484070227,1,4,4,4,2,2
484070228,1,3,3,4,3,4
484070229,1,2,3,4,2,3
484070230,2,3,4,4,3,4
484070231,1,2,3,4,4,4
484070232,1,2,3,4,2,4
484070233,1,3,4,4,4,4
484070234,1,1,1,1,1,1
484070235,1,2,2,4,1,4
484070236,1,3,3,3,2,3
484070237,2,3,4,4,4,4
484070238,1,1,4,4,4,2
484070239,1,2,3,3,2,4
