D_INTERVIEW,Q58,Q59,Q60,Q61,Q62,Q63
840071001,2,4,3,4,4,4
840071002,1,2,2,3,3,3
840071003,1,3,2,4,2,2
840071004,1,4,3,4,3,3
840071005,1,4,2,3,2,2
840071006,1,4,3,3,3,3
840071007,2,3,2,4,2,2
840071008,1,2,2,2,3,2
840071009,1,4,4,4,4,4
840071010,4,4,4,4,4,4
840071011,4,4,1,2,2,-2
840071012,1,2,2,4,4,4
840071013,2,1,3,4,3,2
840071014,4,2,2,2,2,2
840071015,3,3,4,4,4,4
840071016,1,2,1,2,1,3
840071017,1,1,1,3,2,2
840071018,3,3,1,4,2,2
840071019,2,2,2,2,2,2
840071020,2,3,3,4,2,2
840071021,2,3,3,4,2,2
840071022,3,2,2,4,3,2
840071023,2,3,2,3,2,2
840071024,4,2,2,1,3,3
840071025,2,2,1,3,3,2
840071026,2,3,2,3,3,3
840071027,2,2,2,2,2,2
840071028,1,2,2,2,2,2
840071029,3,2,2,2,2,3
840071030,3,3,3,3,3,3
840071031,1,3,2,3,3,3
840071032,2,3,2,4,2,2
840071033,3,2,2,4,3,3
840071034,2,2,2,3,3,3
840071035,2,3,2,4,3,2
840071036,3,2,4,4,4,4
840071037,1,3,1,4,3,2
840071038,2,2,2,3,3,3
840071039,1,3,2,3,2,2
840071040,1,2,2,3,2,2
840071041,4,4,3,4,4,4
840071042,1,1,1,2,2,3
840071043,1,2,3,2,2,2
840071044,1,3,3,4,3,3
840071045,2,2,2,3,2,2
840071046,1,2,1,3,2,2
840071047,1,2,1,2,2,3
840071048,1,2,1,3,2,2
840071049,2,-2,-2,-2,-2,-2
840071050,3,1,2,4,4,4
840071051,1,4,1,4,4,4
840071052,3,3,2,2,2,2
840071053,3,3,3,4,3,3
840071054,1,4,3,4,4,4
840071055,1,2,2,2,2,2
840071056,1,3,2,2,2,2
840071057,1,3,2,3,2,2
840071058,2,3,2,4,3,3
840071059,1,3,2,3,2,2
840071060,1,3,2,3,3,3
840071061,1,2,2,3,2,1
840071062,1,4,4,4,4,1
840071063,1,2,1,4,2,2
840071064,2,4,2,4,2,2
840071065,2,3,2,3,2,2
840071066,1,3,2,4,3,3
840071067,2,2,2,3,2,2
840071068,1,3,3,4,2,2
840071069,2,3,2,3,2,2
840071070,1,2,2,3,2,1
840071071,3,4,3,4,4,2
840071072,2,3,3,3,3,2
840071073,1,3,2,4,2,2
840071074,1,2,2,4,3,3
840071075,1,2,1,3,3,4
840071076,2,2,2,2,2,2
840071077,1,3,2,3,3,3
