D_INTERVIEW,Q58,Q59,Q60,Q61,Q62,Q63
840071001,2.0,4.0,3.0,4.0,4.0,4.0
840071002,1.0,2.0,2.0,3.0,3.0,3.0
840071003,1.0,3.0,2.0,4.0,2.0,2.0
840071004,1.0,4.0,3.0,4.0,3.0,3.0
840071005,1.0,4.0,2.0,3.0,2.0,2.0
840071006,1.0,4.0,3.0,3.0,3.0,3.0
840071007,2.0,3.0,2.0,4.0,2.0,2.0
840071008,1.0,2.0,2.0,2.0,3.0,2.0
840071009,1.0,4.0,4.0,4.0,4.0,4.0
840071010,4.0,4.0,4.0,4.0,4.0,4.0
840071011,4.0,4.0,1.0,2.0,2.0,-2.0
840071012,1.0,2.0,2.0,4.0,4.0,4.0
840071013,2.0,1.0,3.0,4.0,3.0,2.0
840071014,4.0,2.0,2.0,2.0,2.0,2.0
840071015,3.0,3.0,4.0,4.0,4.0,4.0
840071016,1.0,2.0,1.0,2.0,1.0,3.0
840071017,1.0,1.0,1.0,3.0,2.0,2.0
840071018,3.0,3.0,1.0,4.0,2.0,2.0
840071019,2.0,2.0,2.0,2.0,2.0,2.0
840071020,2.0,3.0,3.0,4.0,2.0,2.0
840071021,2.0,3.0,3.0,4.0,2.0,2.0
840071022,3.0,2.0,2.0,4.0,3.0,2.0
840071023,2.0,3.0,2.0,3.0,2.0,2.0
840071024,4.0,2.0,2.0,1.0,3.0,3.0
840071025,2.0,2.0,1.0,3.0,3.0,2.0
840071026,2.0,3.0,2.0,3.0,3.0,3.0
840071027,2.0,2.0,2.0,2.0,2.0,2.0
840071028,1.0,2.0,2.0,2.0,2.0,2.0
840071029,3.0,2.0,2.0,2.0,2.0,3.0
840071030,3.0,3.0,3.0,3.0,3.0,3.0
840071031,1.0,3.0,2.0,3.0,3.0,3.0
840071032,2.0,3.0,2.0,4.0,2.0,2.0
840071033,3.0,2.0,2.0,4.0,3.0,3.0
840071034,2.0,2.0,2.0,3.0,3.0,3.0
840071035,2.0,3.0,2.0,4.0,3.0,2.0
840071036,3.0,2.0,4.0,4.0,4.0,4.0
840071037,1.0,3.0,1.0,4.0,3.0,2.0
840071038,2.0,2.0,2.0,3.0,3.0,3.0
840071039,1.0,3.0,2.0,3.0,2.0,2.0
840071040,1.0,2.0,2.0,3.0,2.0,2.0
840071041,4.0,4.0,3.0,4.0,4.0,4.0
840071042,1.0,1.0,1.0,2.0,2.0,3.0
840071043,1.0,2.0,3.0,2.0,2.0,2.0
840071044,1.0,3.0,3.0,4.0,3.0,3.0
840071045,2.0,2.0,2.0,3.0,2.0,2.0
840071046,1.0,2.0,1.0,3.0,2.0,2.0
840071047,1.0,2.0,1.0,2.0,2.0,3.0
840071048,1.0,2.0,1.0,3.0,2.0,2.0
840071049,2.0,-2.0,-2.0,-2.0,-2.0,-2.0
840071050,3.0,1.0,2.0,4.0,4.0,4.0
840071051,1.0,4.0,1.0,4.0,4.0,4.0
840071052,3.0,3.0,2.0,2.0,2.0,2.0
840071053,3.0,3.0,3.0,4.0,3.0,3.0
840071054,1.0,4.0,3.0,4.0,4.0,4.0
840071055,1.0,2.0,2.0,2.0,2.0,2.0
840071056,1.0,3.0,2.0,2.0,2.0,2.0
840071057,1.0,3.0,2.0,3.0,2.0,2.0
840071058,2.0,3.0,2.0,4.0,3.0,3.0
840071059,1.0,3.0,2.0,3.0,2.0,2.0
840071060,1.0,3.0,2.0,3.0,3.0,3.0
840071061,1.0,2.0,2.0,3.0,2.0,1.0
840071062,1.0,4.0,4.0,4.0,4.0,1.0
840071063,1.0,2.0,1.0,4.0,2.0,2.0
840071064,2.0,4.0,2.0,4.0,2.0,2.0
840071065,2.0,3.0,2.0,3.0,2.0,2.0
840071066,1.0,3.0,2.0,4.0,3.0,3.0
840071067,2.0,2.0,2.0,3.0,2.0,2.0
840071068,1.0,3.0,3.0,4.0,2.0,2.0
840071069,2.0,3.0,2.0,3.0,2.0,2.0
840071070,1.0,2.0,2.0,3.0,2.0,1.0
840071071,3.0,4.0,3.0,4.0,4.0,2.0
840071072,2.0,3.0,3.0,3.0,3.0,2.0
840071073,1.0,3.0,2.0,4.0,2.0,2.0
840071074,1.0,2.0,2.0,4.0,3.0,3.0
840071075,1.0,2.0,1.0,3.0,3.0,4.0
840071076,2.0,2.0,2.0,2.0,2.0,2.0
840071077,1.0,3.0,2.0,3.0,3.0,3.0
840071078,2.0,2.0,2.0,4.0,2.0,2.0
840071079,2.0,4.0,4.0,4.0,4.0,4.0
840071080,2.0,2.0,2.0,3.0,2.0,2.0
840071081,3.0,4.0,3.0,4.0,4.0,3.0
840071082,2.0,3.0,3.0,4.0,3.0,3.0
840071083,3.0,3.0,3.0,3.0,3.0,3.0
840071084,1.0,3.0,2.0,4.0,3.0,3.0
840071085,2.0,2.0,1.0,2.0,1.0,1.0
840071086,3.0,4.0,2.0,4.0,4.0,3.0
840071087,2.0,3.0,2.0,3.0,2.0,2.0
840071088,2.0,3.0,2.0,3.0,3.0,3.0
840071089,2.0,1.0,2.0,3.0,2.0,2.0
840071090,1.0,2.0,2.0,3.0,3.0,3.0
840071091,3.0,2.0,3.0,4.0,3.0,3.0
840071092,4.0,4.0,3.0,4.0,3.0,3.0
840071093,2.0,4.0,2.0,3.0,2.0,2.0
840071094,1.0,2.0,2.0,2.0,2.0,2.0
840071095,1.0,2.0,1.0,3.0,2.0,2.0
840071096,2.0,3.0,2.0,4.0,4.0,4.0
840071097,2.0,4.0,2.0,3.0,3.0,3.0
840071098,2.0,3.0,2.0,3.0,3.0,2.0
840071099,2.0,3.0,3.0,3.0,3.0,3.0
840071100,4.0,4.0,4.0,4.0,4.0,4.0
840071101,2.0,3.0,3.0,4.0,4.0,4.0
840071102,2.0,2.0,2.0,4.0,3.0,2.0
840071103,1.0,1.0,1.0,1.0,1.0,1.0
840071104,2.0,2.0,2.0,2.0,2.0,2.0
840071105,1.0,3.0,3.0,2.0,3.0,3.0
840071106,1.0,1.0,2.0,3.0,2.0,2.0
840071107,2.0,3.0,1.0,2.0,2.0,2.0
840071108,1.0,2.0,2.0,2.0,2.0,2.0
840071109,3.0,3.0,2.0,3.0,2.0,2.0
840071110,2.0,3.0,2.0,4.0,3.0,3.0
840071111,2.0,3.0,3.0,4.0,4.0,4.0
840071112,3.0,2.0,2.0,4.0,4.0,3.0
840071113,2.0,1.0,2.0,4.0,2.0,2.0
840071114,3.0,3.0,2.0,2.0,1.0,1.0
840071115,2.0,1.0,1.0,2.0,1.0,1.0
840071116,2.0,2.0,2.0,3.0,2.0,2.0
840071117,1.0,4.0,2.0,4.0,2.0,2.0
840071118,1.0,2.0,2.0,4.0,2.0,2.0
840071119,3.0,4.0,2.0,4.0,2.0,2.0
840071120,1.0,3.0,2.0,4.0,2.0,2.0
840071121,1.0,3.0,2.0,3.0,3.0,3.0
840071122,1.0,2.0,2.0,2.0,2.0,2.0
840071123,1.0,2.0,2.0,4.0,4.0,3.0
840071124,2.0,2.0,2.0,4.0,3.0,3.0
840071125,1.0,1.0,2.0,4.0,2.0,2.0
840071126,2.0,1.0,4.0,4.0,2.0,4.0
840071127,2.0,2.0,1.0,3.0,2.0,2.0
840071128,1.0,1.0,1.0,2.0,2.0,2.0
840071129,1.0,3.0,2.0,3.0,2.0,2.0
840071130,1.0,2.0,2.0,2.0,2.0,2.0
840071131,4.0,4.0,4.0,4.0,4.0,4.0
840071132,1.0,4.0,1.0,2.0,4.0,2.0
840071133,1.0,2.0,1.0,1.0,2.0,2.0
840071134,2.0,2.0,3.0,4.0,3.0,3.0
840071135,2.0,1.0,2.0,2.0,3.0,2.0
840071136,1.0,3.0,2.0,3.0,2.0,2.0
840071137,1.0,2.0,2.0,2.0,2.0,2.0
840071138,2.0,4.0,3.0,4.0,3.0,3.0
840071139,2.0,3.0,2.0,3.0,4.0,3.0
840071140,2.0,3.0,3.0,3.0,3.0,3.0
840071141,1.0,3.0,2.0,3.0,2.0,2.0
840071142,1.0,2.0,1.0,2.0,2.0,2.0
840071143,2.0,2.0,2.0,2.0,2.0,2.0
840071144,2.0,4.0,2.0,4.0,2.0,2.0
840071145,4.0,4.0,4.0,4.0,4.0,4.0
840071146,2.0,3.0,2.0,3.0,3.0,3.0
840071147,1.0,3.0,2.0,3.0,2.0,2.0
840071148,1.0,2.0,2.0,3.0,2.0,2.0
840071149,2.0,2.0,3.0,4.0,2.0,2.0
840071150,1.0,2.0,1.0,2.0,2.0,2.0
840071151,2.0,2.0,2.0,3.0,3.0,3.0
840071152,2.0,2.0,2.0,3.0,3.0,2.0
840071153,3.0,4.0,1.0,3.0,3.0,3.0
840071154,3.0,1.0,3.0,4.0,2.0,3.0
840071155,2.0,4.0,3.0,3.0,3.0,3.0
840071156,2.0,2.0,2.0,4.0,2.0,2.0
840071157,1.0,2.0,2.0,3.0,2.0,3.0
840071158,2.0,2.0,2.0,3.0,3.0,3.0
840071159,1.0,4.0,4.0,4.0,4.0,4.0
840071160,2.0,3.0,2.0,3.0,3.0,3.0
840071161,1.0,4.0,3.0,4.0,4.0,4.0
840071162,1.0,3.0,3.0,4.0,2.0,3.0
