D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
51070001,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,2,2,1
51070002,-1,1,4,3,4,2,3,2,4,3,4,3,3,-1,4,3,-1,-1
51070003,1,2,3,3,4,4,3,4,3,4,3,2,4,3,-1,1,4,3
51070004,1,3,4,3,4,4,4,3,4,3,3,4,2,3,3,2,2,2
51070005,3,3,4,4,3,4,4,4,4,4,3,2,4,2,2,4,3,3
51070006,1,1,3,3,3,2,3,2,3,2,-1,1,1,-1,-1,-1,-1,-1
51070007,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
51070008,3,2,4,4,4,3,4,4,4,4,4,3,3,3,3,3,4,3
51070009,1,1,3,3,3,2,2,2,4,2,4,3,2,2,2,-1,-1,-1
51070010,2,2,3,4,4,3,2,4,4,4,2,2,3,-1,3,3,2,2
51070011,4,3,4,4,4,3,3,4,4,4,2,3,4,4,2,2,4,4
51070012,3,1,3,4,3,2,4,1,2,1,1,1,3,3,4,1,2,1
51070013,2,3,3,3,3,3,2,-1,-1,3,3,2,3,3,3,3,1,2
51070014,2,2,3,4,3,3,3,3,4,3,-1,1,3,3,3,4,3,2
51070015,1,1,3,3,4,3,3,4,4,4,3,3,4,4,3,3,3,2
51070016,1,2,4,3,4,2,3,2,4,-1,3,3,4,2,2,-1,-1,4
51070017,1,3,4,4,4,4,4,1,2,3,4,1,4,4,4,4,4,4
51070018,2,1,3,3,4,3,2,4,4,4,3,3,4,3,1,4,4,4
51070019,1,1,3,3,-1,1,3,3,3,3,3,2,3,3,2,3,3,3
51070020,1,1,3,3,3,3,3,3,4,4,3,1,3,1,1,2,-2,3
51070021,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,2
51070022,3,3,4,3,3,3,4,4,4,4,3,3,4,3,2,2,2,3
51070023,1,3,3,3,3,-1,2,4,3,3,2,3,3,3,2,1,2,2
51070024,1,4,4,4,-1,4,4,4,4,4,4,-1,4,-1,1,-1,4,4
51070025,1,1,3,2,-1,1,1,2,3,4,2,-1,3,-1,2,-1,-1,-1
51070026,2,2,2,2,2,2,2,2,4,3,4,3,3,3,3,3,3,3
51070027,2,1,3,3,-1,2,2,-1,-1,-1,2,2,3,3,3,-1,-1,2
51070028,3,2,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3
51070029,2,4,-1,-1,-1,2,-1,3,-1,4,2,1,-1,-1,2,4,-1,-1
51070030,3,1,3,3,-1,4,4,2,4,4,2,2,2,4,4,2,2,2
51070031,1,1,3,4,3,2,2,3,3,3,2,2,3,3,2,3,2,2
51070032,2,2,3,3,-1,3,3,-1,4,4,2,2,3,2,2,2,2,2
51070033,2,1,3,3,3,3,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51070034,1,2,4,3,-1,1,4,2,3,4,2,-1,-1,-1,-1,-1,-1,-1
51070035,1,3,4,4,4,3,4,1,3,1,3,2,3,2,2,3,3,3
51070036,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-1,-1,-1
51070037,2,-1,3,3,4,3,4,4,4,4,4,2,4,3,4,4,-1,4
51070038,3,2,4,4,4,2,4,2,4,2,2,2,2,2,2,3,2,3
51070039,3,3,4,4,-1,3,4,1,1,1,3,3,3,3,1,3,3,2
51070040,1,1,3,3,-1,2,-1,3,3,3,4,2,2,-1,2,4,-1,2
51070041,1,1,1,2,4,-1,2,1,4,3,2,-1,-1,-1,1,2,-1,4
51070042,1,1,4,2,2,1,3,4,4,4,3,3,4,4,4,4,4,3
51070043,3,3,4,3,3,2,4,3,4,4,4,3,3,2,2,4,4,3
51070044,1,4,4,4,-1,4,-1,2,4,-2,2,1,2,2,4,-1,-1,4
51070045,1,1,3,3,3,1,4,1,4,1,3,3,4,2,4,3,1,2
51070046,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
51070047,4,2,4,3,4,4,4,2,4,4,3,2,2,2,2,2,-1,3
51070048,1,2,3,2,-1,2,4,2,4,3,1,2,1,2,3,2,-1,4
51070049,1,2,3,4,2,1,3,2,3,4,2,2,4,2,4,2,4,3
51070050,1,3,3,3,4,2,4,4,2,3,2,3,3,2,2,4,-1,4
51070051,3,1,2,2,3,2,4,4,4,4,2,2,4,2,4,2,-1,2
51070052,1,3,4,4,-1,2,2,2,4,2,2,2,2,2,2,3,3,4
51070053,2,3,3,3,4,4,3,2,-1,-1,3,-1,3,3,1,3,1,1
