D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
170070052,1,3,3,3,3,3,3,4,4,3,3,1,3,1,3,3,3,3
170070053,3,2,3,4,2,1,2,3,2,3,2,1,3,2,3,1,1,1
170070054,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
170070057,1,3,3,3,3,4,3,4,4,4,4,1,3,3,3,1,1,1
170070069,2,3,2,3,3,3,3,3,3,3,3,2,3,2,3,2,2,3
170070074,3,3,1,1,3,3,3,3,3,3,4,1,3,3,3,1,3,4
170070075,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,1,3
170070076,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
170070080,2,3,3,3,2,4,3,4,3,3,3,2,4,2,4,1,1,2
170070085,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2
170070087,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
170070093,3,3,3,3,3,2,3,3,3,4,4,2,4,3,3,3,2,2
170070104,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,2,2
170070105,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3
170070112,1,1,3,3,4,1,3,3,4,3,3,1,3,1,3,1,1,1
170070113,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
170070122,1,1,1,1,3,1,3,3,3,3,3,1,1,1,1,1,1,1
170070126,1,3,4,3,4,4,4,4,4,4,3,3,4,3,1,4,2,1
170070128,1,3,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2
170070132,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3
170070154,1,2,3,1,3,3,3,3,3,3,3,2,3,1,1,2,2,2
170070156,2,2,3,3,3,2,1,3,3,3,3,2,2,2,2,2,2,3
170070197,4,3,3,3,3,3,3,3,4,3,3,2,2,2,2,2,2,3
170070198,1,3,3,3,3,3,3,4,3,3,3,1,3,3,3,2,2,3
170070210,2,3,4,4,3,4,3,4,4,4,3,3,4,4,4,2,2,3
170070213,3,2,3,3,3,4,3,3,3,3,3,2,3,3,3,2,3,3
170070214,3,3,4,3,4,4,4,4,4,4,4,2,4,2,3,3,3,3
170070215,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
170070219,3,1,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3
170070222,4,4,3,3,2,4,3,3,4,3,3,1,3,3,2,2,3,3
170070224,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4
170070253,3,2,2,3,3,2,2,2,3,2,3,2,3,3,3,2,2,2
170070255,1,1,3,3,1,1,1,3,3,3,3,1,3,1,1,1,1,1
170070261,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,1,1
170070308,3,3,3,3,3,3,4,4,4,4,4,1,3,1,3,1,1,1
170070312,1,3,4,3,4,3,4,4,4,4,4,3,4,3,3,3,3,3
170070323,3,3,4,4,4,4,3,4,4,3,3,1,4,3,3,3,3,3
170070332,1,2,3,2,3,1,2,2,3,3,3,2,2,1,3,3,3,3
