D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
300070001,2,2,3,2,-1,2,-1,3,4,4,2,2,-1,3,3,1,-1,1
300070002,3,1,2,4,3,2,2,4,4,3,3,3,3,3,4,2,3,3
300070003,1,1,3,3,3,1,2,4,3,3,2,2,2,2,2,2,2,1
300070004,2,2,4,4,4,3,3,3,4,3,2,2,4,4,4,4,3,2
300070005,3,2,4,4,4,1,4,3,3,3,-1,2,3,3,4,2,1,1
300070006,2,2,4,4,4,2,4,4,4,4,3,3,4,3,3,3,2,1
300070007,1,2,2,2,-1,2,2,3,3,3,2,1,2,2,2,2,2,1
300070008,1,1,3,3,-1,3,3,4,4,4,3,-1,3,-1,2,2,-1,1
300070009,1,2,3,3,3,2,2,4,4,3,3,1,4,2,2,2,2,1
300070010,1,1,3,4,4,1,1,4,4,4,2,1,4,1,1,4,1,2
300070011,4,2,4,3,3,3,3,4,4,4,3,-1,2,3,4,3,3,3
300070012,1,2,3,3,3,2,2,2,2,2,2,-1,2,2,3,2,2,2
300070013,2,2,3,3,3,2,2,2,2,2,3,-1,-1,3,3,-1,-1,2
300070014,1,2,3,3,2,3,3,3,3,3,3,-1,2,-1,2,2,2,2
300070015,2,4,3,3,3,2,2,-1,-1,-1,3,-1,-1,3,2,-1,3,2
300070016,1,2,3,3,3,2,2,2,2,2,3,-1,2,3,3,-1,-1,2
300070017,1,2,3,3,3,2,2,2,2,2,3,-1,2,3,3,3,3,2
300070018,2,2,3,3,2,3,2,4,3,2,2,2,2,3,2,3,3,3
300070019,1,1,3,3,3,2,2,3,3,2,3,-1,2,2,2,2,2,3
300070020,4,2,3,4,2,3,2,3,3,3,3,-1,3,3,4,3,3,2
300070021,2,1,3,4,2,1,3,4,4,4,3,3,4,2,4,2,4,3
300070022,4,4,4,4,4,4,3,3,3,4,3,2,3,4,4,4,4,3
300070023,4,4,4,4,2,4,2,4,4,4,3,2,4,4,4,3,2,2
300070024,3,3,3,3,3,3,3,4,4,4,2,3,2,2,4,3,3,4
300070025,4,3,4,4,3,4,4,4,4,4,3,1,3,3,4,3,-1,3
300070026,4,4,4,3,4,3,2,3,3,3,3,2,3,4,4,2,4,2
300070027,4,4,3,3,2,4,3,1,3,2,2,2,2,3,2,2,-1,-1
300070028,4,4,3,4,4,4,3,4,4,-2,3,2,4,2,4,3,3,3
300070029,1,3,1,1,4,1,1,4,4,4,3,1,1,4,4,1,4,1
300070030,4,-1,3,3,3,2,4,4,4,4,3,2,4,3,3,3,-1,2
300070031,4,3,3,2,-1,2,3,3,4,4,2,2,1,3,3,3,2,3
300070032,3,2,3,2,-1,3,3,4,4,4,2,1,1,2,3,2,3,3
300070033,1,2,3,2,-1,1,2,2,3,3,1,1,1,2,3,2,3,2
