D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
300070001,2.0,2.0,3.0,2.0,-1.0,2.0,-1.0,3.0,4.0,4.0,2.0,2.0,-1.0,3.0,3.0,1.0,-1.0,1.0
300070002,3.0,1.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0
300070003,1.0,1.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
300070004,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0
300070005,3.0,2.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,3.0,-1.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0
300070006,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0
300070007,1.0,2.0,2.0,2.0,-1.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
300070008,1.0,1.0,3.0,3.0,-1.0,3.0,3.0,4.0,4.0,4.0,3.0,-1.0,3.0,-1.0,2.0,2.0,-1.0,1.0
300070009,1.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0
300070010,1.0,1.0,3.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0
300070011,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,-1.0,2.0,3.0,4.0,3.0,3.0,3.0
300070012,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,2.0,2.0,3.0,2.0,2.0,2.0
300070013,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,-1.0,-1.0,3.0,3.0,-1.0,-1.0,2.0
300070014,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.0,2.0,-1.0,2.0,2.0,2.0,2.0
300070015,2.0,4.0,3.0,3.0,3.0,2.0,2.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,3.0,2.0,-1.0,3.0,2.0
300070016,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,-1.0,2.0,3.0,3.0,-1.0,-1.0,2.0
300070017,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,-1.0,2.0,3.0,3.0,3.0,3.0,2.0
300070018,2.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0
300070019,1.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,-1.0,2.0,2.0,2.0,2.0,2.0,3.0
300070020,4.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,-1.0,3.0,3.0,4.0,3.0,3.0,2.0
300070021,2.0,1.0,3.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0
300070022,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0
300070023,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0
300070024,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0
300070025,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,-1.0,3.0
300070026,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0
300070027,4.0,4.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,-1.0,-1.0
300070028,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,-2.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0
300070029,1.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0
300070030,4.0,-1.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,-1.0,2.0
300070031,4.0,3.0,3.0,2.0,-1.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0
300070032,3.0,2.0,3.0,2.0,-1.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0
300070033,1.0,2.0,3.0,2.0,-1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0
300070034,2.0,3.0,3.0,4.0,3.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0
300070035,2.0,1.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,1.0,3.0,2.0
