D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
392070001,3,1,1,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2
392070002,4,2,2,2,2,2,2,3,3,3,3,2,1,2,2,1,1,1
392070003,2,1,-1,-1,-1,2,2,2,2,2,2,-1,2,-1,1,-1,-1,-1
392070004,4,4,2,2,4,4,4,4,4,4,4,4,3,3,2,3,3,4
392070005,4,1,3,2,-1,2,2,2,2,2,2,-1,4,2,1,3,3,4
392070006,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
392070007,4,1,2,2,-1,2,2,3,3,3,3,3,3,3,2,3,3,3
392070008,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
392070009,2,3,3,3,3,4,3,3,3,3,4,4,3,3,2,2,3,3
392070010,3,1,3,3,3,1,1,3,3,4,2,2,3,2,3,3,3,3
392070011,4,1,2,2,-1,2,-1,2,3,3,2,-1,-1,2,2,2,-1,-1
392070012,3,2,2,-1,-1,2,2,-1,-1,3,2,2,-1,-1,-1,-1,-1,-1
392070013,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
392070014,4,-1,3,-1,-1,2,2,3,3,3,-1,-1,-1,-1,2,-1,-1,-1
392070015,3,1,1,2,3,1,2,2,3,3,1,1,2,2,2,2,2,2
392070016,2,2,2,2,-1,2,2,2,2,2,-1,-1,2,-1,2,2,2,3
392070017,4,2,1,1,3,2,1,2,2,2,2,2,2,2,2,3,3,3
392070018,3,1,3,3,3,2,2,2,3,2,2,2,2,3,3,3,2,2
392070019,4,2,2,2,-1,1,2,2,2,2,2,2,2,2,2,-1,-1,-1
392070020,4,1,2,2,-1,2,2,2,2,2,2,3,2,-1,2,-1,-1,-1
392070021,-1,2,2,2,-1,2,2,-1,-1,-1,2,-1,-2,-2,2,-1,-1,-1
392070022,4,1,1,1,2,1,1,2,-1,-1,-1,1,1,2,1,-1,-1,4
392070023,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
392070024,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1
392070025,3,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
392070026,3,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2
392070027,4,2,3,3,3,2,2,3,3,3,3,-1,3,3,3,4,3,4
392070028,4,2,2,3,3,2,2,4,4,4,4,3,4,2,2,3,3,3
392070029,4,2,1,2,3,1,1,2,3,2,1,1,2,2,2,2,2,2
392070030,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
392070031,4,2,2,2,3,1,1,3,3,3,3,2,3,2,3,3,3,3
392070032,4,2,2,2,3,2,2,2,3,2,2,2,2,2,2,3,3,3
392070033,2,1,2,2,2,1,2,2,2,2,2,-1,2,2,2,2,-1,-1
392070034,-1,2,2,2,2,2,2,2,2,2,2,-1,2,2,2,-1,-1,-1
392070035,4,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3
392070036,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,3,3,3
392070037,3,1,2,2,4,2,2,2,3,2,2,-1,1,2,2,3,3,3
392070038,4,2,-1,-1,-1,2,2,3,3,3,-1,-1,-1,-1,-1,3,-1,-1
392070039,3,2,3,3,3,3,3,4,4,4,4,2,3,2,2,2,2,3
392070040,1,2,2,2,3,2,2,3,3,2,2,2,3,3,3,2,2,2
392070041,3,2,2,2,2,2,2,2,2,2,2,-1,-1,3,3,2,2,2
392070042,-1,2,3,3,-1,2,2,2,3,3,-2,2,3,2,2,2,2,3
392070043,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3
392070044,4,3,2,2,-1,1,2,3,3,3,2,2,2,2,1,2,3,3
392070045,4,2,3,3,2,3,3,4,4,4,3,3,3,2,3,2,3,3
392070046,3,3,2,2,2,2,2,3,3,3,3,2,3,3,2,-1,-1,-1
392070047,-1,2,2,2,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
392070048,-1,2,3,3,-1,3,3,3,4,4,3,2,3,2,2,4,3,4
392070049,3,2,2,2,2,2,2,4,4,4,4,3,4,2,2,2,2,3
392070050,-1,2,2,2,3,2,2,3,3,3,2,-1,2,3,2,-1,3,4
392070051,4,2,2,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1
392070052,4,2,2,2,-1,1,2,3,3,-1,3,3,2,3,2,3,3,3
392070053,3,2,3,3,-1,2,2,2,2,2,2,2,2,3,3,4,4,3
392070054,3,2,2,2,-1,1,-1,2,3,3,2,2,3,2,2,3,3,3
392070055,4,1,3,3,3,2,2,2,2,2,2,2,2,2,2,4,4,4
392070056,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
392070057,3,1,3,3,3,2,2,3,3,3,2,3,3,2,2,3,3,3
392070058,3,1,2,2,2,1,1,2,3,3,3,2,2,2,1,2,2,2
392070059,4,2,4,4,3,2,2,3,3,3,2,3,1,3,4,3,2,2
392070060,4,1,2,3,3,1,2,2,2,3,2,2,2,2,2,2,-1,2
392070061,4,2,2,2,4,2,2,3,3,3,3,2,3,2,2,2,3,3
392070062,4,1,3,2,2,2,2,3,3,2,3,2,3,2,1,2,2,2
392070063,-1,2,2,2,-1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1
392070064,3,-1,3,3,-1,-1,-1,3,-1,3,3,-1,3,-1,-1,3,-1,-1
392070065,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
392070066,4,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3
392070067,4,2,3,2,-1,3,-1,3,3,3,3,3,2,3,-1,2,-1,-1
392070068,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
392070069,4,3,2,2,3,-1,-1,4,4,4,4,2,4,4,4,4,4,4
392070070,3,2,2,2,-1,2,2,2,2,2,2,-1,-1,-1,2,2,-1,-1
392070071,-1,1,2,2,-1,2,2,3,3,3,3,2,2,3,2,1,2,2
392070072,4,-1,3,3,-1,3,-1,3,3,4,4,-1,3,2,1,-1,-1,-1
392070073,3,2,4,3,3,4,4,4,4,4,4,2,4,2,4,2,3,2
392070074,4,2,2,2,-1,2,-1,3,3,3,3,3,3,-1,3,3,3,3
392070075,3,2,2,2,2,2,2,2,2,3,2,3,3,2,2,-1,-1,-1
392070076,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,-1,-1
392070077,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,3,3,3
392070078,3,1,3,3,3,2,2,2,3,-1,-1,2,-1,-1,-1,-1,-1,3
392070079,4,-1,3,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
392070080,3,1,3,2,-1,3,2,3,3,3,2,2,3,3,2,2,2,2
392070081,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
392070082,3,1,2,2,-1,1,1,2,3,4,2,2,2,2,2,2,2,3
392070083,3,-1,2,2,-1,4,-1,4,4,4,4,-1,4,-1,2,2,-1,-1
392070084,3,2,2,2,3,2,2,3,3,3,3,2,3,3,3,3,3,3
392070085,4,1,2,2,3,1,1,2,3,2,2,1,1,3,3,3,3,4
392070086,3,2,2,2,3,1,1,2,3,2,2,2,2,2,2,3,3,3
392070087,4,1,2,2,2,1,1,1,2,2,1,2,3,2,2,2,2,2
392070088,2,2,2,2,3,2,2,3,3,3,3,2,2,3,2,3,3,3
392070089,3,2,2,2,-1,2,1,3,3,3,3,2,2,2,2,3,3,3
392070090,3,1,1,2,2,2,2,2,3,3,2,2,3,2,2,2,2,2
392070091,3,1,4,3,4,1,4,2,3,4,3,-1,3,-1,2,4,4,-1
392070092,2,1,1,1,-1,1,1,1,1,1,2,2,1,2,2,-1,-1,-1
392070093,4,2,2,2,2,2,1,3,3,3,3,2,2,3,2,3,3,3
392070094,3,2,2,2,3,1,1,2,3,2,2,2,2,3,2,3,3,3
392070095,4,3,2,2,-1,3,3,4,3,4,4,3,4,4,4,2,-1,4
392070096,4,1,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4
392070097,3,-1,2,2,-1,3,-1,3,-1,-1,3,-1,3,-1,2,2,-1,-1
392070098,3,3,2,2,3,3,3,4,4,3,4,2,2,3,3,2,3,3
392070099,-1,1,4,4,-1,2,2,2,2,2,2,-1,2,-1,-1,3,3,2
392070100,3,2,2,2,3,2,1,2,2,2,2,2,2,2,2,3,3,3
392070101,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
392070102,3,2,2,-1,2,2,2,2,2,2,2,2,-1,2,2,2,2,-1
392070103,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,3,3
392070104,3,1,2,2,2,3,2,3,3,3,3,2,2,3,2,2,-1,3
392070105,4,2,-1,-1,-1,2,2,3,3,3,3,-1,4,-1,2,-1,-1,-1
392070106,4,3,-1,3,2,2,2,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1
