D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
392070001,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
392070002,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
392070003,2.0,1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,2.0,-1.0,1.0,-1.0,-1.0,-1.0
392070004,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0
392070005,4.0,1.0,3.0,2.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,4.0,2.0,1.0,3.0,3.0,4.0
392070006,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
392070007,4.0,1.0,2.0,2.0,-1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
392070008,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
392070009,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0
392070010,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0
392070011,4.0,1.0,2.0,2.0,-1.0,2.0,-1.0,2.0,3.0,3.0,2.0,-1.0,-1.0,2.0,2.0,2.0,-1.0,-1.0
392070012,3.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,3.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
392070013,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
392070014,4.0,-1.0,3.0,-1.0,-1.0,2.0,2.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
392070015,3.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
392070016,2.0,2.0,2.0,2.0,-1.0,2.0,2.0,2.0,2.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,2.0,2.0,3.0
392070017,4.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
392070018,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0
392070019,4.0,2.0,2.0,2.0,-1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0
392070020,4.0,1.0,2.0,2.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0
392070021,-1.0,2.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1.0,-1.0,2.0,-1.0,-2.0,-2.0,2.0,-1.0,-1.0,-1.0
392070022,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,1.0,2.0,1.0,-1.0,-1.0,4.0
392070023,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
