D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
458070001,3,3,2,2,3,2,3,3,3,3,3,2,2,3,3,2,2,3
458070002,2,1,3,3,2,2,3,3,2,2,3,2,2,3,1,3,2,2
458070003,1,2,3,3,3,2,2,2,3,2,2,2,3,3,2,2,2,2
458070004,1,2,3,3,3,2,2,4,4,4,2,1,1,3,3,2,3,1
458070005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
458070006,1,2,3,3,2,2,2,1,1,1,1,1,1,2,1,2,2,2
458070007,3,2,2,2,2,3,3,3,2,3,3,3,4,3,4,3,4,4
458070008,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1
458070009,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1
458070010,2,1,2,1,2,1,1,1,2,3,3,2,2,2,3,2,2,2
458070011,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,3,3
458070012,1,1,2,2,2,1,1,1,2,1,1,1,2,2,1,2,1,2
458070013,1,3,3,3,3,3,1,3,3,3,3,3,2,3,2,3,3,3
458070014,1,1,3,2,2,2,3,2,3,2,2,2,2,2,2,3,3,1
458070015,2,3,3,2,1,3,3,2,3,3,2,2,2,3,-1,-1,-1,-1
458070016,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
458070017,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3
458070018,1,3,2,2,2,2,2,2,2,2,2,1,3,2,1,2,3,3
458070019,3,2,3,3,3,2,3,3,3,3,3,4,2,-1,3,3,3,3
458070020,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
458070021,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
458070022,2,1,4,4,3,2,3,4,1,3,2,3,4,3,2,1,1,1
458070023,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
458070024,1,1,3,3,2,2,3,3,3,3,3,2,3,2,2,2,2,2
458070025,3,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1
458070026,2,2,3,4,2,2,2,3,4,2,2,2,2,2,2,2,1,1
458070027,2,3,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2
458070028,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,3,3,3
458070029,1,1,3,3,3,1,1,1,3,3,2,3,3,3,3,3,2,1
458070030,2,2,4,4,3,4,4,4,4,4,3,3,4,3,3,2,2,2
458070031,2,3,3,2,2,2,3,2,3,3,2,3,3,-1,2,3,1,2
458070032,2,2,2,3,2,2,2,3,3,3,2,3,3,3,3,2,3,3
458070033,1,2,2,2,2,2,2,2,2,3,3,1,3,4,3,1,2,3
458070034,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
458070035,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
458070036,2,2,4,3,3,2,2,3,4,4,3,2,3,2,2,2,3,2
458070037,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
458070038,3,2,2,2,3,3,3,3,3,3,3,2,3,2,2,2,3,3
458070039,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
