D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
484070001,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
484070002,3,3,4,4,3,4,3,3,4,4,4,2,3,3,2,3,3,3
484070003,1,1,4,4,4,4,4,4,4,1,4,1,4,3,1,4,1,4
484070004,1,1,4,4,4,4,4,4,4,4,4,1,3,3,3,3,1,1
484070005,1,2,4,3,3,4,4,4,3,1,3,1,4,1,1,4,1,1
484070006,1,1,1,1,4,4,4,1,4,3,4,2,4,2,2,4,4,4
484070007,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
484070008,2,2,3,4,4,4,3,4,4,4,4,1,4,2,2,1,1,1
484070009,3,1,3,3,3,3,2,4,4,4,4,1,4,2,1,2,2,2
484070010,2,1,3,3,4,3,2,1,2,2,2,2,2,2,3,1,3,2
484070011,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1
484070012,2,1,4,3,3,1,2,2,3,3,4,1,1,4,1,4,4,2
484070013,1,1,2,2,3,3,3,4,4,4,3,2,4,4,2,3,3,3
484070014,2,2,3,4,4,2,2,3,3,3,3,3,4,3,3,3,3,2
484070015,2,2,2,2,2,1,2,2,2,1,1,1,1,2,1,1,2,1
484070016,4,1,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,2
484070017,3,3,4,3,4,4,4,4,4,4,3,2,4,3,3,3,3,2
484070018,2,2,4,2,2,4,2,4,4,4,2,3,3,3,2,4,3,2
484070019,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,2,2
484070020,2,2,4,2,2,2,2,2,2,2,4,4,4,4,2,2,2,2
484070021,2,2,3,3,4,4,4,4,4,4,4,2,2,2,2,4,2,2
484070022,1,2,3,3,3,3,3,4,4,4,4,4,4,2,3,2,4,2
484070023,1,1,2,2,4,2,2,3,4,4,4,4,3,2,2,2,2,2
484070024,1,3,3,3,4,4,4,4,4,4,2,2,2,4,4,4,3,2
484070025,2,2,3,3,3,3,2,-1,3,3,2,1,4,3,-1,2,2,2
484070026,2,2,1,1,-1,2,2,2,2,2,2,1,2,1,2,2,1,1
484070027,1,4,4,4,4,4,4,4,4,4,4,3,4,3,2,2,2,3
