D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
528070001,2,2,3,3,3,2,3,3,3,3,3,2,2,2,3,2,4,2
528070002,2,2,3,3,3,2,2,3,3,3,2,1,2,3,3,3,3,3
528070003,4,2,3,3,2,2,3,4,3,4,3,3,4,3,2,2,2,3
528070004,3,1,2,3,3,2,2,3,3,2,2,2,1,2,2,3,2,2
528070005,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-5,-1,-1,-1,-1,-1,-1,-1
528070006,4,2,1,2,1,2,4,4,4,4,3,2,4,3,3,3,2,3
528070007,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1
528070008,-5,1,3,3,-5,2,4,4,4,4,4,4,4,-1,-1,-1,-1,-1
528070009,4,2,3,3,2,2,1,2,3,3,2,2,2,2,3,3,2,3
528070010,1,2,2,2,4,2,3,3,-1,-1,3,3,3,3,2,2,2,2
528070011,2,2,3,4,2,2,2,3,3,3,3,2,3,3,3,2,2,1
528070012,3,2,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3
528070013,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
528070014,3,2,2,3,2,2,2,3,3,2,3,1,2,3,3,1,-1,2
528070015,4,3,2,2,2,2,2,2,2,2,3,1,1,2,2,1,1,1
528070016,3,2,3,3,2,2,2,2,3,3,2,2,2,3,3,3,3,3
528070017,2,2,3,3,2,2,2,3,3,2,3,2,2,3,3,3,3,2
528070018,4,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3,2,3
528070019,-1,-1,3,3,2,3,3,3,3,-1,3,2,2,3,3,3,3,3
528070020,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3
528070021,4,2,2,2,3,2,2,2,3,3,3,2,3,2,2,3,3,4
528070022,2,2,3,3,2,2,2,2,3,2,2,2,2,3,3,2,2,3
528070023,3,2,2,2,-5,2,4,4,4,3,-1,-1,3,-1,3,-1,-1,3
528070024,2,2,3,3,3,2,3,3,3,3,3,2,2,2,2,3,2,-1
528070025,2,2,3,3,3,2,2,3,3,3,3,2,3,2,2,2,2,2
528070026,3,3,2,2,3,3,4,3,3,2,3,2,3,2,2,3,3,2
528070027,3,2,2,3,3,2,2,3,4,3,2,2,1,2,2,3,-1,3
528070028,-1,3,4,4,3,3,2,3,4,3,3,2,3,4,4,3,3,3
528070029,4,2,3,3,3,2,2,2,3,-1,3,2,2,3,3,2,2,2
528070030,-5,2,3,3,3,2,2,3,4,3,2,2,3,2,2,3,-1,4
528070031,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
528070032,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
528070033,3,-1,3,-1,4,2,2,-1,-1,-1,3,-1,-1,3,2,3,3,3
528070034,4,-1,3,3,-1,2,2,3,3,-1,3,2,2,3,3,2,-1,2
528070035,4,1,4,3,-5,1,1,4,4,4,2,2,3,2,2,2,2,3
528070036,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3
528070037,2,3,2,2,2,3,3,2,3,2,3,3,2,3,2,2,2,2
528070038,3,2,2,-5,2,2,2,3,-1,-1,2,2,2,-1,3,2,2,2
528070039,3,3,2,3,2,3,2,3,3,3,3,2,2,3,3,2,2,2
528070040,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,2,2,2
528070041,4,3,3,3,2,2,3,3,3,2,3,2,2,2,3,3,3,3
528070042,2,2,2,2,2,1,1,2,3,2,2,1,1,2,3,2,1,1
528070043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070044,2,2,2,3,2,2,2,2,3,2,2,2,1,3,2,3,2,2
528070045,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
528070046,4,2,3,3,-1,2,3,4,4,3,-1,-1,4,-1,-1,3,-1,-1
528070047,2,3,2,2,2,2,2,2,2,1,2,2,1,2,3,2,2,1
528070048,3,-1,2,2,-1,2,3,3,-1,-1,-1,2,2,3,2,-1,-1,-1
528070049,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070050,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
528070051,4,2,3,3,4,2,3,3,3,3,3,2,3,3,3,3,3,3
528070052,4,3,3,4,4,4,3,4,3,3,3,4,3,3,4,3,3,4
528070053,3,2,4,3,2,2,3,3,3,3,3,2,2,3,2,2,2,3
528070054,4,-1,-1,-1,2,3,3,3,3,-1,-1,2,2,-1,-1,-1,-1,2
528070055,3,2,1,2,2,1,1,2,3,2,1,1,1,3,3,1,1,1
528070056,2,2,2,2,2,1,1,-1,-1,-1,-1,2,2,3,-1,-1,-1,-1
528070057,3,2,3,2,2,1,1,3,3,2,2,2,1,3,3,3,2,2
528070058,2,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
528070059,3,-1,3,3,-5,2,2,3,3,3,3,2,3,3,3,-1,-1,3
528070060,-5,-5,-1,-1,-1,2,2,3,3,-1,3,2,4,3,3,3,3,-1
528070061,3,1,2,2,-1,2,2,2,3,3,3,2,3,2,2,2,2,2
528070062,-1,-1,3,3,3,4,3,3,3,3,3,-1,3,-1,3,-1,-1,3
528070063,-5,-1,3,3,-1,2,2,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070064,2,2,3,3,2,2,2,2,2,2,3,1,2,2,1,2,2,2
528070065,2,2,3,3,2,2,2,2,3,2,3,2,3,3,3,2,-1,2
528070066,3,3,2,2,2,3,2,2,2,2,2,2,2,4,4,2,2,2
528070067,3,2,2,2,3,2,2,3,3,3,2,2,2,2,3,-1,2,3
528070068,2,2,3,3,-1,2,3,2,3,-1,3,-1,2,3,3,-1,-1,2
528070069,3,3,3,3,2,2,2,3,3,3,2,1,3,3,3,2,-5,3
528070070,3,3,3,3,2,3,3,2,2,3,3,2,3,2,3,2,2,3
528070071,-5,-5,3,3,-5,3,3,3,3,3,3,3,3,3,3,3,3,3
528070072,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070073,4,-1,3,2,-1,2,3,4,4,4,3,-1,-1,2,2,2,-1,-1
528070074,3,2,4,3,3,2,2,3,4,3,3,2,3,2,3,3,3,3
528070075,4,2,2,2,2,2,3,3,3,3,3,2,2,3,3,3,2,3
528070076,3,3,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3
528070077,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2
528070078,2,2,2,2,-1,3,2,3,3,3,3,2,2,3,3,-1,3,3
528070079,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,4
528070080,1,2,2,2,2,2,2,2,3,2,2,2,2,-1,-1,-1,-1,2
528070081,-1,-1,2,2,-1,2,2,3,3,-1,-1,-1,-1,-1,2,-1,-1,3
528070082,3,3,2,2,3,2,2,2,2,3,3,2,2,3,3,3,3,3
528070083,4,2,2,2,-5,2,2,2,3,2,3,2,2,3,2,2,-5,2
528070084,3,2,2,2,2,3,2,3,3,2,3,2,2,3,4,2,3,2
528070085,2,2,2,2,2,1,1,3,3,3,2,1,1,2,2,2,2,2
528070086,3,2,3,2,3,2,3,4,4,4,3,-1,3,-1,2,3,-1,3
528070087,4,3,2,2,3,2,1,3,3,3,2,1,1,2,2,3,2,2
528070088,4,3,2,2,3,2,3,4,4,4,3,3,4,3,3,4,3,3
528070089,4,4,-1,-1,2,2,2,3,4,-1,4,2,4,-1,-1,4,-1,-1
