D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
528070001,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0
528070002,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
528070003,4.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0
528070004,3.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0
528070005,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
528070006,4.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0
528070007,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0
528070008,-5.0,1.0,3.0,3.0,-5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0
528070009,4.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0
528070010,1.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,-1.0,-1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
528070011,2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0
528070012,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
528070013,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
528070014,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,-1.0,2.0
528070015,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
528070016,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
528070017,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
528070018,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0
528070019,-1.0,-1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,-1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
528070020,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
528070021,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0
528070022,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0
528070023,3.0,2.0,2.0,2.0,-5.0,2.0,4.0,4.0,4.0,3.0,-1.0,-1.0,3.0,-1.0,3.0,-1.0,-1.0,3.0
528070024,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,-1.0
528070025,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
528070026,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0
528070027,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,-1.0,3.0
528070028,-1.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0
528070029,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,-1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
528070030,-5.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,-1.0,4.0
528070031,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
528070032,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
528070033,3.0,-1.0,3.0,-1.0,4.0,2.0,2.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,3.0,2.0,3.0,3.0,3.0
528070034,4.0,-1.0,3.0,3.0,-1.0,2.0,2.0,3.0,3.0,-1.0,3.0,2.0,2.0,3.0,3.0,2.0,-1.0,2.0
528070035,4.0,1.0,4.0,3.0,-5.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0
528070036,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
528070037,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
528070038,3.0,2.0,2.0,-5.0,2.0,2.0,2.0,3.0,-1.0,-1.0,2.0,2.0,2.0,-1.0,3.0,2.0,2.0,2.0
528070039,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
528070040,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
528070041,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
528070042,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0
528070043,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
528070044,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0
528070045,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
