D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
604070001,3,1,1,1,3,1,3,1,3,1,1,1,1,1,1,1,1,1
604070002,1,3,3,3,4,2,4,1,4,4,2,1,2,3,3,3,2,3
604070003,1,1,3,3,4,1,2,3,4,4,4,2,4,4,4,2,2,2
604070004,2,2,3,3,3,3,4,4,4,4,4,2,3,3,3,3,3,3
604070005,3,3,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4
604070006,2,3,1,3,2,2,4,3,3,4,3,2,2,2,2,2,2,2
604070007,1,1,2,4,3,2,3,3,3,3,3,2,3,3,2,2,3,3
604070008,1,4,4,4,4,2,2,4,4,4,4,-1,4,4,4,4,3,2
604070009,2,2,2,2,-2,2,4,4,4,4,4,1,2,3,1,2,2,1
604070010,1,1,3,3,3,3,4,3,4,4,4,1,3,3,3,3,3,3
604070011,2,4,4,2,4,4,4,4,4,4,4,2,4,3,4,3,3,3
604070012,1,3,3,3,4,3,4,4,4,4,4,3,3,3,4,3,3,3
604070013,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2
604070014,2,3,3,3,3,4,4,4,4,4,4,2,2,3,2,2,2,2
604070015,2,3,3,3,3,3,4,4,4,4,4,2,3,3,2,2,3,3
604070016,2,2,3,3,3,2,4,4,4,4,4,2,4,4,3,2,3,3
604070017,3,3,3,3,3,3,4,4,4,4,4,3,4,4,3,3,3,3
604070018,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4
604070019,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3
604070020,2,1,1,1,4,2,4,4,4,4,4,2,4,3,3,3,3,3
604070021,2,3,4,3,3,4,3,3,4,4,3,4,3,3,3,3,3,2
604070022,3,3,2,2,3,3,4,3,4,4,3,2,3,2,2,2,3,3
604070023,3,3,2,3,3,3,4,2,4,4,3,2,3,3,2,2,2,2
604070024,4,2,4,3,4,3,4,4,4,4,4,3,4,4,3,3,3,3
604070025,2,4,3,3,4,3,3,4,4,4,4,2,3,2,2,2,2,2
604070026,3,3,2,2,3,3,4,4,4,4,4,2,3,4,3,2,2,2
604070027,1,3,3,3,2,3,4,4,4,4,4,2,3,4,4,2,2,2
604070028,4,3,3,3,3,4,4,4,4,4,4,2,3,3,4,2,2,2
604070029,2,2,3,3,3,3,4,4,4,4,4,2,3,3,3,2,2,1
604070030,1,2,2,2,3,3,4,4,4,4,4,2,2,3,4,2,2,2
604070031,3,3,2,3,4,3,4,4,4,4,4,2,3,4,3,2,2,2
604070032,1,3,3,3,3,3,4,4,4,4,4,2,3,3,3,2,2,2
604070033,2,3,2,3,3,2,4,4,4,4,4,2,3,4,4,2,2,2
604070034,2,3,2,2,4,3,4,4,4,4,4,2,3,3,3,2,2,2
604070035,2,2,2,2,3,2,4,4,4,4,4,1,3,3,3,2,2,2
604070036,1,2,2,2,2,3,3,3,3,4,3,3,4,2,2,3,2,3
604070037,2,2,2,2,2,3,3,3,3,4,4,2,3,2,2,3,2,2
604070038,3,2,2,2,3,2,3,2,2,3,3,2,2,3,2,2,3,3
604070039,4,4,3,3,3,3,4,4,4,4,3,3,4,2,2,3,3,3
604070040,3,1,4,4,2,3,3,3,4,4,4,3,3,2,2,4,3,3
604070041,3,3,3,3,3,3,4,4,4,4,4,3,4,3,3,2,2,2
604070042,3,2,1,1,2,1,3,3,3,3,2,2,2,2,2,2,2,2
604070043,1,3,3,3,4,3,3,3,3,3,3,1,3,3,3,3,3,3
604070044,1,3,3,3,4,4,4,4,4,4,4,2,4,3,4,3,2,2
604070045,3,3,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3
604070046,3,3,2,2,4,3,4,4,4,4,4,3,4,4,4,3,3,3
604070047,3,3,4,4,4,3,4,4,4,4,4,3,4,3,4,3,3,3
604070048,2,2,1,1,2,4,4,4,4,4,4,3,4,4,4,3,3,2
604070049,2,-1,3,3,3,3,4,4,4,4,2,3,4,3,4,2,2,2
604070050,2,2,2,2,2,2,4,3,4,4,4,2,3,3,2,2,2,2
604070051,3,4,3,4,4,3,4,4,4,4,4,3,2,2,1,3,2,1
604070052,1,3,3,2,3,3,3,3,4,4,3,2,3,3,3,3,2,1
604070053,1,3,3,2,3,3,4,4,4,4,4,2,2,2,2,2,2,2
604070054,3,3,3,3,4,3,4,3,4,4,4,3,3,3,3,3,3,3
604070055,3,2,3,3,3,2,3,3,3,3,3,2,3,2,3,2,2,2
604070056,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
604070057,4,4,2,2,2,4,4,4,4,4,2,2,4,4,4,2,2,2
604070058,2,3,4,4,2,3,4,4,4,4,4,2,2,3,3,3,3,3
604070059,1,1,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,1
604070060,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2
604070061,3,4,3,3,3,4,3,4,4,4,4,3,4,3,3,3,3,3
604070062,4,3,3,3,4,3,4,3,3,4,4,4,4,4,3,3,3,3
604070063,2,2,2,2,2,4,4,4,4,4,4,3,4,3,2,2,3,3
604070064,3,4,4,3,3,4,3,4,4,4,4,3,3,4,3,4,4,4
604070065,3,3,3,3,4,3,4,4,4,4,4,2,3,3,3,3,3,3
604070066,2,3,4,3,4,4,4,4,4,3,4,4,4,2,3,2,2,3
604070067,2,3,2,2,3,2,4,3,4,4,3,2,3,2,3,2,1,2
604070068,1,2,2,3,3,4,3,4,4,4,4,2,3,3,4,4,3,3
604070069,2,4,3,3,3,2,3,3,4,4,4,3,2,2,3,2,2,3
604070070,2,3,3,3,4,4,4,4,3,3,4,4,3,3,4,2,2,2
604070071,3,3,3,3,3,3,3,3,4,3,3,3,4,4,3,3,3,4
604070072,1,2,2,4,4,2,3,3,3,3,3,2,2,2,3,2,2,3
604070073,2,2,2,4,4,3,3,3,4,4,4,2,4,3,3,3,3,3
604070074,3,4,3,3,3,4,4,4,4,4,4,3,3,4,3,3,3,3
604070075,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
604070076,1,2,3,3,4,4,4,4,4,-1,4,3,4,3,3,3,2,3
604070077,3,4,3,3,4,4,4,4,4,4,4,2,3,3,4,3,2,2
604070078,3,1,3,3,3,2,3,3,4,3,4,4,-1,3,4,4,-1,4
604070079,3,2,3,3,2,3,3,3,3,3,2,3,3,2,2,2,2,3
604070080,2,3,4,4,4,4,4,3,4,-1,4,3,2,3,4,4,3,4
604070081,2,1,3,2,3,3,3,3,3,3,3,2,3,3,3,2,3,2
604070082,2,3,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3,3
604070083,1,3,4,2,4,4,4,4,4,4,4,1,4,4,2,4,3,3
604070084,1,3,4,4,4,3,4,3,4,4,4,3,4,3,3,3,4,3
604070085,3,1,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3
604070086,2,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,3,3
604070087,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3
