D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
840071001,2,3,3,2,3,4,4,4,4,4,4,4,4,4,3,4,4,4
840071002,2,2,4,3,4,2,2,3,4,4,4,-2,4,4,3,4,3,3
840071003,3,2,3,3,3,2,2,2,3,3,3,3,3,3,3,4,3,3
840071004,3,2,3,3,3,2,2,4,4,4,3,3,4,4,4,3,3,3
840071005,2,2,3,3,3,2,2,4,4,4,4,3,3,4,4,2,2,2
840071006,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
840071007,3,3,2,3,4,4,4,4,4,4,4,4,4,3,3,4,3,4
840071008,1,2,2,3,2,1,1,3,3,3,2,2,3,3,1,2,2,2
840071009,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
840071010,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
840071011,2,2,4,4,2,2,2,3,3,2,2,2,3,-1,1,1,1,2
840071012,2,2,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4
840071013,4,1,4,4,3,3,4,3,4,4,3,4,4,4,4,2,4,2
840071014,1,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,2,2
840071015,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3
840071016,2,3,2,4,4,1,1,1,2,3,2,1,3,2,1,1,1,2
840071017,-2,1,2,2,3,1,2,2,3,3,3,3,3,3,3,3,3,3
840071018,3,3,4,4,4,3,4,2,4,4,3,3,4,4,3,2,3,3
840071019,3,3,2,3,2,2,3,4,3,3,3,2,3,3,3,2,2,2
840071020,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
840071021,2,2,4,3,3,2,2,4,3,3,3,1,2,2,2,2,2,2
840071022,3,3,1,3,3,4,4,3,2,3,1,1,4,2,2,2,2,1
840071023,2,2,4,3,3,3,3,3,3,3,3,2,3,3,2,3,2,3
840071024,3,3,3,1,2,3,3,3,4,1,2,3,3,2,2,2,2,2
840071025,4,2,4,4,4,2,3,4,4,4,4,3,4,3,3,3,2,2
840071026,3,2,4,4,4,2,2,4,4,4,4,4,4,3,3,4,4,4
840071027,2,2,3,3,2,2,3,4,3,2,2,2,4,3,2,2,2,2
840071028,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
840071029,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071030,2,1,4,4,4,2,3,3,3,3,3,3,3,3,4,3,3,3
840071031,2,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3
840071032,4,3,4,3,3,3,2,4,4,4,4,4,4,3,4,4,4,4
840071033,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3
840071034,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,3,3,2
840071035,3,2,3,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3
840071036,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
840071037,1,3,3,2,3,3,3,3,3,3,3,2,3,2,2,2,2,2
840071038,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071039,3,1,4,4,1,1,1,2,3,3,3,3,3,3,3,3,3,3
840071040,2,1,3,3,3,2,2,4,4,4,2,3,4,4,3,-2,2,3
840071041,4,2,4,4,1,4,1,4,4,4,4,1,4,4,1,1,4,1
840071042,3,3,2,3,3,2,1,1,2,2,4,2,2,2,2,2,1,3
840071043,2,2,4,4,4,1,2,1,3,2,3,3,3,2,3,3,3,3
840071044,4,4,4,3,3,4,4,4,3,4,4,3,4,3,4,3,2,3
840071045,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3
840071046,3,2,3,4,2,3,3,4,4,3,3,2,4,3,3,2,2,2
840071047,2,2,3,3,3,1,3,3,3,3,3,3,3,3,1,1,3,3
840071048,1,1,1,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
840071049,-2,1,-2,-2,-2,-2,-2,-2,2,2,3,3,2,2,2,2,2,2
840071050,3,1,4,4,4,2,3,3,3,3,3,4,3,3,2,3,3,3
840071051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3
840071052,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
840071053,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4
840071054,2,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,1
840071055,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071056,4,3,2,4,2,3,4,4,3,3,3,2,4,3,2,2,2,3
840071057,2,1,3,3,3,1,3,2,3,3,3,2,3,2,2,2,2,2
840071058,3,3,4,4,4,3,2,4,4,4,4,2,4,2,2,2,2,3
840071059,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071060,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3
840071061,1,2,1,1,2,2,2,4,4,4,2,2,4,3,4,1,1,1
840071062,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
840071063,3,2,2,2,4,2,3,4,3,4,2,2,4,3,3,3,3,3
840071064,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3
840071065,3,1,3,3,3,2,2,3,4,4,3,2,4,3,3,1,2,2
840071066,2,3,4,4,3,3,3,4,4,4,4,2,4,3,3,3,3,3
840071067,2,3,2,3,2,2,2,4,3,4,4,1,4,3,3,2,2,1
840071068,1,2,3,3,3,4,3,4,3,3,3,3,3,3,-2,2,2,3
840071069,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
840071070,3,2,4,4,2,3,2,4,3,3,2,2,3,2,1,1,2,3
840071071,4,4,4,4,3,4,3,4,4,4,3,3,4,4,4,1,3,3
