D_INTERVIEW,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104
51070001,0,2,2,0,0,1,0,2,0,0,0
51070002,0,1,0,0,0,0,0,0,0,0,0
51070003,0,0,0,0,0,0,0,0,0,0,0
51070004,0,1,0,0,0,0,0,0,0,0,0
51070005,0,0,0,0,0,0,0,0,0,1,0
51070006,0,0,0,0,0,0,0,0,0,0,0
51070007,0,0,0,0,0,0,0,0,0,0,0
51070008,0,0,0,0,0,0,0,0,0,0,0
51070009,0,0,0,0,0,0,0,0,0,0,0
51070010,0,0,2,0,0,0,2,0,0,0,2
51070011,0,0,0,0,0,0,0,0,0,0,0
51070012,2,1,1,1,0,2,2,2,2,2,0
51070013,0,0,0,0,0,1,1,1,0,0,0
51070014,0,0,0,0,0,0,0,0,0,0,0
51070015,2,2,2,0,0,0,0,0,0,0,0
51070016,2,1,0,0,0,0,0,0,0,0,0
51070017,2,0,0,0,0,0,0,0,0,0,0
51070018,0,0,0,0,0,0,0,0,0,0,0
51070019,0,0,0,0,0,0,0,0,0,0,0
51070020,0,0,0,0,0,0,0,0,0,0,0
51070021,0,0,0,0,0,0,0,0,0,0,0
51070022,0,0,1,1,0,0,0,1,0,0,0
51070023,1,1,2,0,0,1,2,1,0,0,0
51070024,0,0,0,0,0,0,0,0,0,0,0
51070025,2,0,0,0,0,0,0,0,0,0,0
51070026,1,1,2,1,1,1,0,0,0,0,0
51070027,0,0,0,0,0,0,0,0,0,0,0
51070028,0,0,0,0,0,0,0,0,0,0,0
51070029,0,0,2,0,0,1,1,0,0,2,0
51070030,0,0,0,0,0,0,0,0,0,0,0
51070031,0,0,0,0,0,0,0,0,0,0,0
51070032,0,0,1,2,0,1,0,0,0,0,1
51070033,1,0,0,0,0,0,0,0,0,0,0
51070034,0,0,0,0,0,0,0,0,0,0,0
51070035,0,0,0,0,0,0,0,0,0,0,0
51070036,0,0,0,0,0,0,0,0,0,0,0
51070037,0,0,0,0,0,0,0,0,0,0,0
51070038,0,0,2,0,0,0,1,0,0,0,0
51070039,0,0,0,0,0,0,0,0,0,0,0
51070040,0,0,0,0,0,0,0,0,0,0,0
51070041,0,0,0,0,0,0,0,0,0,0,0
51070042,2,0,0,0,0,2,2,2,2,2,0
51070043,0,0,2,2,1,2,2,2,1,2,2
51070044,2,0,1,-1,0,-1,2,2,2,2,0
51070045,2,2,2,0,0,2,1,2,1,2,0
51070046,2,1,0,0,0,0,0,0,0,0,0
51070047,0,0,0,0,0,0,0,0,0,0,0
51070048,0,0,0,0,0,0,0,0,0,0,0
51070049,0,0,0,0,0,0,0,0,0,0,0
51070050,0,0,0,0,0,0,0,0,0,0,0
51070051,0,0,0,0,0,0,0,0,0,0,0
51070052,2,1,1,1,1,2,2,2,1,2,1
51070053,0,0,0,0,0,2,0,0,0,0,0
51070054,0,0,0,0,0,0,0,0,0,0,0
51070055,0,0,0,0,0,0,0,0,0,0,0
51070056,0,0,0,0,0,0,0,0,0,0,0
51070057,0,0,0,0,0,0,0,0,0,0,0
51070058,2,0,0,0,2,0,0,0,0,0,1
51070059,0,0,0,0,0,0,0,0,0,0,0
51070060,0,0,0,0,2,0,0,0,0,0,0
51070061,2,1,0,0,0,0,1,0,0,0,0
51070062,1,1,1,0,0,1,2,1,1,1,0
51070063,0,0,0,1,1,1,1,1,1,1,1
51070064,2,0,0,0,0,0,0,0,0,0,0
51070065,1,0,0,0,0,0,0,0,0,0,0
51070066,0,0,0,0,0,0,0,0,0,0,0
51070067,0,0,0,0,0,0,0,0,0,0,0
51070068,0,0,0,0,0,0,0,0,0,0,0
51070069,0,0,0,0,2,0,0,0,0,0,0
51070070,0,0,2,0,0,0,0,0,0,0,0
51070071,0,0,0,0,0,0,0,0,0,0,0
51070072,0,0,0,0,0,0,0,0,0,0,0
51070073,0,0,0,0,0,0,0,0,0,0,0
51070074,0,0,0,0,0,0,0,0,0,0,0
51070075,0,0,0,0,0,0,0,0,0,0,0
51070076,0,0,0,1,0,0,0,0,0,0,0
51070077,1,0,2,0,2,0,2,0,0,0,0
51070078,1,0,0,0,0,0,0,0,0,0,0
51070079,2,0,0,0,0,0,0,0,0,0,0
51070080,1,0,0,0,0,0,0,0,0,0,0
51070081,0,0,0,0,0,0,0,0,0,0,0
51070082,1,2,2,-1,0,1,0,0,0,0,0
51070083,0,0,0,0,0,0,0,0,0,0,0
51070084,0,0,0,0,0,0,0,0,0,0,0
51070085,2,0,0,0,0,0,0,0,0,0,0
51070086,0,0,0,0,0,0,0,0,0,0,0
51070087,0,0,0,0,0,0,0,0,0,0,0
51070088,1,0,0,0,0,0,0,1,0,0,0
51070089,0,0,0,0,0,0,0,0,0,0,0
51070090,0,0,0,0,0,0,0,0,0,0,0
51070091,0,0,0,0,0,0,0,0,0,0,0
51070092,0,0,0,0,1,0,0,0,0,0,0
51070093,0,0,0,0,0,0,0,0,0,0,0
51070094,2,2,2,0,0,2,2,2,2,2,0
51070095,0,0,0,0,0,0,0,0,0,0,0
51070096,0,0,0,0,0,0,0,0,0,0,0
51070097,0,0,0,0,0,0,0,0,0,0,0
51070098,0,0,0,0,0,0,0,0,0,0,0
51070099,2,2,2,2,1,2,2,2,2,2,2
51070100,0,0,2,0,0,0,2,0,0,0,0
51070101,0,0,0,0,0,0,0,0,0,0,0
51070102,0,1,1,1,1,0,0,2,0,0,0
51070103,0,0,0,0,0,0,0,0,0,0,0
51070104,0,0,2,1,0,0,0,0,0,0,0
51070105,1,0,0,0,0,0,0,0,0,0,0
51070106,0,0,0,-1,0,0,0,0,0,0,0
51070107,0,0,0,0,0,0,0,0,0,0,0
51070108,2,0,0,0,0,0,0,0,0,0,0
51070109,0,2,0,0,0,0,0,0,0,0,1
51070110,0,0,0,0,0,0,0,0,0,0,0
51070111,0,0,0,0,0,0,0,0,0,0,0
51070112,0,0,0,0,0,0,0,0,0,0,0
51070113,0,0,0,1,0,0,0,0,0,0,0
51070114,0,0,0,0,0,0,0,0,0,0,0
51070115,0,0,0,0,0,0,0,0,0,0,0
51070116,0,0,0,0,0,0,0,0,0,0,0
51070117,0,0,0,0,0,0,0,0,0,0,0
51070118,2,0,0,0,0,0,0,0,0,0,0
51070119,0,0,0,0,0,0,0,0,0,0,0
51070120,0,0,1,0,0,0,2,0,0,0,0
51070121,1,0,0,0,0,0,0,1,0,0,0
51070122,1,0,0,0,0,1,0,0,0,0,0
51070123,1,1,1,1,0,2,0,0,1,2,0
51070124,2,0,0,0,0,2,0,1,0,2,0
51070125,2,2,2,2,0,2,2,2,0,0,0
51070126,2,1,2,0,0,0,0,0,0,0,0
51070127,0,1,0,0,0,0,0,0,0,0,0
51070128,0,0,0,0,0,0,0,0,0,0,0
