D_INTERVIEW,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104
170070052,2,2,0,0,0,0,0,0,0,1,0
170070053,0,0,1,1,1,1,0,1,2,0,0
170070054,0,1,0,0,0,0,0,0,0,0,0
170070057,2,1,0,0,0,2,0,0,0,0,0
170070069,2,1,2,0,0,0,0,0,0,0,0
170070074,2,1,1,1,1,1,1,0,0,0,0
170070075,0,0,0,0,0,0,0,0,0,2,2
170070076,1,0,0,0,0,0,0,0,0,0,0
170070080,2,2,1,0,2,2,2,2,1,2,2
170070085,2,2,1,1,1,1,1,2,2,2,1
170070087,0,0,0,0,0,0,0,0,0,0,0
170070093,2,2,2,1,1,1,1,1,1,2,0
170070104,0,0,0,0,1,0,1,0,0,1,1
170070105,1,1,1,0,0,0,0,0,0,0,0
170070112,2,0,0,0,0,0,0,0,0,0,0
170070113,2,1,1,1,1,1,1,1,1,1,1
170070122,0,0,0,0,0,0,0,0,0,0,0
170070126,1,0,2,0,0,0,0,0,0,0,0
170070128,0,0,0,0,0,0,0,0,0,0,0
170070132,1,1,1,1,1,1,1,1,1,1,1
170070154,2,1,1,1,1,1,1,1,1,1,1
170070156,2,1,1,1,1,1,1,1,1,1,1
170070197,0,2,0,0,0,0,1,0,0,2,0
170070198,2,0,0,0,0,0,0,0,0,2,0
170070210,2,0,0,0,0,0,0,0,0,0,0
170070213,2,0,0,0,0,0,0,0,0,0,2
170070214,2,2,2,1,0,2,1,2,0,1,0
170070215,1,1,1,1,1,1,1,1,1,1,1
170070219,0,0,0,0,0,0,0,0,0,0,0
170070222,0,0,2,0,0,0,0,2,0,0,0
170070224,0,0,0,0,0,0,0,0,0,0,0
170070253,0,0,0,0,0,0,0,0,0,0,0
170070255,0,0,0,1,1,1,1,1,1,1,1
170070261,2,1,1,1,1,1,1,1,1,1,1
170070308,2,1,0,0,0,2,1,2,2,2,2
170070312,0,0,0,0,0,0,0,0,0,0,0
170070323,1,1,2,1,0,0,0,0,0,1,1
170070332,0,0,0,0,0,0,2,2,0,0,0
170070334,0,0,0,0,0,0,0,0,0,0,0
170070337,2,1,1,1,1,1,1,1,1,1,1
170070341,2,2,1,1,1,1,2,2,1,2,1
170070344,1,1,1,1,1,1,1,1,1,1,1
170070358,2,1,2,0,0,0,1,0,0,0,0
170070366,2,2,1,0,0,1,0,0,0,0,0
170070369,1,1,2,1,2,2,1,2,1,1,1
170070378,2,2,2,0,0,0,2,0,2,2,2
170070385,2,1,2,1,1,1,1,1,1,1,1
170070388,2,1,1,1,1,0,0,2,2,2,2
170070389,0,0,0,0,0,0,0,0,0,0,0
170070390,1,1,1,1,1,1,1,1,2,1,1
170070393,1,0,0,0,0,0,1,0,0,0,0
170070394,1,2,1,1,1,1,1,1,1,1,1
170070395,2,2,1,0,0,0,0,0,0,0,0
170070407,2,0,0,0,0,0,0,0,0,0,0
170070408,0,0,0,0,0,0,0,0,0,0,0
170070414,2,0,0,0,0,0,0,0,0,0,0
170070415,2,1,1,0,0,0,0,0,0,0,0
170070418,0,0,0,0,0,0,0,0,0,0,0
170070421,0,0,0,0,0,0,2,0,0,0,0
170070422,0,0,0,0,0,0,0,0,0,0,0
170070423,1,0,0,0,0,0,0,0,0,0,0
170070426,2,2,2,0,0,0,0,0,0,0,0
170070432,2,2,0,0,0,2,0,0,0,0,0
170070442,0,0,2,0,0,0,0,0,0,0,0
170070465,2,2,2,1,2,2,1,1,2,2,2
170070471,1,1,1,1,1,1,1,1,1,1,1
170070497,0,0,1,0,0,0,0,0,0,0,0
170070503,0,0,0,0,0,0,0,0,0,0,0
170070507,2,0,0,0,0,0,0,0,0,0,0
170070510,2,0,0,0,0,0,0,0,0,0,0
170070514,1,2,0,0,0,0,0,0,0,0,0
170070515,1,1,1,1,1,1,1,1,1,1,1
170070522,2,1,1,1,1,0,0,0,0,0,0
170070530,0,1,1,0,0,0,0,0,0,0,0
170070531,0,2,0,0,0,0,0,0,0,0,0
170070534,2,0,2,0,0,0,1,0,0,0,0
170070538,0,0,0,0,0,0,0,0,0,0,0
170070541,0,0,0,0,0,0,2,0,0,0,0
170070544,1,1,1,1,1,1,1,1,1,1,1
170070545,2,0,0,0,0,0,0,0,0,0,0
170070553,0,0,0,0,0,0,0,0,0,0,0
170070558,1,2,1,0,0,0,0,0,0,0,0
170070559,2,1,0,0,0,1,1,1,1,1,1
170070560,2,0,0,0,0,0,0,0,0,0,0
170070561,2,0,0,0,0,0,0,0,0,0,0
170070562,0,0,0,0,0,0,0,0,0,0,0
170070565,0,0,0,0,0,0,0,0,0,0,0
170070585,2,0,0,0,0,0,0,0,0,0,0
170070593,0,0,0,2,0,2,0,0,0,0,0
170070598,0,0,2,0,0,0,0,0,2,2,0
170070601,0,0,0,0,0,0,0,0,0,0,0
170070621,2,2,2,1,1,1,1,2,2,2,2
170070626,0,0,0,0,0,0,0,0,0,0,0
170070630,1,1,1,1,1,0,0,1,1,1,0
170070631,2,2,2,0,0,0,0,0,0,1,0
170070663,1,2,1,1,2,0,0,1,1,1,2
170070666,2,1,2,0,0,1,2,2,2,2,2
170070669,1,0,2,0,1,1,1,2,1,1,1
170070672,0,2,2,0,0,0,0,0,0,0,0
170070673,0,0,0,0,0,0,0,0,0,0,0
170070676,2,2,2,0,0,2,1,0,0,0,0
170070680,1,2,2,1,1,2,2,1,1,1,1
170070682,0,0,0,0,0,0,0,0,0,0,0
170070686,1,0,0,0,0,0,0,0,0,0,0
170070699,1,1,1,1,1,1,1,1,1,1,1
170070703,0,1,2,0,0,1,1,2,2,2,0
170070704,0,0,0,0,2,0,0,2,0,0,0
170070706,0,0,2,2,0,2,0,2,2,2,0
170070723,1,1,1,1,1,1,1,1,1,1,0
170070731,0,1,1,0,0,0,0,0,0,0,0
170070734,1,1,1,1,0,1,1,1,0,0,0
170070737,2,1,1,1,1,1,1,1,1,1,1
170070749,2,2,1,1,0,0,0,0,0,0,0
170070750,2,0,0,0,0,0,0,0,0,0,0
170070751,1,1,2,1,1,1,1,1,1,1,1
170070752,0,0,0,0,0,0,0,0,0,0,0
170070756,1,0,0,0,0,0,0,1,0,0,2
170070760,1,1,1,1,0,0,0,0,0,0,0
170070762,0,0,0,0,0,0,0,0,0,0,0
170070763,0,0,0,0,0,0,0,0,0,0,0
170070764,0,0,0,0,0,0,0,0,0,0,0
170070769,0,0,0,0,0,0,0,0,0,0,0
170070776,2,2,0,0,0,0,0,0,0,0,0
170070779,2,2,0,0,0,0,0,0,0,0,0
170070805,1,1,1,1,1,1,1,0,1,1,1
170070809,1,1,1,1,1,1,1,1,1,1,1
170070810,1,1,2,1,1,1,1,1,1,1,1
170070836,2,1,1,1,1,1,2,1,2,1,2
170070856,0,0,0,0,0,0,0,0,0,0,0
170070868,2,1,1,0,1,0,0,1,0,0,0
170070881,2,0,0,0,2,1,1,2,0,0,0
170070884,2,2,2,1,1,2,0,0,2,2,0
170070890,2,0,0,0,0,0,0,2,2,2,0
170070904,0,0,0,0,0,0,0,0,0,0,0
170071000,0,1,1,0,0,2,2,2,1,1,1
170071009,0,0,0,0,0,0,2,0,0,0,0
170071010,2,1,1,1,1,1,1,2,1,2,2
170071012,1,1,1,1,1,1,1,1,1,1,1
170071013,1,1,1,1,1,1,1,1,1,1,1
170071014,2,1,2,1,1,1,1,2,2,2,2
170071018,2,0,0,0,0,0,0,0,2,2,0
170071020,1,1,1,1,1,1,1,1,1,1,2
170071024,1,0,0,0,0,0,0,0,0,0,0
170071029,0,0,0,0,0,0,0,0,0,0,0
170071042,2,1,1,0,0,0,0,0,2,0,0
170071045,2,0,0,0,0,0,0,0,0,0,0
170071046,1,1,1,1,1,1,1,1,1,1,1
170071051,2,0,0,0,0,0,0,0,0,0,0
170071052,2,1,1,1,1,1,1,1,1,1,2
170071053,2,1,2,0,0,2,2,1,2,0,2
170071059,0,0,0,0,0,0,0,0,0,0,0
170071060,2,2,1,1,1,1,1,1,1,1,1
170071061,1,1,1,1,1,1,1,1,1,1,1
170071062,2,1,1,1,0,1,0,0,0,1,1
170071083,0,0,0,0,2,0,2,2,0,0,0
170071092,0,0,0,0,0,0,0,0,0,0,0
170071094,1,1,1,0,0,0,0,0,0,0,0
170071095,0,0,0,0,0,0,0,0,0,0,0
170071096,1,1,1,1,1,1,1,1,1,1,1
170071097,0,0,0,0,0,0,0,0,0,0,0
170071101,0,0,0,0,0,0,0,0,0,0,0
170071104,0,0,0,0,0,0,0,0,0,0,0
170071110,2,2,0,0,0,0,0,0,0,0,0
170071113,0,0,0,0,0,0,0,0,0,0,0
170071124,1,0,0,0,0,0,0,0,0,0,0
170071131,1,2,0,0,0,0,2,1,0,0,0
170071152,1,1,1,1,1,1,1,1,1,1,1
170071153,0,0,1,0,0,0,0,0,0,0,0
170071158,0,0,0,0,0,0,0,0,0,0,0
170071160,2,1,1,1,1,1,1,1,1,1,1
170071163,0,2,0,2,0,0,2,0,0,0,0
170071164,2,1,2,0,0,0,0,0,0,0,0
170071165,0,1,0,0,0,0,0,0,0,0,0
170071166,1,1,1,1,1,1,1,1,1,1,1
170071178,1,1,1,1,1,1,1,1,1,1,1
170071181,1,1,1,1,1,1,1,1,1,1,1
170071187,2,1,0,0,2,1,0,0,0,0,0
170071188,0,0,0,0,0,0,0,0,0,0,0
170071191,2,1,2,1,1,1,1,1,0,1,2
170071216,1,1,1,1,1,1,1,1,1,1,0
170071219,0,0,0,0,0,0,0,0,0,0,0
170071222,1,1,1,0,0,0,2,1,2,1,1
170071225,0,0,0,0,0,0,0,2,0,0,0
170071226,2,1,0,0,0,0,0,0,0,0,0
170071230,1,1,1,1,1,1,2,2,1,1,2
170071231,1,1,1,1,1,1,1,1,1,1,1
170071234,2,2,0,0,0,0,0,0,0,0,0
170071248,2,2,0,2,2,2,2,1,1,1,1
170071249,0,1,1,0,0,0,0,0,0,0,0
170071252,1,0,0,0,0,0,0,0,0,0,0
170071255,0,0,0,0,1,0,0,0,0,0,0
170071258,2,2,2,1,2,2,2,2,0,2,0
170071259,2,1,2,0,0,0,1,0,0,0,0
170071261,1,1,1,1,2,1,1,1,1,1,1
170071263,2,2,1,0,1,0,0,0,1,1,1
170071264,0,0,0,0,0,0,0,0,0,2,0
170071265,1,1,1,1,1,1,1,1,1,1,1
170071276,2,1,1,1,1,1,1,1,2,2,1
170071279,1,0,1,0,0,1,0,0,0,2,2
170071284,0,2,2,2,2,0,0,0,0,0,1
170071296,1,1,1,0,0,0,0,0,0,0,0
170071297,0,0,0,0,0,0,0,0,0,0,0
170071302,2,2,1,0,0,2,1,2,1,2,1
170071303,0,2,1,1,1,2,1,1,1,1,1
170071304,1,1,1,1,1,1,1,1,1,1,1
170071305,1,2,1,1,2,1,2,2,2,2,2
170071306,0,0,0,0,2,0,0,0,0,0,0
170071307,1,2,2,0,0,0,0,0,0,0,0
170071308,2,2,2,0,1,1,1,2,1,1,1
170071309,2,2,1,1,2,2,2,1,2,1,1
170071310,2,1,0,0,0,0,0,0,0,0,0
170071311,1,1,1,1,1,1,1,1,1,1,1
170071313,2,2,2,0,0,2,2,0,0,2,0
170071317,0,2,2,2,1,2,2,2,2,2,2
170071320,2,2,1,0,1,1,1,2,2,2,1
170071327,2,2,2,1,1,2,2,2,1,2,1
170071429,1,0,0,0,0,0,0,0,1,1,1
170071432,1,0,1,0,0,0,0,0,0,0,0
170071433,0,0,0,0,0,0,0,0,0,0,0
170071444,0,0,0,0,0,0,0,0,0,0,0
170071448,0,0,1,0,1,0,0,0,0,0,0
170071454,0,0,0,0,0,0,0,0,0,0,0
170071463,0,0,0,0,0,0,0,0,0,0,0
170071472,0,0,0,0,0,1,0,0,0,0,0
170071473,2,0,0,0,0,0,0,0,0,0,0
170071474,0,0,0,0,0,0,0,0,0,0,0
170071481,0,0,1,1,1,1,1,0,0,1,1
170071484,1,1,1,1,1,1,1,1,1,1,1
170071491,0,1,1,1,1,1,1,1,1,1,1
170071494,2,0,0,0,0,0,2,0,0,0,0
170071495,0,1,0,0,0,0,0,0,0,0,0
170071496,1,1,2,1,1,1,1,1,1,1,1
170071497,2,2,2,1,2,2,2,2,2,2,2
170071504,1,2,1,1,2,1,1,1,1,1,1
170071505,2,2,1,1,1,1,1,1,1,1,1
170071506,2,1,1,1,1,1,1,1,1,1,1
170071513,1,2,2,1,1,2,1,1,1,2,1
170071514,0,0,0,0,0,0,0,0,0,0,0
170071515,0,0,0,0,0,0,0,0,0,0,0
170071516,0,2,0,1,1,1,2,0,0,0,0
170071517,1,0,0,0,0,1,0,0,0,0,0
170071525,2,2,2,2,1,1,1,1,1,1,1
170071527,0,0,0,0,0,0,0,0,0,0,0
170071528,0,0,2,0,0,0,1,0,0,2,2
170071530,2,2,1,1,1,1,1,2,1,2,1
170071532,1,1,1,1,1,2,1,1,1,1,1
170071533,2,2,1,1,1,1,1,1,1,1,1
170071534,2,2,1,1,1,1,2,1,1,1,1
170071537,0,1,1,1,1,0,1,1,1,1,1
170071541,2,1,1,0,0,0,0,0,0,0,0
170071543,0,0,0,0,0,0,0,0,0,0,0
170071547,2,0,0,0,0,0,0,0,0,0,0
170071552,0,0,0,0,0,0,0,0,0,0,0
170071556,0,0,0,0,0,0,0,0,0,0,0
170071558,2,0,0,0,0,0,0,0,0,0,0
170071559,0,2,0,0,0,0,0,0,0,0,0
170071566,0,0,0,0,0,0,0,0,0,0,0
170071573,2,0,0,0,0,0,0,0,0,0,0
170071586,2,2,1,0,0,1,2,2,2,1,2
170071589,0,2,1,0,0,1,0,0,0,0,0
170071594,2,1,1,0,0,0,1,1,0,1,1
170071602,2,0,0,0,0,0,0,0,2,0,0
170071605,2,0,2,0,0,2,1,1,0,0,0
170071608,2,2,2,0,0,2,0,1,0,2,0
170071612,0,0,2,0,0,0,0,0,0,0,1
170071621,2,1,1,1,1,1,1,0,0,0,0
170071622,1,0,1,0,0,0,0,0,0,0,0
170071623,1,2,0,0,0,0,0,0,0,0,0
170071624,2,1,1,2,1,1,2,1,1,1,2
170071626,1,1,1,1,1,1,1,1,1,1,2
170071629,1,1,1,1,1,1,1,1,1,1,1
170071634,2,2,2,1,1,1,1,1,1,1,1
170071637,1,1,1,1,1,1,1,1,1,1,1
170071638,0,2,2,0,0,2,2,0,0,0,0
170071639,2,0,0,0,0,0,0,0,0,0,0
170071642,1,1,1,1,1,1,1,1,1,1,1
170071643,1,2,2,1,1,2,2,2,2,2,2
170071727,2,1,1,1,1,2,1,1,1,1,1
170071728,0,0,0,0,0,0,0,0,0,0,0
170071729,0,0,0,0,0,0,0,0,0,0,0
