D_INTERVIEW,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104
276070001,0,0,0,0,0,0,0,0,0,1,0
276070002,0,1,0,0,0,0,0,0,0,0,0
276070003,2,0,0,0,0,0,0,0,0,0,0
276070004,0,0,0,0,0,2,0,2,0,0,0
276070005,0,0,0,0,0,0,0,0,0,0,0
276070006,0,0,0,0,0,0,0,0,0,0,0
276070007,2,0,0,0,0,0,1,0,0,0,0
276070008,0,0,0,0,0,0,0,0,0,0,0
276070009,0,0,0,0,0,0,0,0,0,0,0
276070010,0,0,0,0,0,0,0,0,0,0,0
276070011,0,1,0,0,0,0,0,0,0,0,0
276070012,1,1,0,0,0,0,0,0,0,0,0
276070013,0,0,0,0,0,0,0,0,0,0,0
276070014,0,2,0,0,0,0,0,0,0,0,0
276070015,2,1,1,0,2,0,0,0,0,0,0
276070016,2,0,0,0,0,0,2,0,0,0,0
276070017,0,0,0,0,0,0,0,0,0,0,0
276070018,2,1,0,0,2,2,2,0,0,0,0
276070019,1,1,0,2,0,0,0,2,0,0,0
276070020,0,2,2,2,0,2,0,2,2,0,0
276070021,1,0,0,0,0,1,0,0,0,0,0
276070022,1,0,0,0,0,0,0,0,0,0,0
276070023,1,0,0,0,0,0,0,0,0,1,0
276070024,0,2,0,0,0,0,0,0,0,0,0
276070025,0,0,0,0,0,2,0,2,0,0,0
276070026,2,0,0,0,0,0,0,0,0,0,0
276070027,2,1,0,2,0,2,2,0,0,0,0
276070028,0,0,0,0,0,0,0,0,0,0,0
276070029,0,0,0,0,0,0,0,0,0,0,0
276070030,2,0,0,0,2,0,0,0,0,0,0
276070031,0,0,1,0,0,0,0,0,0,0,0
276070032,0,2,0,0,0,0,0,0,0,0,0
276070033,2,0,1,0,0,0,0,0,0,1,0
276070034,0,0,2,1,1,2,0,0,0,0,0
276070035,0,0,0,0,0,0,0,0,0,0,0
276070036,0,1,0,0,0,0,0,0,0,0,0
276070037,0,1,0,0,0,0,2,0,0,0,0
276070038,1,0,0,2,0,0,0,0,0,0,0
276070039,0,1,0,2,2,0,0,0,0,0,0
276070040,2,1,1,0,0,0,0,0,0,0,0
276070041,0,0,0,2,0,0,0,0,0,0,0
276070042,0,0,0,0,0,0,0,0,0,0,0
276070043,2,1,0,1,0,0,0,0,0,0,0
276070044,2,1,1,2,2,1,1,2,2,1,2
276070045,0,0,0,0,0,0,0,0,0,0,0
276070046,0,0,0,0,0,0,0,0,0,0,0
276070047,0,0,0,0,0,0,0,0,0,0,0
276070048,1,1,0,0,1,0,0,1,0,0,0
276070049,0,1,1,0,0,0,0,0,0,0,0
276070050,0,1,1,0,0,0,2,0,0,0,0
276070051,2,0,0,0,0,0,0,0,0,0,0
276070052,0,0,0,0,0,0,0,0,0,0,0
276070053,0,1,0,0,0,0,2,0,0,0,0
276070054,0,0,0,0,0,0,0,0,0,0,0
276070055,0,0,0,0,0,0,0,0,0,0,0
276070056,0,0,0,0,0,0,0,0,0,0,0
276070057,0,1,0,0,0,0,0,0,0,0,0
276070058,0,1,0,0,0,0,0,0,0,0,0
276070059,0,0,0,0,0,1,0,0,0,0,0
276070060,0,1,0,0,0,0,0,0,0,0,0
276070061,0,2,1,0,0,1,2,0,0,0,0
276070062,0,0,0,0,0,0,0,0,0,0,0
276070063,0,0,0,2,1,0,0,0,0,0,0
276070064,0,0,0,2,0,0,0,0,0,0,0
276070065,0,0,0,0,0,0,0,0,0,0,0
276070066,0,1,0,0,0,0,0,0,0,0,0
276070067,0,0,0,0,0,0,0,0,0,0,0
276070068,0,0,0,0,0,0,0,0,0,0,0
276070069,0,2,2,0,0,0,0,0,0,0,0
276070070,0,1,0,0,0,0,0,0,0,0,0
276070071,2,0,0,1,0,0,1,0,0,0,0
276070072,0,0,1,0,0,0,0,0,0,0,0
276070073,2,2,2,2,0,0,2,0,0,0,0
276070074,0,0,1,2,0,0,0,0,0,0,0
276070075,2,0,1,0,0,2,1,0,0,0,0
276070076,0,0,0,0,0,0,0,0,0,0,0
