D_INTERVIEW,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104
528070001,2,2,0,0,0,0,2,2,0,0,0
528070002,2,0,0,0,0,0,1,0,1,1,0
528070003,0,0,0,1,0,0,0,0,0,0,0
528070004,0,2,0,2,0,0,0,0,1,0,0
528070005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2
528070006,0,0,0,1,0,0,0,0,0,0,0
528070007,0,2,0,0,0,1,0,1,0,0,0
528070008,0,0,0,0,0,0,0,0,0,0,0
528070009,0,2,0,0,0,0,0,0,0,0,0
528070010,2,0,0,0,0,0,0,0,0,0,1
528070011,0,2,0,0,0,0,0,0,0,0,0
528070012,1,2,0,1,0,0,1,0,0,0,0
528070013,0,0,0,0,0,0,0,0,0,0,0
528070014,0,0,0,0,0,1,0,2,0,0,0
528070015,0,0,0,0,0,0,0,0,0,0,0
528070016,0,0,1,1,0,0,0,0,1,0,0
528070017,2,2,0,0,0,0,0,1,1,0,0
528070018,0,0,0,0,0,0,0,0,0,2,1
528070019,0,0,0,1,0,0,0,0,0,0,0
528070020,1,0,0,0,0,0,0,0,0,0,0
528070021,0,2,0,2,0,0,0,0,2,0,0
528070022,0,0,0,0,0,0,0,0,0,0,0
528070023,0,0,0,0,0,0,0,0,0,0,0
528070024,1,2,0,0,0,0,0,2,0,0,0
528070025,1,2,0,0,0,0,0,0,0,0,0
528070026,0,0,0,0,0,0,0,0,0,0,0
528070027,0,0,0,0,0,0,0,0,1,0,0
528070028,0,0,0,0,0,0,0,0,0,0,0
528070029,0,0,0,0,0,0,0,0,0,0,0
528070030,-5,2,-5,-5,0,0,0,0,0,0,-5
528070031,0,0,0,0,0,0,0,0,0,0,0
528070032,0,0,0,0,0,0,0,0,0,0,0
528070033,0,0,0,0,0,0,0,0,0,0,0
528070034,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070035,0,0,2,0,0,0,0,0,0,0,0
528070036,0,2,0,0,0,0,0,0,0,0,0
528070037,1,0,0,0,0,0,0,0,0,0,0
528070038,0,0,0,0,0,0,0,0,0,0,0
528070039,0,0,0,0,0,1,0,1,0,0,0
528070040,0,2,0,0,0,0,0,0,0,0,0
528070041,0,0,0,1,0,0,0,0,0,0,0
528070042,0,0,0,0,0,1,0,1,0,0,0
528070043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070044,2,0,0,0,2,1,0,1,0,0,0
528070045,0,0,0,0,0,0,0,0,0,0,0
