D_INTERVIEW,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104
604070001,0,0,0,0,0,0,0,0,0,0,0
604070002,0,0,0,0,0,0,0,0,0,0,0
604070003,0,0,0,0,0,0,0,0,0,0,0
604070004,0,0,0,0,0,0,0,0,0,0,0
604070005,0,0,0,0,0,0,0,0,0,0,0
604070006,2,0,0,0,0,0,0,0,0,0,0
604070007,0,0,0,0,0,0,0,0,0,0,0
604070008,0,0,0,0,0,0,0,0,0,0,0
604070009,0,0,0,0,0,0,0,0,0,0,0
604070010,0,0,0,0,0,0,0,0,0,0,0
604070011,1,0,0,0,0,0,0,0,0,0,0
604070012,0,0,0,0,0,0,0,0,0,0,0
604070013,2,0,0,0,0,0,0,0,0,0,0
604070014,1,0,0,0,0,0,2,0,0,0,0
604070015,0,0,0,0,0,0,0,0,0,0,0
604070016,0,0,0,0,0,0,0,0,0,0,0
604070017,1,2,0,0,2,0,0,0,0,0,0
604070018,0,0,0,0,0,0,0,0,0,0,0
604070019,0,0,0,0,0,0,0,0,0,0,0
604070020,0,0,0,0,0,0,0,0,0,0,0
604070021,0,0,0,0,0,0,0,0,0,0,0
604070022,0,0,0,0,0,0,0,0,0,0,0
604070023,0,0,0,0,0,0,0,0,0,0,0
604070024,0,0,0,0,0,0,0,0,0,0,0
604070025,0,0,0,0,0,0,0,0,0,0,0
604070026,0,0,0,0,0,0,0,0,0,0,0
604070027,1,0,0,0,0,0,0,0,0,0,0
604070028,0,0,0,0,0,0,0,0,0,0,0
604070029,0,0,0,0,0,0,0,0,0,0,0
604070030,1,2,1,0,0,0,0,0,0,0,0
604070031,0,2,0,0,0,0,0,0,0,0,0
604070032,2,0,0,0,0,0,0,0,0,0,0
604070033,0,0,0,0,0,0,0,0,0,0,0
604070034,0,0,2,0,0,0,0,0,0,0,2
604070035,0,0,1,0,1,0,0,0,0,0,0
604070036,0,0,0,0,0,0,0,0,0,0,0
604070037,0,0,0,0,0,0,0,0,0,0,0
604070038,1,0,0,0,0,0,0,0,0,0,0
604070039,0,1,0,0,0,0,0,0,0,0,0
604070040,2,0,0,0,0,0,0,0,0,0,0
604070041,0,1,0,0,0,0,0,0,0,0,0
604070042,0,0,0,0,0,0,0,0,0,0,0
604070043,0,0,0,0,0,0,0,0,0,0,0
604070044,0,0,0,0,0,0,0,0,0,0,0
604070045,0,0,0,0,0,0,0,0,0,0,0
604070046,0,0,0,0,0,0,0,0,0,0,0
604070047,1,0,0,0,0,0,0,0,0,0,0
604070048,0,0,0,0,0,0,0,0,0,0,0
604070049,2,0,0,0,0,0,0,0,0,0,0
604070050,0,0,0,0,0,0,0,0,0,0,0
604070051,0,0,0,0,0,0,0,0,0,0,0
604070052,0,0,0,0,0,0,0,0,0,0,0
604070053,2,0,0,0,0,0,0,0,0,0,0
