D_INTERVIEW,Q1,Q2,Q3,Q4,Q5,Q6
51070001,1,1,1,3,4,1
51070002,1,2,3,3,1,1
51070003,1,1,1,1,2,1
51070004,1,3,2,1,1,2
51070005,1,2,2,2,1,2
51070006,1,1,1,3,1,1
51070007,1,3,3,4,1,1
51070008,1,2,1,3,2,1
51070009,1,2,1,2,1,1
51070010,1,2,1,2,1,2
51070011,1,3,1,4,3,2
51070012,1,1,1,3,1,1
51070013,1,3,1,1,1,1
51070014,1,1,2,3,2,1
51070015,1,2,2,4,2,1
51070016,1,2,2,3,1,1
51070017,1,2,1,-1,1,1
51070018,1,1,1,4,1,1
51070019,1,2,1,4,1,1
51070020,1,1,2,4,1,1
51070021,1,1,1,1,1,1
51070022,1,1,2,1,1,3
51070023,1,1,2,3,1,2
51070024,2,2,2,-2,1,4
51070025,1,1,1,2,2,1
51070026,1,1,1,4,1,1
51070027,1,2,-1,3,2,1
51070028,1,2,2,2,1,2
51070029,2,1,1,4,-1,-2
51070030,1,1,3,3,1,1
51070031,1,1,3,3,1,1
51070032,1,2,1,3,1,1
51070033,1,3,3,2,1,1
51070034,1,2,1,4,1,1
51070035,1,2,3,2,1,1
51070036,1,1,1,3,1,1
51070037,1,1,3,4,1,1
51070038,1,1,2,4,2,1
51070039,1,2,3,1,1,1
51070040,1,2,2,4,1,1
51070041,1,1,1,-1,1,1
51070042,1,1,1,1,1,1
51070043,1,1,2,3,1,1
51070044,1,3,3,3,3,1
51070045,1,1,1,1,1,1
51070046,1,1,1,3,1,1
51070047,1,2,1,3,1,2
51070048,1,3,2,2,2,3
51070049,1,3,1,2,2,1
51070050,1,2,2,3,1,2
51070051,1,1,2,4,1,1
51070052,1,1,1,2,1,1
51070053,1,2,1,3,1,1
51070054,1,1,3,1,1,1
51070055,1,3,1,3,1,4
51070056,1,1,1,3,1,2
51070057,1,1,2,1,3,1
51070058,1,3,3,2,1,2
51070059,1,1,2,3,1,1
51070060,1,1,2,3,1,2
51070061,1,1,1,3,1,1
51070062,2,1,1,1,1,1
51070063,1,1,2,3,1,1
51070064,1,2,2,1,2,1
51070065,1,2,2,3,1,3
51070066,1,1,2,4,1,1
51070067,1,1,2,1,1,1
51070068,1,2,3,4,1,1
51070069,1,1,2,4,1,1
51070070,1,2,3,3,1,3
51070071,1,2,1,2,1,1
51070072,1,1,4,1,1,2
51070073,1,2,2,4,2,2
51070074,1,1,1,1,1,1
51070075,1,1,3,4,1,1
51070076,1,2,1,2,1,1
51070077,1,2,2,3,1,1
51070078,1,1,2,4,1,1
51070079,1,1,2,1,2,1
51070080,1,1,2,1,4,1
51070081,1,1,1,4,1,1
51070082,1,1,2,4,1,1
51070083,1,2,2,3,1,1
51070084,1,1,2,4,2,2
51070085,1,2,2,2,1,1
51070086,1,3,2,4,2,1
51070087,1,2,3,4,1,2
51070088,1,2,2,3,2,1
51070089,1,2,1,1,1,1
51070090,1,1,1,4,1,1
51070091,1,2,3,4,1,1
51070092,1,1,1,3,1,1
51070093,2,2,3,1,1,2
51070094,2,1,1,4,2,1
51070095,1,2,2,2,1,1
51070096,1,1,1,3,1,1
51070097,1,1,2,1,2,1
51070098,1,2,2,3,1,1
51070099,2,2,1,1,2,2
51070100,1,2,2,4,1,1
51070101,1,2,2,3,2,2
51070102,1,1,1,3,1,1
51070103,1,2,3,4,1,1
51070104,1,1,3,4,1,1
51070105,1,3,2,3,3,1
51070106,1,1,2,1,1,1
51070107,3,4,4,3,4,1
51070108,1,4,3,4,4,1
51070109,1,1,2,4,1,2
51070110,1,1,1,1,1,1
51070111,1,2,1,4,3,1
51070112,1,1,1,1,1,1
51070113,1,1,1,3,1,2
51070114,1,1,4,4,1,1
51070115,1,1,1,1,1,1
51070116,1,3,4,3,1,1
51070117,1,2,1,1,1,1
51070118,1,1,3,1,1,1
51070119,1,3,1,4,1,1
51070120,1,1,1,3,1,1
51070121,1,3,1,3,1,1
51070122,1,1,1,1,1,1
51070123,1,3,3,4,1,1
51070124,1,1,1,1,1,1
51070125,1,1,2,1,1,1
51070126,1,2,2,4,1,1
51070127,1,2,3,1,2,1
51070128,1,1,2,2,4,1
51070129,1,1,1,1,1,1
51070130,1,2,3,4,1,2
51070131,1,2,3,4,1,1
51070132,1,2,2,4,1,1
51070133,1,2,2,2,1,1
51070134,1,2,2,3,1,1
51070135,1,1,1,4,3,3
51070136,2,2,1,2,1,3
51070137,1,1,1,1,1,2
51070138,1,1,3,3,1,1
51070139,1,3,1,3,1,1
51070140,2,2,3,4,1,1
51070141,1,1,2,4,1,2
51070142,1,2,3,3,1,3
51070143,1,2,1,3,1,1
51070144,1,1,2,4,1,2
51070145,1,2,2,1,1,3
51070146,1,1,1,4,1,1
51070147,1,1,1,2,1,1
51070148,1,2,3,2,3,1
51070149,1,2,3,1,1,1
51070150,1,3,3,3,1,1
51070151,1,1,1,1,1,1
51070152,1,1,1,4,1,1
51070153,1,3,2,4,1,1
51070154,1,1,2,3,1,1
51070155,1,2,2,4,1,1
51070156,1,1,3,4,1,1
51070157,1,2,3,3,1,1
51070158,1,1,1,4,1,1
51070159,1,3,3,4,1,1
51070160,1,1,1,1,1,1
51070161,1,1,3,4,1,1
51070162,1,1,1,3,1,1
51070163,1,2,2,2,1,4
51070164,1,1,1,1,1,1
51070165,1,1,3,3,1,2
51070166,1,2,3,4,2,3
51070167,2,3,2,3,1,3
51070168,1,1,2,3,1,3
51070169,1,3,2,3,1,2
51070170,1,2,1,4,1,1
51070171,1,2,2,3,1,2
51070172,1,1,1,3,1,1
51070173,1,1,1,3,3,3
51070174,1,2,2,3,1,1
51070175,1,2,2,1,2,2
51070176,1,2,2,3,2,2
51070177,1,1,2,1,1,1
51070178,1,1,2,3,2,1
51070179,1,1,2,2,1,2
51070180,1,1,2,2,1,1
51070181,1,1,2,2,2,1
51070182,1,1,1,2,1,2
51070183,1,1,3,2,1,2
51070184,1,2,1,4,3,4
51070185,2,1,3,3,1,1
51070186,1,4,2,4,1,1
51070187,1,1,1,4,4,1
51070188,1,2,3,2,1,2
51070189,1,2,2,3,1,1
51070190,1,3,1,2,1,1
