D_INTERVIEW,Q1,Q2,Q3,Q4,Q5,Q6
170070052,1,3,2,2,1,1
170070053,1,1,2,1,2,2
170070054,1,3,2,3,2,2
170070057,1,1,1,4,1,1
170070069,1,3,2,4,1,1
170070074,1,1,2,1,2,1
170070075,1,1,1,3,2,3
170070076,1,1,1,3,1,3
170070080,1,1,2,2,1,2
170070085,1,2,1,3,1,1
170070087,1,1,1,1,1,1
170070093,1,2,2,3,1,1
170070104,1,2,2,1,2,3
170070105,1,2,1,3,1,2
170070112,1,1,2,3,2,2
170070113,1,1,1,2,1,1
170070122,1,1,1,1,1,1
170070126,2,1,3,4,1,2
170070128,1,1,1,3,1,1
170070132,1,1,1,3,1,1
170070154,2,2,1,3,1,1
170070156,1,2,1,2,1,2
170070197,1,2,2,3,2,4
170070198,1,3,1,4,1,1
170070210,1,2,2,1,1,1
170070213,1,2,2,3,1,3
170070214,1,3,2,4,2,1
170070215,1,1,1,1,1,1
170070219,1,3,1,3,1,3
170070222,1,1,2,3,2,3
170070224,1,4,1,4,1,3
170070253,2,3,4,2,2,4
170070255,1,1,1,3,2,1
170070261,1,1,1,1,1,1
170070308,2,1,2,3,1,2
170070312,1,1,1,4,4,1
170070323,2,1,3,1,2,1
170070332,1,1,1,4,1,1
170070334,2,1,1,3,1,2
170070337,1,1,1,3,1,1
170070341,2,1,3,4,1,1
170070344,1,2,1,2,1,1
170070358,2,2,2,1,1,1
170070366,1,3,1,1,1,1
170070369,1,2,1,1,1,1
170070378,1,1,1,3,1,1
170070385,1,1,2,3,1,2
170070388,1,1,1,4,1,1
170070389,1,2,3,1,1,2
170070390,1,1,1,3,2,2
170070393,1,1,1,3,1,1
170070394,1,1,1,3,1,3
170070395,1,1,2,3,1,1
170070407,2,3,1,4,2,1
170070408,1,1,3,4,2,3
170070414,1,2,2,3,1,1
170070415,1,1,1,3,1,1
170070418,1,3,1,3,4,1
170070421,1,2,2,3,2,4
170070422,1,1,1,3,1,1
170070423,2,1,1,3,1,2
