D_INTERVIEW,Q1,Q2,Q3,Q4,Q5,Q6
170070052,1.0,3.0,2.0,2.0,1.0,1.0
170070053,1.0,1.0,2.0,1.0,2.0,2.0
170070054,1.0,3.0,2.0,3.0,2.0,2.0
170070057,1.0,1.0,1.0,4.0,1.0,1.0
170070069,1.0,3.0,2.0,4.0,1.0,1.0
170070074,1.0,1.0,2.0,1.0,2.0,1.0
170070075,1.0,1.0,1.0,3.0,2.0,3.0
170070076,1.0,1.0,1.0,3.0,1.0,3.0
170070080,1.0,1.0,2.0,2.0,1.0,2.0
170070085,1.0,2.0,1.0,3.0,1.0,1.0
170070087,1.0,1.0,1.0,1.0,1.0,1.0
170070093,1.0,2.0,2.0,3.0,1.0,1.0
170070104,1.0,2.0,2.0,1.0,2.0,3.0
170070105,1.0,2.0,1.0,3.0,1.0,2.0
170070112,1.0,1.0,2.0,3.0,2.0,2.0
170070113,1.0,1.0,1.0,2.0,1.0,1.0
170070122,1.0,1.0,1.0,1.0,1.0,1.0
170070126,2.0,1.0,3.0,4.0,1.0,2.0
170070128,1.0,1.0,1.0,3.0,1.0,1.0
170070132,1.0,1.0,1.0,3.0,1.0,1.0
170070154,2.0,2.0,1.0,3.0,1.0,1.0
170070156,1.0,2.0,1.0,2.0,1.0,2.0
170070197,1.0,2.0,2.0,3.0,2.0,4.0
170070198,1.0,3.0,1.0,4.0,1.0,1.0
170070210,1.0,2.0,2.0,1.0,1.0,1.0
170070213,1.0,2.0,2.0,3.0,1.0,3.0
170070214,1.0,3.0,2.0,4.0,2.0,1.0
170070215,1.0,1.0,1.0,1.0,1.0,1.0
170070219,1.0,3.0,1.0,3.0,1.0,3.0
170070222,1.0,1.0,2.0,3.0,2.0,3.0
170070224,1.0,4.0,1.0,4.0,1.0,3.0
170070253,2.0,3.0,4.0,2.0,2.0,4.0
170070255,1.0,1.0,1.0,3.0,2.0,1.0
170070261,1.0,1.0,1.0,1.0,1.0,1.0
170070308,2.0,1.0,2.0,3.0,1.0,2.0
170070312,1.0,1.0,1.0,4.0,4.0,1.0
170070323,2.0,1.0,3.0,1.0,2.0,1.0
170070332,1.0,1.0,1.0,4.0,1.0,1.0
170070334,2.0,1.0,1.0,3.0,1.0,2.0
170070337,1.0,1.0,1.0,3.0,1.0,1.0
170070341,2.0,1.0,3.0,4.0,1.0,1.0
170070344,1.0,2.0,1.0,2.0,1.0,1.0
170070358,2.0,2.0,2.0,1.0,1.0,1.0
170070366,1.0,3.0,1.0,1.0,1.0,1.0
170070369,1.0,2.0,1.0,1.0,1.0,1.0
170070378,1.0,1.0,1.0,3.0,1.0,1.0
170070385,1.0,1.0,2.0,3.0,1.0,2.0
170070388,1.0,1.0,1.0,4.0,1.0,1.0
170070389,1.0,2.0,3.0,1.0,1.0,2.0
170070390,1.0,1.0,1.0,3.0,2.0,2.0
170070393,1.0,1.0,1.0,3.0,1.0,1.0
170070394,1.0,1.0,1.0,3.0,1.0,3.0
170070395,1.0,1.0,2.0,3.0,1.0,1.0
170070407,2.0,3.0,1.0,4.0,2.0,1.0
170070408,1.0,1.0,3.0,4.0,2.0,3.0
170070414,1.0,2.0,2.0,3.0,1.0,1.0
170070415,1.0,1.0,1.0,3.0,1.0,1.0
170070418,1.0,3.0,1.0,3.0,4.0,1.0
170070421,1.0,2.0,2.0,3.0,2.0,4.0
170070422,1.0,1.0,1.0,3.0,1.0,1.0
170070423,2.0,1.0,1.0,3.0,1.0,2.0
170070426,1.0,1.0,1.0,3.0,1.0,2.0
170070432,1.0,2.0,2.0,4.0,2.0,2.0
