D_INTERVIEW,Q1,Q2,Q3,Q4,Q5,Q6
276070001,1,1,2,4,3,4
276070002,2,2,2,1,2,1
276070003,1,1,1,2,1,2
276070004,1,1,2,2,4,3
276070005,1,1,1,3,1,3
276070006,1,1,2,2,1,3
276070007,1,2,2,2,2,2
276070008,1,1,2,3,-2,4
276070009,1,2,2,3,1,4
276070010,1,2,2,3,1,4
276070011,1,1,1,2,1,3
276070012,1,1,1,3,1,3
276070013,1,1,1,3,1,4
276070014,1,2,1,2,2,3
276070015,1,1,2,2,2,4
276070016,1,1,2,2,2,2
276070017,1,1,1,2,2,4
276070018,1,1,2,2,1,3
276070019,1,2,2,2,-2,2
276070020,1,2,2,1,1,3
276070021,1,1,1,1,1,1
276070022,1,2,2,2,2,1
276070023,1,2,2,3,2,3
276070024,1,1,1,3,2,3
276070025,1,1,1,1,1,3
276070026,1,2,1,2,2,1
276070027,1,1,2,2,1,3
276070028,1,1,2,2,1,1
276070029,2,1,2,2,1,1
276070030,2,1,2,2,2,4
276070031,1,1,2,2,2,3
276070032,1,1,1,2,2,3
276070033,1,2,2,1,1,1
276070034,2,1,2,1,1,3
276070035,1,1,2,1,1,1
276070036,1,1,1,1,3,3
276070037,1,2,2,2,1,4
276070038,1,1,2,3,2,1
276070039,1,2,2,1,3,3
276070040,1,1,2,4,2,4
276070041,1,2,2,2,1,3
276070042,1,2,2,2,2,4
276070043,1,2,2,4,3,3
276070044,1,1,2,2,1,2
276070045,1,1,2,4,2,1
276070046,1,2,2,2,1,3
276070047,3,3,2,4,4,4
276070048,1,2,1,1,3,1
276070049,1,2,1,2,2,3
276070050,1,1,1,1,1,1
276070051,1,1,1,3,4,2
276070052,1,1,1,2,4,4
276070053,1,1,1,2,1,4
276070054,1,1,1,1,4,4
276070055,1,1,1,3,1,4
276070056,1,3,2,3,1,4
276070057,1,1,2,1,1,4
276070058,1,1,1,2,2,3
276070059,1,2,2,2,3,3
276070060,1,2,2,1,2,4
276070061,1,1,1,2,1,3
276070062,2,1,2,2,2,4
276070063,1,2,1,2,2,4
276070064,1,1,2,2,1,3
276070065,1,1,1,2,2,4
276070066,1,1,1,2,2,3
276070067,2,3,3,4,4,4
276070068,1,1,1,2,4,4
276070069,1,2,1,2,1,2
276070070,1,1,2,2,1,4
276070071,1,1,3,1,-2,3
276070072,2,2,1,1,4,4
276070073,2,2,3,3,2,3
276070074,2,1,2,2,1,4
276070075,1,1,1,1,1,2
276070076,1,2,2,3,2,3
276070077,1,2,1,3,1,3
276070078,3,1,2,3,2,4
276070079,1,2,1,2,1,2
276070080,1,1,2,2,1,3
276070081,1,1,1,2,1,4
276070082,1,2,2,3,2,3
276070083,1,3,3,2,1,4
276070084,1,2,3,2,2,4
276070085,1,2,1,3,1,4
276070086,1,1,1,1,2,3
276070087,1,2,2,2,2,1
276070088,1,2,2,2,1,2
276070089,2,1,2,3,2,3
276070090,1,2,2,2,1,3
276070091,1,1,1,2,3,2
276070092,1,2,3,1,4,4
