D_INTERVIEW,Q1,Q2,Q3,Q4,Q5,Q6
300070001,1,2,2,4,2,2
300070002,1,1,1,3,-1,1
300070003,1,1,2,3,4,1
300070004,1,1,1,3,2,2
300070005,1,1,1,2,1,2
300070006,1,2,2,4,-1,1
300070007,1,1,2,3,1,1
300070008,1,1,1,3,-1,1
300070009,1,1,1,4,1,1
300070010,1,1,1,3,-1,2
300070011,1,2,2,4,1,2
300070012,1,2,2,4,1,2
300070013,1,1,-2,4,1,2
300070014,2,2,2,2,2,2
300070015,1,2,2,4,1,1
300070016,1,2,2,4,1,2
300070017,1,2,2,3,1,1
300070018,1,1,2,3,3,1
300070019,1,1,2,4,2,2
300070020,2,2,2,2,2,4
300070021,1,1,1,4,1,2
300070022,1,1,1,3,2,3
300070023,1,1,1,4,1,4
300070024,1,1,2,1,2,2
300070025,1,1,2,4,2,4
300070026,1,1,2,3,1,4
300070027,1,1,1,1,1,3
300070028,1,1,1,4,2,3
300070029,1,3,4,4,-1,1
300070030,1,1,2,3,2,3
300070031,2,1,1,4,2,4
300070032,1,1,2,3,1,2
300070033,1,2,2,3,1,1
300070034,1,1,2,2,1,2
300070035,1,1,1,4,1,1
300070036,1,1,2,3,1,1
300070037,1,2,2,3,2,1
300070038,1,1,2,-2,1,1
300070039,1,1,1,2,1,3
300070040,1,3,2,3,1,1
300070041,2,1,1,1,1,4
300070042,1,1,1,1,1,3
300070043,1,1,2,1,1,1
300070044,1,2,2,4,1,1
300070045,1,1,1,3,1,1
300070046,1,2,2,2,1,1
300070047,1,2,1,1,1,2
300070048,2,1,2,2,1,4
300070049,1,3,2,3,1,3
300070050,1,2,2,3,1,1
300070051,1,1,2,3,2,4
300070052,1,1,1,1,4,1
300070053,2,2,2,2,2,4
300070054,1,1,1,3,1,1
300070055,1,1,1,2,1,3
300070056,1,1,3,1,1,2
300070057,1,3,2,2,1,4
300070058,1,1,1,2,1,1
300070059,1,1,2,4,1,1
300070060,1,1,1,1,1,2
300070061,1,2,3,4,1,1
300070062,1,1,1,3,2,3
300070063,1,2,2,1,1,2
300070064,1,2,2,2,1,2
300070065,2,2,1,1,2,4
300070066,1,2,1,1,2,2
300070067,1,1,3,4,2,2
300070068,1,2,2,2,2,3
300070069,1,1,2,3,1,3
300070070,1,1,1,2,2,3
300070071,1,1,2,3,1,2
300070072,3,3,3,4,1,1
300070073,1,1,2,4,-1,1
300070074,1,2,2,4,-1,1
300070075,1,2,2,4,4,1
300070076,2,2,3,2,1,4
300070077,1,2,2,4,-1,1
300070078,1,2,2,3,-1,2
300070079,2,1,1,3,3,2
300070080,1,1,2,4,-1,1
300070081,1,2,2,2,1,4
300070082,1,1,3,2,3,1
300070083,1,1,2,2,1,4
300070084,1,1,1,1,1,1
300070085,1,2,1,3,1,1
300070086,1,1,1,2,1,4
300070087,1,1,1,2,1,2
300070088,1,1,1,1,1,3
300070089,1,2,2,2,-1,1
300070090,1,1,3,2,-1,1
300070091,1,2,2,2,1,1
300070092,1,1,1,4,2,3
300070093,1,1,1,2,1,2
300070094,1,1,2,4,2,3
300070095,1,1,1,2,2,4
300070096,1,1,1,4,1,1
300070097,1,2,1,4,1,1
300070098,1,2,1,3,2,2
300070099,1,2,3,4,-1,1
300070100,1,1,1,3,2,3
300070101,1,2,2,2,2,2
300070102,1,1,2,3,2,2
300070103,1,1,1,3,1,3
300070104,1,1,2,2,1,1
300070105,1,1,1,1,2,3
300070106,1,1,1,1,1,3
300070107,1,3,2,4,2,2
300070108,1,2,2,2,-2,1
300070109,1,2,2,3,2,2
300070110,1,2,2,1,2,1
300070111,1,2,2,4,1,1
300070112,1,1,1,4,1,1
300070113,1,1,1,1,1,2
300070114,1,2,2,1,1,4
300070115,1,2,2,2,1,1
300070116,1,2,2,1,1,3
300070117,1,1,1,4,1,2
300070118,1,1,1,3,1,1
300070119,1,2,1,2,1,1
300070120,1,1,1,3,2,3
300070121,1,1,1,3,2,1
300070122,1,2,1,3,1,3
300070123,1,2,3,2,1,1
300070124,1,1,2,3,1,1
300070125,1,1,1,3,1,2
300070126,1,1,2,2,2,3
300070127,1,1,2,4,3,3
300070128,1,2,2,3,1,2
300070129,1,1,1,4,1,3
300070130,1,2,2,2,1,2
300070131,1,1,2,2,1,1
300070132,2,2,2,2,-1,2
300070133,2,2,2,2,1,2
300070134,1,2,1,1,1,2
300070135,1,2,1,1,1,1
300070136,1,1,1,2,1,2
300070137,1,2,2,2,-1,1
300070138,1,1,1,2,1,2
300070139,1,1,1,2,1,1
300070140,1,1,1,1,1,1
300070141,1,1,2,2,-1,1
300070142,1,1,1,1,1,4
300070143,1,1,1,4,1,1
300070144,1,2,2,3,-1,2
300070145,1,1,1,1,1,4
300070146,1,1,1,2,1,2
300070147,1,1,1,1,1,2
300070148,1,2,3,2,-1,1
300070149,1,2,3,2,-1,1
300070150,1,2,2,2,2,2
300070151,1,1,1,3,1,1
300070152,1,3,1,4,1,3
300070153,1,2,2,2,1,2
300070154,1,1,1,4,1,1
300070155,2,2,2,2,2,2
300070156,1,1,2,4,2,1
300070157,1,1,2,2,2,1
300070158,1,2,3,2,1,1
300070159,1,2,1,4,1,2
300070160,1,1,1,2,1,1
300070161,1,1,1,4,1,3
300070162,1,1,2,3,3,3
300070163,1,1,2,2,1,3
300070164,1,2,2,3,1,1
300070165,1,1,2,2,1,1
300070166,1,2,2,2,1,1
300070167,1,1,1,2,2,3
300070168,1,1,1,1,2,4
300070169,2,3,2,2,1,4
300070170,1,1,1,1,1,3
300070171,1,1,2,2,1,2
300070172,1,1,1,2,1,1
300070173,1,1,1,3,1,3
300070174,2,2,2,3,1,1
300070175,1,2,2,3,2,3
300070176,1,2,1,2,1,1
300070177,1,1,2,2,1,3
300070178,1,1,1,2,1,2
300070179,1,1,1,3,1,3
300070180,1,2,2,2,1,2
300070181,1,1,2,3,1,2
300070182,1,2,2,3,1,2
300070183,1,1,1,3,1,2
300070184,1,2,2,3,2,2
300070185,1,1,1,3,1,1
300070186,1,1,1,3,1,2
300070187,1,2,1,3,1,2
300070188,1,2,1,4,2,2
300070189,1,1,1,4,1,2
300070190,1,1,1,4,1,2
300070191,1,1,2,2,2,3
300070192,1,1,2,2,2,2
300070193,1,2,2,3,1,1
300070194,1,2,2,4,2,1
300070195,1,2,2,2,1,1
300070196,1,1,1,2,1,2
300070197,1,2,2,2,2,2
300070198,1,1,2,2,1,2
300070199,1,2,2,2,2,1
300070200,1,1,2,2,1,4
300070201,1,2,3,4,1,1
300070202,1,3,1,4,1,4
300070203,1,2,2,3,1,2
300070204,1,1,2,1,1,2
300070205,1,1,1,1,1,1
300070206,1,2,1,4,1,1
300070207,1,1,1,1,1,4
300070208,1,1,1,1,1,1
300070209,1,2,2,4,1,2
300070210,1,1,2,2,1,2
300070211,1,2,4,4,1,1
300070212,1,2,1,1,1,2
300070213,1,1,2,2,1,1
300070214,4,4,4,4,3,1
300070215,1,2,2,4,1,1
300070216,1,1,1,1,1,1
300070217,1,2,2,2,1,3
300070218,2,2,1,4,1,4
300070219,1,1,2,2,2,2
300070220,1,1,2,1,1,1
300070221,1,3,3,3,1,1
300070222,2,3,2,1,1,1
300070223,1,1,3,4,1,1
300070224,1,1,1,4,1,1
300070225,1,1,2,3,1,1
300070226,1,2,2,1,1,3
300070227,1,1,2,4,1,2
300070228,1,2,3,1,1,1
300070229,1,1,2,1,1,4
300070230,1,1,2,4,1,1
300070231,1,2,1,2,1,1
300070232,1,2,1,1,1,1
300070233,1,1,1,3,1,1
300070234,1,1,3,3,1,4
300070235,1,1,1,4,1,1
300070236,1,1,2,1,1,4
300070237,1,1,1,2,1,1
300070238,1,1,1,4,1,1
300070239,1,3,3,3,1,1
300070240,1,1,2,2,1,3
300070241,1,1,2,3,2,1
300070242,1,2,1,3,2,2
300070243,1,1,2,4,1,1
300070244,1,2,1,3,2,2
300070245,1,1,1,4,1,2
300070246,1,2,2,3,1,2
300070247,1,1,1,4,2,4
300070248,1,2,2,3,2,1
300070249,1,2,2,3,1,1
300070250,1,1,2,3,2,1
300070251,1,2,2,3,3,1
300070252,1,1,2,3,-1,1
300070253,1,1,1,4,1,2
300070254,1,2,2,3,1,2
300070255,1,1,3,4,-1,1
300070256,1,2,2,4,-1,1
300070257,1,2,2,4,-1,1
300070258,1,2,2,3,-1,1
300070259,1,3,3,4,-1,1
300070260,1,1,2,4,-1,1
300070261,1,1,1,1,1,2
300070262,1,1,2,2,1,2
300070263,3,3,3,3,3,3
300070264,1,1,2,4,1,1
300070265,1,1,2,2,1,2
300070266,1,1,1,2,1,2
300070267,1,2,2,2,1,1
300070268,1,1,1,2,1,2
300070269,1,2,2,4,1,2
300070270,1,1,2,2,1,2
300070271,1,1,1,2,2,3
300070272,1,2,2,3,1,1
300070273,1,1,2,3,1,1
300070274,1,1,1,4,1,1
300070275,1,1,1,4,1,1
300070276,1,1,2,4,1,1
300070277,1,1,1,3,1,1
300070278,1,1,2,1,2,2
300070279,1,1,2,4,1,1
300070280,1,1,3,4,3,1
300070281,1,2,2,4,2,2
300070282,1,2,2,3,2,3
300070283,2,3,3,2,3,1
300070284,1,2,2,3,2,2
300070285,1,2,3,3,2,1
300070286,1,2,3,3,2,1
300070287,1,2,-2,4,2,2
300070288,1,1,2,3,2,2
300070289,1,1,2,3,2,2
300070290,1,1,2,2,2,2
300070291,1,1,2,2,1,2
300070292,1,1,2,2,1,2
300070293,1,1,2,2,1,2
300070294,1,1,2,3,1,2
300070295,1,1,1,2,1,2
300070296,3,3,2,4,1,3
300070297,1,1,2,3,1,3
300070298,1,2,2,2,1,2
300070299,1,1,1,2,1,3
300070300,1,2,2,2,1,2
300070301,1,2,2,3,1,1
300070302,1,2,2,4,1,1
300070303,1,2,1,4,2,2
300070304,1,1,2,4,2,3
300070305,1,2,3,3,2,3
300070306,1,1,2,2,1,4
300070307,1,2,3,3,1,4
300070308,1,3,2,3,2,2
300070309,2,1,2,2,1,3
300070310,1,1,1,1,1,4
300070311,1,3,4,4,-1,1
300070312,1,3,2,2,2,2
300070313,1,4,2,4,1,1
300070314,1,1,1,4,1,1
300070315,1,1,2,4,3,1
300070316,1,1,1,3,2,1
300070317,1,2,2,1,1,1
300070318,1,1,1,2,1,2
300070319,1,1,1,1,1,1
