D_INTERVIEW,Q1,Q2,Q3,Q4,Q5,Q6
392070001,1,1,2,2,1,3
392070002,1,2,2,1,1,4
392070003,1,1,1,1,1,1
392070004,2,2,1,2,2,3
392070005,1,1,2,4,1,4
392070006,1,4,1,1,3,4
392070007,1,2,3,-1,4,-1
392070008,1,2,2,2,2,3
392070009,1,2,3,4,2,2
392070010,1,1,2,2,1,3
392070011,1,1,1,2,1,-1
392070012,1,1,1,2,2,3
392070013,2,2,2,2,2,3
392070014,1,1,2,1,1,4
392070015,1,1,2,2,2,3
392070016,1,1,1,1,1,1
392070017,1,2,2,1,2,-1
392070018,1,2,3,2,3,4
392070019,1,2,1,2,2,4
392070020,1,2,1,2,3,4
392070021,1,2,2,-1,-2,3
392070022,1,1,2,2,1,4
392070023,1,2,2,2,2,3
392070024,1,2,2,3,4,4
392070025,1,1,1,2,2,-1
392070026,1,1,2,2,1,3
392070027,2,2,2,3,2,4
392070028,1,1,1,3,2,4
392070029,1,1,2,2,2,3
392070030,2,2,2,2,2,2
392070031,1,2,1,1,1,4
392070032,1,2,1,3,2,-1
392070033,1,2,2,3,2,2
392070034,1,2,2,2,3,-1
392070035,1,1,1,2,4,-2
392070036,1,1,1,1,1,3
392070037,1,2,2,2,1,2
392070038,1,1,2,2,1,4
392070039,1,1,3,4,3,4
392070040,1,2,2,2,2,1
392070041,1,2,2,2,4,2
392070042,1,2,3,2,3,3
392070043,1,1,1,3,1,3
392070044,1,2,2,2,1,3
392070045,1,1,1,2,1,4
392070046,1,2,2,2,2,4
392070047,1,2,2,2,2,3
392070048,1,2,3,3,2,4
392070049,1,1,1,3,2,4
392070050,1,2,1,2,2,3
392070051,1,1,1,3,2,4
392070052,1,2,2,4,4,4
392070053,1,2,3,2,1,3
392070054,1,1,2,2,2,4
392070055,1,1,1,2,2,4
392070056,1,2,1,1,2,4
392070057,1,2,2,3,2,4
392070058,1,1,1,2,2,3
392070059,2,3,1,1,2,3
392070060,1,1,2,3,1,-1
392070061,2,2,1,2,3,3
392070062,1,2,3,3,2,4
392070063,1,1,2,2,2,3
392070064,2,2,1,-1,1,3
392070065,1,1,1,2,2,3
392070066,1,2,2,3,2,4
392070067,1,2,2,1,2,4
392070068,1,2,2,2,2,-1
392070069,1,1,2,3,2,3
392070070,1,1,1,1,1,2
392070071,1,1,1,1,1,-1
392070072,1,1,1,2,1,4
392070073,1,1,2,2,2,2
392070074,1,2,2,2,2,2
392070075,1,1,1,3,1,-1
392070076,1,1,2,2,2,3
392070077,1,1,1,1,1,2
392070078,1,1,1,2,2,4
392070079,1,1,1,-1,1,-1
392070080,1,2,2,2,2,3
392070081,1,2,2,3,2,4
392070082,1,2,1,2,1,4
392070083,1,2,1,2,2,-1
392070084,1,1,2,3,2,3
392070085,1,2,1,2,2,4
392070086,1,1,1,2,1,2
392070087,1,1,3,3,3,-1
392070088,1,2,2,2,1,2
392070089,1,2,2,3,1,3
392070090,2,2,2,2,3,2
392070091,1,3,3,-1,-2,4
392070092,2,2,2,1,3,2
