D_INTERVIEW,Q1,Q2,Q3,Q4,Q5,Q6
604070001,2,2,2,2,2,2
604070002,1,3,2,2,-2,1
604070003,1,1,2,3,1,1
604070004,1,3,1,4,1,1
604070005,1,1,1,3,2,1
604070006,1,2,3,1,1,1
604070007,2,1,1,1,1,3
604070008,2,3,1,4,1,1
604070009,1,3,2,3,-2,2
604070010,1,2,1,1,1,1
604070011,1,4,2,4,1,1
604070012,1,1,1,4,2,1
604070013,2,3,4,3,3,2
604070014,1,2,2,2,2,2
604070015,1,3,3,1,1,1
604070016,1,2,2,2,1,3
604070017,1,3,2,3,1,1
604070018,1,3,2,4,2,4
604070019,2,3,3,4,1,4
604070020,1,3,1,3,2,3
604070021,2,2,1,3,2,2
604070022,1,3,1,1,1,3
604070023,1,3,1,3,2,2
604070024,1,3,1,4,1,4
604070025,1,3,1,4,1,1
604070026,2,3,2,3,2,3
604070027,1,2,2,2,2,2
604070028,1,3,1,1,1,4
604070029,1,3,2,3,1,2
604070030,1,3,2,1,1,2
604070031,1,2,2,3,2,2
604070032,1,2,3,4,1,2
604070033,1,2,3,1,1,1
604070034,1,1,3,3,2,2
604070035,1,3,2,2,1,2
604070036,1,2,1,4,-2,2
604070037,1,1,1,1,1,1
604070038,1,3,1,4,1,2
604070039,1,3,1,4,1,2
604070040,1,2,3,3,2,2
604070041,1,2,2,3,2,1
604070042,1,1,2,3,1,3
604070043,1,3,2,3,1,3
604070044,1,3,4,4,1,2
604070045,1,3,1,4,1,1
604070046,1,3,3,4,2,2
604070047,1,3,2,3,1,2
604070048,1,3,2,3,2,2
604070049,1,2,2,4,1,1
604070050,1,2,2,3,1,2
604070051,2,3,1,2,1,2
604070052,1,3,1,3,1,1
604070053,1,3,3,4,1,1
604070054,1,3,2,3,2,2
604070055,1,2,3,1,1,1
604070056,2,1,3,1,1,1
604070057,1,3,2,4,2,1
604070058,1,2,1,4,1,1
604070059,1,2,2,3,1,2
604070060,1,2,3,3,1,2
604070061,1,3,1,1,1,1
604070062,1,4,1,1,1,4
604070063,1,3,1,1,1,2
604070064,1,4,1,2,2,2
604070065,1,3,2,3,1,2
604070066,1,3,2,2,2,2
604070067,1,2,1,2,1,3
604070068,2,3,2,3,1,1
604070069,1,2,2,2,2,2
604070070,1,3,2,2,1,2
604070071,1,2,2,4,1,2
604070072,1,3,1,3,2,2
604070073,1,3,2,4,1,2
604070074,1,3,2,4,1,2
604070075,1,4,1,3,1,2
604070076,1,2,2,3,1,1
604070077,1,2,1,3,1,4
604070078,2,3,2,2,2,3
604070079,1,1,2,4,1,1
604070080,1,1,1,2,1,1
604070081,1,1,2,2,1,2
604070082,1,2,3,3,2,1
604070083,2,3,1,1,1,1
604070084,1,1,1,1,1,1
604070085,1,3,1,1,1,3
604070086,1,3,2,4,1,1
604070087,1,3,4,3,1,3
604070088,1,2,2,4,1,1
604070089,1,3,1,4,1,1
604070090,1,3,2,3,1,1
604070091,1,2,2,3,1,1
604070092,1,3,2,2,1,1
604070093,1,2,2,3,1,1
604070094,1,3,2,3,1,3
604070095,1,2,1,1,1,2
604070096,1,3,1,1,1,3
604070097,1,2,1,1,1,1
604070098,1,3,1,1,1,2
604070099,1,3,1,4,2,1
604070100,1,2,1,4,3,2
604070101,1,3,2,4,1,3
604070102,1,1,2,1,1,1
604070103,1,3,3,3,2,2
604070104,1,2,2,3,2,2
604070105,1,3,1,1,1,1
604070106,1,3,3,2,2,3
604070107,1,2,3,3,2,2
604070108,1,3,2,3,1,3
604070109,1,3,4,4,2,3
604070110,1,3,2,2,1,2
604070111,1,3,2,1,3,3
604070112,1,3,2,3,1,3
604070113,1,3,2,3,2,3
604070114,1,2,2,3,2,2
604070115,1,2,2,2,1,3
604070116,1,2,1,2,1,2
604070117,1,3,2,3,2,2
604070118,1,2,1,4,1,1
604070119,1,3,2,2,2,2
604070120,1,3,2,4,1,1
604070121,1,4,2,2,3,1
604070122,1,3,2,2,1,1
604070123,1,3,2,3,1,2
604070124,1,3,1,4,1,3
604070125,1,3,1,4,1,1
604070126,1,2,1,3,2,1
604070127,1,1,1,3,1,1
604070128,1,3,1,4,1,1
604070129,1,2,1,3,2,1
604070130,1,3,1,4,1,1
604070131,1,1,1,4,2,4
604070132,2,3,2,3,2,2
604070133,1,2,2,3,2,1
604070134,1,1,1,2,2,1
604070135,1,2,2,4,2,2
604070136,1,3,2,2,2,2
604070137,1,2,3,3,3,2
604070138,1,3,2,2,2,2
604070139,1,3,1,3,1,1
604070140,1,3,1,1,1,1
604070141,1,1,2,4,1,2
604070142,1,2,2,3,3,3
604070143,1,3,2,3,2,2
604070144,1,3,1,1,1,3
604070145,1,2,1,2,1,3
604070146,1,1,2,2,2,2
604070147,1,1,1,1,1,1
604070148,1,1,3,4,1,2
604070149,1,2,1,2,1,1
604070150,1,3,1,4,1,1
604070151,1,1,1,1,1,1
604070152,1,2,2,1,1,2
604070153,1,1,2,3,2,1
604070154,1,3,2,1,1,1
604070155,1,2,1,3,1,3
604070156,1,2,1,4,1,2
604070157,1,1,1,2,1,4
604070158,1,1,2,1,1,1
604070159,2,2,2,3,2,2
604070160,1,1,1,2,1,2
604070161,1,2,3,4,1,1
604070162,1,2,2,3,1,1
604070163,1,1,2,2,1,2
604070164,1,2,1,1,1,1
604070165,1,3,1,4,1,1
604070166,1,1,1,3,1,1
604070167,1,1,1,2,1,4
604070168,2,2,1,4,1,1
604070169,1,2,1,2,1,2
604070170,1,2,2,1,1,1
604070171,1,3,2,4,2,4
604070172,1,2,2,3,1,1
604070173,1,3,1,3,3,2
604070174,1,3,2,1,1,4
604070175,2,3,4,3,1,3
604070176,1,1,1,4,1,1
604070177,1,2,2,2,1,1
604070178,1,1,2,3,1,1
604070179,1,1,2,2,1,2
604070180,1,2,3,3,1,2
604070181,1,3,2,2,1,2
604070182,1,2,1,3,2,2
604070183,1,3,1,2,1,2
604070184,1,2,1,2,1,2
604070185,1,3,1,2,1,3
604070186,1,1,2,4,1,1
604070187,1,2,1,4,1,3
604070188,1,2,2,2,2,2
604070189,1,2,2,2,1,2
604070190,1,3,1,4,1,2
604070191,1,2,1,4,1,1
604070192,1,3,1,3,1,4
604070193,1,1,4,1,1,1
604070194,1,2,1,1,1,2
604070195,1,1,3,1,1,3
604070196,1,2,1,3,2,2
604070197,1,2,1,1,1,1
604070198,2,3,2,3,1,2
604070199,1,2,1,3,1,2
604070200,1,1,1,3,1,1
604070201,1,4,1,4,1,4
604070202,1,2,1,4,1,1
604070203,1,3,3,4,1,2
604070204,1,2,3,4,1,1
604070205,1,3,2,3,1,1
604070206,1,2,1,1,1,1
604070207,1,3,1,2,1,2
604070208,1,4,1,2,1,1
604070209,1,2,1,3,1,1
604070210,1,3,1,2,1,1
604070211,1,1,4,2,1,1
604070212,1,3,1,4,1,1
604070213,1,4,1,3,1,1
604070214,1,2,2,3,1,3
604070215,1,3,1,4,1,1
604070216,2,3,2,4,2,2
604070217,1,2,1,1,1,2
604070218,1,4,4,4,1,3
604070219,2,3,3,4,2,2
604070220,1,2,2,2,1,2
604070221,1,1,1,2,1,3
604070222,1,3,1,4,1,1
604070223,1,3,4,3,2,3
604070224,2,1,1,3,1,2
604070225,1,1,2,1,1,1
604070226,1,3,2,4,1,2
604070227,1,2,2,3,1,2
604070228,1,2,2,3,2,1
604070229,1,2,2,2,1,3
604070230,1,4,1,4,1,4
604070231,1,1,3,3,1,1
604070232,1,3,2,2,2,4
604070233,1,2,2,2,2,2
604070234,1,3,2,3,2,2
604070235,1,1,2,1,2,3
604070236,1,1,3,2,2,1
604070237,1,2,2,2,1,3
604070238,1,1,1,3,1,2
604070239,1,1,2,2,2,1
604070240,3,3,1,3,1,2
604070241,1,2,1,4,1,3
604070242,1,1,1,1,1,2
604070243,1,3,1,3,1,1
604070244,1,3,1,4,1,1
604070245,1,3,1,4,1,1
604070246,1,3,2,3,2,1
604070247,1,2,2,3,2,2
