D_INTERVIEW,Q1,Q2,Q3,Q4,Q5,Q6
840071001,1,4,2,1,1,1
840071002,1,2,1,4,1,2
840071003,1,2,1,1,1,1
840071004,1,2,2,2,2,1
840071005,1,2,1,2,1,1
840071006,1,1,1,3,1,1
840071007,1,1,1,1,1,4
840071008,1,1,1,3,3,1
840071009,1,2,3,4,1,1
840071010,1,3,1,4,1,1
840071011,1,3,1,2,1,1
840071012,1,1,1,3,1,1
840071013,1,3,3,2,1,4
840071014,3,3,1,2,1,1
840071015,1,3,3,3,2,3
840071016,1,1,2,2,1,2
840071017,1,2,2,3,1,1
840071018,1,1,2,2,1,1
840071019,1,1,1,2,2,3
840071020,1,2,2,2,2,3
840071021,1,3,1,4,1,2
840071022,1,2,2,2,1,1
840071023,1,2,-2,3,1,2
840071024,1,1,1,2,1,2
840071025,1,2,2,4,2,4
840071026,1,2,2,3,2,1
840071027,1,1,1,2,1,1
840071028,1,1,1,3,1,1
840071029,1,2,2,3,1,2
840071030,1,2,1,3,1,2
840071031,1,2,1,1,1,1
840071032,1,3,2,2,1,1
840071033,2,1,1,4,1,2
840071034,1,1,2,3,2,4
840071035,1,2,2,3,1,4
840071036,1,3,2,4,2,1
840071037,1,1,2,4,2,1
840071038,3,3,3,3,3,3
840071039,1,1,2,2,1,2
840071040,1,2,3,3,1,2
840071041,1,3,3,4,1,1
840071042,1,1,4,3,1,1
840071043,1,2,3,1,2,1
840071044,1,1,1,1,1,2
840071045,1,2,3,2,2,1
840071046,1,2,2,2,2,2
840071047,1,1,2,1,1,1
840071048,1,1,1,4,2,1
840071049,2,2,2,2,2,2
840071050,2,1,1,2,4,2
840071051,3,3,3,1,3,1
840071052,1,1,2,1,2,1
840071053,1,3,3,4,2,2
840071054,1,2,2,4,1,1
840071055,1,1,2,2,1,1
840071056,1,2,1,3,2,2
840071057,1,2,2,2,1,3
840071058,1,1,2,3,1,2
840071059,1,1,1,2,2,2
840071060,1,2,2,2,2,1
840071061,1,1,1,1,4,1
840071062,1,1,1,4,4,1
840071063,1,1,1,1,1,2
840071064,2,2,2,4,1,1
840071065,1,1,1,3,2,3
840071066,1,3,2,4,2,1
840071067,1,1,2,2,1,3
840071068,1,1,2,2,1,2
840071069,3,2,3,3,1,3
840071070,1,3,3,4,2,2
840071071,1,2,3,1,1,4
840071072,1,1,2,2,3,4
840071073,1,1,1,4,1,1
840071074,1,1,2,2,1,3
840071075,1,1,1,3,2,4
840071076,1,2,2,2,3,2
840071077,1,2,2,3,4,1
840071078,1,2,1,2,1,1
840071079,1,1,3,3,2,3
840071080,1,2,2,2,1,3
840071081,2,4,1,3,2,4
840071082,1,1,2,3,1,2
840071083,1,3,1,3,1,1
840071084,1,2,2,3,2,1
840071085,1,1,1,2,1,1
840071086,1,1,3,3,2,4
840071087,1,2,2,2,1,1
840071088,1,2,2,2,1,2
840071089,1,2,1,2,1,2
840071090,2,2,1,1,2,1
840071091,3,3,3,2,2,2
840071092,1,1,2,3,2,2
840071093,1,1,3,3,1,4
840071094,1,2,2,3,3,2
840071095,1,2,1,4,4,1
840071096,1,1,2,1,1,3
840071097,1,2,2,2,1,2
840071098,1,2,2,2,1,2
840071099,1,1,1,3,1,1
840071100,1,1,1,2,1,1
840071101,1,3,2,3,1,2
840071102,1,2,1,3,2,4
840071103,1,1,1,1,-2,1
840071104,1,1,1,3,3,2
840071105,1,2,2,3,3,1
840071106,1,2,1,3,3,4
840071107,1,1,3,2,3,1
840071108,1,1,2,4,3,1
840071109,1,2,3,3,3,1
840071110,2,2,3,3,1,1
840071111,1,1,2,3,2,4
840071112,1,2,1,1,1,2
840071113,1,2,4,-2,3,2
840071114,4,1,2,2,3,4
840071115,1,1,1,1,2,4
840071116,1,1,1,2,1,1
840071117,1,1,1,4,1,4
840071118,1,2,1,3,2,2
840071119,1,3,1,1,1,4
840071120,1,3,2,2,1,3
840071121,1,2,2,3,2,4
840071122,1,1,1,3,1,2
840071123,1,2,3,4,2,1
840071124,2,2,1,3,1,4
840071125,1,1,2,2,1,1
840071126,1,4,1,2,4,1
840071127,2,2,1,1,3,4
840071128,1,1,1,2,1,1
840071129,1,3,2,4,3,4
840071130,1,1,1,1,1,1
840071131,1,1,1,1,1,1
840071132,1,1,1,1,3,4
840071133,1,1,1,4,1,1
840071134,1,2,1,4,1,2
840071135,2,3,1,3,3,4
840071136,1,2,2,2,1,3
840071137,1,1,1,2,3,4
840071138,1,1,2,2,1,2
840071139,2,2,2,3,2,4
840071140,2,2,2,3,1,3
840071141,1,2,3,4,1,1
840071142,1,1,2,-2,3,2
840071143,1,2,1,1,2,4
840071144,1,2,1,3,1,2
840071145,1,3,2,3,1,1
840071146,2,2,1,3,3,3
840071147,1,1,-2,3,2,2
840071148,1,2,1,2,2,2
840071149,1,2,2,1,2,4
840071150,1,1,2,2,3,2
840071151,1,2,1,3,1,1
840071152,1,1,3,2,2,1
840071153,1,2,1,2,2,4
840071154,2,3,4,4,3,3
840071155,1,3,3,2,1,2
840071156,1,1,1,2,1,2
840071157,1,2,2,3,2,1
840071158,1,2,2,3,1,3
840071159,1,2,2,2,2,1
840071160,1,2,2,2,1,3
840071161,1,3,1,3,2,2
840071162,1,1,1,3,1,1
840071163,1,2,3,3,1,2
840071164,1,1,1,3,3,3
840071165,1,2,2,1,1,1
840071166,1,1,3,4,1,3
840071167,1,2,2,4,2,2
840071168,1,1,1,2,2,1
840071169,1,1,1,1,1,1
840071170,1,2,1,3,1,3
840071171,1,1,1,2,2,2
840071172,1,2,2,2,1,1
840071173,1,3,2,2,1,3
840071174,1,1,1,3,1,1
840071175,1,3,2,3,3,3
840071176,1,1,2,3,1,1
840071177,1,2,1,2,1,1
840071178,1,2,1,4,2,1
840071179,1,2,2,3,2,1
840071180,1,3,2,3,3,1
840071181,1,1,3,4,3,4
840071182,1,1,2,3,2,1
840071183,1,2,3,3,1,3
840071184,1,1,1,2,1,2
840071185,1,3,1,3,2,3
840071186,1,1,1,1,1,1
840071187,1,3,3,3,1,3
840071188,1,2,2,3,2,3
840071189,1,3,2,3,1,1
840071190,1,1,1,3,2,2
840071191,1,1,2,3,2,3
840071192,1,2,3,3,3,1
840071193,1,1,2,3,1,3
840071194,1,2,1,3,1,2
840071195,1,4,2,4,1,1
840071196,1,2,2,4,2,4
840071197,2,1,1,1,3,4
840071198,1,1,2,4,1,4
840071199,1,2,3,3,2,2
840071200,1,2,2,2,1,1
840071201,1,3,2,3,2,3
840071202,1,1,2,3,1,-2
840071203,2,3,1,2,3,3
840071204,1,2,2,4,1,4
840071205,1,1,1,2,2,2
840071206,1,2,2,2,2,2
840071207,1,3,3,3,1,3
840071208,1,1,2,2,2,1
840071209,1,2,2,3,1,1
840071210,1,3,2,3,1,1
840071211,1,1,2,3,1,2
840071212,1,1,2,3,2,3
840071213,1,2,4,3,2,1
840071214,1,1,1,3,2,1
840071215,1,3,3,4,1,1
840071216,1,2,1,3,2,1
840071217,1,2,2,3,2,3
840071218,1,1,2,2,1,1
840071219,1,1,2,3,2,1
840071220,1,2,1,3,2,2
840071221,1,1,1,1,1,1
840071222,1,2,2,3,3,3
840071223,1,1,2,3,2,4
840071224,1,1,1,3,1,2
840071225,1,2,1,3,1,2
840071226,1,3,1,3,2,2
840071227,1,2,2,3,2,3
840071228,1,1,1,2,2,2
840071229,1,2,2,3,2,1
840071230,1,1,1,2,1,2
