D_INTERVIEW,Q1,Q2,Q3,Q4,Q5,Q6
840071001,1.0,4.0,2.0,1.0,1.0,1.0
840071002,1.0,2.0,1.0,4.0,1.0,2.0
840071003,1.0,2.0,1.0,1.0,1.0,1.0
840071004,1.0,2.0,2.0,2.0,2.0,1.0
840071005,1.0,2.0,1.0,2.0,1.0,1.0
840071006,1.0,1.0,1.0,3.0,1.0,1.0
840071007,1.0,1.0,1.0,1.0,1.0,4.0
840071008,1.0,1.0,1.0,3.0,3.0,1.0
840071009,1.0,2.0,3.0,4.0,1.0,1.0
840071010,1.0,3.0,1.0,4.0,1.0,1.0
840071011,1.0,3.0,1.0,2.0,1.0,1.0
840071012,1.0,1.0,1.0,3.0,1.0,1.0
840071013,1.0,3.0,3.0,2.0,1.0,4.0
840071014,3.0,3.0,1.0,2.0,1.0,1.0
840071015,1.0,3.0,3.0,3.0,2.0,3.0
840071016,1.0,1.0,2.0,2.0,1.0,2.0
840071017,1.0,2.0,2.0,3.0,1.0,1.0
840071018,1.0,1.0,2.0,2.0,1.0,1.0
840071019,1.0,1.0,1.0,2.0,2.0,3.0
840071020,1.0,2.0,2.0,2.0,2.0,3.0
840071021,1.0,3.0,1.0,4.0,1.0,2.0
840071022,1.0,2.0,2.0,2.0,1.0,1.0
840071023,1.0,2.0,-2.0,3.0,1.0,2.0
840071024,1.0,1.0,1.0,2.0,1.0,2.0
840071025,1.0,2.0,2.0,4.0,2.0,4.0
840071026,1.0,2.0,2.0,3.0,2.0,1.0
840071027,1.0,1.0,1.0,2.0,1.0,1.0
840071028,1.0,1.0,1.0,3.0,1.0,1.0
840071029,1.0,2.0,2.0,3.0,1.0,2.0
840071030,1.0,2.0,1.0,3.0,1.0,2.0
840071031,1.0,2.0,1.0,1.0,1.0,1.0
840071032,1.0,3.0,2.0,2.0,1.0,1.0
840071033,2.0,1.0,1.0,4.0,1.0,2.0
840071034,1.0,1.0,2.0,3.0,2.0,4.0
840071035,1.0,2.0,2.0,3.0,1.0,4.0
840071036,1.0,3.0,2.0,4.0,2.0,1.0
840071037,1.0,1.0,2.0,4.0,2.0,1.0
840071038,3.0,3.0,3.0,3.0,3.0,3.0
840071039,1.0,1.0,2.0,2.0,1.0,2.0
840071040,1.0,2.0,3.0,3.0,1.0,2.0
840071041,1.0,3.0,3.0,4.0,1.0,1.0
840071042,1.0,1.0,4.0,3.0,1.0,1.0
840071043,1.0,2.0,3.0,1.0,2.0,1.0
840071044,1.0,1.0,1.0,1.0,1.0,2.0
840071045,1.0,2.0,3.0,2.0,2.0,1.0
840071046,1.0,2.0,2.0,2.0,2.0,2.0
840071047,1.0,1.0,2.0,1.0,1.0,1.0
840071048,1.0,1.0,1.0,4.0,2.0,1.0
840071049,2.0,2.0,2.0,2.0,2.0,2.0
840071050,2.0,1.0,1.0,2.0,4.0,2.0
840071051,3.0,3.0,3.0,1.0,3.0,1.0
840071052,1.0,1.0,2.0,1.0,2.0,1.0
840071053,1.0,3.0,3.0,4.0,2.0,2.0
840071054,1.0,2.0,2.0,4.0,1.0,1.0
840071055,1.0,1.0,2.0,2.0,1.0,1.0
840071056,1.0,2.0,1.0,3.0,2.0,2.0
840071057,1.0,2.0,2.0,2.0,1.0,3.0
840071058,1.0,1.0,2.0,3.0,1.0,2.0
840071059,1.0,1.0,1.0,2.0,2.0,2.0
840071060,1.0,2.0,2.0,2.0,2.0,1.0
840071061,1.0,1.0,1.0,1.0,4.0,1.0
840071062,1.0,1.0,1.0,4.0,4.0,1.0
840071063,1.0,1.0,1.0,1.0,1.0,2.0
840071064,2.0,2.0,2.0,4.0,1.0,1.0
840071065,1.0,1.0,1.0,3.0,2.0,3.0
840071066,1.0,3.0,2.0,4.0,2.0,1.0
840071067,1.0,1.0,2.0,2.0,1.0,3.0
840071068,1.0,1.0,2.0,2.0,1.0,2.0
840071069,3.0,2.0,3.0,3.0,1.0,3.0
840071070,1.0,3.0,3.0,4.0,2.0,2.0
840071071,1.0,2.0,3.0,1.0,1.0,4.0
840071072,1.0,1.0,2.0,2.0,3.0,4.0
840071073,1.0,1.0,1.0,4.0,1.0,1.0
840071074,1.0,1.0,2.0,2.0,1.0,3.0
840071075,1.0,1.0,1.0,3.0,2.0,4.0
840071076,1.0,2.0,2.0,2.0,3.0,2.0
840071077,1.0,2.0,2.0,3.0,4.0,1.0
840071078,1.0,2.0,1.0,2.0,1.0,1.0
840071079,1.0,1.0,3.0,3.0,2.0,3.0
840071080,1.0,2.0,2.0,2.0,1.0,3.0
840071081,2.0,4.0,1.0,3.0,2.0,4.0
840071082,1.0,1.0,2.0,3.0,1.0,2.0
840071083,1.0,3.0,1.0,3.0,1.0,1.0
840071084,1.0,2.0,2.0,3.0,2.0,1.0
840071085,1.0,1.0,1.0,2.0,1.0,1.0
840071086,1.0,1.0,3.0,3.0,2.0,4.0
840071087,1.0,2.0,2.0,2.0,1.0,1.0
