D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
51070001,2,3,3,2,3,3
51070002,2,-1,-1,2,3,2
51070003,1,4,4,4,1,1
51070004,1,2,2,3,1,2
51070005,3,3,3,4,3,2
51070006,1,3,3,4,2,-1
51070007,1,2,3,2,3,4
51070008,3,4,1,3,2,3
51070009,2,3,3,3,2,2
51070010,2,4,4,4,2,3
51070011,3,1,3,3,3,2
51070012,2,2,2,3,2,2
51070013,1,4,1,3,3,2
51070014,2,2,3,3,3,3
51070015,1,2,1,4,2,2
51070016,2,3,3,3,3,-1
51070017,2,3,-1,2,2,2
51070018,1,4,1,4,1,4
51070019,2,4,4,3,3,-1
51070020,1,3,-2,3,2,3
51070021,1,3,2,1,1,1
51070022,1,3,3,3,3,2
51070023,2,2,2,4,3,2
51070024,1,3,3,3,2,2
51070025,1,3,1,4,1,1
51070026,1,3,3,4,4,2
51070027,1,-1,-1,2,3,2
51070028,1,2,3,3,2,3
51070029,2,-1,1,3,3,3
51070030,1,2,2,2,2,2
51070031,1,3,2,4,3,4
51070032,2,3,3,3,2,3
51070033,2,3,2,3,3,2
51070034,1,3,-1,3,3,3
51070035,1,3,3,3,3,3
51070036,1,3,3,-1,-1,-1
51070037,1,3,2,3,3,2
51070038,2,4,3,4,-1,2
51070039,1,4,1,2,4,2
51070040,2,3,3,3,2,1
51070041,2,3,2,3,1,-1
51070042,1,1,1,1,1,1
51070043,1,3,2,3,2,3
51070044,1,2,2,1,2,3
51070045,1,3,1,3,1,3
51070046,1,4,3,4,2,2
51070047,2,2,1,2,1,1
51070048,1,3,2,3,1,1
51070049,2,2,2,4,3,3
51070050,2,1,4,3,4,1
51070051,2,3,4,3,2,3
51070052,1,1,2,2,2,2
51070053,1,3,3,3,2,3
51070054,1,2,3,4,3,3
51070055,4,2,2,2,3,2
51070056,2,3,3,4,2,1
51070057,1,2,2,1,1,3
51070058,1,2,1,1,2,4
51070059,1,1,1,4,1,4
51070060,1,3,2,3,2,3
51070061,2,3,-1,3,3,3
51070062,1,3,1,4,3,2
51070063,1,2,-1,3,-1,2
51070064,2,3,-1,3,-1,3
51070065,2,3,3,3,3,2
51070066,2,3,3,2,3,2
51070067,1,1,2,2,2,2
51070068,1,3,4,3,4,2
51070069,1,3,2,3,2,3
51070070,2,3,3,3,3,3
51070071,1,2,1,3,3,2
51070072,2,3,2,4,2,3
51070073,2,1,1,3,2,2
51070074,2,2,3,3,3,3
51070075,1,3,2,3,2,3
51070076,2,1,3,3,3,3
51070077,2,2,2,2,3,3
51070078,1,2,3,4,3,3
51070079,2,2,3,3,3,2
51070080,2,3,3,3,3,3
51070081,3,3,3,3,3,1
51070082,2,3,2,2,2,-1
51070083,1,3,2,3,2,-1
51070084,1,3,2,4,3,1
51070085,2,3,4,4,3,1
51070086,1,3,1,4,2,1
51070087,1,2,-1,4,3,3
51070088,1,3,3,4,4,1
51070089,2,1,3,3,3,3
51070090,1,3,3,3,2,2
51070091,1,3,3,3,3,2
51070092,1,3,3,3,2,3
51070093,1,3,2,3,2,3
51070094,1,3,-1,3,2,3
51070095,1,1,1,2,2,3
51070096,1,3,3,3,1,3
51070097,1,2,3,3,3,2
51070098,1,3,3,3,3,4
51070099,1,3,3,2,2,2
51070100,1,1,4,4,4,3
51070101,1,2,1,1,1,1
51070102,2,3,2,4,2,3
51070103,1,1,2,2,2,3
51070104,1,4,1,4,3,3
51070105,1,1,3,3,4,1
51070106,1,3,2,3,3,3
51070107,1,2,2,2,2,2
51070108,1,1,1,1,1,1
51070109,2,2,2,2,2,1
51070110,1,3,3,4,4,1
51070111,2,2,2,3,2,3
51070112,1,1,3,3,3,2
51070113,1,3,3,4,4,2
51070114,2,2,1,3,2,1
51070115,1,2,1,1,1,2
51070116,1,3,3,3,3,3
51070117,1,1,2,1,1,1
51070118,1,3,1,3,3,2
51070119,1,2,3,3,4,1
51070120,2,3,3,3,2,1
51070121,2,3,3,3,4,3
51070122,1,3,1,3,2,3
51070123,2,3,3,3,3,3
51070124,1,2,2,3,3,2
51070125,2,3,2,2,2,3
51070126,-1,2,3,2,3,3
51070127,2,2,2,3,2,2
51070128,-1,3,2,3,2,2
51070129,-2,3,2,3,4,3
51070130,2,2,3,1,2,1
51070131,1,3,4,2,1,4
51070132,2,1,3,4,2,2
51070133,2,3,1,4,2,2
51070134,2,3,3,1,3,2
51070135,1,2,3,3,4,4
51070136,1,1,3,4,4,2
51070137,2,1,2,4,2,4
51070138,2,2,2,2,2,1
51070139,-1,2,3,4,4,4
51070140,2,4,3,3,3,4
51070141,2,1,4,4,4,2
51070142,3,4,3,3,4,3
51070143,1,3,2,3,3,3
51070144,3,4,3,4,4,3
51070145,3,4,3,4,3,3
51070146,2,1,1,3,2,3
51070147,1,2,-1,3,3,3
51070148,1,2,3,3,3,3
51070149,2,3,3,3,-1,3
51070150,1,1,-1,4,4,3
51070151,1,4,3,4,-1,1
51070152,1,3,4,4,4,1
51070153,1,3,-1,3,3,1
51070154,2,3,3,3,3,2
51070155,2,2,2,3,3,2
51070156,1,4,2,3,2,3
51070157,2,2,2,3,3,2
51070158,2,3,3,3,2,3
51070159,2,3,3,3,2,3
51070160,1,3,3,3,3,3
51070161,1,3,3,3,4,4
51070162,1,3,3,4,4,4
51070163,2,2,1,3,1,2
51070164,1,3,1,3,1,4
51070165,2,3,2,3,3,3
51070166,2,2,2,3,2,3
51070167,2,1,2,3,2,3
51070168,2,4,3,4,3,1
51070169,2,1,3,2,3,2
51070170,2,2,2,2,1,2
51070171,2,3,3,4,3,2
51070172,1,3,3,3,3,3
51070173,2,2,1,3,2,2
51070174,1,3,2,4,2,1
51070175,1,2,3,4,3,1
51070176,1,1,1,4,2,2
51070177,1,3,4,4,4,2
51070178,2,2,3,4,3,1
51070179,1,4,3,4,4,2
51070180,1,1,2,1,2,1
51070181,2,3,1,2,1,3
51070182,1,2,1,2,1,3
51070183,1,2,4,4,2,2
51070184,3,1,2,3,3,3
51070185,1,-1,2,3,3,3
51070186,2,3,3,3,3,3
51070187,1,3,1,1,3,3
51070188,1,2,4,4,2,4
51070189,2,1,1,4,1,2
51070190,2,2,2,4,3,2
51070191,1,2,3,3,3,2
51070192,1,3,3,3,2,3
51070193,2,2,2,3,3,2
51070194,1,3,3,3,3,2
51070195,1,3,1,2,2,2
51070196,2,3,2,3,2,3
51070197,1,3,-1,3,3,3
51070198,2,3,2,2,2,3
