D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
170070052,2,2,3,3,3,2
170070053,1,3,2,4,3,3
170070054,2,3,3,2,3,3
170070057,2,2,2,3,2,1
170070069,1,3,3,3,3,3
170070074,1,3,3,3,3,3
170070075,1,1,4,4,4,4
170070076,2,3,3,3,3,3
170070080,2,4,3,3,3,3
170070085,1,2,2,3,3,2
170070087,2,2,3,1,2,4
170070093,1,1,1,3,3,4
170070104,1,2,3,4,3,3
170070105,2,3,3,3,3,2
170070112,2,2,2,1,2,2
170070113,2,2,3,3,4,3
170070122,1,2,2,3,3,1
170070126,1,2,4,4,3,1
170070128,1,1,3,2,3,2
170070132,1,1,3,3,3,2
170070154,1,3,3,2,3,1
170070156,1,2,2,4,3,3
170070197,1,4,3,4,3,2
170070198,2,3,4,3,3,3
170070210,1,3,2,3,4,1
170070213,2,2,3,3,3,3
170070214,2,3,3,3,3,3
170070215,1,3,2,3,2,2
170070219,2,2,3,3,3,2
170070222,2,3,3,3,3,2
170070224,1,4,4,4,4,4
170070253,2,3,3,3,3,4
170070255,1,3,3,3,3,2
170070261,2,3,3,3,3,3
170070308,2,4,4,4,4,1
170070312,1,1,3,1,1,2
170070323,2,3,3,3,3,3
170070332,1,2,3,1,2,2
170070334,3,3,3,3,3,2
170070337,1,1,3,3,1,1
170070341,1,3,2,1,1,1
170070344,2,3,4,4,4,2
170070358,2,3,3,3,3,2
170070366,1,3,3,3,3,2
170070369,1,3,3,3,3,2
170070378,1,1,3,3,3,2
170070385,1,3,3,3,4,1
170070388,2,3,3,3,3,2
170070389,2,3,3,3,3,2
170070390,1,2,3,3,3,2
170070393,1,3,3,3,4,4
170070394,1,1,3,3,3,3
170070395,1,3,2,3,2,4
170070407,1,2,3,3,3,2
170070408,1,1,3,2,3,1
170070414,1,2,4,4,4,3
170070415,1,4,3,4,4,2
170070418,1,3,3,3,3,3
170070421,3,3,3,4,3,2
170070422,2,2,2,3,3,2
170070423,2,3,3,3,3,3
170070426,2,3,3,3,4,2
170070432,2,2,3,3,4,2
170070442,2,2,3,2,3,2
170070465,1,3,2,3,3,3
170070471,1,1,1,2,2,2
170070497,1,3,4,2,3,1
170070503,1,1,3,3,4,1
170070507,1,4,3,2,3,2
170070510,1,3,3,3,3,4
170070514,2,3,3,4,3,2
170070515,2,2,1,1,2,2
170070522,1,4,4,4,4,3
170070530,2,2,2,3,3,2
170070531,1,4,4,1,1,1
170070534,2,3,3,3,3,2
170070538,2,1,3,3,3,2
170070541,2,2,3,4,3,1
170070544,2,3,3,1,1,3
170070545,2,2,2,3,3,2
170070553,2,3,2,2,3,2
170070558,1,3,3,3,3,3
170070559,1,2,3,3,3,1
170070560,1,2,3,3,3,1
170070561,1,3,3,4,3,3
170070562,1,3,3,1,3,1
170070565,1,2,2,1,1,2
170070585,2,1,3,3,3,2
170070593,1,2,4,3,4,2
170070598,1,3,3,4,3,3
170070601,2,3,3,3,3,2
