D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
170070052,2.0,2.0,3.0,3.0,3.0,2.0
170070053,1.0,3.0,2.0,4.0,3.0,3.0
170070054,2.0,3.0,3.0,2.0,3.0,3.0
170070057,2.0,2.0,2.0,3.0,2.0,1.0
170070069,1.0,3.0,3.0,3.0,3.0,3.0
170070074,1.0,3.0,3.0,3.0,3.0,3.0
170070075,1.0,1.0,4.0,4.0,4.0,4.0
170070076,2.0,3.0,3.0,3.0,3.0,3.0
170070080,2.0,4.0,3.0,3.0,3.0,3.0
170070085,1.0,2.0,2.0,3.0,3.0,2.0
170070087,2.0,2.0,3.0,1.0,2.0,4.0
170070093,1.0,1.0,1.0,3.0,3.0,4.0
170070104,1.0,2.0,3.0,4.0,3.0,3.0
170070105,2.0,3.0,3.0,3.0,3.0,2.0
170070112,2.0,2.0,2.0,1.0,2.0,2.0
170070113,2.0,2.0,3.0,3.0,4.0,3.0
170070122,1.0,2.0,2.0,3.0,3.0,1.0
170070126,1.0,2.0,4.0,4.0,3.0,1.0
170070128,1.0,1.0,3.0,2.0,3.0,2.0
170070132,1.0,1.0,3.0,3.0,3.0,2.0
170070154,1.0,3.0,3.0,2.0,3.0,1.0
170070156,1.0,2.0,2.0,4.0,3.0,3.0
170070197,1.0,4.0,3.0,4.0,3.0,2.0
170070198,2.0,3.0,4.0,3.0,3.0,3.0
170070210,1.0,3.0,2.0,3.0,4.0,1.0
170070213,2.0,2.0,3.0,3.0,3.0,3.0
170070214,2.0,3.0,3.0,3.0,3.0,3.0
170070215,1.0,3.0,2.0,3.0,2.0,2.0
170070219,2.0,2.0,3.0,3.0,3.0,2.0
170070222,2.0,3.0,3.0,3.0,3.0,2.0
170070224,1.0,4.0,4.0,4.0,4.0,4.0
170070253,2.0,3.0,3.0,3.0,3.0,4.0
170070255,1.0,3.0,3.0,3.0,3.0,2.0
170070261,2.0,3.0,3.0,3.0,3.0,3.0
170070308,2.0,4.0,4.0,4.0,4.0,1.0
170070312,1.0,1.0,3.0,1.0,1.0,2.0
170070323,2.0,3.0,3.0,3.0,3.0,3.0
170070332,1.0,2.0,3.0,1.0,2.0,2.0
170070334,3.0,3.0,3.0,3.0,3.0,2.0
170070337,1.0,1.0,3.0,3.0,1.0,1.0
170070341,1.0,3.0,2.0,1.0,1.0,1.0
170070344,2.0,3.0,4.0,4.0,4.0,2.0
170070358,2.0,3.0,3.0,3.0,3.0,2.0
170070366,1.0,3.0,3.0,3.0,3.0,2.0
170070369,1.0,3.0,3.0,3.0,3.0,2.0
170070378,1.0,1.0,3.0,3.0,3.0,2.0
170070385,1.0,3.0,3.0,3.0,4.0,1.0
170070388,2.0,3.0,3.0,3.0,3.0,2.0
170070389,2.0,3.0,3.0,3.0,3.0,2.0
170070390,1.0,2.0,3.0,3.0,3.0,2.0
170070393,1.0,3.0,3.0,3.0,4.0,4.0
170070394,1.0,1.0,3.0,3.0,3.0,3.0
170070395,1.0,3.0,2.0,3.0,2.0,4.0
170070407,1.0,2.0,3.0,3.0,3.0,2.0
170070408,1.0,1.0,3.0,2.0,3.0,1.0
170070414,1.0,2.0,4.0,4.0,4.0,3.0
170070415,1.0,4.0,3.0,4.0,4.0,2.0
170070418,1.0,3.0,3.0,3.0,3.0,3.0
170070421,3.0,3.0,3.0,4.0,3.0,2.0
170070422,2.0,2.0,2.0,3.0,3.0,2.0
170070423,2.0,3.0,3.0,3.0,3.0,3.0
170070426,2.0,3.0,3.0,3.0,4.0,2.0
170070432,2.0,2.0,3.0,3.0,4.0,2.0
170070442,2.0,2.0,3.0,2.0,3.0,2.0
170070465,1.0,3.0,2.0,3.0,3.0,3.0
170070471,1.0,1.0,1.0,2.0,2.0,2.0
170070497,1.0,3.0,4.0,2.0,3.0,1.0
170070503,1.0,1.0,3.0,3.0,4.0,1.0
170070507,1.0,4.0,3.0,2.0,3.0,2.0
170070510,1.0,3.0,3.0,3.0,3.0,4.0
170070514,2.0,3.0,3.0,4.0,3.0,2.0
170070515,2.0,2.0,1.0,1.0,2.0,2.0
170070522,1.0,4.0,4.0,4.0,4.0,3.0
170070530,2.0,2.0,2.0,3.0,3.0,2.0
170070531,1.0,4.0,4.0,1.0,1.0,1.0
170070534,2.0,3.0,3.0,3.0,3.0,2.0
170070538,2.0,1.0,3.0,3.0,3.0,2.0
170070541,2.0,2.0,3.0,4.0,3.0,1.0
170070544,2.0,3.0,3.0,1.0,1.0,3.0
170070545,2.0,2.0,2.0,3.0,3.0,2.0
170070553,2.0,3.0,2.0,2.0,3.0,2.0
170070558,1.0,3.0,3.0,3.0,3.0,3.0
170070559,1.0,2.0,3.0,3.0,3.0,1.0
170070560,1.0,2.0,3.0,3.0,3.0,1.0
170070561,1.0,3.0,3.0,4.0,3.0,3.0
170070562,1.0,3.0,3.0,1.0,3.0,1.0
170070565,1.0,2.0,2.0,1.0,1.0,2.0
170070585,2.0,1.0,3.0,3.0,3.0,2.0
170070593,1.0,2.0,4.0,3.0,4.0,2.0
170070598,1.0,3.0,3.0,4.0,3.0,3.0
170070601,2.0,3.0,3.0,3.0,3.0,2.0
170070621,2.0,1.0,1.0,1.0,1.0,1.0
170070626,1.0,3.0,3.0,3.0,3.0,3.0
170070630,1.0,1.0,1.0,2.0,1.0,1.0
170070631,1.0,2.0,3.0,1.0,3.0,3.0
170070663,2.0,2.0,3.0,3.0,3.0,2.0
170070666,2.0,3.0,3.0,2.0,2.0,2.0
170070669,2.0,4.0,3.0,3.0,2.0,2.0
170070672,1.0,2.0,3.0,4.0,4.0,2.0
170070673,2.0,3.0,3.0,3.0,3.0,3.0
